frequency,raw
20,-4.01
21,-4.01
22,-4.01
23,-4.01
24,-4.08
25,-4.11
26,-4.11
27,-4.14
28,-4.20
29,-4.21
30,-4.21
31,-4.19
32,-4.14
33,-4.10
34,-4.05
35,-4.01
36,-3.97
37,-3.93
38,-3.93
39,-3.97
40,-4.01
41,-4.01
42,-4.01
43,-4.01
44,-4.04
45,-4.08
46,-4.11
47,-4.11
48,-4.11
49,-4.11
50,-4.11
51,-4.11
52,-4.11
53,-4.11
54,-4.11
55,-4.11
56,-4.11
57,-4.11
58,-4.11
59,-4.11
60,-4.11
61,-4.11
62,-4.14
63,-4.16
64,-4.18
65,-4.20
66,-4.21
67,-4.21
68,-4.21
69,-4.21
70,-4.21
71,-4.23
72,-4.25
73,-4.27
74,-4.29
75,-4.31
76,-4.31
77,-4.31
78,-4.31
79,-4.31
80,-4.31
81,-4.31
82,-4.29
83,-4.27
84,-4.26
85,-4.24
86,-4.22
87,-4.20
88,-4.17
89,-4.13
90,-4.10
91,-4.07
92,-4.04
93,-4.01
94,-3.98
95,-3.95
96,-3.92
97,-3.89
98,-3.86
99,-3.83
100,-3.81
101,-3.81
102,-3.81
104,-3.81
105,-3.81
106,-3.81
107,-3.81
108,-3.80
109,-3.78
110,-3.77
111,-3.76
112,-3.74
113,-3.73
114,-3.72
115,-3.71
117,-3.71
118,-3.71
119,-3.71
120,-3.71
121,-3.71
123,-3.71
124,-3.70
125,-3.69
126,-3.68
128,-3.65
129,-3.64
130,-3.63
131,-3.62
133,-3.61
134,-3.61
135,-3.61
137,-3.61
138,-3.61
140,-3.61
141,-3.61
142,-3.60
144,-3.58
145,-3.57
147,-3.56
148,-3.55
150,-3.53
151,-3.52
153,-3.50
154,-3.49
156,-3.47
157,-3.46
159,-3.44
160,-3.43
162,-3.42
164,-3.41
165,-3.41
167,-3.41
169,-3.41
170,-3.41
172,-3.41
174,-3.41
175,-3.42
177,-3.44
179,-3.45
181,-3.47
183,-3.49
184,-3.49
186,-3.51
188,-3.51
190,-3.51
192,-3.51
194,-3.51
196,-3.51
198,-3.51
200,-3.51
202,-3.51
204,-3.51
206,-3.51
208,-3.51
210,-3.51
212,-3.51
214,-3.51
216,-3.51
218,-3.51
221,-3.51
223,-3.51
225,-3.51
227,-3.51
229,-3.51
232,-3.50
234,-3.49
236,-3.48
239,-3.46
241,-3.45
244,-3.43
246,-3.42
248,-3.39
251,-3.34
253,-3.30
256,-3.25
259,-3.20
261,-3.17
264,-3.12
266,-3.10
269,-3.06
272,-3.03
274,-3.01
277,-2.98
280,-2.95
283,-2.92
286,-2.89
288,-2.87
291,-2.84
294,-2.81
297,-2.78
300,-2.75
303,-2.72
306,-2.70
309,-2.69
312,-2.68
316,-2.66
319,-2.64
322,-2.63
325,-2.62
328,-2.60
332,-2.56
335,-2.54
338,-2.51
342,-2.48
345,-2.45
349,-2.42
352,-2.40
356,-2.39
359,-2.38
363,-2.36
366,-2.35
370,-2.33
374,-2.32
377,-2.30
381,-2.27
385,-2.24
389,-2.21
393,-2.18
397,-2.15
401,-2.12
405,-2.10
409,-2.09
413,-2.07
417,-2.06
421,-2.05
425,-2.03
430,-2.02
434,-2.00
438,-1.99
443,-1.97
447,-1.96
451,-1.95
456,-1.93
460,-1.92
465,-1.90
470,-1.89
474,-1.88
479,-1.86
484,-1.85
489,-1.83
494,-1.82
499,-1.80
504,-1.79
509,-1.78
514,-1.76
519,-1.75
524,-1.73
529,-1.72
535,-1.69
540,-1.67
545,-1.64
551,-1.61
556,-1.58
562,-1.55
568,-1.52
573,-1.51
579,-1.49
585,-1.48
591,-1.46
596,-1.45
602,-1.43
608,-1.42
615,-1.40
621,-1.39
627,-1.38
633,-1.36
639,-1.35
646,-1.33
652,-1.32
659,-1.30
665,-1.29
672,-1.28
679,-1.26
686,-1.25
692,-1.23
699,-1.22
706,-1.19
713,-1.15
721,-1.10
728,-1.06
735,-1.02
742,-0.98
750,-0.93
757,-0.90
765,-0.87
773,-0.84
780,-0.81
788,-0.78
796,-0.75
804,-0.73
812,-0.68
820,-0.63
828,-0.57
837,-0.51
845,-0.45
853,-0.40
862,-0.34
871,-0.30
879,-0.27
888,-0.24
897,-0.21
906,-0.18
915,-0.16
924,-0.13
933,-0.11
943,-0.09
952,-0.08
962,-0.06
971,-0.05
981,-0.03
991,-0.02
1001,0.00
1011,0.03
1021,0.06
1031,0.09
1041,0.11
1052,0.14
1062,0.17
1073,0.20
1084,0.23
1094,0.26
1105,0.29
1116,0.31
1128,0.34
1139,0.37
1150,0.41
1162,0.47
1173,0.53
1185,0.59
1197,0.64
1209,0.70
1221,0.76
1233,0.82
1246,0.90
1258,0.96
1271,1.04
1283,1.10
1296,1.18
1309,1.25
1322,1.33
1335,1.41
1349,1.50
1362,1.58
1376,1.67
1390,1.76
1404,1.84
1418,1.94
1432,2.06
1446,2.17
1461,2.29
1475,2.40
1490,2.51
1505,2.63
1520,2.74
1535,2.85
1550,2.96
1566,3.08
1582,3.20
1597,3.31
1613,3.42
1629,3.53
1646,3.65
1662,3.76
1679,3.88
1696,4.00
1713,4.11
1730,4.22
1747,4.34
1764,4.47
1782,4.60
1800,4.73
1818,4.86
1836,4.98
1854,5.11
1873,5.24
1892,5.37
1911,5.50
1930,5.63
1949,5.75
1969,5.88
1988,6.01
2008,6.15
2028,6.33
2048,6.49
2069,6.67
2090,6.84
2111,7.02
2132,7.19
2153,7.36
2175,7.55
2196,7.73
2218,7.91
2240,8.10
2263,8.29
2285,8.47
2308,8.63
2331,8.74
2355,8.86
2378,8.97
2402,9.09
2426,9.20
2450,9.31
2475,9.43
2500,9.54
2525,9.66
2550,9.77
2575,9.88
2601,10.00
2627,10.11
2653,10.21
2680,10.26
2707,10.32
2734,10.38
2761,10.43
2789,10.49
2817,10.55
2845,10.61
2873,10.66
2902,10.72
2931,10.78
2960,10.83
2990,10.89
3020,10.95
3050,10.99
3080,10.99
3111,10.99
3142,10.99
3174,10.99
3206,10.99
3238,10.99
3270,10.97
3303,10.91
3336,10.85
3369,10.80
3403,10.74
3437,10.68
3471,10.63
3506,10.56
3541,10.49
3576,10.42
3612,10.35
3648,10.28
3685,10.21
3721,10.14
3759,10.06
3796,9.98
3834,9.89
3873,9.80
3911,9.72
3950,9.63
3990,9.55
4030,9.46
4070,9.38
4111,9.29
4152,9.21
4193,9.12
4235,9.03
4278,8.95
4321,8.86
4364,8.78
4407,8.69
4451,8.61
4496,8.52
4541,8.43
4586,8.35
4632,8.26
4679,8.18
4725,8.09
4773,8.01
4820,7.92
4868,7.84
4917,7.75
4966,7.67
5016,7.62
5066,7.56
5117,7.50
5168,7.44
5220,7.39
5272,7.33
5325,7.27
5378,7.22
5432,7.16
5486,7.10
5541,7.04
5596,6.99
5652,6.93
5709,6.87
5766,6.82
5823,6.76
5882,6.70
5940,6.65
6000,6.59
6060,6.53
6120,6.47
6182,6.40
6244,6.33
6306,6.26
6369,6.19
6433,6.11
6497,6.04
6562,5.97
6628,5.90
6694,5.83
6761,5.76
6828,5.69
6897,5.62
6966,5.54
7035,5.46
7106,5.33
7177,5.21
7249,5.08
7321,4.95
7394,4.82
7468,4.69
7543,4.56
7618,4.44
7694,4.31
7771,4.18
7849,4.05
7928,3.92
8007,3.79
8087,3.67
8168,3.55
8250,3.44
8332,3.33
8415,3.21
8499,3.10
8584,2.98
8670,2.87
8757,2.77
8845,2.67
8933,2.57
9022,2.47
9113,2.37
9204,2.27
9296,2.17
9389,2.04
9483,1.91
9577,1.78
9673,1.66
9770,1.53
9868,1.40
9966,1.26
10066,1.08
10167,0.89
10268,0.71
10371,0.52
10475,0.34
10579,0.15
10685,-0.04
10792,-0.25
10900,-0.47
11009,-0.68
11119,-0.89
11230,-1.11
11343,-1.32
11456,-1.53
11571,-1.75
11686,-1.96
11803,-2.18
11921,-2.39
12040,-2.60
12161,-2.82
12282,-3.02
12405,-3.15
12529,-3.28
12655,-3.41
12781,-3.54
12909,-3.67
13038,-3.80
13168,-3.93
13300,-4.08
13433,-4.24
13567,-4.40
13703,-4.55
13840,-4.71
13978,-4.87
14118,-5.03
14259,-5.24
14402,-5.45
14546,-5.67
14692,-5.88
14838,-6.10
14987,-6.31
15137,-6.53
15288,-6.83
15441,-7.13
15595,-7.43
15751,-7.73
15909,-8.03
16068,-8.33
16229,-8.63
16391,-8.91
16555,-9.20
16720,-9.48
16888,-9.77
17056,-10.05
17227,-10.34
17399,-10.62
17573,-10.92
17749,-11.22
17926,-11.52
18106,-11.82
18287,-12.12
18470,-12.42
18654,-12.72
18841,-12.93
19029,-13.14
19220,-13.36
19412,-13.57
19606,-13.79
19802,-14.00
20000,-14.21
