frequency,raw
20,-20.05
21,-19.59
22,-18.89
23,-18.17
24,-17.54
25,-17.12
26,-16.54
27,-16.00
28,-15.50
29,-15.03
30,-14.37
31,-13.96
32,-13.44
33,-13.00
34,-12.52
35,-12.13
36,-11.62
37,-11.36
38,-11.11
39,-10.70
40,-10.44
41,-10.02
42,-9.61
43,-9.33
44,-8.88
45,-8.65
46,-8.36
47,-7.97
48,-7.69
49,-7.38
50,-7.05
51,-6.78
52,-6.50
53,-6.14
54,-6.14
55,-5.91
56,-5.69
57,-5.23
58,-5.00
59,-4.78
60,-4.55
61,-4.55
62,-4.32
63,-4.09
64,-3.77
65,-3.64
66,-3.64
67,-3.41
68,-3.08
69,-2.93
70,-2.72
71,-2.72
72,-2.49
73,-2.27
74,-2.27
75,-2.10
76,-1.98
77,-1.81
78,-1.75
79,-1.58
80,-1.58
81,-1.44
82,-1.36
83,-1.25
84,-1.13
85,-1.13
86,-1.00
87,-0.90
88,-0.85
89,-0.67
90,-0.67
91,-0.67
92,-0.67
93,-0.67
94,-0.48
95,-0.44
96,-0.44
97,-0.44
98,-0.44
99,-0.44
100,-0.22
101,-0.22
102,-0.22
104,-0.22
105,-0.22
106,-0.06
107,0.01
108,0.01
109,0.01
110,0.01
111,0.01
112,0.01
113,0.01
114,0.01
115,0.01
117,0.01
118,0.01
119,0.01
120,0.01
121,0.01
123,0.24
124,0.24
125,0.24
126,0.09
128,0.01
129,0.01
130,0.01
131,0.01
133,0.01
134,0.01
135,0.01
137,0.01
138,0.01
140,0.01
141,0.01
142,0.01
144,0.01
145,0.01
147,-0.22
148,-0.22
150,-0.22
151,-0.22
153,-0.22
154,-0.22
156,-0.22
157,-0.24
159,-0.44
160,-0.44
162,-0.44
164,-0.44
165,-0.44
167,-0.44
169,-0.44
170,-0.51
172,-0.67
174,-0.67
175,-0.67
177,-0.67
179,-0.67
181,-0.79
183,-0.90
184,-0.90
186,-0.90
188,-0.90
190,-1.13
192,-1.13
194,-1.13
196,-1.13
198,-1.13
200,-1.14
202,-1.36
204,-1.36
206,-1.36
208,-1.36
210,-1.36
212,-1.36
214,-1.55
216,-1.58
218,-1.58
221,-1.58
223,-1.58
225,-1.58
227,-1.58
229,-1.74
232,-1.81
234,-1.81
236,-1.81
239,-1.81
241,-1.81
244,-2.04
246,-2.04
248,-2.04
251,-2.04
253,-2.04
256,-2.04
259,-2.04
261,-2.22
264,-2.27
266,-2.27
269,-2.27
272,-2.27
274,-2.27
277,-2.27
280,-2.27
283,-2.50
286,-2.50
288,-2.50
291,-2.50
294,-2.62
297,-2.72
300,-2.92
303,-2.96
306,-3.22
309,-3.47
312,-3.73
316,-4.06
319,-4.09
322,-4.09
325,-4.09
328,-4.09
332,-4.09
335,-4.09
338,-4.09
342,-4.09
345,-4.09
349,-4.09
352,-4.09
356,-4.09
359,-4.09
363,-4.09
366,-4.29
370,-4.32
374,-4.32
377,-4.32
381,-4.43
385,-4.55
389,-4.55
393,-4.56
397,-4.78
401,-4.87
405,-5.00
409,-5.00
413,-5.19
417,-5.23
421,-5.23
425,-5.26
430,-5.46
434,-5.46
438,-5.59
443,-5.69
447,-5.69
451,-5.69
456,-5.69
460,-5.69
465,-5.69
470,-5.69
474,-5.69
479,-5.69
484,-5.69
489,-5.69
494,-5.80
499,-5.91
504,-5.91
509,-5.91
514,-5.91
519,-5.91
524,-5.91
529,-5.91
535,-5.91
540,-5.91
545,-6.11
551,-6.14
556,-6.14
562,-6.14
568,-6.14
573,-6.14
579,-6.33
585,-6.37
591,-6.37
596,-6.37
602,-6.37
608,-6.37
615,-6.37
621,-6.37
627,-6.37
633,-6.37
639,-6.37
646,-6.37
652,-6.50
659,-6.60
665,-6.60
672,-6.60
679,-6.60
686,-6.60
692,-6.50
699,-6.37
706,-6.37
713,-6.37
721,-6.33
728,-6.14
735,-6.14
742,-6.14
750,-5.98
757,-5.91
765,-5.91
773,-5.69
780,-5.63
788,-5.46
796,-5.46
804,-5.37
812,-5.04
820,-4.78
828,-4.74
837,-4.55
845,-4.43
853,-4.18
862,-3.91
871,-3.75
879,-3.39
888,-3.13
