frequency,raw
10,-6.723006171888158
11,-6.660686393868966
12,-6.513933312446186
13,-6.383321640263496
14,-6.373387117830513
15,-6.376368152140837
16,-6.283955081279309
17,-6.289075098035475
18,-6.287423578367749
19,-6.278922234618198
20,-6.2664821726229185
21,-6.254134418262445
22,-6.246061945283966
23,-6.245354680709276
24,-6.252640269809312
25,-6.264962372498642
26,-6.276213329271055
27,-6.279576928224338
28,-6.2710955463112334
29,-6.3529099671452975
30,-6.331007401944609
31,-6.315823697323479
32,-6.315564184697063
33,-6.333026067138963
34,-6.364257990177699
35,-6.400166600155298
36,-6.485721506366119
37,-6.547061902879466
38,-6.446303490045425
39,-6.432513292936935
40,-6.411622737256066
41,-6.290926413475239
42,-6.275582918406264
43,-6.269340330321822
44,-6.220834721552745
45,-6.178134423794209
46,-6.1869970684535325
47,-6.092429120729215
48,-5.991564228940743
49,-5.882816672404725
50,-5.770837698182175
51,-5.7857089887093105
52,-5.829820555282694
53,-5.653589126062432
54,-5.286851415243433
55,-5.144620437686217
56,-4.772308088971135
57,-4.628741596513812
58,-4.312889655539055
59,-4.400389966500057
60,-4.391838059881064
61,-4.44498441255703
62,-4.682172921962908
63,-4.666260483755182
64,-4.753865398431783
65,-4.554118595129665
66,-4.720653311639033
67,-4.698679194836562
68,-4.513399642032022
69,-4.348169356296614
70,-4.216567330769154
71,-4.088080581010171
72,-4.024307406504957
73,-4.0041548628907835
74,-3.926393540434649
75,-3.932146043415011
76,-3.942263866793332
77,-3.9546468831405646
78,-3.967809562261503
79,-4.004321883007272
80,-4.088584891971894
81,-4.091354161504244
82,-4.119101885983279
83,-4.179480012359973
84,-4.166919458490559
85,-4.202654334958813
86,-4.325842546498084
87,-4.324589799418984
88,-4.310656831075134
89,-4.298919633011699
90,-4.364044867848717
91,-4.3927940971654715
92,-4.433211353116319
93,-4.515570297886668
94,-4.530144206059945
95,-4.539502490912872
96,-4.5397867896619
97,-4.531262672328392
98,-4.518514985083428
99,-4.508389244345269
100,-4.506607005040852
101,-4.514791386400787
102,-4.529512865779093
104,-4.543918314581168
105,-4.551101536910771
106,-4.635128572001813
107,-4.661868840976785
108,-4.717453094710587
109,-4.701682420796706
110,-4.692914181823834
111,-4.692922287260519
112,-4.7003848888469655
113,-4.712268997417574
114,-4.725450830592187
115,-4.737696378217679
117,-4.747779626204288
118,-4.7551285251730615
119,-4.759553258196785
120,-4.761298352238075
121,-4.761205017648683
123,-4.760580274884806
124,-4.760606859893079
125,-4.76158816968937
126,-4.762602969820457
128,-4.761968569231735
129,-4.7583628179491315
130,-4.751923071453132
131,-4.744539431545843
133,-4.739014998621371
134,-4.737505475158747
135,-4.740176732734863
137,-4.7449528853008465
138,-4.748575981716234
140,-4.748376367152783
141,-4.7437053812253716
142,-4.736210935133012
144,-4.728872923659979
145,-4.724443695501196
147,-4.724177683723981
148,-4.727396799609851
150,-4.7318631177046235
151,-4.734576199711743
153,-4.732656121311678
154,-4.724202119182127
156,-4.709084153463023
157,-4.689430131804024
159,-4.669377348190166
160,-4.653826238718224
162,-4.646515052246316
164,-4.64833290282246
165,-4.656870461555439
167,-4.667581125595592
169,-4.675960018987836
170,-4.679520273845934
172,-4.678503526626923
174,-4.6750853088546105
175,-4.671742623273827
177,-4.669850587929237
179,-4.669273531552853
181,-4.668994217537276
183,-4.668180742643746
184,-4.666901247402858
186,-4.666012685652955
188,-4.66633328561667
190,-4.667692720821664
192,-4.668549961397135
194,-4.666518750299734
196,-4.659558783771571
198,-4.647139674181406
200,-4.630666330418248
202,-4.612893232882259
204,-4.5966643779238545
206,-4.583697811496485
208,-4.574058880539779
210,-4.566516097911472
212,-4.559471735166111
214,-4.551916525255859
216,-4.5439575756998085
218,-4.536766718234114
221,-4.532071593157223
223,-4.531429713462048
225,-4.535515992885749
227,-4.543622058308542
229,-4.553555026032389
232,-4.562081124285248
234,-4.565899582609054
236,-4.562854285970847
239,-4.55285352727776
241,-4.537991303504897
244,-4.521724950560941
246,-4.507489651452433
248,-4.497472833348285
251,-4.407260774534484
253,-4.390206917837535
256,-4.391583892369417
259,-4.394833194670069
261,-4.399440337920478
264,-4.40486462306105
266,-4.410105058514686
269,-4.413659119223691
272,-4.413983980630707
274,-4.410202839332067
277,-4.402620604006911
280,-4.392702898112605
283,-4.382459262554716
286,-4.373509407701549
288,-4.366331066230682
291,-4.36014725617971
294,-4.353575979040281
297,-4.345682181389254
300,-4.336747435898746
303,-4.328184916530724
306,-4.321576742055589
309,-4.293954658446054
312,-4.214122494585939
316,-4.210494963408972
319,-4.204029561024075
322,-4.194372789270538
325,-4.18316208988613
328,-4.1731458133753705
332,-4.166581373941838
335,-4.163899200237025
338,-4.163415787521759
342,-4.162204449204088
345,-4.101796777537284
349,-3.9711687868325334
352,-3.9335035075737355
356,-3.9175442974715144
359,-3.901146552928056
363,-3.885597599529504
366,-3.8712289990841735
370,-3.8578090648084835
374,-3.8451860262594364
377,-3.833619721195097
381,-3.823513178567773
385,-3.8147854585026373
389,-3.7802117049281967
393,-3.6966847520436192
397,-3.6856283312719254
401,-3.6734265604069765
405,-3.6623556156078854
409,-3.6552512925120006
413,-3.653892223219198
417,-3.65786854675225
421,-3.664735244626054
425,-3.6252505825548833
430,-3.574039716282306
434,-3.571275519882817
438,-3.564412936515296
443,-3.5558166621396374
447,-3.54679405048117
451,-3.5370635112000124
456,-3.404833782847128
460,-3.4002681687486205
465,-3.4155905426603423
470,-3.2966805312777883
474,-3.2437982102177014
479,-3.129475131305058
484,-3.1218760756433865
489,-3.1118012035241183
494,-3.084714043207909
499,-3.053079520911766
504,-2.8793772723479876
509,-2.8491053431263054
514,-2.8583474901597796
519,-2.8752641180503726
524,-2.877465639372873
529,-2.8250017082897734
535,-2.66271623289367
540,-2.5963150702241315
545,-2.6025108836630944
551,-2.64378026561317
556,-2.6432298059690753
562,-2.560038790170354
568,-2.464395712776837
573,-2.516246075491214
579,-2.5415505319287033
585,-2.3363517592111465
591,-2.1654175344484967
596,-2.1722061381746602
602,-2.19318692489082
608,-2.190787403920461
615,-2.19408353360222
621,-2.195303121470473
627,-2.0980222685780494
633,-2.041302403375656
639,-1.951231025024492
646,-1.780120630996834
652,-1.762344598672565
659,-1.8752594238284148
665,-1.8559654276622113
672,-1.7087222088419463
679,-1.625075443674791
686,-1.6289351074656577
692,-1.692242083597442
699,-1.5132363441596364
706,-1.5570825921368718
713,-1.53753821920776
721,-1.3567712062565356
728,-1.178702420956436
735,-1.1783572235355055
742,-1.2885194142342669
750,-1.2123097025310703
757,-1.1648800521515952
765,-1.1956933801933536
773,-1.2245630961734286
780,-1.2440093962877135
788,-1.2508883086091638
796,-1.162577319767954
804,-1.0826208067514278
812,-1.1513165327328942
820,-1.2069307801147506
828,-1.1076329249274168
837,-1.3018303052344757
845,-1.2710033527270355
853,-1.1917308285807913
862,-1.3156798483621368
871,-1.2148147510360259
879,-1.1853015111326923
888,-1.0518964419025485
897,-0.906540916397467
906,-0.7629831449329973
915,-0.6156829710854721
924,-0.5693490165800668
933,-0.5727086919063544
943,-0.6195836475295227
952,-0.5598637744869235
962,-0.29241051596906154
971,-0.19243211028166485
981,-0.12738549226907758
