frequency,raw
20,14.35
21,14.45
22,14.45
23,14.45
24,14.45
25,14.35
26,14.35
27,14.35
28,14.35
29,14.35
30,14.25
31,14.25
32,14.25
33,14.25
34,14.15
35,14.15
36,14.15
37,14.15
38,14.05
39,14.05
40,14.04
41,13.95
42,13.85
43,13.85
44,13.85
45,13.85
46,13.75
47,13.65
48,13.65
49,13.53
50,13.55
51,13.57
52,13.45
53,13.33
54,13.35
55,13.35
56,13.26
57,13.14
58,13.14
59,13.14
60,13.03
61,13.01
62,12.86
63,12.82
64,12.84
65,12.85
66,12.80
67,12.61
68,12.64
69,12.56
70,12.47
71,12.44
72,12.44
73,12.29
74,12.40
75,12.24
76,12.08
77,12.12
78,12.18
79,12.16
80,11.88
81,11.91
82,11.94
83,11.94
84,11.84
85,11.79
86,11.74
87,11.64
88,11.58
89,11.54
90,11.54
91,11.51
92,11.44
93,11.36
94,11.27
95,11.20
96,11.31
97,11.15
98,11.12
99,10.96
100,11.00
101,10.88
102,10.68
104,10.74
105,10.79
106,10.54
107,10.40
108,10.44
109,10.36
110,10.30
111,10.20
112,10.15
113,10.06
114,10.02
115,9.95
117,9.92
118,9.85
119,9.81
120,9.76
121,9.72
123,9.62
124,9.59
125,9.46
126,9.40
128,9.60
129,9.45
130,9.24
131,9.29
133,9.41
134,9.27
135,9.23
137,9.09
138,9.20
140,8.94
141,8.84
142,8.94
144,8.84
145,8.73
147,8.81
148,8.62
150,8.50
151,8.62
153,8.35
154,8.25
156,8.43
157,8.35
159,8.05
160,8.11
162,8.09
164,8.02
165,7.96
167,7.93
169,7.82
170,7.81
172,7.69
174,7.60
175,7.56
177,7.49
179,7.39
181,7.34
183,7.29
184,7.24
186,7.20
188,7.13
190,7.08
192,7.04
194,6.98
196,6.93
198,6.89
200,6.75
202,6.72
204,6.63
206,6.58
208,6.53
210,6.45
212,6.40
214,6.32
216,6.27
218,6.21
221,6.08
223,5.94
225,5.78
227,5.93
229,6.05
232,5.91
234,5.77
236,5.60
239,5.56
241,5.39
244,5.38
246,5.40
248,5.36
251,5.31
253,5.26
256,5.20
259,5.15
261,5.09
264,5.02
266,4.98
269,4.88
272,4.82
274,4.77
277,4.69
280,4.68
283,4.67
286,4.45
288,4.35
291,4.40
294,4.21
297,4.17
300,4.32
303,4.10
306,3.99
309,4.14
312,4.06
316,3.81
319,3.80
322,3.76
325,3.67
328,3.63
332,3.61
335,3.47
338,3.45
342,3.20
345,3.10
349,3.23
352,3.08
356,2.95
359,3.05
363,2.89
366,2.79
370,2.69
374,2.64
377,2.60
381,2.53
385,2.54
389,2.58
393,2.46
397,2.29
401,2.26
405,2.21
409,2.12
413,2.06
417,1.92
421,1.89
425,1.86
430,1.68
434,1.61
438,1.71
443,1.62
447,1.54
451,1.64
456,1.65
460,1.67
465,1.57
470,1.54
474,1.61
479,1.60
484,1.60
489,1.54
494,1.52
499,1.45
504,1.42
509,1.35
514,1.32
519,1.26
524,1.18
529,1.13
535,1.03
540,0.93
545,0.85
551,0.71
556,0.66
562,0.61
568,0.41
573,0.31
579,0.28
585,0.25
591,0.11
596,0.03
602,0.04
608,0.00
615,-0.14
621,-0.12
627,-0.13
633,-0.16
639,-0.20
646,-0.22
652,-0.25
659,-0.20
665,-0.15
672,-0.16
679,-0.15
686,-0.10
692,-0.07
699,-0.14
706,-0.15
713,-0.22
721,-0.23
728,-0.25
735,-0.27
742,-0.30
750,-0.33
757,-0.36
765,-0.38
773,-0.49
780,-0.51
788,-0.51
796,-0.51
804,-0.49
812,-0.40
820,-0.40
828,-0.45
837,-0.50
845,-0.45
853,-0.31
862,-0.30
871,-0.31
879,-0.32
888,-0.21
897,-0.21
906,-0.24
915,-0.25
924,-0.25
933,-0.25
943,-0.27
952,-0.27
962,-0.06
971,-0.02
981,-0.03
991,-0.01
1001,0.00
1011,0.02
1021,0.04
1031,0.05
1041,0.08
1052,0.23
1062,0.28
1073,0.32
1084,0.37
1094,0.42
1105,0.47
1116,0.45
1128,0.45
1139,0.49
1150,0.57
1162,0.61
1173,0.53
