frequency,raw
20,11.35
21,11.17
22,11.55
23,11.39
24,11.49
25,11.59
26,11.35
27,11.70
28,11.79
29,11.79
30,11.89
31,11.89
32,11.89
33,11.89
34,11.89
35,11.89
36,11.89
37,11.89
38,11.89
39,11.89
40,11.89
41,11.89
42,11.89
43,11.89
44,11.89
45,11.89
46,11.89
47,11.55
48,11.79
49,11.79
50,11.79
51,12.00
52,11.69
53,11.36
54,11.59
55,11.59
56,11.59
57,11.59
58,11.76
59,11.33
60,11.39
61,11.39
62,11.39
63,11.38
64,11.28
65,11.19
66,11.19
67,11.19
68,10.82
69,11.30
70,11.11
71,10.78
72,10.70
73,10.94
74,11.15
75,10.78
76,10.42
77,10.62
78,10.68
79,10.68
80,10.93
81,10.36
82,10.42
83,10.48
84,10.42
85,10.36
86,10.28
87,10.28
88,10.27
89,10.18
90,10.11
91,10.08
92,9.95
93,9.70
94,10.07
95,10.27
96,9.93
97,9.72
98,9.48
99,9.98
100,10.02
101,9.52
102,9.28
104,9.54
105,8.99
106,9.04
107,9.21
108,9.38
109,9.21
110,8.69
111,8.85
112,8.96
113,9.18
114,9.06
115,8.53
117,8.60
118,8.60
119,8.56
120,8.51
121,8.46
123,8.36
124,8.33
125,8.34
126,8.35
128,8.26
129,8.24
130,8.17
131,8.16
133,8.06
134,8.00
135,7.98
137,7.72
138,8.06
140,7.79
141,7.79
142,7.72
144,7.69
145,7.62
147,7.24
148,7.52
150,7.53
151,7.09
153,7.41
154,7.55
156,6.84
157,6.94
159,7.33
160,6.97
162,6.74
164,7.14
165,6.81
167,6.37
169,6.84
170,6.96
172,6.61
174,6.24
175,6.49
177,6.58
179,5.93
181,6.39
183,6.26
184,5.89
186,6.02
188,6.31
190,5.70
192,5.89
194,6.16
196,5.56
198,5.58
200,5.81
202,5.63
204,5.75
206,5.69
208,5.13
210,5.30
212,5.35
214,5.28
216,5.35
218,5.46
221,4.79
223,4.79
225,4.95
227,4.88
229,4.85
232,4.76
234,4.87
236,4.78
239,4.63
241,4.34
244,4.17
246,4.43
248,4.46
251,4.39
253,4.35
256,4.30
259,4.23
261,4.14
264,3.90
266,4.00
269,3.64
272,3.66
274,4.07
277,3.70
280,3.38
283,3.89
286,3.54
288,3.29
291,3.44
294,3.15
297,3.11
300,3.57
303,3.09
306,2.89
309,3.34
312,3.10
316,2.73
319,3.16
322,2.89
325,2.42
328,2.83
332,2.75
335,2.21
338,2.48
342,2.43
345,2.06
349,2.17
352,2.28
356,2.11
359,2.06
363,2.01
366,1.93
370,1.89
374,1.84
377,1.77
381,1.73
385,1.66
389,1.59
393,1.55
397,1.47
401,1.40
405,1.36
409,1.26
413,1.21
417,1.07
421,0.83
425,0.52
430,0.98
434,1.14
438,0.54
443,0.47
447,0.80
451,0.81
456,0.81
460,0.79
465,0.80
470,0.80
474,0.79
479,0.79
484,0.75
489,0.71
494,0.62
499,0.59
504,0.57
509,0.50
514,0.46
519,0.41
524,0.41
529,0.40
535,0.30
540,0.23
545,0.10
551,0.00
556,-0.09
562,-0.24
568,-0.34
573,-0.44
579,-0.56
585,-0.60
591,-0.64
596,-0.72
602,-0.77
608,-0.80
615,-0.80
621,-0.87
627,-0.89
633,-0.91
639,-0.61
646,-0.62
652,-0.90
659,-1.17
665,-1.23
672,-0.64
679,-0.48
686,-0.86
692,-0.82
699,-0.79
706,-0.67
713,-0.45
721,-0.79
728,-0.90
735,-0.97
742,-1.25
750,-1.07
757,-0.91
765,-0.93
773,-0.95
780,-0.96
788,-1.29
796,-1.56
804,-1.42
812,-1.39
820,-1.56
828,-1.41
837,-0.82
845,-0.62
853,-1.03
862,-0.58
871,-0.45
879,-0.57
888,-0.45
897,-0.60
906,-1.07
915,-0.70
924,-0.41
933,-0.54
943,-0.47
952,-0.16
962,-0.21
971,-0.05
981,-0.02
991,-0.28
1001,0.03
1011,0.38
1021,0.24
1031,0.00
1041,-0.47
1052,-0.51
1062,-0.44
1073,-0.35
1084,-0.15
1094,0.04
1105,0.15
1116,0.27
1128,0.46
1139,0.49
1150,0.52
1162,0.80
1173,0.87
1185,0.90
1197,1.01
1209,1.12
1221,1.24
1233,1.37
1246,1.50
1258,1.63
1271,1.65
1283,1.76
1296,1.98
1309,1.86
1322,1.91
1335,1.96
1349,2.22
1362,2.40
1376,2.44
1390,2.30
1404,2.10
1418,1.93
1432,1.83
1446,1.87
1461,1.96
1475,1.97
1490,1.95
1505,2.18
1520,2.30
1535,2.46
1550,2.88
1566,2.68
1582,2.70
1597,2.97
1613,3.32
1629,3.34
1646,3.38
1662,3.67
1679,3.97
1696,4.10
1713,4.73
1730,4.75
1747,4.72
1764,5.23
1782,5.37
1800,5.36
1818,5.65
1836,5.97
1854,5.98
1873,6.21
1892,6.54
1911,6.65
1930,6.83
1949,6.91
1969,7.09
1988,7.24
2008,7.48
2028,7.75
2048,8.11
2069,8.26
2090,8.45
2111,8.69
2132,8.81
2153,9.02
2175,9.25
2196,9.42
2218,9.64
2240,9.73
2263,9.91
2285,10.07
2308,10.14
2331,10.13
2355,10.17
2378,10.23
2402,10.19
2426,10.05
2450,10.03
2475,9.98
2500,9.87
2525,9.86
2550,9.81
2575,9.72
2601,9.69
2627,9.69
2653,9.44
2680,9.36
2707,9.37
2734,9.21
2761,9.03
2789,8.99
2817,8.87
2845,8.64
2873,8.42
2902,8.19
2931,7.99
2960,7.72
2990,7.61
3020,7.40
3050,7.32
3080,7.33
3111,7.25
3142,7.22
3174,7.13
3206,7.14
3238,7.19
3270,7.18
3303,7.13
3336,7.20
3369,7.14
3403,7.01
3437,6.87
3471,6.82
3506,6.82
3541,6.98
3576,7.03
3612,6.98
3648,7.01
3685,7.08
3721,7.10
3759,7.14
3796,7.09
3834,7.23
3873,7.31
3911,7.38
3950,7.68
3990,7.97
4030,8.21
4070,8.57
4111,9.07
4152,9.31
4193,9.36
4235,9.53
4278,9.60
4321,9.53
4364,9.72
4407,10.03
4451,10.12
4496,9.80
4541,9.33
4586,8.85
4632,8.03
4679,7.18
4725,6.65
4773,6.16
4820,5.31
4868,4.61
4917,3.82
4966,2.69
5016,1.91
5066,1.40
5117,0.93
5168,0.14
5220,-0.63
5272,-1.10
5325,-1.72
5378,-2.40
5432,-2.75
5486,-3.16
5541,-3.84
5596,-4.21
5652,-4.65
5709,-5.28
5766,-5.74
5823,-6.19
5882,-6.89
5940,-7.36
6000,-7.80
6060,-8.17
6120,-8.57
6182,-9.02
6244,-9.41
6306,-9.75
6369,-10.11
6433,-10.46
6497,-10.86
6562,-11.28
6628,-11.65
6694,-11.95
6761,-12.28
6828,-12.67
6897,-12.93
6966,-13.14
7035,-13.31
7106,-13.48
7177,-13.67
7249,-13.92
7321,-14.10
7394,-14.33
7468,-14.68
7543,-15.00
7618,-14.98
7694,-14.81
7771,-14.80
7849,-14.81
7928,-14.83
8007,-14.77
8087,-14.81
8168,-14.51
8250,-14.28
8332,-14.17
8415,-14.68
8499,-14.90
8584,-15.11
8670,-15.39
8757,-15.32
8845,-14.38
8933,-14.38
9022,-14.65
9113,-14.69
9204,-14.67
9296,-14.78
9389,-15.33
9483,-15.51
9577,-15.58
9673,-15.66
9770,-15.29
9868,-15.03
9966,-14.54
10066,-13.93
10167,-13.38
10268,-13.00
10371,-12.13
10475,-11.58
10579,-10.99
10685,-9.78
10792,-8.86
10900,-8.45
11009,-8.63
11119,-7.31
11230,-5.86
11343,-5.21
11456,-5.55
11571,-6.60
11686,-8.04
11803,-8.95
11921,-9.69
12040,-10.35
12161,-10.69
12282,-11.09
12405,-11.50
12529,-12.11
12655,-13.24
