frequency,raw
20,10.34
21,10.23
22,10.09
23,9.93
24,9.73
25,9.53
26,9.49
27,9.23
28,9.13
29,9.03
30,8.82
31,8.65
32,8.63
33,8.42
34,8.27
35,8.04
36,8.03
37,7.82
38,7.70
39,7.62
40,7.42
41,7.27
42,7.22
43,7.02
44,6.94
45,6.82
46,6.66
47,6.61
48,6.46
49,6.31
50,6.22
51,6.09
52,6.01
53,5.90
54,5.78
55,5.65
56,5.53
57,5.41
58,5.39
59,5.27
60,5.16
61,5.05
62,4.95
63,4.84
64,4.80
65,4.80
66,4.70
67,4.60
68,4.50
69,4.32
70,4.23
71,4.21
72,4.16
73,4.00
74,4.00
75,3.92
76,3.84
77,3.80
78,3.74
79,3.59
80,3.60
81,3.43
82,3.39
83,3.40
84,3.29
85,3.24
86,3.20
87,3.05
88,2.99
89,2.98
90,2.82
91,2.80
92,2.80
93,2.80
94,2.67
95,2.60
96,2.59
97,2.46
98,2.38
99,2.37
100,2.35
101,2.21
102,2.11
104,2.03
105,1.87
106,1.84
107,1.79
108,1.69
109,1.62
110,1.55
111,1.54
112,1.51
113,1.37
114,1.31
115,1.31
117,1.19
118,1.11
119,1.07
120,1.02
121,1.03
123,1.03
124,0.96
125,0.94
126,0.87
128,0.77
129,0.75
130,0.69
131,0.68
133,0.63
134,0.59
135,0.54
137,0.50
138,0.50
140,0.45
141,0.40
142,0.37
144,0.30
145,0.27
147,0.10
148,0.10
150,0.10
151,0.10
153,-0.05
154,-0.10
156,-0.10
157,-0.10
159,-0.20
160,-0.23
162,-0.30
164,-0.32
165,-0.38
167,-0.41
169,-0.52
170,-0.53
172,-0.60
174,-0.64
175,-0.64
177,-0.65
179,-0.75
181,-0.80
183,-0.84
184,-0.83
186,-0.89
188,-0.92
190,-0.99
192,-0.97
194,-0.96
196,-0.94
198,-0.98
200,-1.12
202,-1.12
204,-1.11
206,-1.15
208,-1.30
210,-1.31
212,-1.31
214,-1.32
216,-1.37
218,-1.43
221,-1.53
223,-1.53
225,-1.53
227,-1.56
229,-1.63
232,-1.62
234,-1.64
236,-1.70
239,-1.70
241,-1.76
244,-1.75
246,-1.73
248,-1.73
251,-1.79
253,-1.77
256,-1.83
259,-1.85
261,-1.85
264,-1.86
266,-1.94
269,-1.95
272,-1.95
274,-1.96
277,-2.07
280,-2.16
283,-2.16
286,-2.15
288,-2.14
291,-2.13
294,-2.17
297,-2.21
300,-2.20
303,-2.27
306,-2.27
309,-2.27
312,-2.28
316,-2.36
319,-2.35
322,-2.35
325,-2.36
328,-2.45
332,-2.52
335,-2.56
338,-2.56
342,-2.56
345,-2.56
349,-2.56
352,-2.63
356,-2.66
359,-2.66
363,-2.65
366,-2.64
370,-2.64
374,-2.68
377,-2.72
381,-2.79
385,-2.81
389,-2.80
393,-2.80
397,-2.82
401,-2.92
405,-2.91
409,-2.91
413,-2.91
417,-2.91
421,-2.91
425,-3.01
430,-3.02
434,-2.97
438,-2.94
443,-2.91
447,-2.86
451,-2.81
456,-2.73
460,-2.65
465,-2.76
470,-2.81
474,-2.73
479,-2.66
484,-2.61
489,-2.57
494,-2.54
499,-2.51
504,-2.49
509,-2.47
514,-2.46
519,-2.59
524,-2.60
529,-2.57
535,-2.59
540,-2.62
545,-2.66
551,-2.70
556,-2.75
562,-2.81
568,-2.85
573,-2.90
579,-2.75
585,-2.78
591,-2.87
596,-2.88
602,-2.87
608,-2.86
615,-2.85
621,-2.82
627,-2.80
633,-2.77
639,-2.74
646,-2.70
652,-2.66
659,-2.61
665,-2.56
672,-2.51
679,-2.47
686,-2.49
692,-2.45
699,-2.24
706,-2.23
713,-2.20
721,-2.13
728,-2.08
735,-2.07
742,-2.10
750,-2.19
757,-2.22
765,-1.94
773,-2.01
780,-2.07
788,-1.98
796,-1.86
804,-1.81
812,-1.77
820,-1.70
828,-1.64
837,-1.60
845,-1.54
853,-1.42
862,-1.36
871,-1.27
879,-1.17
888,-1.10
897,-1.04
906,-0.93
915,-0.95
924,-0.92
933,-0.76
943,-0.65
952,-0.50
962,-0.44
971,-0.45
981,-0.30
991,-0.11
1001,0.01
1011,0.01
1021,0.16
1031,0.33
1041,0.52
1052,0.54
1062,0.61
1073,0.83
1084,0.91
1094,1.04
1105,1.21
1116,1.40
1128,1.47
1139,1.50
1150,1.58
1162,1.76
1173,1.91
1185,2.08
1197,2.17
1209,2.16
1221,2.25
1233,2.43
1246,2.56
1258,2.80
1271,3.01
1283,3.09
1296,3.23
1309,3.30
1322,3.33
1335,3.55
1349,3.73
1362,3.88
1376,4.03
1390,4.19
1404,4.42
1418,4.46
1432,4.49
1446,4.61
1461,4.73
1475,4.84
1490,4.87
1505,4.98
1520,5.33
1535,5.49
1550,5.56
1566,5.64
1582,5.78
1597,6.03
1613,6.19
1629,6.39
1646,6.60
1662,6.76
1679,6.97
1696,7.24
1713,7.46
1730,7.63
1747,7.86
1764,8.10
1782,8.31
1800,8.60
1818,8.82
1836,8.95
1854,9.18
1873,9.41
1892,9.61
1911,9.78
1930,10.07
1949,10.42
1969,10.55
1988,10.75
2008,11.11
2028,11.24
2048,11.40
2069,11.66
2090,11.89
2111,12.16
2132,12.31
2153,12.55
2175,12.72
2196,12.90
2218,13.08
2240,13.09
2263,13.27
2285,13.52
2308,13.62
2331,13.71
2355,13.84
2378,13.84
2402,13.87
2426,13.85
2450,13.84
2475,13.73
2500,13.71
2525,13.81
2550,13.87
2575,13.85
2601,13.94
2627,14.29
2653,14.57
2680,14.45
2707,14.46
2734,14.52
2761,14.50
2789,14.48
2817,14.58
2845,14.77
2873,14.80
2902,14.74
2931,14.70
2960,14.86
2990,14.91
3020,14.95
3050,15.07
3080,15.22
3111,15.66
3142,15.70
3174,15.95
3206,16.01
3238,16.01
3270,15.81
3303,15.60
3336,15.21
3369,14.67
3403,14.15
3437,13.68
3471,12.99
3506,12.28
3541,11.81
3576,11.28
3612,10.46
3648,9.92
3685,9.28
3721,8.31
3759,7.60
3796,6.83
3834,6.27
3873,5.78
3911,5.12
3950,4.69
3990,4.32
4030,4.07
4070,3.67
4111,3.34
4152,3.15
4193,3.06
4235,2.89
4278,2.76
4321,2.66
4364,2.47
4407,2.53
4451,2.49
4496,2.48
4541,2.52
4586,2.55
4632,2.46
4679,2.37
4725,2.22
4773,2.07
4820,1.97
4868,1.82
4917,1.61
4966,1.41
5016,1.14
5066,0.90
5117,0.72
5168,0.53
5220,0.28
5272,0.12
5325,-0.07
5378,-0.26
5432,-0.44
5486,-0.54
5541,-0.67
5596,-0.80
5652,-0.98
5709,-1.25
5766,-1.46
5823,-1.79
5882,-2.06
5940,-2.15
6000,-2.36
6060,-2.49
6120,-2.68
6182,-2.85
6244,-3.00
6306,-2.99
6369,-3.09
6433,-3.30
6497,-3.42
6562,-3.52
6628,-3.74
6694,-3.85
6761,-3.84
6828,-3.94
6897,-3.97
6966,-3.77
7035,-3.70
7106,-3.65
7177,-3.46
7249,-3.41
7321,-3.35
7394,-3.28
7468,-3.22
7543,-3.12
7618,-3.05
7694,-2.89
7771,-2.65
7849,-2.46
7928,-2.15
8007,-1.83
8087,-1.16
8168,-0.65
8250,-0.04
8332,0.63
8415,1.14
8499,1.84
8584,2.41
8670,2.55
8757,2.68
8845,2.61
8933,2.62
9022,2.83
9113,3.56
9204,4.09
9296,4.89
9389,5.85
9483,6.86
9577,7.55
9673,8.23
9770,8.93
9868,9.57
9966,9.73
10066,9.67
10167,10.11
10268,10.28
10371,10.70
10475,11.13
10579,11.24
10685,11.02
10792,10.75
10900,10.57
11009,10.37
11119,10.15
11230,9.91
11343,9.38
11456,8.96
11571,7.82
11686,7.06
11803,6.37
11921,5.12
12040,4.25
12161,3.73
12282,3.24
12405,2.51
12529,2.04
12655,2.37
12781,1.77
12909,1.37
13038,0.85
13168,0.25
13300,-0.23
13433,-0.81
13567,-1.52
13703,-2.22
13840,-2.56
13978,-2.81
14118,-3.57
14259,-4.35
14402,-5.27
14546,-6.54
14692,-7.70
14838,-8.65
14987,-9.93
15137,-11.37
15288,-12.17
15441,-13.59
15595,-14.84
15751,-15.55
15909,-16.78
16068,-17.63
16229,-18.12
16391,-18.58
16555,-18.88
16720,-19.00
16888,-19.23
17056,-19.24
17227,-19.34
17399,-19.62
17573,-19.78
17749,-19.70
17926,-19.61
18106,-19.07
18287,-19.56
18470,-19.38
18654,-18.14
18841,-16.68
19029,-15.03
19220,-14.12
19412,-12.47
19606,-11.43
19802,-9.70
20000,-8.41
