frequency,raw
20,-0.54
21,-0.34
22,-0.13
23,0.07
24,0.27
25,0.42
26,0.47
27,0.67
28,0.77
29,0.87
30,0.97
31,1.07
32,1.17
33,1.21
34,1.27
35,1.37
36,1.42
37,1.48
38,1.58
39,1.58
40,1.68
41,1.68
42,1.68
43,1.68
44,1.78
45,1.78
46,1.88
47,1.88
48,1.88
49,1.88
50,1.88
51,1.88
52,1.88
53,1.88
54,1.88
55,1.88
56,1.88
57,1.88
58,1.88
59,1.88
60,1.88
61,1.90
62,1.98
63,1.98
64,1.98
65,1.98
66,1.98
67,1.98
68,1.98
69,1.98
70,1.98
71,1.88
72,1.88
73,1.88
74,1.88
75,1.88
76,1.88
77,1.88
78,1.88
79,1.88
80,1.88
81,1.88
82,1.88
83,1.80
84,1.78
85,1.78
86,1.78
87,1.78
88,1.78
89,1.78
90,1.78
91,1.78
92,1.78
93,1.78
94,1.78
95,1.78
96,1.78
97,1.77
98,1.75
99,1.65
100,1.64
101,1.57
102,1.50
104,1.48
105,1.46
106,1.43
107,1.41
108,1.38
109,1.36
110,1.34
111,1.33
112,1.31
113,1.31
114,1.30
115,1.30
117,1.30
118,1.26
119,1.21
120,1.16
121,1.12
123,1.13
124,1.14
125,1.14
126,1.15
128,1.16
129,1.16
130,1.17
131,1.17
133,1.18
134,1.18
135,1.15
137,1.09
138,1.09
140,0.99
141,1.00
142,1.00
144,1.00
145,1.00
147,1.00
148,1.00
150,1.00
151,1.00
153,1.00
154,1.00
156,0.90
157,0.90
159,0.90
160,0.90
162,0.87
164,0.79
165,0.79
167,0.78
169,0.78
170,0.77
172,0.77
174,0.76
175,0.75
177,0.72
179,0.65
181,0.65
183,0.66
184,0.67
186,0.68
188,0.69
190,0.65
192,0.63
194,0.64
196,0.66
198,0.67
200,0.68
202,0.68
204,0.60
206,0.59
208,0.59
210,0.59
212,0.58
214,0.49
216,0.48
218,0.47
221,0.47
223,0.47
225,0.47
227,0.47
229,0.47
232,0.46
234,0.39
236,0.40
239,0.42
241,0.44
244,0.40
246,0.38
248,0.40
251,0.41
253,0.43
256,0.44
259,0.45
261,0.46
264,0.46
266,0.46
269,0.45
272,0.35
274,0.33
277,0.24
280,0.24
283,0.25
286,0.25
288,0.26
291,0.27
294,0.28
297,0.30
300,0.31
303,0.29
306,0.23
309,0.24
312,0.24
316,0.25
319,0.25
322,0.23
325,0.15
328,0.15
332,0.05
335,0.05
338,0.04
342,0.04
345,0.04
349,0.04
352,0.04
356,0.05
359,0.05
363,-0.00
366,-0.04
370,-0.03
374,-0.02
377,-0.09
381,-0.11
385,-0.10
389,-0.10
393,-0.11
397,-0.19
401,-0.19
405,-0.20
409,-0.25
413,-0.30
417,-0.31
421,-0.30
425,-0.30
430,-0.29
434,-0.27
438,-0.24
443,-0.29
447,-0.36
451,-0.31
456,-0.25
460,-0.19
465,-0.13
470,-0.06
474,-0.01
479,0.05
484,0.09
489,0.13
494,0.11
499,0.09
504,0.02
509,0.04
514,0.05
519,0.05
524,0.05
529,0.02
535,-0.08
540,-0.11
545,-0.15
551,-0.20
556,-0.25
562,-0.30
568,-0.50
573,-0.59
579,-0.63
585,-0.65
591,-0.67
596,-0.67
602,-0.67
608,-0.66
615,-0.64
621,-0.67
627,-0.70
633,-0.75
639,-0.74
646,-0.70
652,-0.65
659,-0.61
665,-0.56
672,-0.50
679,-0.45
686,-0.41
692,-0.41
699,-0.44
706,-0.43
713,-0.43
721,-0.43
728,-0.45
735,-0.48
742,-0.50
750,-0.53
757,-0.56
765,-0.58
773,-0.60
780,-0.51
788,-0.51
796,-0.55
804,-0.61
812,-0.61
820,-0.50
828,-0.50
837,-0.40
845,-0.40
853,-0.40
862,-0.41
871,-0.33
879,-0.32
888,-0.33
897,-0.34
906,-0.34
915,-0.28
924,-0.25
933,-0.26
943,-0.26
952,-0.25
962,-0.15
971,-0.14
981,-0.10
991,-0.02
1001,0.00
1011,0.02
1021,0.04
1031,0.07
1041,0.10
1052,0.13
1062,0.22
1073,0.32
1084,0.37
1094,0.42
1105,0.41
1116,0.42
