frequency,raw
20,-5.803317432336242
21,-5.46691799346505
22,-5.392819437866956
23,-5.293364274456779
24,-5.196945541674403
25,-5.004108076109663
26,-4.907689343327284
27,-4.907689343327282
28,-4.811270610544911
29,-4.811270610544909
30,-4.72764744747699
31,-4.714851877762539
32,-4.703078364474106
33,-4.502730665641327
34,-4.425595679415431
35,-4.329176946633063
36,-4.329176946633063
37,-4.204656951220626
38,-4.232758213850692
39,-4.232758213850692
40,-4.194190720737778
41,-4.329176946633279
42,-4.329176946633197
43,-4.329176946631588
44,-4.329176946627974
45,-4.3291769466273555
46,-4.329176946643248
47,-4.32917694668703
48,-4.344648033402221
49,-4.425595679486666
50,-4.420920542801082
51,-4.329176945909691
52,-4.3291769452977595
53,-4.329176945319661
54,-4.329176947096531
55,-4.329176951588446
56,-4.32917695842795
57,-4.323317618115531
58,-4.2327582300080895
59,-4.232758210725911
60,-4.232758164800264
61,-4.232758091875649
62,-4.232758011198596
63,-4.23275797195219
64,-4.232758055840448
65,-4.232758362224533
66,-4.232758966870031
67,-4.23275985172131
68,-4.232760815995371
69,-4.232761397080079
70,-4.232760848732143
71,-4.232758236344942
72,-4.232752704524467
73,-4.232743941276299
74,-4.2327328008263425
75,-4.232721957438336
76,-4.2746206944253755
77,-4.329141925044004
78,-4.329169695636469
79,-4.329226272141467
80,-4.329315725198412
81,-4.329434282522282
82,-4.3295660354420225
83,-4.329679461696236
84,-4.329726124072409
85,-4.329642976644556
86,-4.329359458109148
87,-4.32880992870969
88,-4.327951048943135
89,-4.366380606435203
90,-4.421787310815009
91,-4.42027504801493
92,-4.418906143709957
93,-4.418017838929256
94,-4.418030949807476
95,-4.419424010254136
96,-4.422694871814294
97,-4.428313205478837
98,-4.4366691010683805
99,-4.448023977076615
100,-4.462470082223109
101,-4.479903963438839
102,-4.500017559424824
104,-4.522308368030208
105,-4.546107822693763
106,-4.570624965545722
107,-4.59500098672153
108,-4.618369341394805
109,-4.63991595437923
110,-4.658934367394132
111,-4.674871405353079
112,-4.687359876197176
113,-4.696235883341567
114,-4.701539504095968
115,-4.703498894310506
117,-4.702499326476114
118,-4.699040195815378
119,-4.693684457852995
120,-4.687006031332898
121,-4.679541147312259
123,-4.768167982930912
124,-4.760406519951842
125,-4.752921896907152
126,-4.745856334686532
128,-4.739267810011301
129,-4.7331582193685895
130,-4.727503810919194
131,-4.722282019345338
133,-4.717490072717354
134,-4.7131527977578145
135,-4.709319450331574
137,-4.70605162915106
138,-4.703405948413774
140,-4.7014158596200515
141,-4.70007676026077
142,-4.699337487031537
144,-4.699099811394744
145,-4.6992260315993635
147,-4.6995535132757995
148,-4.699914226842764
150,-4.700156937094057
151,-4.700169570308947
153,-4.699899265618869
154,-4.699367620244247
156,-4.698678654591379
157,-4.6980171410541995
159,-4.697635348933296
160,-4.697827179270678
162,-4.698890230975823
164,-4.70107849413262
165,-4.752760164008395
167,-4.709322301840211
169,-4.71522759231917
170,-4.721903762214762
172,-4.728799998983268
174,-4.807088150985471
175,-4.8367910233984315
177,-4.8399099917392014
179,-4.840320124138929
181,-4.837545212748814
183,-4.831378031089484
184,-4.821921117384579
186,-4.904730839443323
188,-4.8914789322502905
190,-4.875634186490925
192,-4.859441093451262
194,-4.843852350753607
196,-4.829703575709148
198,-4.817635833766913
200,-4.808051413439987
202,-4.801106253444346
204,-4.796735449019833
206,-4.7947023790974965
208,-4.794658412372421
210,-4.796199546534772
212,-4.798908732002895
214,-4.802377417377956
216,-4.806205897273464
218,-4.8099879319065115
221,-4.813289463534803
223,-4.815633052670392
225,-4.816498478068636
227,-4.815346071672934
229,-4.811663683504612
232,-4.80503198206764
234,-4.795197479945675
236,-4.78213941278393
239,-4.7661161328060855
241,-4.7476791625986605
244,-4.727648030372251
246,-4.695640922788958
248,-4.604020731743421
251,-4.5722061331700035
253,-4.556479049053418
256,-4.54412659928662
259,-4.439122790180732
261,-4.434318410740215
264,-4.432928748795835
266,-4.434253847025658
269,-4.437344118545928
272,-4.441112519805906
274,-4.444460014680268
277,-4.446398497315388
280,-4.446156149261917
283,-4.443252927185997
286,-4.437538104080467
288,-4.4291869604858025
291,-4.418659164716547
294,-4.406626348946651
297,-4.393880166968443
300,-4.351182888759642
303,-4.273013945373113
306,-4.262659583583559
309,-4.254166453477811
312,-4.247742549744202
316,-4.243399205770781
319,-4.2409818044177525
322,-4.240213238400157
325,-4.240740904963018
328,-4.242179191424729
332,-4.244142050457584
335,-4.246263652018152
338,-4.248208391028391
342,-4.249673968368244
345,-4.2503923476435
349,-4.250132985509876
352,-4.2487110882832475
356,-4.245804781037171
359,-4.16758141823797
363,-4.140198737567285
366,-4.133721828489612
370,-4.126368610104503
374,-4.11850642109779
377,-4.11058739040466
381,-4.103116198974907
385,-4.096606160529132
389,-4.0308703651845175
393,-3.9918172766518594
397,-3.9905098758509463
401,-3.9911403533434466
405,-3.9933740854289166
409,-3.996547953942802
413,-3.9996605594213253
417,-4.00140120416556
421,-4.000225334766853
425,-3.9475420990359646
430,-3.886142263797715
434,-3.8667022031220033
438,-3.8388254364973697
443,-3.8021981292518405
447,-3.7572069929812733
451,-3.6387128034344696
456,-3.5507519834480505
460,-3.4896261398661332
465,-3.427551655042847
470,-3.2733187187150974
474,-3.213115374090782
479,-3.1606571234173595
484,-3.1139448302214308
489,-3.0732980230025526
494,-3.038620541025813
499,-3.0096277340804303
504,-2.9860982351148713
509,-2.968088103184515
514,-2.956050684804911
519,-2.8544060506028903
524,-2.857064370514425
529,-2.868647455400477
535,-2.8898378361925894
540,-2.9206476116241498
545,-3.024019611756663
551,-3.122032241186631
556,-3.1576797880070817
562,-3.205168033728583
568,-3.254086222681444
573,-3.297221059715757
579,-3.3320551131280634
585,-3.3570378007001325
591,-3.371689398157484
596,-3.376506618047283
602,-3.3555823967934946
608,-3.41757058895792
615,-3.5566517452115045
621,-3.517162961231599
627,-3.492238603131123
633,-3.4826523872681623
639,-3.4341058271961553
646,-3.1800797735557036
652,-3.1402384110282444
659,-3.109057516669346
665,-2.982539520921681
672,-2.886400323408672
679,-2.7712060936853566
686,-2.737402948043222
692,-2.6484628807464743
699,-2.4406714431134535
706,-2.4566889171407276
713,-2.4599857731552484
721,-2.3522627238242197
728,-2.3616554457569072
735,-2.30158826576798
742,-2.2943257980922476
750,-2.1499484748315796
757,-2.090965432774826
765,-2.1191829384472913
773,-2.0677390331590644
780,-1.958751898532965
788,-1.921969306243373
796,-1.7850642339537697
804,-1.6940624643435038
812,-1.6597781207229196
820,-1.5599390229680588
828,-1.5074222069842398
837,-1.4215328949258448
845,-1.3623114556487805
853,-1.2584011348207405
862,-1.171026808504927
871,-1.0405238165608872
879,-1.0132314566910265
888,-0.9794973370454301
897,-0.8980617318464457
906,-0.768373899621477
915,-0.7389230779893599
924,-0.7426883746951161
933,-0.7127109367740847
943,-0.5701133445197144
952,-0.4528336891223206
962,-0.33855934931028375
971,-0.24905831508208093
981,-0.14859087302320279
991,-0.0943193582501617
1001,0.010427485081650034
1011,0.1843448301796999
1021,0.3331683927940633
1031,0.43840577308908557
1041,0.5410620493470055
1052,0.6008544170624252
1062,0.6795176267443337
1073,0.7808257664345571
1084,0.829568179629541
1094,0.9241085406472904
1105,1.0381976772306625
1116,1.1261127498967194
1128,1.2638768752955858
1139,1.4504741625365867
1150,1.5678992540643804
1162,1.7027492976755294
1173,1.7143009990905917
1185,1.7812987870592032
1197,1.905148553492319
1209,2.0012889856272538
1221,2.1178895571337466
1233,2.3460801960753344
1246,2.4902277144017706
1258,2.6044020213909187
1271,2.654413345287968
1283,2.664468394572157
1296,2.589627902689016
