frequency,raw
20,-5.20
21,-4.61
22,-4.23
23,-3.68
24,-3.40
25,-2.83
26,-2.48
27,-2.20
28,-1.77
29,-1.65
30,-1.28
31,-1.20
32,-0.93
33,-0.62
34,-0.37
35,-0.21
36,-0.08
37,0.06
38,0.29
39,0.31
40,0.47
41,0.68
42,0.69
43,0.81
44,0.99
45,1.03
46,1.23
47,1.20
48,1.08
49,1.45
50,1.37
51,1.37
52,1.40
53,1.54
54,1.46
55,1.46
56,1.46
57,1.46
58,1.46
59,1.46
60,1.46
61,1.28
62,1.33
63,1.37
64,1.37
65,1.37
66,1.12
67,1.25
68,1.27
69,1.27
70,1.27
71,1.00
72,1.17
73,1.08
74,0.98
75,0.98
76,0.90
77,0.88
78,0.69
79,0.60
80,0.85
81,0.59
82,0.36
83,0.30
84,0.52
85,0.69
86,0.47
87,0.40
88,0.40
89,0.23
90,0.23
91,0.50
92,0.50
93,0.43
94,0.36
95,0.40
96,0.41
97,0.52
98,0.65
99,0.88
100,0.88
101,0.89
102,0.92
104,1.26
105,1.33
106,1.35
107,1.51
108,1.51
109,1.54
110,1.58
111,1.70
112,1.78
113,1.84
114,1.84
115,1.84
117,2.00
118,2.16
119,2.21
120,2.29
121,2.43
123,2.68
124,2.77
125,2.88
126,2.98
128,3.20
129,3.27
130,3.31
131,3.42
133,3.63
134,3.68
135,3.74
137,3.79
138,3.86
140,3.78
141,3.75
142,3.74
144,3.64
145,3.62
147,3.50
148,3.48
150,3.44
151,3.19
153,2.93
154,2.83
156,2.51
157,2.34
159,1.59
160,1.39
162,0.83
164,0.43
165,0.27
167,0.04
169,-0.09
170,0.13
172,0.54
174,0.71
175,0.83
177,1.08
179,1.33
181,1.59
183,1.56
184,1.60
186,1.49
188,1.47
190,1.76
192,1.44
194,1.46
196,1.63
198,1.36
200,1.10
202,0.94
204,0.81
206,0.74
208,0.61
210,0.49
212,0.41
214,0.25
216,0.03
218,-0.13
221,-0.35
223,-0.48
225,-0.60
227,-0.71
229,-0.82
232,-1.04
234,-1.18
236,-1.37
239,-1.48
241,-1.58
244,-1.72
246,-1.81
248,-1.86
251,-1.91
253,-1.93
256,-2.25
259,-2.43
261,-2.46
264,-2.61
266,-2.69
269,-2.82
272,-3.00
274,-3.14
277,-3.28
280,-3.44
283,-3.63
286,-3.52
288,-3.53
291,-3.49
294,-3.72
297,-3.85
300,-3.89
303,-3.82
306,-3.89
309,-3.97
312,-4.06
316,-3.96
319,-3.91
322,-4.09
325,-4.14
328,-4.14
332,-4.37
335,-4.33
338,-4.24
342,-4.24
345,-4.24
349,-4.14
352,-4.11
356,-4.45
359,-4.45
363,-4.23
366,-4.01
370,-4.00
374,-4.11
377,-4.10
381,-4.15
385,-4.21
389,-4.15
393,-3.99
397,-3.98
401,-3.94
405,-3.89
409,-3.82
413,-3.80
417,-3.80
421,-3.72
425,-3.68
430,-3.59
434,-3.64
438,-3.64
443,-3.30
447,-3.21
451,-3.29
456,-3.17
460,-2.91
465,-2.76
470,-2.76
474,-2.66
479,-2.35
484,-2.33
489,-2.27
494,-2.07
499,-2.04
504,-1.91
509,-1.80
514,-1.73
519,-1.52
524,-1.59
529,-1.63
535,-1.59
540,-1.44
545,-1.39
551,-1.44
556,-1.33
562,-1.36
568,-1.31
573,-1.30
579,-1.28
585,-1.18
591,-1.13
596,-0.96
602,-0.82
608,-0.88
615,-0.79
621,-0.62
627,-0.51
633,-0.38
639,-0.34
646,-0.19
652,-0.06
659,0.12
665,0.25
672,0.36
679,0.54
686,0.73
692,0.79
699,0.89
706,1.06
713,1.10
721,1.19
728,1.21
735,1.27
742,1.28
750,1.42
757,1.48
765,1.51
773,1.54
780,1.53
788,1.60
796,1.62
804,1.64
812,1.72
820,1.73
828,1.73
837,1.73
845,1.73
853,1.72
862,1.57
871,1.47
879,1.43
888,1.41
897,1.31
906,1.24
915,1.19
924,1.05
933,0.89
943,0.73
952,0.61
962,0.51
971,0.39
981,0.26
991,0.15
1001,-0.02
1011,-0.17
1021,-0.33
1031,-0.52
1041,-0.66
1052,-0.86
1062,-0.98
1073,-1.11
1084,-1.20
1094,-1.27
1105,-1.38
1116,-1.57
1128,-1.78
1139,-1.90
1150,-2.00
1162,-2.13
1173,-2.26
1185,-2.34
1197,-2.49
1209,-2.63
1221,-2.72
1233,-2.81
1246,-2.96
1258,-3.12
1271,-3.19
1283,-3.21
1296,-3.38
1309,-3.46
1322,-3.48
1335,-3.56
1349,-3.69
1362,-3.75
1376,-3.74
1390,-3.85
1404,-3.95
1418,-4.37
1432,-4.41
1446,-4.80
1461,-4.68
1475,-4.70
1490,-4.76
1505,-4.70
1520,-4.64
1535,-4.68
1550,-4.72
1566,-4.70
1582,-4.68
1597,-4.72
1613,-4.61
1629,-4.50
1646,-4.61
1662,-4.57
1679,-4.46
1696,-4.23
1713,-4.15
1730,-4.07
1747,-3.98
1764,-3.89
1782,-3.85
1800,-3.68
1818,-3.49
1836,-3.45
1854,-3.30
1873,-3.19
1892,-3.23
1911,-3.19
1930,-3.14
1949,-3.06
1969,-3.00
1988,-2.90
2008,-2.83
2028,-2.80
2048,-2.80
2069,-2.68
2090,-2.55
2111,-2.45
2132,-2.37
2153,-2.22
2175,-2.14
2196,-2.00
2218,-1.93
2240,-1.70
2263,-1.57
2285,-1.36
2308,-1.13
2331,-0.89
2355,-0.65
2378,-0.41
2402,-0.16
2426,0.08
2450,0.40
2475,0.78
2500,0.91
2525,1.09
2550,1.39
2575,1.67
2601,1.97
2627,2.13
2653,2.36
2680,2.70
2707,2.94
2734,3.20
2761,3.39
2789,3.61
2817,3.89
2845,4.18
2873,4.41
2902,4.60
2931,4.94
2960,5.34
2990,5.57
3020,5.75
3050,6.17
3080,6.44
3111,6.78
3142,7.21
3174,7.61
3206,7.92
3238,8.23
3270,8.67
3303,9.02
3336,9.20
3369,9.46
3403,9.87
3437,9.99
3471,10.28
3506,10.58
3541,10.90
3576,10.93
3612,11.10
3648,11.26
3685,11.23
3721,10.97
3759,10.57
3796,9.94
3834,9.51
3873,9.13
3911,8.78
3950,8.40
3990,8.04
4030,7.67
4070,7.26
4111,6.82
4152,6.40
4193,6.05
4235,5.65
4278,5.26
4321,4.79
4364,4.50
4407,4.19
4451,3.79
4496,3.37
4541,3.02
4586,2.66
4632,2.27
4679,1.85
4725,1.59
4773,1.23
4820,0.86
4868,0.30
4917,-0.02
4966,-0.67
5016,-1.27
5066,-1.60
5117,-2.19
5168,-2.81
5220,-3.38
5272,-3.81
5325,-4.03
5378,-4.40
5432,-3.16
5486,-2.46
5541,-1.07
5596,-0.03
5652,1.17
5709,1.53
5766,1.93
5823,1.95
5882,1.80
5940,1.86
6000,1.42
6060,1.22
6120,0.74
6182,-0.09
6244,-1.11
6306,-1.91
6369,-2.48
6433,-2.92
6497,-2.95
6562,-3.19
6628,-3.64
6694,-3.96
6761,-4.36
6828,-4.40
6897,-4.66
6966,-4.89
7035,-5.26
7106,-5.87
7177,-6.41
7249,-6.93
7321,-7.28
7394,-7.54
7468,-7.51
7543,-7.50
7618,-7.82
7694,-7.79
7771,-7.55
7849,-7.10
7928,-7.00
8007,-6.96
8087,-7.02
8168,-6.82
8250,-6.30
8332,-5.63
8415,-4.96
8499,-3.42
8584,-2.60
8670,-2.23
8757,-1.90
8845,-1.50
8933,-1.12
9022,-0.83
9113,-0.63
9204,-0.84
9296,-1.34
9389,-2.69
9483,-3.38
9577,-5.42
9673,-6.94
9770,-7.86
9868,-9.04
9966,-9.58
10066,-9.63
10167,-9.47
10268,-9.21
10371,-8.47
10475,-7.41
10579,-6.78
10685,-6.26
10792,-5.81
10900,-6.48
11009,-6.66
11119,-5.80
11230,-5.18
11343,-4.73
11456,-4.38
11571,-4.25
11686,-4.11
11803,-4.01
11921,-3.66
12040,-3.37
12161,-2.85
12282,-2.28
12405,-2.30
12529,-2.59
12655,-2.92
12781,-3.45
12909,-3.98
13038,-4.60
13168,-4.96
13300,-5.75
13433,-6.98
13567,-8.43
13703,-8.75
13840,-8.56
13978,-8.94
14118,-9.71
14259,-10.11
14402,-9.66
14546,-8.60
14692,-9.27
14838,-9.49
14987,-9.51
15137,-10.18
15288,-10.16
15441,-9.91
15595,-9.78
15751,-9.81
15909,-10.80
16068,-12.05
16229,-13.34
16391,-15.22
16555,-16.68
16720,-16.59
16888,-16.40
17056,-15.94
17227,-15.45
17399,-14.73
17573,-13.58
17749,-13.10
17926,-12.50
18106,-11.92
18287,-11.81
18470,-12.28
18654,-10.90
18841,-10.19
19029,-9.08
19220,-9.40
19412,-9.87
19606,-10.06
19802,-10.79
20000,-12.06
