frequency,raw
10,-11.06662612545204
11,-10.136537752391522
12,-9.421786897671687
13,-8.638228785650547
14,-8.052272080251939
15,-7.724246574232224
16,-7.43894104605246
17,-7.058386131679152
18,-6.6048647753464635
19,-6.296167152559393
20,-6.038276343266136
21,-5.789285672291794
22,-5.657466590880681
23,-5.39483100360915
24,-5.2092791271444465
25,-5.02876376426904
26,-4.943595988259082
27,-4.754122121647628
28,-4.649222006952153
29,-4.534042982360168
30,-4.319302951594739
31,-4.30411924697361
32,-4.111022268782458
33,-4.084587979849323
34,-3.9668786086983547
35,-3.9353734980568937
36,-3.8400003883790355
37,-3.8562703431917043
38,-3.7596679102189725
39,-3.649458980328115
40,-3.6285684246472463
41,-3.511480387360403
42,-3.400265852876385
43,-3.3940232647919433
44,-3.3959677040957716
45,-3.3176421977252444
46,-3.219417250002593
47,-3.225424014921952
48,-3.2251338357771573
49,-3.2169609918848203
50,-3.2017589217790174
51,-3.0862220574487966
52,-2.9711274091980537
53,-2.9570083706988806
54,-2.9499958941089077
55,-2.9504735971610643
56,-2.9569279972452462
57,-2.9667942740353763
58,-2.880980309654306
59,-2.8901825721056285
60,-2.8005379529479186
61,-2.804562106239591
62,-2.806541326865424
63,-2.807580842254058
64,-2.8086566258628594
65,-2.774909622015702
66,-2.6376226266630907
67,-2.714392542385625
68,-2.7114990115709796
69,-2.705915990018114
70,-2.698658103735579
71,-2.7687256894683423
72,-2.597960256899665
73,-2.588998402763165
74,-2.5918683401062474
75,-2.5986975064307787
76,-2.44605022459411
77,-2.4893956165514046
78,-2.537942292494899
79,-2.6269774472804674
80,-2.5877156100932655
81,-2.464493446311593
82,-2.4610013673206312
83,-2.452044584523646
84,-2.4394840306542327
85,-2.42526012428778
86,-2.410596750549479
87,-2.396004946295298
88,-2.313815643764258
89,-2.196781060879748
90,-2.260671111521066
91,-2.267215798615741
92,-2.3526104269071753
93,-2.3665522729191566
94,-2.2075724620841655
95,-2.216930746937092
96,-2.21721504568612
97,-2.208690928352612
98,-2.1959432411076487
99,-2.1858175003694895
100,-2.184035261065072
