frequency,raw
20,5.10
21,5.20
22,5.40
23,5.47
24,5.60
25,5.70
26,5.70
27,5.90
28,5.90
29,5.90
30,5.91
31,6.00
32,6.00
33,6.00
34,6.00
35,6.00
36,6.00
37,6.00
38,6.00
39,6.00
40,6.00
41,6.00
42,5.88
43,5.90
44,5.92
45,5.68
46,5.72
47,5.60
48,5.54
49,5.39
50,5.40
51,5.29
52,5.30
53,5.30
54,5.30
55,5.30
56,5.44
57,5.40
58,5.36
59,5.52
60,5.46
61,5.52
62,5.50
63,5.50
64,5.50
65,5.50
66,5.50
67,5.50
68,5.50
69,5.50
70,5.53
71,5.50
72,5.50
73,5.50
74,5.50
75,5.50
76,5.50
77,5.50
78,5.50
79,5.50
80,5.50
81,5.50
82,5.50
83,5.50
84,5.50
85,5.50
86,5.41
87,5.39
88,5.40
89,5.40
90,5.40
91,5.41
92,5.41
93,5.41
94,5.41
95,5.41
96,5.40
97,5.35
98,5.27
99,5.27
100,5.26
101,5.25
102,5.24
104,5.10
105,5.08
106,4.95
107,4.91
108,4.91
109,4.88
110,4.86
111,4.86
112,4.86
113,4.79
114,4.72
115,4.72
117,4.61
118,4.62
119,4.59
120,4.53
121,4.54
123,4.55
124,4.56
125,4.57
126,4.57
128,4.49
129,4.47
130,4.40
131,4.39
133,4.40
134,4.40
135,4.36
137,4.27
138,4.21
140,4.22
141,4.22
142,4.18
144,4.02
145,4.01
147,4.02
148,4.02
150,3.95
151,3.84
153,3.81
154,3.81
156,3.71
157,3.71
159,3.66
160,3.56
162,3.42
164,3.30
165,3.24
167,3.20
169,3.20
170,3.19
172,3.18
174,3.18
175,3.17
177,3.17
179,3.05
181,3.05
183,3.08
184,3.10
186,3.10
188,3.01
190,2.94
192,2.94
194,2.95
196,2.79
198,2.76
200,2.81
202,2.81
204,2.64
206,2.58
208,2.60
210,2.61
212,2.62
214,2.55
216,2.49
218,2.38
221,2.39
223,2.34
225,2.17
227,2.18
229,2.20
232,2.09
234,2.07
236,2.01
239,2.00
241,1.95
244,1.89
246,1.80
248,1.80
251,1.83
253,1.84
256,1.76
259,1.66
261,1.67
264,1.60
266,1.57
269,1.46
272,1.40
274,1.35
277,1.27
280,1.22
283,1.15
286,1.16
288,1.12
291,1.08
294,0.99
297,0.96
300,0.82
303,0.83
306,0.81
309,0.67
312,0.65
316,0.58
319,0.48
322,0.39
325,0.35
328,0.26
332,0.19
335,0.15
338,0.01
342,-0.15
345,-0.19
349,-0.26
352,-0.38
356,-0.53
359,-0.65
363,-0.65
366,-0.68
370,-0.83
374,-0.93
377,-1.02
381,-1.17
385,-1.26
389,-1.41
393,-1.47
397,-1.54
401,-1.68
405,-1.83
409,-1.92
413,-2.06
417,-2.25
421,-2.40
425,-2.51
430,-2.63
434,-2.70
438,-2.75
443,-2.83
447,-2.93
451,-3.00
456,-3.06
460,-3.11
465,-3.21
470,-3.25
474,-3.31
479,-3.39
484,-3.46
489,-3.57
494,-3.73
499,-3.89
504,-4.02
509,-4.09
514,-4.17
519,-4.31
524,-4.54
529,-4.71
535,-4.79
540,-4.79
545,-4.72
551,-4.86
556,-5.06
562,-4.93
568,-5.07
573,-5.12
579,-5.12
585,-5.05
591,-4.94
596,-4.89
602,-4.91
608,-4.72
