frequency,raw
20,-9.98
21,-9.38
22,-8.90
23,-8.40
24,-7.88
25,-7.38
26,-7.00
27,-6.52
28,-6.12
29,-5.75
30,-5.30
31,-5.01
32,-4.52
33,-4.27
34,-3.89
35,-3.62
36,-3.16
37,-2.82
38,-2.47
39,-2.40
40,-2.04
41,-1.65
42,-1.34
43,-1.04
44,-0.74
45,-0.57
46,-0.26
47,-0.13
48,0.18
49,0.42
50,0.65
51,0.90
52,1.17
53,1.38
54,1.42
55,1.69
56,1.90
57,2.17
58,2.26
59,2.46
60,2.61
61,2.77
62,2.99
63,3.07
64,3.19
65,3.40
66,3.48
67,3.63
68,3.71
69,3.89
70,4.05
71,4.19
72,4.18
73,4.35
74,4.39
75,4.41
76,4.49
77,4.59
78,4.59
79,4.64
80,4.69
81,4.70
82,4.89
83,4.89
84,4.89
85,4.94
86,5.06
87,5.09
88,5.09
89,5.09
90,5.09
91,5.10
92,5.10
93,5.10
94,5.10
95,5.10
96,5.09
97,5.09
98,5.08
99,5.07
100,5.05
101,5.04
102,5.02
104,4.89
105,4.87
106,4.76
107,4.72
108,4.70
109,4.67
110,4.56
111,4.51
112,4.43
113,4.42
114,4.38
115,4.31
117,4.21
118,4.21
119,4.17
120,4.05
121,4.03
123,3.97
124,3.86
125,3.85
126,3.86
128,3.77
129,3.76
130,3.69
131,3.67
133,3.58
134,3.51
135,3.49
137,3.40
138,3.34
140,3.25
141,3.20
142,3.20
144,3.08
145,2.98
147,2.90
148,2.87
150,2.79
151,2.73
153,2.65
154,2.54
156,2.48
157,2.44
159,2.38
160,2.32
162,2.25
164,2.12
165,2.02
167,1.95
169,1.95
170,1.86
172,1.66
174,1.63
175,1.51
177,1.33
179,1.35
181,1.13
183,1.12
184,1.17
186,1.24
188,1.19
190,1.05
192,1.12
194,1.22
196,1.37
198,1.42
200,1.28
202,1.28
204,1.29
206,1.24
208,1.10
210,1.08
212,1.06
214,0.98
216,0.93
218,0.87
221,0.73
223,0.68
225,0.66
227,0.65
229,0.57
232,0.46
234,0.46
236,0.47
239,0.37
241,0.33
244,0.29
246,0.27
248,0.22
251,0.15
253,0.06
256,0.13
259,0.20
261,0.12
264,0.02
266,-0.10
269,-0.04
272,-0.08
274,-0.16
277,-0.29
280,-0.31
283,-0.21
286,-0.25
288,-0.43
291,-0.50
294,-0.39
297,-0.35
300,-0.49
303,-0.55
306,-0.64
309,-0.59
312,-0.55
316,-0.56
319,-0.78
322,-0.78
325,-0.76
328,-0.76
332,-0.78
335,-0.94
338,-0.88
342,-0.79
345,-0.89
349,-1.13
352,-1.14
356,-1.07
359,-1.06
363,-1.12
366,-1.15
370,-1.24
374,-1.24
377,-1.23
381,-1.28
385,-1.42
389,-1.34
393,-1.36
397,-1.53
401,-1.46
405,-1.44
409,-1.65
413,-1.60
417,-1.39
421,-1.45
425,-1.61
430,-1.60
434,-1.58
438,-1.55
443,-1.52
447,-1.47
451,-1.42
456,-1.36
460,-1.30
465,-1.24
470,-1.18
474,-1.12
479,-1.11
484,-1.26
489,-1.14
494,-1.05
499,-1.02
504,-0.99
509,-0.84
514,-0.92
519,-1.26
524,-1.27
529,-1.17
535,-1.19
540,-1.23
545,-1.26
551,-1.31
556,-1.36
562,-1.41
568,-1.46
573,-1.51
579,-1.57
585,-1.67
591,-1.76
596,-1.79
602,-1.78
608,-1.77
615,-1.61
621,-1.59
627,-1.78
633,-1.57
639,-1.53
646,-1.40
652,-1.33
659,-1.42
665,-1.37
672,-1.32
679,-1.21
686,-1.12
692,-0.99
699,-0.95
706,-0.94
713,-0.93
721,-0.94
728,-1.12
735,-1.14
742,-0.91
750,-0.94
757,-0.97
765,-0.99
773,-1.14
780,-1.16
788,-1.02
796,-0.92
804,-0.92
812,-0.85
820,-0.80
828,-0.71
837,-0.71
845,-0.78
853,-0.83
862,-0.42
871,-0.45
879,-0.65
888,-0.50
897,-0.44
906,-0.45
915,-0.36
924,-0.36
933,-0.27
943,-0.26
952,-0.26
962,-0.35
971,-0.29
981,0.02
991,0.06
1001,-0.01
1011,-0.02
1021,-0.06
1031,0.08
1041,0.40
1052,0.34
1062,0.37
1073,0.41
1084,0.46
1094,0.52
1105,0.57
1116,0.86
1128,0.93
1139,0.88
1150,0.96
1162,1.05
1173,0.93
1185,1.04
1197,1.37
1209,1.45
1221,1.38
1233,1.35
1246,1.41
1258,1.67
1271,1.66
1283,1.78
1296,2.15
1309,2.09
1322,2.12
1335,2.10
1349,2.36
1362,2.54
1376,2.61
1390,2.69
1404,2.79
1418,2.93
1432,2.79
1446,2.96
1461,3.07
1475,3.13
1490,3.37
1505,3.60
1520,3.69
1535,3.66
1550,3.68
1566,4.15
1582,4.43
1597,4.50
1613,4.53
1629,4.45
1646,4.38
1662,4.43
1679,4.51
1696,4.72
1713,5.01
1730,5.36
1747,5.45
1764,5.24
1782,5.50
1800,5.93
1818,6.13
1836,6.27
1854,6.22
1873,6.20
1892,6.46
1911,6.86
1930,7.21
1949,7.77
1969,8.20
1988,8.57
2008,8.81
2028,9.01
2048,9.15
2069,9.37
2090,9.56
2111,9.75
2132,9.87
2153,9.84
2175,9.85
2196,9.83
2218,9.84
2240,9.72
2263,9.53
2285,9.52
2308,9.38
2331,9.10
2355,8.95
2378,8.72
2402,8.42
2426,8.02
2450,7.91
2475,7.68
2500,7.39
2525,7.34
2550,7.28
2575,6.92
2601,6.92
2627,7.01
2653,6.83
2680,6.79
2707,6.80
2734,6.68
2761,6.60
2789,6.53
2817,6.42
2845,6.27
2873,6.06
2902,5.95
2931,5.84
2960,5.76
2990,5.67
3020,5.54
3050,5.53
3080,5.56
3111,5.47
3142,5.49
