frequency,raw
20,-8.65
21,-8.29
22,-7.79
23,-7.46
24,-6.99
25,-6.69
26,-6.60
27,-6.14
28,-5.83
29,-5.46
30,-5.34
31,-5.03
32,-4.90
33,-4.66
34,-4.72
35,-4.57
36,-4.25
37,-4.17
38,-3.93
39,-3.53
40,-3.77
41,-3.52
42,-3.12
43,-3.14
44,-3.04
45,-2.94
46,-2.87
47,-2.58
48,-2.64
49,-2.62
50,-2.47
51,-2.44
52,-2.55
53,-2.44
54,-2.12
55,-2.24
56,-2.24
57,-2.12
58,-2.00
59,-2.28
60,-2.05
61,-1.89
62,-1.94
63,-2.08
64,-1.59
65,-1.88
66,-1.39
67,-1.67
68,-1.43
69,-1.19
70,-1.32
71,-1.45
72,-1.33
73,-1.23
74,-1.23
75,-1.23
76,-1.11
77,-1.33
78,-1.25
79,-1.33
80,-1.43
81,-1.43
82,-1.40
83,-1.31
84,-1.37
85,-1.31
86,-1.01
87,-0.96
88,-0.80
89,-0.82
90,-0.78
91,-0.72
92,-0.62
93,-0.62
94,-0.62
95,-0.62
96,-0.69
97,-0.62
98,-0.36
99,-0.39
100,-0.46
101,-0.48
102,-0.50
104,-0.52
105,-0.55
106,-0.57
107,-0.60
108,-0.53
109,-0.48
110,-0.41
111,-0.48
112,-0.49
113,-0.50
114,-0.50
115,-0.50
117,-0.50
118,-0.50
119,-0.49
120,-0.49
121,-0.48
123,-0.47
124,-0.46
125,-0.46
126,-0.45
128,-0.44
129,-0.44
130,-0.43
131,-0.43
133,-0.42
134,-0.42
135,-0.41
137,-0.41
138,-0.41
140,-0.41
141,-0.40
142,-0.40
144,-0.40
145,-0.40
147,-0.40
148,-0.40
150,-0.40
151,-0.40
153,-0.40
154,-0.40
156,-0.38
157,-0.33
159,-0.41
160,-0.50
162,-0.50
164,-0.51
165,-0.51
167,-0.47
169,-0.51
170,-0.61
172,-0.72
174,-0.80
175,-0.77
177,-0.69
179,-0.69
181,-0.78
183,-0.74
184,-0.75
186,-0.62
188,-0.60
190,-0.59
192,-0.57
194,-0.56
196,-0.54
198,-0.53
200,-0.52
202,-0.67
204,-0.65
206,-0.61
208,-0.61
210,-0.56
212,-0.56
214,-0.71
216,-0.72
218,-0.72
221,-0.73
223,-0.73
225,-0.73
227,-0.73
229,-0.73
232,-0.71
234,-0.67
236,-0.70
239,-0.92
241,-0.89
244,-0.84
246,-0.82
248,-0.80
251,-0.78
253,-0.77
256,-0.76
259,-0.75
261,-0.71
264,-0.71
266,-0.81
269,-0.85
272,-0.85
274,-0.87
277,-1.00
280,-0.97
283,-0.94
286,-0.91
288,-0.96
291,-1.03
294,-1.02
297,-1.00
300,-0.99
303,-0.96
306,-0.98
309,-1.06
312,-1.05
316,-1.05
319,-1.05
322,-1.05
325,-1.05
328,-1.05
332,-1.05
335,-1.05
338,-1.13
342,-1.16
345,-1.16
349,-1.16
352,-1.17
356,-1.25
359,-1.25
363,-1.30
366,-1.34
370,-1.33
374,-1.32
377,-1.32
381,-1.31
385,-1.30
389,-1.30
393,-1.31
397,-1.39
401,-1.39
405,-1.40
409,-1.40
413,-1.40
417,-1.40
421,-1.40
425,-1.40
430,-1.38
434,-1.36
438,-1.40
443,-1.40
447,-1.36
451,-1.30
456,-1.15
460,-1.08
465,-1.02
470,-0.96
474,-0.90
479,-0.92
484,-0.91
489,-0.86
494,-0.83
499,-0.80
504,-0.78
509,-0.76
514,-0.75
519,-0.74
524,-0.75
529,-0.76
535,-0.78
540,-0.81
545,-0.85
551,-0.89
556,-0.95
562,-1.00
568,-1.05
573,-1.09
579,-1.12
585,-1.23
591,-1.27
596,-1.27
602,-1.26
608,-1.25
615,-1.24
621,-1.22
627,-1.19
633,-1.16
639,-1.13
646,-1.09
652,-1.02
659,-0.88
665,-0.86
672,-0.82
679,-0.65
686,-0.60
692,-0.56
699,-0.54
706,-0.52
713,-0.52
721,-0.53
728,-0.55
735,-0.55
742,-0.50
750,-0.52
757,-0.55
765,-0.47
773,-0.49
780,-0.50
788,-0.51
796,-0.47
804,-0.30
812,-0.30
820,-0.29
828,-0.28
837,-0.09
845,-0.08
853,-0.09
862,-0.10
871,-0.06
879,-0.01
888,0.06
897,0.07
906,0.07
915,0.09
924,0.16
933,0.16
943,0.16
952,0.16
962,0.26
971,0.13
981,0.05
991,-0.09
1001,0.01
1011,0.03
1021,0.11
1031,0.28
1041,0.31
1052,0.44
1062,0.48
1073,0.53
1084,0.67
1094,0.76
1105,0.89
1116,1.04
1128,1.14
1139,1.20
1150,1.28
1162,1.38
1173,1.42
1185,1.31
1197,1.32
1209,1.27
1221,1.32
1233,1.32
1246,1.42
1258,1.60
1271,1.66
1283,1.77
1296,1.82
1309,1.92
1322,1.92
1335,2.06
1349,2.06
1362,2.07
1376,2.18
1390,2.09
1404,2.05
1418,2.00
1432,2.28
1446,2.44
1461,2.31
1475,2.33
1490,2.46
1505,2.61
1520,2.48
1535,2.37
1550,2.54
1566,2.76
1582,2.91
1597,3.12
1613,3.09
1629,2.85
1646,2.87
1662,3.04
1679,3.03
1696,3.14
1713,3.42
1730,3.50
1747,3.59
1764,3.68
1782,3.78
1800,3.84
1818,3.90
1836,3.93
1854,4.04
1873,3.84
1892,3.83
1911,3.99
1930,4.09
1949,4.38
1969,4.26
1988,4.47
2008,4.71
2028,4.65
2048,4.62
2069,4.65
2090,4.82
2111,5.12
2132,5.11
2153,5.21
2175,5.40
2196,5.45
2218,5.59
2240,5.91
2263,5.88
2285,5.89
2308,6.11
2331,6.32
2355,6.54
2378,6.71
2402,6.89
2426,7.07
2450,7.09
2475,7.26
2500,7.42
2525,7.58
2550,7.77
2575,7.85
2601,8.07
2627,8.31
2653,8.66
2680,8.82
2707,8.88
2734,9.19
2761,9.50
2789,9.65
2817,9.96
