frequency,raw
20.00,-4.65
20.20,-4.77
20.40,-4.90
20.61,-5.03
20.81,-5.15
21.02,-5.28
21.23,-5.41
21.44,-5.58
21.66,-5.75
21.87,-5.91
22.09,-6.04
22.31,-6.14
22.54,-6.20
22.76,-6.23
22.99,-6.23
23.22,-6.22
23.45,-6.21
23.69,-6.21
23.92,-6.23
24.16,-6.26
24.40,-6.31
24.65,-6.37
24.89,-6.41
25.14,-6.42
25.39,-6.41
25.65,-6.36
25.91,-6.31
26.16,-6.27
26.43,-6.29
26.69,-6.36
26.96,-6.45
27.23,-6.57
27.50,-6.65
27.77,-6.64
28.05,-6.56
28.33,-6.34
28.62,-6.09
28.90,-5.80
29.19,-5.53
29.48,-5.26
29.78,-5.06
30.08,-4.87
30.38,-4.71
30.68,-4.57
30.99,-4.46
31.30,-4.39
31.61,-4.36
31.93,-4.37
32.24,-4.43
32.57,-4.50
32.89,-4.58
33.22,-4.63
33.55,-4.67
33.89,-4.67
34.23,-4.67
34.57,-4.65
34.92,-4.64
35.27,-4.62
35.62,-4.61
35.97,-4.59
36.33,-4.55
36.70,-4.49
37.06,-4.42
37.43,-4.33
37.81,-4.23
38.19,-4.14
38.57,-4.06
38.95,-3.98
39.34,-3.89
39.74,-3.81
40.14,-3.73
40.54,-3.65
40.94,-3.59
41.35,-3.53
41.76,-3.48
42.18,-3.44
42.60,-3.40
43.03,-3.38
43.46,-3.37
43.90,-3.38
44.33,-3.40
44.78,-3.44
45.23,-3.49
45.68,-3.52
46.13,-3.55
46.60,-3.53
47.06,-3.49
47.53,-3.42
48.01,-3.36
48.49,-3.30
48.97,-3.26
49.46,-3.23
49.96,-3.20
50.46,-3.16
50.96,-3.12
51.47,-3.07
51.99,-3.00
52.51,-2.91
53.03,-2.82
53.56,-2.74
54.10,-2.65
54.64,-2.58
55.18,-2.50
55.74,-2.43
56.29,-2.36
56.86,-2.28
57.42,-2.19
58.00,-2.10
58.58,-2.00
59.16,-1.90
59.76,-1.81
60.35,-1.72
60.96,-1.65
61.57,-1.58
62.18,-1.52
62.80,-1.48
63.43,-1.44
64.07,-1.41
64.71,-1.40
65.35,-1.39
66.01,-1.40
66.67,-1.40
67.33,-1.41
68.01,-1.42
68.69,-1.44
69.37,-1.44
70.07,-1.45
70.77,-1.46
71.48,-1.48
72.19,-1.49
72.91,-1.51
73.64,-1.53
74.38,-1.55
75.12,-1.56
75.87,-1.58
76.63,-1.59
77.40,-1.61
78.17,-1.62
78.95,-1.64
79.74,-1.65
80.54,-1.66
81.35,-1.67
82.16,-1.67
82.98,-1.67
83.81,-1.68
84.65,-1.68
85.50,-1.69
86.35,-1.69
87.22,-1.70
88.09,-1.71
88.97,-1.71
89.86,-1.72
90.76,-1.73
91.66,-1.74
92.58,-1.75
93.51,-1.76
94.44,-1.77
95.39,-1.79
96.34,-1.79
97.30,-1.80
98.28,-1.80
99.26,-1.79
100.25,-1.77
101.25,-1.74
102.27,-1.71
103.29,-1.69
104.32,-1.66
105.37,-1.65
106.42,-1.64
107.48,-1.64
108.56,-1.63
109.64,-1.63
110.74,-1.63
111.85,-1.63
112.97,-1.63
114.10,-1.63
115.24,-1.63
116.39,-1.63
117.55,-1.63
118.73,-1.62
119.92,-1.62
121.12,-1.61
122.33,-1.60
123.55,-1.58
124.79,-1.57
126.03,-1.55
127.29,-1.53
128.57,-1.52
129.85,-1.50
131.15,-1.49
132.46,-1.48
133.79,-1.47
135.12,-1.45
136.48,-1.44
137.84,-1.43
139.22,-1.41
140.61,-1.40
142.02,-1.38
143.44,-1.36
144.87,-1.33
146.32,-1.31
147.78,-1.28
149.26,-1.26
150.75,-1.23
152.26,-1.21
153.78,-1.19
155.32,-1.17
156.88,-1.16
158.44,-1.15
160.03,-1.14
161.63,-1.13
163.24,-1.12
164.88,-1.11
166.53,-1.10
168.19,-1.08
169.87,-1.06
171.57,-1.03
