frequency,raw
20.00,7.48
20.20,7.46
20.40,7.44
20.61,7.42
20.81,7.41
21.02,7.39
21.23,7.38
21.44,7.37
21.66,7.36
21.87,7.35
22.09,7.34
22.31,7.33
22.54,7.31
22.76,7.30
22.99,7.29
23.22,7.27
23.45,7.25
23.69,7.24
23.92,7.22
24.16,7.21
24.40,7.20
24.65,7.18
24.89,7.17
25.14,7.15
25.39,7.13
25.65,7.11
25.91,7.09
26.16,7.06
26.43,7.04
26.69,7.02
26.96,6.99
27.23,6.97
27.50,6.95
27.77,6.92
28.05,6.90
28.33,6.88
28.62,6.86
28.90,6.83
29.19,6.81
29.48,6.78
29.78,6.75
30.08,6.72
30.38,6.69
30.68,6.66
30.99,6.63
31.30,6.61
31.61,6.58
31.93,6.56
32.24,6.53
32.57,6.51
32.89,6.49
33.22,6.47
33.55,6.45
33.89,6.44
34.23,6.42
34.57,6.40
34.92,6.38
35.27,6.35
35.62,6.32
35.97,6.29
36.33,6.27
36.70,6.24
37.06,6.22
37.43,6.20
37.81,6.17
38.19,6.14
38.57,6.11
38.95,6.08
39.34,6.05
39.74,6.02
40.14,5.99
40.54,5.96
40.94,5.93
41.35,5.89
41.76,5.86
42.18,5.82
42.60,5.79
43.03,5.76
43.46,5.73
43.90,5.70
44.33,5.66
44.78,5.63
45.23,5.59
45.68,5.56
46.13,5.53
46.60,5.49
47.06,5.46
47.53,5.43
48.01,5.39
48.49,5.36
48.97,5.32
49.46,5.28
49.96,5.25
50.46,5.22
50.96,5.18
51.47,5.15
51.99,5.12
52.51,5.08
53.03,5.04
53.56,5.00
54.10,4.96
54.64,4.93
55.18,4.90
55.74,4.87
56.29,4.83
56.86,4.80
57.42,4.76
58.00,4.72
58.58,4.68
59.16,4.64
59.76,4.61
60.35,4.57
60.96,4.54
61.57,4.51
62.18,4.47
62.80,4.43
63.43,4.39
64.07,4.35
64.71,4.31
65.35,4.26
66.01,4.22
66.67,4.17
67.33,4.13
68.01,4.10
68.69,4.08
69.37,4.05
70.07,4.02
70.77,3.98
71.48,3.94
72.19,3.90
72.91,3.86
73.64,3.83
74.38,3.80
75.12,3.77
75.87,3.73
76.63,3.70
77.40,3.66
78.17,3.62
78.95,3.58
79.74,3.55
80.54,3.51
81.35,3.47
82.16,3.44
82.98,3.41
83.81,3.37
84.65,3.34
85.50,3.30
86.35,3.27
87.22,3.23
88.09,3.19
88.97,3.16
89.86,3.12
90.76,3.08
91.66,3.05
92.58,3.02
93.51,2.98
94.44,2.95
95.39,2.91
96.34,2.87
97.30,2.83
98.28,2.79
99.26,2.75
100.25,2.71
101.25,2.69
102.27,2.66
103.29,2.63
104.32,2.60
105.37,2.58
106.42,2.55
107.48,2.52
108.56,2.48
109.64,2.45
110.74,2.42
111.85,2.39
112.97,2.35
114.10,2.32
115.24,2.28
116.39,2.24
117.55,2.20
118.73,2.16
119.92,2.12
121.12,2.09
122.33,2.08
123.55,2.06
124.79,2.04
126.03,2.01
127.29,1.98
128.57,1.95
129.85,1.92
131.15,1.89
132.46,1.86
133.79,1.84
135.12,1.82
136.48,1.80
137.84,1.77
139.22,1.75
140.61,1.72
142.02,1.70
143.44,1.67
144.87,1.65
146.32,1.63
147.78,1.60
149.26,1.58
150.75,1.56
152.26,1.53
153.78,1.50
155.32,1.47
156.88,1.45
158.44,1.42
160.03,1.40
161.63,1.37
163.24,1.34
164.88,1.31
166.53,1.28
168.19,1.26
169.87,1.23
171.57,1.20
173.29,1.18
175.02,1.15
176.77,1.13
178.54,1.11
180.32,1.09
182.13,1.07
183.95,1.04
185.79,1.02
187.65,1.01
189.52,1.00
191.42,1.00
193.33,1.01
195.27,1.01
197.22,1.00
199.19,1.00
201.18,0.99
203.19,0.98
205.23,0.96
207.28,0.94
209.35,0.92
211.44,0.90
213.56,0.88
215.69,0.85
217.85,0.83
220.03,0.81
222.23,0.79
224.45,0.76
226.70,0.74
228.96,0.72
231.25,0.70
233.57,0.69
235.90,0.67
238.26,0.65
240.64,0.63
243.05,0.61
245.48,0.59
247.93,0.57
250.41,0.55
252.92,0.54
255.45,0.52
258.00,0.50
260.58,0.48
263.19,0.46
265.82,0.44
268.48,0.43
271.16,0.41
273.87,0.39
276.61,0.37
279.38,0.36
282.17,0.34
284.99,0.33
287.84,0.31
290.72,0.29
293.63,0.28
296.57,0.26
299.53,0.24
302.53,0.23
305.55,0.21
308.61,0.20
311.69,0.18
314.81,0.16
317.96,0.15
321.14,0.13
324.35,0.12
327.59,0.10
330.87,0.09
334.18,0.07
337.52,0.06
340.90,0.04
344.30,0.03
347.75,0.01
351.23,-0.00
354.74,-0.02
358.28,-0.03
361.87,-0.05
365.49,-0.06
369.14,-0.07
372.83,-0.09
376.56,-0.10
380.33,-0.11
384.13,-0.12
387.97,-0.13
391.85,-0.15
395.77,-0.16
399.73,-0.17
403.72,-0.19
407.76,-0.20
411.84,-0.21
415.96,-0.23
420.12,-0.24
424.32,-0.26
428.56,-0.27
432.85,-0.28
437.18,-0.30
441.55,-0.31
445.96,-0.32
450.42,-0.33
454.93,-0.35
459.48,-0.36
464.07,-0.38
468.71,-0.39
473.40,-0.40
478.13,-0.42
482.91,-0.43
487.74,-0.44
492.62,-0.45
497.55,-0.47
502.52,-0.48
507.55,-0.49
512.62,-0.50
517.75,-0.52
522.93,-0.53
528.16,-0.54
533.44,-0.55
538.77,-0.56
544.16,-0.57
549.60,-0.59
555.10,-0.60
560.65,-0.61
566.25,-0.62
571.92,-0.63
577.64,-0.64
583.41,-0.65
589.25,-0.66
595.14,-0.67
601.09,-0.68
607.10,-0.69
613.17,-0.70
619.30,-0.71
625.50,-0.72
631.75,-0.73
638.07,-0.73
644.45,-0.74
650.89,-0.74
657.40,-0.74
663.98,-0.75
670.62,-0.76
677.32,-0.77
684.10,-0.78
690.94,-0.78
697.85,-0.79
704.83,-0.80
711.87,-0.80
718.99,-0.80
726.18,-0.80
733.44,-0.81
740.78,-0.81
748.19,-0.80
755.67,-0.80
763.23,-0.80
770.86,-0.80
778.57,-0.79
786.35,-0.78
794.22,-0.77
802.16,-0.76
810.18,-0.75
818.28,-0.74
826.46,-0.73
834.73,-0.71
843.08,-0.69
851.51,-0.67
860.02,-0.65
868.62,-0.62
877.31,-0.60
886.08,-0.57
894.94,-0.53
903.89,-0.50
912.93,-0.46
922.06,-0.42
931.28,-0.38
940.59,-0.34
950.00,-0.29
959.50,-0.24
969.09,-0.18
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.19
1039.00,0.26
1049.39,0.33
1059.88,0.40
1070.48,0.47
1081.19,0.55
1092.00,0.63
1102.92,0.71
1113.95,0.79
1125.09,0.87
1136.34,0.95
1147.70,1.03
1159.18,1.11
1170.77,1.19
1182.48,1.27
1194.30,1.34
1206.25,1.42
1218.31,1.50
1230.49,1.58
1242.80,1.65
1255.22,1.73
1267.78,1.80
1280.45,1.88
1293.26,1.95
1306.19,2.02
1319.25,2.09
1332.45,2.15
1345.77,2.22
1359.23,2.29
1372.82,2.36
1386.55,2.42
1400.41,2.49
1414.42,2.55
1428.56,2.61
1442.85,2.68
1457.28,2.74
1471.85,2.80
1486.57,2.86
1501.43,2.93
1516.45,2.99
1531.61,3.05
1546.93,3.12
1562.40,3.18
1578.02,3.24
1593.80,3.31
1609.74,3.37
1625.84,3.44
1642.10,3.51
1658.52,3.58
1675.10,3.64
1691.85,3.71
1708.77,3.79
1725.86,3.86
1743.12,3.94
1760.55,4.02
1778.15,4.10
1795.94,4.18
1813.90,4.27
1832.03,4.35
1850.36,4.43
1868.86,4.52
1887.55,4.61
1906.42,4.69
1925.49,4.78
1944.74,4.87
1964.19,4.96
1983.83,5.05
2003.67,5.14
2023.71,5.23
2043.94,5.32
2064.38,5.41
2085.03,5.50
2105.88,5.60
2126.94,5.69
2148.20,5.78
2169.69,5.88
2191.38,5.97
2213.30,6.06
2235.43,6.14
2257.78,6.23
2280.36,6.31
2303.17,6.39
2326.20,6.46
2349.46,6.52
2372.95,6.59
2396.68,6.64
2420.65,6.69
2444.86,6.74
2469.31,6.77
2494.00,6.81
2518.94,6.83
2544.13,6.86
2569.57,6.88
2595.27,6.91
2621.22,6.93
2647.43,6.96
2673.90,6.99
2700.64,7.02
2727.65,7.04
2754.93,7.06
2782.48,7.06
2810.30,7.06
2838.40,7.04
2866.79,7.01
2895.46,6.97
2924.41,6.93
2953.65,6.87
2983.19,6.81
3013.02,6.75
3043.15,6.68
3073.58,6.61
3104.32,6.54
3135.36,6.46
3166.72,6.39
3198.38,6.31
3230.37,6.23
3262.67,6.16
3295.30,6.08
3328.25,6.00
3361.53,5.93
3395.15,5.85
3429.10,5.78
3463.39,5.70
3498.03,5.62
3533.01,5.54
3568.34,5.46
3604.02,5.37
3640.06,5.28
3676.46,5.19
3713.22,5.09
3750.36,4.99
3787.86,4.89
3825.74,4.79
3864.00,4.70
3902.64,4.62
3941.66,4.55
3981.08,4.50
4020.89,4.46
4061.10,4.43
4101.71,4.41
4142.73,4.41
4184.15,4.41
4226.00,4.43
4268.26,4.45
4310.94,4.48
4354.05,4.52
4397.59,4.57
4441.56,4.63
4485.98,4.70
4530.84,4.77
4576.15,4.84
4621.91,4.91
4668.13,4.98
4714.81,5.04
4761.96,5.09
4809.58,5.12
4857.67,5.13
4906.25,5.11
4955.31,5.07
5004.87,4.99
5054.91,4.88
5105.46,4.73
5156.52,4.55
5208.08,4.32
5260.16,4.05
5312.77,3.75
5365.89,3.43
5419.55,3.08
5473.75,2.74
5528.49,2.39
5583.77,2.05
5639.61,1.72
5696.00,1.41
5752.96,1.12
5810.49,0.84
5868.60,0.58
5927.28,0.34
5986.56,0.11
6046.42,-0.09
6106.89,-0.28
6167.96,-0.45
6229.64,-0.60
6291.93,-0.72
6354.85,-0.82
6418.40,-0.90
6482.58,-0.95
6547.41,-0.98
6612.88,-0.98
6679.01,-0.95
6745.80,-0.89
6813.26,-0.81
6881.39,-0.69
6950.21,-0.53
7019.71,-0.34
7089.91,-0.11
7160.81,0.16
7232.41,0.48
7304.74,0.82
7377.79,1.23
7451.56,1.66
7526.08,2.13
7601.34,2.61
7677.35,3.08
7754.13,3.53
7831.67,3.88
7909.98,4.14
7989.08,4.28
8068.98,4.21
8149.67,4.00
8231.16,3.63
8313.47,3.10
8396.61,2.50
8480.57,1.81
8565.38,1.10
8651.03,0.39
8737.54,-0.30
8824.92,-0.95
8913.17,-1.53
9002.30,-2.09
9092.32,-2.57
9183.25,-2.99
9275.08,-3.38
9367.83,-3.71
9461.51,-3.97
9556.12,-4.19
9651.68,-4.35
9748.20,-4.46
9845.68,-4.49
9944.14,-4.47
10043.58,-4.37
10144.02,-4.22
10245.46,-3.95
10347.91,-3.62
10451.39,-3.20
10555.91,-2.65
10661.46,-2.01
10768.08,-1.29
10875.76,-0.45
10984.52,0.40
11094.36,1.21
11205.31,1.88
11317.36,2.16
11430.53,2.26
11544.84,1.98
11660.29,1.46
11776.89,0.81
11894.66,-0.01
12013.60,-0.84
12133.74,-1.60
12255.08,-2.21
12377.63,-2.68
12501.41,-3.00
12626.42,-3.14
12752.68,-3.20
12880.21,-3.23
13009.01,-3.26
13139.10,-3.28
13270.49,-3.38
13403.20,-3.52
13537.23,-3.71
13672.60,-3.92
13809.33,-4.14
13947.42,-4.36
14086.90,-4.55
14227.77,-4.74
14370.04,-4.92
14513.74,-5.10
14658.88,-5.31
14805.47,-5.53
14953.52,-5.79
15103.06,-6.10
15254.09,-6.42
15406.63,-6.68
15560.70,-6.89
15716.30,-7.03
15873.47,-7.22
16032.20,-7.47
16192.52,-7.90
16354.45,-8.46
16517.99,-9.10
16683.17,-9.82
16850.01,-10.53
17018.51,-11.22
17188.69,-11.83
17360.58,-12.34
17534.18,-12.77
17709.53,-13.06
17886.62,-13.19
18065.49,-13.17
18246.14,-13.00
18428.60,-12.56
18612.89,-11.97
18799.02,-11.29
18987.01,-10.61
19176.88,-10.32
19368.65,-10.54
19562.33,-11.33
19757.96,-12.65
19955.54,-13.97
