frequency,raw
20.00,7.66
20.20,7.66
20.40,7.66
20.61,7.66
20.81,7.66
21.02,7.66
21.23,7.65
21.44,7.64
21.66,7.64
21.87,7.63
22.09,7.62
22.31,7.62
22.54,7.62
22.76,7.62
22.99,7.62
23.22,7.62
23.45,7.62
23.69,7.61
23.92,7.61
24.16,7.61
24.40,7.61
24.65,7.61
24.89,7.61
25.14,7.61
25.39,7.60
25.65,7.60
25.91,7.59
26.16,7.59
26.43,7.58
26.69,7.57
26.96,7.57
27.23,7.56
27.50,7.56
27.77,7.55
28.05,7.55
28.33,7.54
28.62,7.53
28.90,7.53
29.19,7.52
29.48,7.50
29.78,7.49
30.08,7.48
30.38,7.46
30.68,7.46
30.99,7.46
31.30,7.46
31.61,7.46
31.93,7.46
32.24,7.45
32.57,7.43
32.89,7.41
33.22,7.40
33.55,7.38
33.89,7.37
34.23,7.36
34.57,7.34
34.92,7.32
35.27,7.31
35.62,7.29
35.97,7.28
36.33,7.28
36.70,7.27
37.06,7.26
37.43,7.24
37.81,7.22
38.19,7.21
38.57,7.19
38.95,7.18
39.34,7.17
39.74,7.16
40.14,7.14
40.54,7.12
40.94,7.10
41.35,7.09
41.76,7.08
42.18,7.06
42.60,7.04
43.03,7.02
43.46,7.00
43.90,6.99
44.33,6.97
44.78,6.94
45.23,6.92
45.68,6.89
46.13,6.87
46.60,6.85
47.06,6.83
47.53,6.81
48.01,6.80
48.49,6.78
48.97,6.76
49.46,6.73
49.96,6.70
50.46,6.67
50.96,6.65
51.47,6.62
51.99,6.61
52.51,6.59
53.03,6.57
53.56,6.53
54.10,6.49
54.64,6.45
55.18,6.42
55.74,6.40
56.29,6.38
56.86,6.35
57.42,6.31
58.00,6.27
58.58,6.24
59.16,6.21
59.76,6.20
60.35,6.18
60.96,6.16
61.57,6.13
62.18,6.11
62.80,6.08
63.43,6.05
64.07,6.01
64.71,5.97
65.35,5.93
66.01,5.89
66.67,5.85
67.33,5.81
68.01,5.77
68.69,5.74
69.37,5.70
70.07,5.66
70.77,5.63
71.48,5.59
72.19,5.54
72.91,5.50
73.64,5.45
74.38,5.40
75.12,5.35
75.87,5.30
76.63,5.25
77.40,5.21
78.17,5.17
78.95,5.13
79.74,5.09
80.54,5.04
81.35,4.99
82.16,4.94
82.98,4.89
83.81,4.84
84.65,4.79
85.50,4.74
86.35,4.69
87.22,4.63
88.09,4.57
88.97,4.51
89.86,4.45
90.76,4.39
91.66,4.32
92.58,4.26
93.51,4.20
94.44,4.14
95.39,4.08
96.34,4.01
97.30,3.94
98.28,3.87
99.26,3.80
100.25,3.72
101.25,3.64
102.27,3.57
103.29,3.51
104.32,3.45
105.37,3.40
106.42,3.34
107.48,3.27
108.56,3.21
109.64,3.15
110.74,3.08
111.85,3.03
112.97,2.97
114.10,2.91
115.24,2.85
116.39,2.77
117.55,2.69
118.73,2.60
119.92,2.51
121.12,2.43
122.33,2.37
123.55,2.31
124.79,2.25
126.03,2.18
127.29,2.11
128.57,2.03
129.85,1.95
131.15,1.86
132.46,1.77
133.79,1.69
135.12,1.61
136.48,1.53
137.84,1.46
139.22,1.41
140.61,1.35
142.02,1.28
143.44,1.21
144.87,1.12
146.32,1.04
147.78,0.95
149.26,0.86
150.75,0.79
152.26,0.72
153.78,0.65
155.32,0.58
156.88,0.51
158.44,0.45
160.03,0.38
161.63,0.31
163.24,0.24
164.88,0.17
166.53,0.10
168.19,0.03
169.87,-0.04
171.57,-0.11
173.29,-0.16
175.02,-0.22
176.77,-0.28
178.54,-0.34
180.32,-0.40
182.13,-0.47
183.95,-0.52
185.79,-0.56
187.65,-0.60
189.52,-0.65
191.42,-0.69
193.33,-0.72
195.27,-0.75
197.22,-0.78
199.19,-0.81
201.18,-0.84
203.19,-0.88
205.23,-0.89
207.28,-0.92
209.35,-0.95
211.44,-0.97
213.56,-0.99
215.69,-0.99
217.85,-1.00
220.03,-1.01
222.23,-1.02
224.45,-1.03
226.70,-1.04
228.96,-1.06
231.25,-1.08
233.57,-1.10
235.90,-1.13
238.26,-1.13
240.64,-1.13
243.05,-1.13
245.48,-1.13
247.93,-1.13
250.41,-1.14
252.92,-1.14
255.45,-1.15
258.00,-1.15
260.58,-1.16
263.19,-1.16
265.82,-1.17
268.48,-1.17
271.16,-1.16
273.87,-1.15
276.61,-1.13
279.38,-1.11
282.17,-1.11
284.99,-1.10
287.84,-1.11
290.72,-1.11
293.63,-1.10
296.57,-1.10
299.53,-1.09
302.53,-1.08
305.55,-1.07
308.61,-1.06
311.69,-1.05
314.81,-1.04
317.96,-1.03
321.14,-1.02
324.35,-1.01
327.59,-1.00
330.87,-0.99
334.18,-0.97
337.52,-0.96
340.90,-0.95
344.30,-0.94
347.75,-0.94
351.23,-0.93
354.74,-0.92
358.28,-0.91
361.87,-0.90
365.49,-0.89
369.14,-0.88
372.83,-0.88
376.56,-0.87
380.33,-0.86
384.13,-0.85
387.97,-0.84
391.85,-0.84
395.77,-0.83
399.73,-0.83
403.72,-0.83
407.76,-0.82
411.84,-0.82
415.96,-0.82
420.12,-0.81
424.32,-0.81
428.56,-0.81
432.85,-0.80
437.18,-0.80
441.55,-0.81
445.96,-0.80
450.42,-0.80
454.93,-0.80
459.48,-0.80
464.07,-0.80
468.71,-0.80
473.40,-0.81
478.13,-0.81
482.91,-0.82
487.74,-0.82
492.62,-0.82
497.55,-0.82
502.52,-0.82
507.55,-0.83
512.62,-0.83
517.75,-0.84
522.93,-0.84
528.16,-0.84
533.44,-0.85
538.77,-0.85
544.16,-0.86
549.60,-0.86
555.10,-0.87
560.65,-0.87
566.25,-0.88
571.92,-0.89
577.64,-0.89
583.41,-0.90
589.25,-0.91
595.14,-0.92
601.09,-0.92
607.10,-0.93
613.17,-0.94
619.30,-0.95
625.50,-0.96
631.75,-0.97
638.07,-0.98
644.45,-0.99
650.89,-1.00
657.40,-1.00
663.98,-1.01
670.62,-1.02
677.32,-1.03
684.10,-1.04
690.94,-1.05
697.85,-1.06
704.83,-1.07
711.87,-1.07
718.99,-1.08
726.18,-1.09
733.44,-1.09
740.78,-1.10
748.19,-1.11
755.67,-1.11
763.23,-1.11
770.86,-1.11
778.57,-1.11
786.35,-1.11
794.22,-1.11
802.16,-1.10
810.18,-1.10
818.28,-1.09
826.46,-1.08
834.73,-1.06
843.08,-1.05
851.51,-1.02
860.02,-0.99
868.62,-0.96
877.31,-0.92
886.08,-0.87
894.94,-0.80
903.89,-0.74
912.93,-0.66
922.06,-0.58
931.28,-0.50
940.59,-0.42
950.00,-0.34
959.50,-0.27
969.09,-0.20
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.16
1039.00,0.22
1049.39,0.28
1059.88,0.34
1070.48,0.40
1081.19,0.46
1092.00,0.52
1102.92,0.59
1113.95,0.65
1125.09,0.72
1136.34,0.79
1147.70,0.85
1159.18,0.92
1170.77,0.98
1182.48,1.05
1194.30,1.11
1206.25,1.17
1218.31,1.24
1230.49,1.30
1242.80,1.36
1255.22,1.42
1267.78,1.48
1280.45,1.54
1293.26,1.59
1306.19,1.65
1319.25,1.70
1332.45,1.76
1345.77,1.81
1359.23,1.86
1372.82,1.92
1386.55,1.97
1400.41,2.02
1414.42,2.07
1428.56,2.12
1442.85,2.17
1457.28,2.22
1471.85,2.27
1486.57,2.32
1501.43,2.38
1516.45,2.43
1531.61,2.48
1546.93,2.54
1562.40,2.59
1578.02,2.65
1593.80,2.71
1609.74,2.77
1625.84,2.83
1642.10,2.89
1658.52,2.95
1675.10,3.02
1691.85,3.09
1708.77,3.16
1725.86,3.23
1743.12,3.30
1760.55,3.37
1778.15,3.44
1795.94,3.52
1813.90,3.59
1832.03,3.67
1850.36,3.75
1868.86,3.84
1887.55,3.92
1906.42,4.00
1925.49,4.09
1944.74,4.18
1964.19,4.27
1983.83,4.36
2003.67,4.45
2023.71,4.54
2043.94,4.63
2064.38,4.72
2085.03,4.81
2105.88,4.90
2126.94,4.98
2148.20,5.07
2169.69,5.16
2191.38,5.25
2213.30,5.33
2235.43,5.41
2257.78,5.49
2280.36,5.57
2303.17,5.65
2326.20,5.72
2349.46,5.78
2372.95,5.84
2396.68,5.90
2420.65,5.96
2444.86,6.01
2469.31,6.05
2494.00,6.10
2518.94,6.15
2544.13,6.20
2569.57,6.26
2595.27,6.33
2621.22,6.41
2647.43,6.49
2673.90,6.57
2700.64,6.64
2727.65,6.69
2754.93,6.72
2782.48,6.73
2810.30,6.74
2838.40,6.73
2866.79,6.72
2895.46,6.69
2924.41,6.66
2953.65,6.63
2983.19,6.59
3013.02,6.55
3043.15,6.50
3073.58,6.45
3104.32,6.39
3135.36,6.33
3166.72,6.26
3198.38,6.19
3230.37,6.12
3262.67,6.05
3295.30,5.97
3328.25,5.88
3361.53,5.80
3395.15,5.71
3429.10,5.63
3463.39,5.54
3498.03,5.44
3533.01,5.35
3568.34,5.25
3604.02,5.15
3640.06,5.06
3676.46,4.96
3713.22,4.87
3750.36,4.78
3787.86,4.68
3825.74,4.57
3864.00,4.43
3902.64,4.25
3941.66,4.07
3981.08,3.83
4020.89,3.54
4061.10,3.22
4101.71,2.86
4142.73,2.50
4184.15,2.13
4226.00,1.81
4268.26,1.52
4310.94,1.29
4354.05,1.17
4397.59,1.14
4441.56,1.15
4485.98,1.26
4530.84,1.40
4576.15,1.57
4621.91,1.75
4668.13,1.93
4714.81,2.10
4761.96,2.27
4809.58,2.41
4857.67,2.54
4906.25,2.64
4955.31,2.74
5004.87,2.82
5054.91,2.89
5105.46,2.95
5156.52,3.00
5208.08,3.05
5260.16,3.10
5312.77,3.14
5365.89,3.19
5419.55,3.23
5473.75,3.26
5528.49,3.29
5583.77,3.31
5639.61,3.31
5696.00,3.31
5752.96,3.29
5810.49,3.26
5868.60,3.20
5927.28,3.12
5986.56,3.03
6046.42,2.92
6106.89,2.79
6167.96,2.64
6229.64,2.48
6291.93,2.30
6354.85,2.12
6418.40,1.94
6482.58,1.76
6547.41,1.58
6612.88,1.40
6679.01,1.23
6745.80,1.08
6813.26,0.94
6881.39,0.82
6950.21,0.73
7019.71,0.67
7089.91,0.65
7160.81,0.68
7232.41,0.73
7304.74,0.80
7377.79,0.89
7451.56,1.02
7526.08,1.17
7601.34,1.33
7677.35,1.50
7754.13,1.66
7831.67,1.78
7909.98,1.87
7989.08,1.92
8068.98,1.89
8149.67,1.81
8231.16,1.69
8313.47,1.52
8396.61,1.31
8480.57,1.04
8565.38,0.73
8651.03,0.38
8737.54,0.00
8824.92,-0.38
8913.17,-0.75
9002.30,-1.11
9092.32,-1.44
9183.25,-1.74
9275.08,-2.02
9367.83,-2.25
9461.51,-2.43
9556.12,-2.57
9651.68,-2.66
9748.20,-2.71
9845.68,-2.70
9944.14,-2.66
10043.58,-2.57
10144.02,-2.46
10245.46,-2.31
10347.91,-2.14
10451.39,-1.95
10555.91,-1.74
10661.46,-1.54
10768.08,-1.33
10875.76,-1.14
10984.52,-0.98
11094.36,-0.84
11205.31,-0.73
11317.36,-0.66
11430.53,-0.61
11544.84,-0.59
11660.29,-0.58
11776.89,-0.56
11894.66,-0.50
12013.60,-0.42
12133.74,-0.30
12255.08,-0.12
12377.63,0.11
12501.41,0.37
12626.42,0.65
12752.68,0.92
12880.21,1.10
13009.01,1.25
13139.10,1.39
13270.49,1.37
13403.20,1.32
13537.23,1.20
13672.60,1.08
13809.33,0.96
13947.42,0.89
14086.90,0.87
14227.77,0.88
14370.04,0.93
14513.74,1.01
14658.88,1.08
14805.47,1.11
14953.52,1.06
15103.06,0.86
15254.09,0.58
15406.63,0.09
15560.70,-0.44
15716.30,-1.06
15873.47,-1.68
16032.20,-2.30
16192.52,-2.90
16354.45,-3.46
16517.99,-3.99
16683.17,-4.48
16850.01,-4.90
17018.51,-5.28
17188.69,-5.54
17360.58,-5.67
17534.18,-5.70
17709.53,-5.54
17886.62,-5.23
18065.49,-4.81
18246.14,-4.31
18428.60,-3.86
18612.89,-3.63
18799.02,-3.69
18987.01,-4.16
19176.88,-5.15
19368.65,-6.42
19562.33,-7.86
19757.96,-9.38
19955.54,-10.89
