frequency,raw
20.00,5.64
20.20,5.65
20.40,5.66
20.61,5.67
20.81,5.69
21.02,5.70
21.23,5.72
21.44,5.73
21.66,5.75
21.87,5.76
22.09,5.77
22.31,5.78
22.54,5.78
22.76,5.79
22.99,5.80
23.22,5.81
23.45,5.82
23.69,5.83
23.92,5.84
24.16,5.85
24.40,5.86
24.65,5.87
24.89,5.88
25.14,5.89
25.39,5.91
25.65,5.92
25.91,5.93
26.16,5.94
26.43,5.95
26.69,5.95
26.96,5.96
27.23,5.96
27.50,5.96
27.77,5.97
28.05,5.97
28.33,5.98
28.62,5.99
28.90,5.99
29.19,6.00
29.48,6.01
29.78,6.01
30.08,6.01
30.38,6.01
30.68,6.01
30.99,6.01
31.30,6.01
31.61,6.01
31.93,6.02
32.24,6.02
32.57,6.01
32.89,6.01
33.22,6.01
33.55,6.01
33.89,6.00
34.23,6.00
34.57,5.99
34.92,5.99
35.27,5.98
35.62,5.98
35.97,5.99
36.33,6.00
36.70,6.00
37.06,6.00
37.43,5.99
37.81,5.97
38.19,5.96
38.57,5.96
38.95,5.96
39.34,5.96
39.74,5.96
40.14,5.95
40.54,5.94
40.94,5.92
41.35,5.91
41.76,5.91
42.18,5.91
42.60,5.90
43.03,5.90
43.46,5.89
43.90,5.88
44.33,5.86
44.78,5.86
45.23,5.85
45.68,5.84
46.13,5.83
46.60,5.81
47.06,5.79
47.53,5.78
48.01,5.77
48.49,5.77
48.97,5.77
49.46,5.76
49.96,5.76
50.46,5.74
50.96,5.73
51.47,5.71
51.99,5.69
52.51,5.68
53.03,5.67
53.56,5.65
54.10,5.64
54.64,5.62
55.18,5.60
55.74,5.57
56.29,5.54
56.86,5.52
57.42,5.50
58.00,5.49
58.58,5.48
59.16,5.46
59.76,5.44
60.35,5.43
60.96,5.41
61.57,5.38
62.18,5.36
62.80,5.34
63.43,5.32
64.07,5.30
64.71,5.27
65.35,5.25
66.01,5.23
66.67,5.20
67.33,5.18
68.01,5.16
68.69,5.14
69.37,5.12
70.07,5.09
70.77,5.07
71.48,5.04
72.19,5.02
72.91,5.00
73.64,4.98
74.38,4.96
75.12,4.94
75.87,4.92
76.63,4.89
77.40,4.87
78.17,4.84
78.95,4.82
79.74,4.79
80.54,4.77
81.35,4.74
82.16,4.71
82.98,4.68
83.81,4.66
84.65,4.63
85.50,4.61
86.35,4.58
87.22,4.55
88.09,4.52
88.97,4.49
89.86,4.46
90.76,4.43
91.66,4.40
92.58,4.36
93.51,4.33
94.44,4.30
95.39,4.27
96.34,4.25
97.30,4.22
98.28,4.20
99.26,4.16
100.25,4.12
101.25,4.08
102.27,4.05
103.29,4.03
104.32,4.01
105.37,3.97
106.42,3.93
107.48,3.90
108.56,3.86
109.64,3.82
110.74,3.78
111.85,3.74
112.97,3.70
114.10,3.67
115.24,3.63
116.39,3.59
117.55,3.55
118.73,3.51
119.92,3.47
121.12,3.44
122.33,3.40
123.55,3.37
124.79,3.33
126.03,3.29
127.29,3.25
128.57,3.22
129.85,3.18
131.15,3.14
132.46,3.10
133.79,3.07
135.12,3.03
136.48,2.99
137.84,2.95
139.22,2.92
140.61,2.88
