frequency,raw
20.00,3.73
20.20,3.75
20.40,3.77
20.61,3.79
20.81,3.80
21.02,3.82
21.23,3.84
21.44,3.85
21.66,3.87
21.87,3.89
22.09,3.91
22.31,3.92
22.54,3.94
22.76,3.96
22.99,3.97
23.22,3.99
23.45,4.01
23.69,4.03
23.92,4.05
24.16,4.07
24.40,4.09
24.65,4.10
24.89,4.11
25.14,4.13
25.39,4.14
25.65,4.16
25.91,4.18
26.16,4.20
26.43,4.22
26.69,4.23
26.96,4.24
27.23,4.24
27.50,4.24
27.77,4.24
28.05,4.25
28.33,4.26
28.62,4.27
28.90,4.29
29.19,4.30
29.48,4.31
29.78,4.32
30.08,4.32
30.38,4.33
30.68,4.34
30.99,4.35
31.30,4.36
31.61,4.37
31.93,4.37
32.24,4.37
32.57,4.37
32.89,4.38
33.22,4.38
33.55,4.39
33.89,4.40
34.23,4.41
34.57,4.41
34.92,4.42
35.27,4.43
35.62,4.43
35.97,4.44
36.33,4.45
36.70,4.45
37.06,4.45
37.43,4.45
37.81,4.45
38.19,4.45
38.57,4.46
38.95,4.47
39.34,4.47
39.74,4.48
40.14,4.47
40.54,4.47
40.94,4.47
41.35,4.47
41.76,4.48
42.18,4.49
42.60,4.49
43.03,4.49
43.46,4.50
43.90,4.50
44.33,4.52
44.78,4.52
45.23,4.52
45.68,4.52
46.13,4.51
46.60,4.52
47.06,4.53
47.53,4.54
48.01,4.53
48.49,4.52
48.97,4.51
49.46,4.51
49.96,4.52
50.46,4.54
50.96,4.55
51.47,4.55
51.99,4.54
52.51,4.54
53.03,4.53
53.56,4.54
54.10,4.53
54.64,4.53
55.18,4.52
55.74,4.52
56.29,4.52
56.86,4.51
57.42,4.51
58.00,4.50
58.58,4.51
59.16,4.51
59.76,4.50
60.35,4.49
60.96,4.48
61.57,4.48
62.18,4.47
62.80,4.46
63.43,4.45
64.07,4.45
64.71,4.44
65.35,4.44
66.01,4.43
66.67,4.42
67.33,4.41
68.01,4.40
68.69,4.40
69.37,4.39
70.07,4.38
70.77,4.37
71.48,4.36
72.19,4.35
72.91,4.35
73.64,4.33
74.38,4.32
75.12,4.32
75.87,4.31
76.63,4.30
77.40,4.29
78.17,4.28
78.95,4.27
79.74,4.26
80.54,4.25
81.35,4.24
82.16,4.23
82.98,4.22
83.81,4.21
84.65,4.20
85.50,4.19
86.35,4.18
87.22,4.17
88.09,4.15
88.97,4.14
89.86,4.13
90.76,4.12
91.66,4.11
92.58,4.10
93.51,4.09
94.44,4.08
95.39,4.07
96.34,4.05
97.30,4.03
98.28,4.02
99.26,4.02
100.25,4.01
101.25,3.97
102.27,3.96
103.29,3.95
104.32,3.93
105.37,3.91
106.42,3.89
107.48,3.88
108.56,3.86
109.64,3.85
110.74,3.84
111.85,3.82
112.97,3.80
114.10,3.79
115.24,3.77
116.39,3.75
117.55,3.74
118.73,3.72
119.92,3.71
121.12,3.69
122.33,3.68
123.55,3.65
124.79,3.63
126.03,3.61
127.29,3.59
128.57,3.57
129.85,3.55
131.15,3.53
132.46,3.51
133.79,3.49
135.12,3.47
136.48,3.45
137.84,3.43
139.22,3.41
140.61,3.38
142.02,3.36
143.44,3.34
144.87,3.31
146.32,3.30
147.78,3.29
149.26,3.34
150.75,3.31
152.26,3.21
153.78,3.17
155.32,3.14
156.88,3.11
158.44,3.08
160.03,3.06
161.63,3.03
163.24,3.00
164.88,2.97
166.53,2.94
168.19,2.91
169.87,2.88
171.57,2.85
173.29,2.82
175.02,2.79
176.77,2.75
178.54,2.72
180.32,2.68
182.13,2.65
183.95,2.61
185.79,2.57
187.65,2.53
189.52,2.49
191.42,2.45
193.33,2.42
195.27,2.39
197.22,2.37
199.19,2.35
201.18,2.33
203.19,2.31
205.23,2.31
207.28,2.30
209.35,2.30
211.44,2.29
213.56,2.27
215.69,2.25
217.85,2.22
220.03,2.20
222.23,2.17
224.45,2.14
226.70,2.11
228.96,2.08
231.25,2.05
233.57,2.02
235.90,1.98
238.26,1.95
240.64,1.92
243.05,1.88
245.48,1.85
247.93,1.81
250.41,1.77
252.92,1.73
255.45,1.70
258.00,1.67
260.58,1.63
263.19,1.59
265.82,1.56
268.48,1.52
271.16,1.48
273.87,1.45
276.61,1.41
279.38,1.38
282.17,1.35
284.99,1.31
287.84,1.28
290.72,1.24
293.63,1.21
296.57,1.17
299.53,1.14
302.53,1.11
305.55,1.09
308.61,1.06
311.69,1.03
314.81,1.00
317.96,0.97
321.14,0.94
324.35,0.92
327.59,0.89
330.87,0.86
334.18,0.83
337.52,0.80
340.90,0.76
344.30,0.73
347.75,0.70
351.23,0.66
354.74,0.61
358.28,0.58
361.87,0.54
365.49,0.50
369.14,0.46
372.83,0.43
376.56,0.39
380.33,0.36
384.13,0.33
387.97,0.31
391.85,0.28
395.77,0.26
399.73,0.23
403.72,0.21
407.76,0.18
411.84,0.15
415.96,0.12
420.12,0.09
424.32,0.07
428.56,0.04
432.85,0.02
437.18,-0.01
441.55,-0.03
445.96,-0.08
450.42,-0.13
454.93,-0.11
459.48,-0.13
464.07,-0.16
468.71,-0.19
473.40,-0.22
478.13,-0.24
482.91,-0.27
487.74,-0.30
492.62,-0.33
497.55,-0.35
502.52,-0.38
507.55,-0.40
512.62,-0.43
517.75,-0.45
522.93,-0.48
528.16,-0.50
533.44,-0.53
538.77,-0.55
544.16,-0.58
549.60,-0.59
555.10,-0.62
560.65,-0.64
566.25,-0.66
571.92,-0.68
577.64,-0.69
583.41,-0.68
589.25,-0.67
595.14,-0.68
601.09,-0.69
607.10,-0.72
613.17,-0.74
619.30,-0.76
625.50,-0.79
631.75,-0.81
638.07,-0.80
644.45,-0.76
650.89,-0.72
657.40,-0.77
663.98,-0.81
670.62,-0.84
677.32,-0.86
684.10,-0.88
690.94,-0.89
697.85,-0.90
704.83,-0.91
711.87,-0.92
718.99,-0.93
726.18,-0.93
733.44,-0.93
740.78,-0.94
748.19,-0.96
755.67,-0.95
763.23,-0.92
770.86,-0.92
778.57,-0.91
786.35,-0.91
794.22,-0.89
802.16,-0.88
810.18,-0.86
818.28,-0.85
826.46,-0.83
834.73,-0.81
843.08,-0.79
851.51,-0.78
860.02,-0.73
868.62,-0.70
877.31,-0.67
886.08,-0.63
894.94,-0.59
903.89,-0.55
912.93,-0.51
922.06,-0.46
931.28,-0.42
940.59,-0.37
950.00,-0.33
959.50,-0.25
969.09,-0.19
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.06
1018.53,0.12
1028.71,0.20
1039.00,0.27
1049.39,0.34
1059.88,0.42
1070.48,0.50
1081.19,0.58
1092.00,0.66
1102.92,0.75
1113.95,0.84
1125.09,0.93
1136.34,1.03
1147.70,1.14
1159.18,1.23
1170.77,1.31
1182.48,1.40
1194.30,1.49
1206.25,1.58
1218.31,1.68
1230.49,1.79
1242.80,1.89
1255.22,1.99
1267.78,2.10
1280.45,2.20
1293.26,2.30
1306.19,2.40
1319.25,2.50
1332.45,2.60
1345.77,2.69
1359.23,2.75
1372.82,2.85
1386.55,2.95
1400.41,3.05
1414.42,3.15
1428.56,3.25
1442.85,3.36
1457.28,3.46
1471.85,3.56
1486.57,3.66
1501.43,3.77
1516.45,3.88
1531.61,3.98
1546.93,4.08
1562.40,4.19
1578.02,4.31
1593.80,4.42
1609.74,4.54
1625.84,4.65
1642.10,4.77
1658.52,4.89
1675.10,5.03
1691.85,5.16
1708.77,5.29
1725.86,5.43
1743.12,5.57
1760.55,5.72
1778.15,5.87
1795.94,6.02
1813.90,6.17
1832.03,6.33
1850.36,6.50
1868.86,6.66
1887.55,6.81
1906.42,6.98
1925.49,7.14
1944.74,7.28
1964.19,7.43
1983.83,7.57
2003.67,7.70
2023.71,7.81
2043.94,7.90
2064.38,7.99
2085.03,8.06
2105.88,8.11
2126.94,8.16
2148.20,8.19
2169.69,8.21
2191.38,8.23
2213.30,8.24
2235.43,8.24
2257.78,8.24
2280.36,8.24
2303.17,8.24
2326.20,8.23
2349.46,8.22
2372.95,8.21
2396.68,8.20
2420.65,8.18
2444.86,8.16
2469.31,8.15
2494.00,8.12
2518.94,8.10
2544.13,8.07
2569.57,8.04
2595.27,8.01
2621.22,7.97
2647.43,7.93
2673.90,7.89
2700.64,7.85
2727.65,7.81
2754.93,7.76
2782.48,7.71
2810.30,7.67
2838.40,7.62
2866.79,7.57
2895.46,7.52
2924.41,7.47
2953.65,7.43
2983.19,7.38
3013.02,7.33
3043.15,7.29
3073.58,7.25
3104.32,7.22
3135.36,7.19
3166.72,7.16
3198.38,7.14
3230.37,7.11
3262.67,7.09
3295.30,7.08
3328.25,7.07
3361.53,7.06
3395.15,7.06
3429.10,7.07
3463.39,7.08
3498.03,7.09
3533.01,7.11
3568.34,7.14
3604.02,7.17
3640.06,7.21
3676.46,7.27
3713.22,7.34
3750.36,7.41
3787.86,7.52
3825.74,7.62
3864.00,7.73
3902.64,7.85
3941.66,7.98
3981.08,8.10
4020.89,8.24
4061.10,8.38
4101.71,8.53
4142.73,8.69
4184.15,8.86
4226.00,9.04
4268.26,9.22
4310.94,9.39
4354.05,9.57
4397.59,9.74
4441.56,9.92
4485.98,10.08
4530.84,10.21
4576.15,10.32
4621.91,10.42
4668.13,10.48
4714.81,10.48
4761.96,10.45
4809.58,10.36
4857.67,10.23
4906.25,10.03
4955.31,9.81
5004.87,9.54
5054.91,9.23
5105.46,8.90
5156.52,8.55
5208.08,8.16
5260.16,7.76
5312.77,7.35
5365.89,6.94
5419.55,6.53
5473.75,6.12
5528.49,5.71
5583.77,5.31
5639.61,4.93
5696.00,4.54
5752.96,4.17
5810.49,3.78
5868.60,3.33
5927.28,3.01
5986.56,2.83
6046.42,2.91
6106.89,2.89
6167.96,2.65
6229.64,2.42
6291.93,2.24
6354.85,2.09
6418.40,1.97
6482.58,1.88
6547.41,1.82
6612.88,1.79
6679.01,1.80
6745.80,1.84
6813.26,1.91
6881.39,2.04
6950.21,2.22
7019.71,2.44
7089.91,2.71
7160.81,3.04
7232.41,3.42
7304.74,3.84
7377.79,4.36
7451.56,4.95
7526.08,5.58
7601.34,6.27
7677.35,7.03
7754.13,7.79
7831.67,8.37
7909.98,8.81
7989.08,9.01
8068.98,8.71
8149.67,8.13
8231.16,7.23
8313.47,6.14
8396.61,4.99
8480.57,3.83
8565.38,2.74
8651.03,1.69
8737.54,0.69
8824.92,-0.22
8913.17,-1.05
9002.30,-1.86
9092.32,-2.58
9183.25,-3.24
9275.08,-3.87
9367.83,-4.42
9461.51,-4.93
9556.12,-5.38
9651.68,-5.79
9748.20,-6.16
9845.68,-6.49
9944.14,-6.76
10043.58,-6.98
10144.02,-7.19
10245.46,-7.31
10347.91,-7.40
10451.39,-7.44
10555.91,-7.41
10661.46,-7.32
10768.08,-7.19
10875.76,-6.99
10984.52,-6.75
11094.36,-6.48
11205.31,-6.18
11317.36,-5.84
11430.53,-5.42
11544.84,-4.75
11660.29,-3.86
11776.89,-2.81
11894.66,-1.28
12013.60,0.33
12133.74,2.15
12255.08,3.65
12377.63,4.61
12501.41,3.99
12626.42,1.90
12752.68,-0.20
12880.21,-1.99
13009.01,-3.59
13139.10,-5.19
13270.49,-6.36
13403.20,-7.41
13537.23,-8.20
13672.60,-8.86
13809.33,-9.37
13947.42,-9.63
14086.90,-9.82
14227.77,-9.95
14370.04,-10.02
14513.74,-9.98
14658.88,-9.78
14805.47,-9.48
14953.52,-9.01
15103.06,-8.35
15254.09,-7.59
15406.63,-6.46
15560.70,-5.23
15716.30,-3.84
15873.47,-2.76
16032.20,-2.04
16192.52,-2.34
16354.45,-3.49
