frequency,raw
20.00,15.09
20.20,15.13
20.40,15.11
20.61,15.04
20.81,14.86
21.02,14.65
21.23,14.41
21.44,14.19
21.66,14.03
21.87,13.90
22.09,13.89
22.31,13.94
22.54,14.04
22.76,14.15
22.99,14.26
23.22,14.34
23.45,14.38
23.69,14.40
23.92,14.39
24.16,14.36
24.40,14.34
24.65,14.31
24.89,14.29
25.14,14.28
25.39,14.26
25.65,14.24
25.91,14.22
26.16,14.19
26.43,14.16
26.69,14.14
26.96,14.12
27.23,14.11
27.50,14.09
27.77,14.07
28.05,14.05
28.33,14.01
28.62,13.97
28.90,13.93
29.19,13.89
29.48,13.85
29.78,13.83
30.08,13.81
30.38,13.80
30.68,13.79
30.99,13.78
31.30,13.75
31.61,13.71
31.93,13.67
32.24,13.61
32.57,13.56
32.89,13.50
33.22,13.44
33.55,13.39
33.89,13.34
34.23,13.30
34.57,13.27
34.92,13.25
35.27,13.23
35.62,13.22
35.97,13.21
36.33,13.19
36.70,13.16
37.06,13.12
37.43,13.09
37.81,13.05
38.19,13.02
38.57,12.99
38.95,12.97
39.34,12.94
39.74,12.91
40.14,12.87
40.54,12.84
40.94,12.80
41.35,12.75
41.76,12.71
42.18,12.66
42.60,12.62
43.03,12.59
43.46,12.57
43.90,12.53
44.33,12.49
44.78,12.44
45.23,12.38
45.68,12.32
46.13,12.26
46.60,12.20
47.06,12.16
47.53,12.12
48.01,12.09
48.49,12.05
48.97,12.01
49.46,11.97
49.96,11.92
50.46,11.87
50.96,11.82
51.47,11.78
51.99,11.74
52.51,11.69
53.03,11.65
53.56,11.61
54.10,11.57
54.64,11.53
55.18,11.48
55.74,11.44
56.29,11.39
56.86,11.33
57.42,11.28
58.00,11.22
58.58,11.16
59.16,11.09
59.76,11.03
60.35,10.97
60.96,10.91
61.57,10.85
62.18,10.79
62.80,10.74
63.43,10.68
64.07,10.63
64.71,10.57
65.35,10.51
66.01,10.44
66.67,10.39
67.33,10.33
68.01,10.28
68.69,10.23
69.37,10.18
70.07,10.13
70.77,10.08
71.48,10.02
72.19,9.97
72.91,9.91
73.64,9.85
74.38,9.79
75.12,9.73
75.87,9.67
76.63,9.62
77.40,9.56
78.17,9.51
78.95,9.45
79.74,9.39
80.54,9.33
81.35,9.26
82.16,9.20
82.98,9.14
83.81,9.07
84.65,9.01
85.50,8.94
86.35,8.88
87.22,8.81
88.09,8.74
88.97,8.67
89.86,8.60
90.76,8.54
91.66,8.47
92.58,8.41
93.51,8.36
94.44,8.34
95.39,8.34
96.34,8.38
97.30,8.46
98.28,8.54
99.26,8.58
100.25,8.55
101.25,8.42
102.27,8.23
103.29,8.02
104.32,7.82
105.37,7.66
106.42,7.54
107.48,7.44
108.56,7.37
109.64,7.31
110.74,7.26
111.85,7.21
112.97,7.15
114.10,7.09
115.24,7.03
116.39,6.96
117.55,6.90
118.73,6.84
119.92,6.77
121.12,6.71
122.33,6.64
123.55,6.57
124.79,6.50
126.03,6.43
127.29,6.37
128.57,6.31
129.85,6.24
131.15,6.17
132.46,6.11
133.79,6.04
135.12,5.97
136.48,5.91
137.84,5.84
139.22,5.77
140.61,5.70
142.02,5.62
143.44,5.55
144.87,5.48
146.32,5.41
147.78,5.34
149.26,5.27
150.75,5.21
152.26,5.14
153.78,5.07
155.32,5.00
156.88,4.94
158.44,4.87
160.03,4.80
161.63,4.73
163.24,4.67
164.88,4.60
166.53,4.53
168.19,4.47
169.87,4.40
171.57,4.34
173.29,4.28
175.02,4.22
176.77,4.17
178.54,4.13
180.32,4.09
182.13,4.05
183.95,4.00
185.79,3.95
187.65,3.90
189.52,3.85
191.42,3.79
193.33,3.73
195.27,3.66
197.22,3.57
199.19,3.48
201.18,3.41
203.19,3.36
205.23,3.32
207.28,3.27
209.35,3.23
211.44,3.18
213.56,3.12
215.69,3.07
217.85,3.01
220.03,2.97
222.23,2.93
224.45,2.88
226.70,2.84
228.96,2.79
231.25,2.74
233.57,2.69
235.90,2.63
238.26,2.57
240.64,2.51
243.05,2.45
245.48,2.39
247.93,2.33
250.41,2.27
252.92,2.22
255.45,2.16
258.00,2.10
260.58,2.04
263.19,1.98
265.82,1.92
268.48,1.87
271.16,1.82
273.87,1.76
276.61,1.71
279.38,1.65
282.17,1.60
284.99,1.55
287.84,1.49
290.72,1.44
293.63,1.39
296.57,1.34
299.53,1.29
302.53,1.24
305.55,1.19
308.61,1.13
311.69,1.08
314.81,1.03
317.96,0.98
321.14,0.93
324.35,0.88
327.59,0.84
330.87,0.79
334.18,0.74
337.52,0.70
340.90,0.65
344.30,0.61
347.75,0.57
351.23,0.52
354.74,0.48
358.28,0.43
361.87,0.39
365.49,0.35
369.14,0.30
372.83,0.26
376.56,0.22
380.33,0.18
384.13,0.14
387.97,0.10
391.85,0.06
395.77,0.02
399.73,-0.02
403.72,-0.06
407.76,-0.09
411.84,-0.13
415.96,-0.17
420.12,-0.21
424.32,-0.25
428.56,-0.28
432.85,-0.32
437.18,-0.35
441.55,-0.39
445.96,-0.42
450.42,-0.46
454.93,-0.49
459.48,-0.52
464.07,-0.55
468.71,-0.59
473.40,-0.62
478.13,-0.65
482.91,-0.68
487.74,-0.71
492.62,-0.74
497.55,-0.77
502.52,-0.79
507.55,-0.82
512.62,-0.84
517.75,-0.87
522.93,-0.89
528.16,-0.92
533.44,-0.94
538.77,-0.97
544.16,-0.99
549.60,-1.01
555.10,-1.03
560.65,-1.05
566.25,-1.07
571.92,-1.09
577.64,-1.11
583.41,-1.12
589.25,-1.14
595.14,-1.16
601.09,-1.18
607.10,-1.19
613.17,-1.20
619.30,-1.21
625.50,-1.23
631.75,-1.24
638.07,-1.25
644.45,-1.26
650.89,-1.27
657.40,-1.28
663.98,-1.28
670.62,-1.29
677.32,-1.29
684.10,-1.30
690.94,-1.30
697.85,-1.30
704.83,-1.30
711.87,-1.30
718.99,-1.29
726.18,-1.29
733.44,-1.28
740.78,-1.27
748.19,-1.26
755.67,-1.25
763.23,-1.24
770.86,-1.22
778.57,-1.21
786.35,-1.19
794.22,-1.17
802.16,-1.14
810.18,-1.12
818.28,-1.09
826.46,-1.06
834.73,-1.03
843.08,-1.00
851.51,-0.96
860.02,-0.92
868.62,-0.88
877.31,-0.84
886.08,-0.79
894.94,-0.74
903.89,-0.69
912.93,-0.63
922.06,-0.57
931.28,-0.51
940.59,-0.45
950.00,-0.38
959.50,-0.31
969.09,-0.24
978.78,-0.17
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.23
1039.00,0.32
1049.39,0.41
1059.88,0.50
1070.48,0.59
1081.19,0.68
1092.00,0.77
1102.92,0.86
1113.95,0.96
1125.09,1.06
1136.34,1.15
1147.70,1.25
1159.18,1.36
1170.77,1.46
1182.48,1.56
1194.30,1.66
1206.25,1.77
1218.31,1.87
1230.49,1.97
1242.80,2.07
1255.22,2.18
1267.78,2.28
1280.45,2.38
1293.26,2.49
1306.19,2.59
1319.25,2.70
1332.45,2.81
1345.77,2.92
1359.23,3.03
1372.82,3.15
1386.55,3.27
1400.41,3.39
1414.42,3.50
1428.56,3.62
1442.85,3.73
1457.28,3.83
1471.85,3.92
1486.57,3.98
1501.43,4.04
1516.45,4.08
1531.61,4.12
1546.93,4.16
1562.40,4.22
1578.02,4.30
1593.80,4.39
1609.74,4.51
1625.84,4.63
1642.10,4.78
1658.52,4.93
1675.10,5.08
1691.85,5.24
1708.77,5.40
1725.86,5.56
1743.12,5.72
1760.55,5.88
1778.15,6.04
1795.94,6.20
1813.90,6.38
1832.03,6.56
1850.36,6.77
1868.86,6.99
1887.55,7.22
1906.42,7.45
1925.49,7.68
1944.74,7.89
1964.19,8.06
1983.83,8.20
2003.67,8.29
2023.71,8.34
2043.94,8.37
2064.38,8.39
2085.03,8.43
2105.88,8.50
2126.94,8.59
2148.20,8.73
2169.69,8.89
2191.38,9.06
2213.30,9.24
2235.43,9.43
2257.78,9.61
2280.36,9.78
2303.17,9.95
2326.20,10.11
2349.46,10.26
2372.95,10.38
2396.68,10.50
2420.65,10.60
2444.86,10.67
2469.31,10.74
2494.00,10.77
2518.94,10.79
2544.13,10.79
2569.57,10.77
2595.27,10.74
2621.22,10.69
2647.43,10.62
2673.90,10.53
2700.64,10.43
2727.65,10.31
2754.93,10.16
2782.48,10.00
2810.30,9.84
2838.40,9.68
2866.79,9.55
2895.46,9.42
2924.41,9.33
2953.65,9.25
2983.19,9.18
3013.02,9.11
3043.15,9.03
