frequency,raw
20.00,7.16
20.20,7.16
20.40,7.17
20.61,7.17
20.81,7.18
21.02,7.19
21.23,7.19
21.44,7.20
21.66,7.20
21.87,7.21
22.09,7.21
22.31,7.22
22.54,7.22
22.76,7.22
22.99,7.23
23.22,7.23
23.45,7.24
23.69,7.24
23.92,7.25
24.16,7.25
24.40,7.25
24.65,7.25
24.89,7.25
25.14,7.25
25.39,7.25
25.65,7.25
25.91,7.25
26.16,7.25
26.43,7.25
26.69,7.26
26.96,7.26
27.23,7.26
27.50,7.25
27.77,7.25
28.05,7.24
28.33,7.24
28.62,7.23
28.90,7.23
29.19,7.22
29.48,7.22
29.78,7.22
30.08,7.21
30.38,7.21
30.68,7.20
30.99,7.19
31.30,7.18
31.61,7.17
31.93,7.15
32.24,7.14
32.57,7.13
32.89,7.11
33.22,7.10
33.55,7.09
33.89,7.08
34.23,7.06
34.57,7.05
34.92,7.04
35.27,7.03
35.62,7.01
35.97,7.00
36.33,6.98
36.70,6.96
37.06,6.94
37.43,6.92
37.81,6.90
38.19,6.88
38.57,6.86
38.95,6.84
39.34,6.82
39.74,6.81
40.14,6.79
40.54,6.77
40.94,6.74
41.35,6.72
41.76,6.70
42.18,6.68
42.60,6.66
43.03,6.64
43.46,6.62
43.90,6.60
44.33,6.57
44.78,6.55
45.23,6.52
45.68,6.49
46.13,6.47
46.60,6.44
47.06,6.42
47.53,6.40
48.01,6.37
48.49,6.34
48.97,6.31
49.46,6.27
49.96,6.24
50.46,6.21
50.96,6.18
51.47,6.15
51.99,6.11
52.51,6.08
53.03,6.04
53.56,6.01
54.10,5.97
54.64,5.94
55.18,5.90
55.74,5.86
56.29,5.83
56.86,5.79
57.42,5.75
58.00,5.71
58.58,5.67
59.16,5.63
59.76,5.59
60.35,5.55
60.96,5.51
61.57,5.48
62.18,5.44
62.80,5.40
63.43,5.37
64.07,5.32
64.71,5.28
65.35,5.23
66.01,5.18
66.67,5.13
67.33,5.08
68.01,5.03
68.69,4.98
69.37,4.93
70.07,4.87
70.77,4.82
71.48,4.78
72.19,4.73
72.91,4.69
73.64,4.65
74.38,4.61
75.12,4.57
75.87,4.52
76.63,4.48
77.40,4.43
78.17,4.38
78.95,4.33
79.74,4.27
80.54,4.22
81.35,4.16
82.16,4.10
82.98,4.05
83.81,3.98
84.65,3.92
85.50,3.86
86.35,3.79
87.22,3.73
88.09,3.68
88.97,3.62
89.86,3.56
90.76,3.51
91.66,3.47
92.58,3.43
93.51,3.38
94.44,3.33
95.39,3.28
96.34,3.23
97.30,3.17
98.28,3.11
99.26,3.05
100.25,3.00
101.25,2.94
102.27,2.88
103.29,2.82
104.32,2.76
105.37,2.70
106.42,2.64
107.48,2.58
108.56,2.52
109.64,2.47
110.74,2.41
111.85,2.36
112.97,2.30
114.10,2.25
115.24,2.19
116.39,2.12
117.55,2.06
118.73,1.99
119.92,1.92
121.12,1.87
122.33,1.82
123.55,1.77
124.79,1.72
126.03,1.67
127.29,1.62
128.57,1.58
129.85,1.53
131.15,1.48
132.46,1.44
133.79,1.39
135.12,1.33
136.48,1.27
137.84,1.21
139.22,1.16
140.61,1.10
142.02,1.05
143.44,1.01
144.87,0.96
146.32,0.92
147.78,0.87
149.26,0.83
150.75,0.78
152.26,0.74
153.78,0.70
155.32,0.67
156.88,0.63
158.44,0.60
160.03,0.57
161.63,0.55
163.24,0.53
164.88,0.51
166.53,0.50
168.19,0.48
169.87,0.46
171.57,0.43
173.29,0.38
175.02,0.32
176.77,0.24
178.54,0.17
180.32,0.09
182.13,0.03
183.95,-0.03
185.79,-0.08
187.65,-0.12
189.52,-0.16
191.42,-0.20
193.33,-0.24
195.27,-0.28
197.22,-0.32
199.19,-0.36
201.18,-0.40
203.19,-0.43
205.23,-0.46
207.28,-0.49
209.35,-0.52
211.44,-0.55
213.56,-0.57
215.69,-0.60
217.85,-0.62
220.03,-0.64
222.23,-0.67
224.45,-0.69
226.70,-0.71
228.96,-0.73
231.25,-0.75
233.57,-0.77
235.90,-0.78
238.26,-0.79
240.64,-0.81
243.05,-0.82
245.48,-0.84
247.93,-0.85
250.41,-0.86
252.92,-0.87
255.45,-0.88
258.00,-0.89
260.58,-0.91
263.19,-0.92
265.82,-0.94
268.48,-0.95
271.16,-0.96
273.87,-0.98
276.61,-0.99
279.38,-0.99
282.17,-1.00
284.99,-1.01
287.84,-1.02
290.72,-1.03
293.63,-1.03
296.57,-1.04
299.53,-1.05
302.53,-1.05
305.55,-1.06
308.61,-1.06
311.69,-1.06
314.81,-1.06
317.96,-1.06
321.14,-1.06
324.35,-1.06
327.59,-1.07
330.87,-1.07
334.18,-1.07
337.52,-1.07
340.90,-1.07
344.30,-1.07
347.75,-1.08
351.23,-1.08
354.74,-1.08
358.28,-1.09
361.87,-1.09
365.49,-1.09
369.14,-1.10
372.83,-1.10
376.56,-1.10
380.33,-1.11
384.13,-1.11
387.97,-1.11
391.85,-1.12
395.77,-1.12
399.73,-1.13
403.72,-1.14
407.76,-1.14
411.84,-1.15
415.96,-1.16
420.12,-1.16
424.32,-1.17
428.56,-1.17
432.85,-1.17
437.18,-1.18
441.55,-1.18
445.96,-1.18
450.42,-1.18
454.93,-1.19
459.48,-1.19
464.07,-1.19
468.71,-1.20
473.40,-1.20
478.13,-1.20
482.91,-1.21
487.74,-1.21
492.62,-1.22
497.55,-1.22
502.52,-1.23
507.55,-1.23
512.62,-1.24
517.75,-1.24
522.93,-1.24
528.16,-1.25
533.44,-1.26
538.77,-1.26
544.16,-1.26
549.60,-1.27
555.10,-1.27
560.65,-1.28
566.25,-1.28
571.92,-1.29
577.64,-1.29
583.41,-1.29
589.25,-1.30
595.14,-1.30
601.09,-1.31
607.10,-1.31
613.17,-1.31
619.30,-1.32
625.50,-1.32
631.75,-1.32
638.07,-1.33
644.45,-1.33
650.89,-1.34
657.40,-1.34
663.98,-1.35
670.62,-1.35
677.32,-1.35
684.10,-1.36
690.94,-1.36
697.85,-1.36
704.83,-1.36
711.87,-1.36
718.99,-1.36
726.18,-1.36
733.44,-1.36
740.78,-1.36
748.19,-1.35
755.67,-1.35
763.23,-1.34
770.86,-1.32
778.57,-1.31
786.35,-1.29
794.22,-1.27
802.16,-1.25
810.18,-1.22
818.28,-1.18
826.46,-1.14
834.73,-1.08
843.08,-1.03
851.51,-0.96
860.02,-0.88
868.62,-0.80
877.31,-0.71
886.08,-0.62
894.94,-0.53
903.89,-0.44
912.93,-0.36
922.06,-0.29
931.28,-0.23
940.59,-0.18
950.00,-0.14
959.50,-0.11
969.09,-0.08
978.78,-0.06
988.57,-0.03
998.46,-0.00
1008.44,0.03
1018.53,0.06
1028.71,0.10
1039.00,0.14
1049.39,0.18
1059.88,0.23
1070.48,0.27
1081.19,0.32
1092.00,0.38
1102.92,0.44
1113.95,0.50
1125.09,0.56
1136.34,0.62
1147.70,0.69
1159.18,0.75
1170.77,0.82
1182.48,0.88
1194.30,0.94
1206.25,1.00
1218.31,1.06
1230.49,1.12
1242.80,1.17
1255.22,1.22
1267.78,1.27
1280.45,1.32
1293.26,1.37
1306.19,1.42
1319.25,1.46
1332.45,1.51
1345.77,1.55
