frequency,raw
20.00,9.60
20.20,9.64
20.40,9.69
20.61,9.73
20.81,9.78
21.02,9.83
21.23,9.88
21.44,9.93
21.66,9.99
21.87,10.04
22.09,10.09
22.31,10.14
22.54,10.18
22.76,10.23
22.99,10.28
23.22,10.33
23.45,10.39
23.69,10.44
23.92,10.49
24.16,10.54
24.40,10.59
24.65,10.63
24.89,10.68
25.14,10.70
25.39,10.71
25.65,10.72
25.91,10.73
26.16,10.77
26.43,10.83
26.69,10.89
26.96,10.95
27.23,10.96
27.50,10.96
27.77,10.96
28.05,10.97
28.33,11.04
28.62,11.10
28.90,11.17
29.19,11.19
29.48,11.19
29.78,11.19
30.08,11.21
30.38,11.28
30.68,11.35
30.99,11.42
31.30,11.42
31.61,11.42
31.93,11.42
32.24,11.42
32.57,11.42
32.89,11.42
33.22,11.47
33.55,11.55
33.89,11.62
34.23,11.65
34.57,11.65
34.92,11.65
35.27,11.65
35.62,11.65
35.97,11.65
36.33,11.66
36.70,11.67
37.06,11.69
37.43,11.76
37.81,11.83
38.19,11.87
38.57,11.87
38.95,11.87
39.34,11.87
39.74,11.87
40.14,11.87
40.54,11.87
40.94,11.87
41.35,11.87
41.76,11.87
42.18,11.87
42.60,11.87
43.03,11.88
43.46,11.98
43.90,12.08
44.33,12.10
44.78,12.10
45.23,12.10
45.68,12.10
46.13,12.10
46.60,12.10
47.06,12.10
47.53,12.10
48.01,12.10
48.49,12.10
48.97,12.10
49.46,12.10
49.96,12.10
50.46,12.10
50.96,12.10
51.47,12.10
51.99,12.10
52.51,12.10
53.03,12.10
53.56,12.10
54.10,12.10
54.64,12.10
55.18,12.10
55.74,12.10
56.29,12.10
56.86,12.10
57.42,12.10
58.00,12.10
58.58,12.10
59.16,12.10
59.76,12.10
60.35,12.10
60.96,12.10
61.57,12.10
62.18,12.10
62.80,12.10
63.43,12.10
64.07,12.10
64.71,12.10
65.35,12.10
66.01,12.10
66.67,12.10
67.33,12.02
68.01,11.87
68.69,11.87
69.37,11.87
70.07,11.87
70.77,11.87
71.48,11.87
72.19,11.87
72.91,11.87
73.64,11.87
74.38,11.87
75.12,11.87
75.87,11.87
76.63,11.87
77.40,11.85
78.17,11.78
78.95,11.66
79.74,11.65
80.54,11.65
81.35,11.65
82.16,11.65
82.98,11.65
83.81,11.65
84.65,11.65
85.50,11.65
86.35,11.65
87.22,11.60
88.09,11.42
88.97,11.42
89.86,11.42
90.76,11.42
91.66,11.42
92.58,11.42
93.51,11.42
94.44,11.42
95.39,11.32
96.34,11.19
