frequency,raw
20.00,-8.43
20.20,-8.34
20.40,-8.25
20.61,-8.15
20.81,-8.06
21.02,-7.98
21.23,-7.93
21.44,-7.88
21.66,-7.83
21.87,-7.78
22.09,-7.71
22.31,-7.60
22.54,-7.50
22.76,-7.40
22.99,-7.29
23.22,-7.24
23.45,-7.19
23.69,-7.14
23.92,-7.09
24.16,-7.00
24.40,-6.90
24.65,-6.80
24.89,-6.69
25.14,-6.63
25.39,-6.60
25.65,-6.57
25.91,-6.53
26.16,-6.47
26.43,-6.39
26.69,-6.30
26.96,-6.22
27.23,-6.20
27.50,-6.18
27.77,-6.16
28.05,-6.13
28.33,-6.00
28.62,-5.87
28.90,-5.74
29.19,-5.66
29.48,-5.60
29.78,-5.54
30.08,-5.49
30.38,-5.48
30.68,-5.48
30.99,-5.47
31.30,-5.40
31.61,-5.33
31.93,-5.26
32.24,-5.18
32.57,-5.11
32.89,-5.03
33.22,-4.96
33.55,-4.89
33.89,-4.81
34.23,-4.79
34.57,-4.79
34.92,-4.79
35.27,-4.73
35.62,-4.65
35.97,-4.57
36.33,-4.55
36.70,-4.54
37.06,-4.50
37.43,-4.34
37.81,-4.18
38.19,-4.10
38.57,-4.10
38.95,-4.10
39.34,-4.02
39.74,-3.93
40.14,-3.87
40.54,-3.87
40.94,-3.87
41.35,-3.81
41.76,-3.74
42.18,-3.69
42.60,-3.67
43.03,-3.64
43.46,-3.54
43.90,-3.44
44.33,-3.42
44.78,-3.42
45.23,-3.42
45.68,-3.42
46.13,-3.39
46.60,-3.28
47.06,-3.19
47.53,-3.19
48.01,-3.19
48.49,-3.13
48.97,-3.06
49.46,-3.01
49.96,-2.96
50.46,-2.94
50.96,-2.92
51.47,-2.83
51.99,-2.74
52.51,-2.74
53.03,-2.73
53.56,-2.61
54.10,-2.51
54.64,-2.51
55.18,-2.51
55.74,-2.51
56.29,-2.44
56.86,-2.31
57.42,-2.28
58.00,-2.28
58.58,-2.28
59.16,-2.28
59.76,-2.28
60.35,-2.28
60.96,-2.28
61.57,-2.28
62.18,-2.28
62.80,-2.28
63.43,-2.32
64.07,-2.39
64.71,-2.51
65.35,-2.62
66.01,-2.75
66.67,-3.21
67.33,-3.62
68.01,-3.97
68.69,-4.22
69.37,-4.33
70.07,-4.30
70.77,-3.99
71.48,-3.66
72.19,-3.34
72.91,-3.08
73.64,-2.85
74.38,-2.67
75.12,-2.52
75.87,-2.26
76.63,-2.11
77.40,-2.03
78.17,-1.96
78.95,-1.83
79.74,-1.82
80.54,-1.74
81.35,-1.65
82.16,-1.60
82.98,-1.60
83.81,-1.60
84.65,-1.45
85.50,-1.37
86.35,-1.37
87.22,-1.37
88.09,-1.37
88.97,-1.37
89.86,-1.21
90.76,-1.15
91.66,-1.14
92.58,-1.14
93.51,-1.14
94.44,-1.14
95.39,-1.14
96.34,-1.14
97.30,-1.14
98.28,-1.14
99.26,-1.14
100.25,-1.14
101.25,-1.14
102.27,-1.14
103.29,-1.14
104.32,-1.14
105.37,-1.14
106.42,-1.14
107.48,-1.14
108.56,-1.14
109.64,-1.14
110.74,-1.13
111.85,-0.94
112.97,-0.91
114.10,-0.91
115.24,-0.91
116.39,-0.91
117.55,-0.90
118.73,-0.74
119.92,-0.68
121.12,-0.68
122.33,-0.68
123.55,-0.68
124.79,-0.68
126.03,-0.68
127.29,-0.68
128.57,-0.68
129.85,-0.68
131.15,-0.68
132.46,-0.68
133.79,-0.68
135.12,-0.68
136.48,-0.68
137.84,-0.68
139.22,-0.68
140.61,-0.68
142.02,-0.68
143.44,-0.68
144.87,-0.68
146.32,-0.68
147.78,-0.73
149.26,-0.85
150.75,-0.91
152.26,-0.91
153.78,-0.91
155.32,-0.86
156.88,-0.70
158.44,-0.68
160.03,-0.68
161.63,-0.68
163.24,-0.68
164.88,-0.68
166.53,-0.86
168.19,-0.91
169.87,-0.91
171.57,-0.91
173.29,-0.77
175.02,-0.68
176.77,-0.68
178.54,-0.68
180.32,-0.68
182.13,-0.68
183.95,-0.68
185.79,-0.68
187.65,-0.68
189.52,-0.68
191.42,-0.68
193.33,-0.68
195.27,-0.68
197.22,-0.68
199.19,-0.68
201.18,-0.68
203.19,-0.68
205.23,-0.68
207.28,-0.68
209.35,-0.68
211.44,-0.68
213.56,-0.68
215.69,-0.68
217.85,-0.68
220.03,-0.68
222.23,-0.68
224.45,-0.68
226.70,-0.68
228.96,-0.68
231.25,-0.68
233.57,-0.68
235.90,-0.68
238.26,-0.68
