frequency,raw
20.00,-2.51
20.20,-2.42
20.40,-2.32
20.61,-2.23
20.81,-2.13
21.02,-2.04
21.23,-1.94
21.44,-1.85
21.66,-1.75
21.87,-1.66
22.09,-1.57
22.31,-1.51
22.54,-1.45
22.76,-1.39
22.99,-1.32
23.22,-1.23
23.45,-1.13
23.69,-1.04
23.92,-0.94
24.16,-0.84
24.40,-0.74
24.65,-0.64
24.89,-0.53
25.14,-0.45
25.39,-0.39
25.65,-0.32
25.91,-0.25
26.16,-0.20
26.43,-0.16
26.69,-0.11
26.96,-0.07
27.23,0.00
27.50,0.08
27.77,0.15
28.05,0.21
28.33,0.22
28.62,0.22
28.90,0.23
29.19,0.27
29.48,0.34
29.78,0.41
30.08,0.48
30.38,0.54
30.68,0.61
30.99,0.68
31.30,0.75
31.61,0.82
31.93,0.89
32.24,0.91
32.57,0.91
32.89,0.91
33.22,0.96
33.55,1.04
33.89,1.11
34.23,1.14
34.57,1.14
34.92,1.14
35.27,1.14
35.62,1.14
35.97,1.14
36.33,1.15
36.70,1.16
37.06,1.18
37.43,1.26
37.81,1.33
38.19,1.37
38.57,1.37
38.95,1.37
39.34,1.37
39.74,1.37
40.14,1.37
40.54,1.37
40.94,1.37
41.35,1.37
41.76,1.37
42.18,1.37
42.60,1.37
43.03,1.38
43.46,1.48
43.90,1.58
44.33,1.60
44.78,1.60
45.23,1.60
45.68,1.60
46.13,1.60
46.60,1.60
47.06,1.60
47.53,1.60
48.01,1.60
48.49,1.60
48.97,1.60
49.46,1.60
49.96,1.60
50.46,1.60
50.96,1.60
51.47,1.60
51.99,1.60
52.51,1.60
53.03,1.60
53.56,1.60
54.10,1.60
54.64,1.60
55.18,1.60
55.74,1.60
56.29,1.60
56.86,1.60
57.42,1.60
58.00,1.60
58.58,1.60
59.16,1.60
59.76,1.60
60.35,1.60
60.96,1.60
61.57,1.60
62.18,1.60
62.80,1.60
63.43,1.60
64.07,1.60
64.71,1.60
65.35,1.60
66.01,1.60
66.67,1.60
67.33,1.60
68.01,1.60
68.69,1.60
69.37,1.60
70.07,1.60
70.77,1.60
71.48,1.49
72.19,1.37
72.91,1.37
73.64,1.37
74.38,1.43
75.12,1.55
75.87,1.59
76.63,1.60
77.40,1.60
78.17,1.60
78.95,1.60
79.74,1.60
80.54,1.60
81.35,1.60
82.16,1.60
82.98,1.60
83.81,1.60
84.65,1.60
85.50,1.54
86.35,1.43
87.22,1.37
88.09,1.37
88.97,1.37
89.86,1.37
90.76,1.37
91.66,1.37
92.58,1.37
93.51,1.37
94.44,1.37
95.39,1.37
96.34,1.33
97.30,1.22
98.28,1.14
99.26,1.14
100.25,1.14
101.25,1.14
102.27,1.14
103.29,1.14
104.32,1.14
105.37,1.14
106.42,1.14
107.48,1.14
108.56,1.14
109.64,1.14
110.74,1.14
111.85,1.14
112.97,1.16
114.10,1.37
115.24,1.37
116.39,1.37
117.55,1.37
118.73,1.37
119.92,1.37
121.12,1.37
122.33,1.37
123.55,1.47
124.79,1.59
126.03,1.60
127.29,1.60
128.57,1.60
129.85,1.60
131.15,1.60
132.46,1.60
133.79,1.60
135.12,1.60
136.48,1.65
137.84,1.80
139.22,1.82
140.61,1.82
142.02,1.82
143.44,1.82
144.87,1.82
146.32,1.82
147.78,1.82
149.26,1.82
150.75,1.82
152.26,1.82
153.78,1.82
155.32,1.82
156.88,1.82
158.44,1.82
160.03,1.82
161.63,1.82
163.24,1.82
164.88,1.82
166.53,1.82
168.19,1.82
169.87,1.82
171.57,1.82
173.29,1.96
175.02,2.05
176.77,2.05
178.54,2.05
180.32,2.05
182.13,2.05
183.95,2.05
185.79,2.05
187.65,2.05
189.52,1.87
191.42,1.82
193.33,1.82
195.27,1.82
197.22,1.82
199.19,1.82
201.18,1.82
203.19,1.82
205.23,1.82
207.28,1.82
209.35,1.82
211.44,1.82
213.56,1.82
215.69,1.82
217.85,1.62
220.03,1.60
222.23,1.60
224.45,1.60
226.70,1.60
228.96,1.60
231.25,1.43
233.57,1.37
235.90,1.37
238.26,1.37
240.64,1.37
243.05,1.37
245.48,1.37
247.93,1.37
250.41,1.37
252.92,1.37
255.45,1.37
258.00,1.37
260.58,1.37
263.19,1.37
265.82,1.37
268.48,1.31
271.16,1.18
273.87,1.14
276.61,1.14
279.38,1.14
282.17,1.14
284.99,1.14
287.84,1.14
290.72,1.07
293.63,0.93
296.57,0.91
299.53,0.91
302.53,0.91
305.55,0.91
308.61,0.91
311.69,0.91
314.81,0.91
317.96,0.77
321.14,0.68
324.35,0.68
327.59,0.68
330.87,0.68
334.18,0.58
337.52,0.47
340.90,0.45
344.30,0.28
347.75,0.23
351.23,0.23
354.74,0.13
358.28,0.02
361.87,0.00
365.49,-0.16
369.14,-0.22
372.83,-0.23
376.56,-0.28
380.33,-0.52
384.13,-0.66
387.97,-0.68
391.85,-0.69
395.77,-0.85
399.73,-0.97
403.72,-1.10
407.76,-1.14
411.84,-1.27
415.96,-1.36
420.12,-1.37
424.32,-1.37
428.56,-1.37
432.85,-1.37
437.18,-1.47
441.55,-1.57
445.96,-1.60
450.42,-1.60
454.93,-1.60
459.48,-1.60
464.07,-1.69
468.71,-1.79
473.40,-1.82
478.13,-1.82
482.91,-1.82
487.74,-1.88
492.62,-2.09
497.55,-2.25
502.52,-2.28
507.55,-2.28
512.62,-2.45
517.75,-2.51
522.93,-2.57
528.16,-2.71
533.44,-2.86
538.77,-2.95
544.16,-2.96
