frequency,raw
20.00,-25.07
20.20,-24.98
20.40,-24.89
20.61,-24.79
20.81,-24.70
21.02,-24.61
21.23,-24.45
21.44,-24.30
21.66,-24.15
21.87,-24.00
22.09,-23.83
22.31,-23.64
22.54,-23.45
22.76,-23.27
22.99,-23.08
23.22,-22.98
23.45,-22.88
23.69,-22.78
23.92,-22.68
24.16,-22.53
24.40,-22.35
24.65,-22.17
24.89,-22.00
25.14,-21.84
25.39,-21.69
25.65,-21.54
25.91,-21.39
26.16,-21.20
26.43,-20.98
26.69,-20.76
26.96,-20.55
27.23,-20.41
27.50,-20.28
27.77,-20.16
28.05,-20.04
28.33,-19.91
28.62,-19.78
28.90,-19.64
29.19,-19.43
29.48,-19.17
29.78,-18.91
30.08,-18.67
30.38,-18.50
30.68,-18.33
30.99,-18.17
31.30,-17.98
31.61,-17.79
31.93,-17.59
32.24,-17.44
32.57,-17.30
32.89,-17.16
33.22,-17.00
33.55,-16.85
33.89,-16.69
34.23,-16.59
34.57,-16.51
34.92,-16.43
35.27,-16.35
35.62,-16.27
35.97,-16.20
36.33,-16.10
36.70,-16.01
37.06,-15.89
37.43,-15.64
37.81,-15.39
38.19,-15.23
38.57,-15.14
38.95,-15.05
39.34,-14.87
39.74,-14.68
40.14,-14.50
40.54,-14.33
40.94,-14.15
41.35,-13.99
41.76,-13.82
42.18,-13.68
42.60,-13.56
43.03,-13.44
43.46,-13.24
43.90,-13.04
44.33,-12.91
44.78,-12.81
45.23,-12.69
45.68,-12.56
46.13,-12.39
46.60,-12.13
47.06,-11.90
47.53,-11.86
48.01,-11.81
48.49,-11.65
48.97,-11.50
49.46,-11.24
49.96,-10.98
50.46,-10.95
50.96,-10.94
51.47,-10.89
51.99,-10.84
52.51,-10.66
53.03,-10.47
53.56,-10.36
54.10,-10.26
54.64,-10.26
55.18,-10.17
55.74,-9.92
56.29,-9.73
56.86,-9.60
57.42,-9.47
58.00,-9.33
58.58,-9.07
59.16,-8.89
59.76,-8.89
60.35,-8.81
60.96,-8.67
61.57,-8.53
62.18,-8.39
62.80,-8.25
63.43,-8.07
64.07,-7.87
64.71,-7.79
65.35,-7.75
66.01,-7.75
66.67,-7.60
67.33,-7.44
68.01,-7.29
68.69,-7.28
69.37,-7.19
70.07,-7.07
70.77,-7.07
71.48,-7.07
72.19,-7.02
72.91,-6.86
73.64,-6.84
74.38,-6.84
75.12,-6.84
75.87,-6.84
76.63,-6.73
77.40,-6.62
78.17,-6.52
78.95,-6.39
79.74,-6.38
80.54,-6.30
81.35,-6.21
82.16,-6.13
82.98,-6.05
83.81,-5.95
84.65,-5.93
85.50,-5.87
86.35,-5.76
87.22,-5.69
88.09,-5.63
88.97,-5.48
89.86,-5.32
90.76,-5.25
91.66,-5.24
92.58,-5.16
93.51,-5.06
94.44,-5.01
95.39,-4.92
96.34,-4.79
97.30,-4.79
98.28,-4.74
99.26,-4.59
100.25,-4.55
101.25,-4.48
102.27,-4.33
103.29,-4.33
104.32,-4.28
105.37,-4.16
106.42,-4.10
107.48,-4.10
108.56,-4.10
109.64,-4.10
110.74,-4.10
111.85,-4.10
112.97,-4.10
114.10,-4.06
115.24,-3.87
116.39,-3.87
117.55,-3.87
118.73,-3.87
119.92,-3.87
121.12,-3.65
122.33,-3.65
123.55,-3.65
124.79,-3.65
126.03,-3.65
127.29,-3.65
128.57,-3.65
129.85,-3.65
131.15,-3.65
132.46,-3.65
133.79,-3.79
135.12,-3.88
136.48,-3.93
137.84,-4.08
139.22,-4.22
140.61,-4.32
142.02,-4.44
143.44,-4.53
144.87,-4.56
146.32,-4.56
147.78,-4.56
149.26,-4.56
150.75,-4.56
152.26,-4.55
153.78,-4.40
155.32,-4.34
156.88,-4.33
158.44,-4.33
160.03,-4.33
161.63,-4.33
163.24,-4.19
164.88,-4.10
166.53,-4.10
168.19,-4.10
169.87,-4.10
171.57,-4.10
173.29,-4.10
175.02,-4.10
176.77,-4.10
178.54,-4.10
180.32,-4.10
182.13,-4.10
183.95,-4.01
185.79,-3.88
187.65,-3.87
189.52,-3.87
191.42,-3.87
193.33,-3.87
195.27,-3.87
197.22,-3.87
199.19,-3.87
201.18,-3.87
203.19,-3.87
205.23,-3.87
207.28,-3.79
209.35,-3.68
211.44,-3.65
213.56,-3.65
215.69,-3.65
217.85,-3.65
220.03,-3.65
222.23,-3.65
224.45,-3.65
226.70,-3.65
228.96,-3.65
231.25,-3.65
233.57,-3.65
235.90,-3.65
238.26,-3.65
240.64,-3.65
243.05,-3.49
245.48,-3.42
247.93,-3.42
250.41,-3.42
252.92,-3.42
255.45,-3.42
258.00,-3.42
260.58,-3.42
263.19,-3.40
265.82,-3.21
268.48,-3.19
271.16,-3.19
273.87,-3.19
276.61,-3.19
279.38,-3.19
282.17,-3.19
284.99,-3.19
287.84,-3.19
290.72,-3.19
293.63,-3.08
296.57,-2.98
299.53,-2.96
302.53,-2.96
305.55,-2.96
308.61,-2.96
311.69,-2.96
314.81,-2.96
317.96,-2.82
321.14,-2.74
324.35,-2.74
327.59,-2.74
330.87,-2.74
334.18,-2.74
337.52,-2.61
340.90,-2.53
344.30,-2.51
347.75,-2.51
351.23,-2.51
354.74,-2.51
358.28,-2.51
361.87,-2.51
365.49,-2.34
369.14,-2.29
372.83,-2.28
376.56,-2.28
380.33,-2.28
384.13,-2.28
387.97,-2.28
391.85,-2.28
395.77,-2.28
399.73,-2.28
403.72,-2.28
407.76,-2.28
411.84,-2.15
415.96,-2.06
420.12,-2.05
424.32,-2.05
428.56,-2.05
432.85,-1.96
437.18,-1.84
441.55,-1.82
445.96,-1.82
450.42,-1.82
454.93,-1.82
459.48,-1.82
464.07,-1.82
468.71,-1.82
473.40,-1.82
478.13,-1.82
482.91,-1.82
487.74,-1.82
492.62,-1.82
497.55,-1.82
502.52,-1.82
507.55,-1.82
512.62,-1.82
517.75,-1.82
522.93,-1.88
528.16,-2.02
533.44,-2.05
538.77,-2.05
544.16,-2.05
549.60,-2.05
555.10,-2.05
560.65,-2.05
566.25,-1.95
571.92,-1.84
577.64,-1.82
583.41,-1.82
589.25,-1.66
595.14,-1.60
601.09,-1.60
607.10,-1.60
613.17,-1.60
619.30,-1.60
625.50,-1.60
631.75,-1.62
638.07,-1.79
644.45,-1.82
650.89,-1.93
657.40,-2.03
663.98,-2.05
670.62,-2.04
677.32,-1.87
684.10,-1.82
690.94,-1.75
697.85,-1.62
704.83,-1.46
711.87,-1.38
