frequency,raw
20.00,4.82
20.20,4.83
20.40,4.84
20.61,4.85
20.81,4.86
21.02,4.87
21.23,4.88
21.44,4.90
21.66,4.91
21.87,4.92
22.09,4.93
22.31,4.94
22.54,4.95
22.76,4.96
22.99,4.96
23.22,4.97
23.45,4.98
23.69,4.99
23.92,5.00
24.16,5.01
24.40,5.01
24.65,5.02
24.89,5.03
25.14,5.04
25.39,5.04
25.65,5.05
25.91,5.05
26.16,5.06
26.43,5.07
26.69,5.07
26.96,5.08
27.23,5.08
27.50,5.09
27.77,5.09
28.05,5.09
28.33,5.10
28.62,5.10
28.90,5.11
29.19,5.11
29.48,5.11
29.78,5.11
30.08,5.12
30.38,5.12
30.68,5.13
30.99,5.13
31.30,5.14
31.61,5.14
31.93,5.15
32.24,5.15
32.57,5.15
32.89,5.16
33.22,5.16
33.55,5.16
33.89,5.17
34.23,5.17
34.57,5.17
34.92,5.17
35.27,5.18
35.62,5.18
35.97,5.18
36.33,5.18
36.70,5.18
37.06,5.18
37.43,5.19
37.81,5.19
38.19,5.19
38.57,5.19
38.95,5.19
39.34,5.19
39.74,5.19
40.14,5.19
40.54,5.20
40.94,5.20
41.35,5.20
41.76,5.20
42.18,5.20
42.60,5.20
43.03,5.20
43.46,5.20
43.90,5.20
44.33,5.20
44.78,5.20
45.23,5.19
45.68,5.19
46.13,5.19
46.60,5.19
47.06,5.20
47.53,5.20
48.01,5.20
48.49,5.20
48.97,5.20
49.46,5.20
49.96,5.20
50.46,5.20
50.96,5.20
51.47,5.20
51.99,5.19
52.51,5.19
53.03,5.19
53.56,5.19
54.10,5.18
54.64,5.18
55.18,5.17
55.74,5.17
56.29,5.16
56.86,5.16
57.42,5.16
58.00,5.15
58.58,5.15
59.16,5.15
59.76,5.14
60.35,5.14
60.96,5.13
61.57,5.13
62.18,5.12
62.80,5.12
63.43,5.11
64.07,5.11
64.71,5.10
65.35,5.10
66.01,5.09
66.67,5.09
67.33,5.08
68.01,5.08
68.69,5.08
69.37,5.07
70.07,5.07
70.77,5.07
71.48,5.06
72.19,5.06
72.91,5.06
73.64,5.05
74.38,5.05
75.12,5.04
75.87,5.04
76.63,5.03
77.40,5.02
78.17,5.02
78.95,5.01
79.74,5.00
80.54,5.00
81.35,4.99
82.16,4.98
82.98,4.98
83.81,4.97
84.65,4.96
85.50,4.95
86.35,4.95
87.22,4.94
88.09,4.93
88.97,4.92
89.86,4.92
90.76,4.91
91.66,4.90
92.58,4.89
93.51,4.88
94.44,4.87
95.39,4.87
96.34,4.86
97.30,4.85
98.28,4.85
99.26,4.84
100.25,4.83
101.25,4.83
102.27,4.83
103.29,4.82
104.32,4.82
105.37,4.81
106.42,4.80
107.48,4.79
108.56,4.78
109.64,4.77
110.74,4.76
111.85,4.75
112.97,4.75
114.10,4.74
115.24,4.73
116.39,4.72
117.55,4.70
118.73,4.70
119.92,4.69
121.12,4.69
122.33,4.68
123.55,4.66
124.79,4.65
126.03,4.63
127.29,4.62
128.57,4.60
129.85,4.58
131.15,4.57
132.46,4.55
133.79,4.54
135.12,4.53
136.48,4.51
137.84,4.49
139.22,4.47
140.61,4.46
142.02,4.44
143.44,4.43
144.87,4.41
146.32,4.40
147.78,4.38
149.26,4.36
150.75,4.35
152.26,4.33
153.78,4.32
155.32,4.31
156.88,4.30
158.44,4.29
160.03,4.28
161.63,4.27
163.24,4.26
164.88,4.25
166.53,4.24
168.19,4.23
169.87,4.22
171.57,4.20
173.29,4.19
175.02,4.18
176.77,4.16
178.54,4.14
180.32,4.12
182.13,4.11
183.95,4.09
185.79,4.08
187.65,4.06
189.52,4.04
191.42,4.02
193.33,4.00
195.27,3.97
197.22,3.94
199.19,3.92
201.18,3.89
203.19,3.87
205.23,3.85
207.28,3.82
209.35,3.80
211.44,3.77
213.56,3.75
215.69,3.72
217.85,3.70
220.03,3.68
222.23,3.65
224.45,3.63
226.70,3.60
228.96,3.58
231.25,3.55
233.57,3.53
235.90,3.51
238.26,3.48
240.64,3.46
243.05,3.43
245.48,3.41
247.93,3.38
250.41,3.35
252.92,3.32
255.45,3.30
258.00,3.27
260.58,3.24
263.19,3.21
265.82,3.18
268.48,3.15
271.16,3.12
273.87,3.09
276.61,3.06
279.38,3.03
282.17,3.00
284.99,2.97
287.84,2.94
290.72,2.91
293.63,2.88
296.57,2.85
299.53,2.81
302.53,2.78
305.55,2.75
308.61,2.72
311.69,2.69
314.81,2.65
317.96,2.62
321.14,2.59
324.35,2.55
327.59,2.52
330.87,2.48
334.18,2.45
337.52,2.42
340.90,2.38
344.30,2.35
347.75,2.31
351.23,2.28
354.74,2.24
358.28,2.21
361.87,2.17
365.49,2.13
369.14,2.10
372.83,2.06
376.56,2.03
380.33,1.99
384.13,1.95
387.97,1.91
391.85,1.87
395.77,1.84
399.73,1.79
403.72,1.75
407.76,1.72
411.84,1.68
415.96,1.64
420.12,1.60
424.32,1.56
428.56,1.52
432.85,1.48
437.18,1.44
441.55,1.40
445.96,1.36
450.42,1.32
454.93,1.28
459.48,1.25
464.07,1.21
468.71,1.17
473.40,1.13
478.13,1.09
482.91,1.05
487.74,1.01
492.62,0.98
497.55,0.94
502.52,0.90
507.55,0.86
512.62,0.82
517.75,0.78
522.93,0.74
528.16,0.69
533.44,0.63
538.77,0.55
544.16,0.45
549.60,0.31
555.10,0.17
560.65,0.06
566.25,0.04
571.92,0.05
577.64,0.12
583.41,0.18
589.25,0.24
595.14,0.26
601.09,0.27
607.10,0.27
613.17,0.26
619.30,0.24
625.50,0.22
631.75,0.19
638.07,0.17
644.45,0.14
650.89,0.11
657.40,0.08
663.98,0.05
670.62,0.02
677.32,-0.00
684.10,-0.03
690.94,-0.06
697.85,-0.08
704.83,-0.11
711.87,-0.13
718.99,-0.16
726.18,-0.19
733.44,-0.21
740.78,-0.23
748.19,-0.25
755.67,-0.27
763.23,-0.29
