frequency,raw
20.00,10.05
20.20,10.05
20.40,10.05
20.61,10.04
20.81,10.04
21.02,10.04
21.23,10.04
21.44,10.04
21.66,10.04
21.87,10.03
22.09,10.03
22.31,10.03
22.54,10.03
22.76,10.03
22.99,10.02
23.22,10.02
23.45,10.02
23.69,10.02
23.92,10.01
24.16,10.01
24.40,10.01
24.65,10.00
24.89,10.00
25.14,10.00
25.39,9.99
25.65,9.99
25.91,9.99
26.16,9.98
26.43,9.98
26.69,9.97
26.96,9.97
27.23,9.96
27.50,9.96
27.77,9.96
28.05,9.95
28.33,9.94
28.62,9.94
28.90,9.93
29.19,9.93
29.48,9.92
29.78,9.92
30.08,9.91
30.38,9.90
30.68,9.90
30.99,9.89
31.30,9.88
31.61,9.88
31.93,9.87
32.24,9.86
32.57,9.86
32.89,9.85
33.22,9.84
33.55,9.83
33.89,9.83
34.23,9.82
34.57,9.81
34.92,9.80
35.27,9.79
35.62,9.79
35.97,9.78
36.33,9.77
36.70,9.76
37.06,9.75
37.43,9.74
37.81,9.73
38.19,9.72
38.57,9.71
38.95,9.70
39.34,9.69
39.74,9.68
40.14,9.67
40.54,9.66
40.94,9.65
41.35,9.64
41.76,9.63
42.18,9.62
42.60,9.61
43.03,9.59
43.46,9.58
43.90,9.57
44.33,9.56
44.78,9.54
45.23,9.53
45.68,9.52
46.13,9.51
46.60,9.49
47.06,9.48
47.53,9.47
48.01,9.45
48.49,9.44
48.97,9.43
49.46,9.41
49.96,9.40
50.46,9.38
50.96,9.37
51.47,9.35
51.99,9.34
52.51,9.32
53.03,9.30
53.56,9.29
54.10,9.27
54.64,9.25
55.18,9.24
55.74,9.22
56.29,9.20
56.86,9.19
57.42,9.17
58.00,9.15
58.58,9.13
59.16,9.12
59.76,9.10
60.35,9.08
60.96,9.06
61.57,9.04
62.18,9.02
62.80,9.00
63.43,8.98
64.07,8.96
64.71,8.94
65.35,8.92
66.01,8.90
66.67,8.88
67.33,8.85
68.01,8.83
68.69,8.81
69.37,8.79
70.07,8.76
70.77,8.74
71.48,8.72
72.19,8.69
72.91,8.67
