frequency,raw
20.00,9.23
20.20,9.25
20.40,9.27
20.61,9.29
20.81,9.31
21.02,9.33
21.23,9.34
21.44,9.36
21.66,9.38
21.87,9.39
22.09,9.41
22.31,9.43
22.54,9.44
22.76,9.45
22.99,9.47
23.22,9.48
23.45,9.49
23.69,9.50
23.92,9.51
24.16,9.52
24.40,9.53
24.65,9.54
24.89,9.55
25.14,9.56
25.39,9.56
25.65,9.57
25.91,9.57
26.16,9.58
26.43,9.58
26.69,9.58
26.96,9.59
27.23,9.59
27.50,9.59
27.77,9.59
28.05,9.59
28.33,9.59
28.62,9.59
28.90,9.59
29.19,9.59
29.48,9.59
29.78,9.58
30.08,9.58
30.38,9.57
30.68,9.57
30.99,9.56
31.30,9.55
31.61,9.54
31.93,9.54
32.24,9.53
32.57,9.52
32.89,9.51
33.22,9.50
33.55,9.48
33.89,9.47
34.23,9.46
34.57,9.45
34.92,9.43
35.27,9.42
35.62,9.40
35.97,9.39
36.33,9.37
36.70,9.36
37.06,9.34
37.43,9.32
37.81,9.30
38.19,9.29
38.57,9.27
38.95,9.25
39.34,9.22
39.74,9.20
40.14,9.18
40.54,9.16
40.94,9.13
41.35,9.11
41.76,9.08
42.18,9.06
42.60,9.03
43.03,9.00
43.46,8.98
43.90,8.95
44.33,8.92
44.78,8.89
45.23,8.86
45.68,8.83
46.13,8.80
46.60,8.77
47.06,8.74
47.53,8.71
48.01,8.68
48.49,8.65
48.97,8.62
49.46,8.59
49.96,8.56
50.46,8.53
50.96,8.49
51.47,8.46
51.99,8.43
52.51,8.39
53.03,8.36
53.56,8.32
54.10,8.28
54.64,8.25
55.18,8.21
55.74,8.17
56.29,8.13
56.86,8.10
57.42,8.06
58.00,8.02
58.58,7.98
59.16,7.94
59.76,7.90
60.35,7.86
60.96,7.82
61.57,7.78
62.18,7.74
62.80,7.69
63.43,7.65
64.07,7.61
64.71,7.57
65.35,7.52
66.01,7.48
66.67,7.44
67.33,7.39
68.01,7.35
68.69,7.30
69.37,7.26
70.07,7.22
70.77,7.17
71.48,7.12
72.19,7.08
72.91,7.03
73.64,6.99
74.38,6.94
75.12,6.89
75.87,6.85
76.63,6.80
77.40,6.76
78.17,6.71
78.95,6.66
79.74,6.61
80.54,6.56
81.35,6.51
82.16,6.46
82.98,6.42
83.81,6.37
84.65,6.32
85.50,6.28
86.35,6.23
87.22,6.18
88.09,6.13
88.97,6.08
89.86,6.03
90.76,5.98
91.66,5.93
92.58,5.88
93.51,5.83
94.44,5.78
95.39,5.73
96.34,5.68
97.30,5.64
98.28,5.59
99.26,5.53
100.25,5.48
101.25,5.43
102.27,5.38
103.29,5.33
104.32,5.28
105.37,5.23
106.42,5.18
107.48,5.13
108.56,5.08
109.64,5.03
110.74,4.98
111.85,4.93
112.97,4.88
114.10,4.83
115.24,4.78
116.39,4.73
117.55,4.68
118.73,4.63
119.92,4.58
121.12,4.52
122.33,4.47
123.55,4.42
124.79,4.38
126.03,4.33
127.29,4.28
128.57,4.23
129.85,4.18
131.15,4.12
132.46,4.08
133.79,4.03
135.12,3.98
136.48,3.93
137.84,3.88
139.22,3.84
140.61,3.79
142.02,3.74
143.44,3.69
144.87,3.64
146.32,3.59
147.78,3.54
149.26,3.50
150.75,3.45
152.26,3.40
153.78,3.35
155.32,3.31
156.88,3.26
158.44,3.21
160.03,3.17
161.63,3.12
163.24,3.07
164.88,3.03
166.53,2.98
168.19,2.93
169.87,2.89
171.57,2.84
173.29,2.80
175.02,2.75
176.77,2.70
178.54,2.65
180.32,2.61
182.13,2.56
183.95,2.52
185.79,2.48
187.65,2.43
189.52,2.39
191.42,2.34
193.33,2.30
195.27,2.26
197.22,2.22
199.19,2.18
201.18,2.13
203.19,2.09
205.23,2.04
207.28,2.00
209.35,1.95
211.44,1.91
213.56,1.86
215.69,1.82
217.85,1.78
220.03,1.74
222.23,1.70
224.45,1.66
226.70,1.62
228.96,1.58
231.25,1.54
233.57,1.49
235.90,1.45
238.26,1.41
240.64,1.37
243.05,1.34
245.48,1.30
247.93,1.26
250.41,1.22
252.92,1.18
255.45,1.14
258.00,1.10
260.58,1.06
263.19,1.02
265.82,0.98
268.48,0.95
271.16,0.91
273.87,0.87
276.61,0.83
279.38,0.79
282.17,0.76
284.99,0.72
287.84,0.69
290.72,0.65
293.63,0.61
296.57,0.57
299.53,0.53
302.53,0.50
305.55,0.47
308.61,0.43
311.69,0.39
314.81,0.36
317.96,0.32
321.14,0.29
324.35,0.26
327.59,0.22
330.87,0.19
334.18,0.15
337.52,0.12
340.90,0.09
344.30,0.06
347.75,0.02
351.23,-0.01
354.74,-0.04
358.28,-0.08
361.87,-0.11
365.49,-0.14
369.14,-0.17
372.83,-0.20
376.56,-0.24
380.33,-0.28
384.13,-0.31
387.97,-0.34
391.85,-0.36
395.77,-0.39
399.73,-0.42
403.72,-0.45
407.76,-0.49
411.84,-0.52
415.96,-0.55
420.12,-0.58
424.32,-0.61
428.56,-0.64
432.85,-0.66
437.18,-0.70
441.55,-0.73
445.96,-0.76
450.42,-0.79
454.93,-0.82
459.48,-0.85
464.07,-0.88
468.71,-0.91
473.40,-0.94
478.13,-0.96
482.91,-0.99
487.74,-1.02
492.62,-1.04
497.55,-1.07
502.52,-1.10
507.55,-1.13
512.62,-1.15
517.75,-1.18
522.93,-1.21
528.16,-1.23
533.44,-1.26
538.77,-1.28
544.16,-1.31
549.60,-1.33
555.10,-1.35
560.65,-1.38
566.25,-1.40
571.92,-1.42
577.64,-1.45
583.41,-1.46
589.25,-1.48
595.14,-1.50
601.09,-1.52
607.10,-1.54
613.17,-1.56
619.30,-1.58
625.50,-1.60
631.75,-1.61
638.07,-1.63
644.45,-1.64
650.89,-1.66
657.40,-1.67
663.98,-1.68
