frequency,raw
20.00,10.00
20.20,10.01
20.40,10.02
20.61,10.03
20.81,10.04
21.02,10.05
21.23,10.06
21.44,10.07
21.66,10.08
21.87,10.09
22.09,10.10
22.31,10.11
22.54,10.12
22.76,10.13
22.99,10.13
23.22,10.14
23.45,10.15
23.69,10.16
23.92,10.16
24.16,10.17
24.40,10.17
24.65,10.18
24.89,10.18
25.14,10.19
25.39,10.19
25.65,10.20
25.91,10.20
26.16,10.20
26.43,10.21
26.69,10.21
26.96,10.21
27.23,10.21
27.50,10.21
27.77,10.21
28.05,10.21
28.33,10.21
28.62,10.21
28.90,10.21
29.19,10.21
29.48,10.21
29.78,10.21
30.08,10.21
30.38,10.21
30.68,10.21
30.99,10.21
31.30,10.21
31.61,10.21
31.93,10.21
32.24,10.21
32.57,10.21
32.89,10.21
33.22,10.21
33.55,10.21
33.89,10.20
34.23,10.20
34.57,10.20
34.92,10.19
35.27,10.19
35.62,10.18
35.97,10.18
36.33,10.17
36.70,10.17
37.06,10.16
37.43,10.16
37.81,10.15
38.19,10.14
38.57,10.14
38.95,10.13
39.34,10.12
39.74,10.11
40.14,10.10
40.54,10.09
40.94,10.08
41.35,10.07
41.76,10.06
42.18,10.05
42.60,10.04
43.03,10.04
43.46,10.03
43.90,10.02
44.33,10.01
44.78,10.00
45.23,9.99
45.68,9.98
46.13,9.96
46.60,9.95
47.06,9.94
47.53,9.93
48.01,9.92
48.49,9.90
48.97,9.89
49.46,9.88
49.96,9.86
50.46,9.85
50.96,9.84
51.47,9.82
51.99,9.81
52.51,9.79
53.03,9.78
53.56,9.76
54.10,9.74
54.64,9.73
55.18,9.71
55.74,9.69
56.29,9.67
56.86,9.65
57.42,9.63
58.00,9.61
58.58,9.59
59.16,9.57
59.76,9.55
60.35,9.53
60.96,9.51
61.57,9.49
62.18,9.46
62.80,9.44
63.43,9.42
64.07,9.40
64.71,9.37
65.35,9.35
66.01,9.33
66.67,9.30
67.33,9.28
68.01,9.25
68.69,9.23
69.37,9.21
70.07,9.18
70.77,9.16
71.48,9.13
72.19,9.11
72.91,9.09
73.64,9.06
74.38,9.03
75.12,9.01
75.87,8.98
76.63,8.95
77.40,8.92
78.17,8.89
78.95,8.86
79.74,8.83
80.54,8.80
81.35,8.77
82.16,8.74
82.98,8.71
83.81,8.68
84.65,8.65
85.50,8.61
86.35,8.58
87.22,8.55
88.09,8.52
88.97,8.48
89.86,8.45
90.76,8.42
91.66,8.38
92.58,8.35
93.51,8.31
94.44,8.28
95.39,8.24
96.34,8.21
97.30,8.17
98.28,8.14
99.26,8.11
100.25,8.07
101.25,8.04
102.27,8.00
103.29,7.97
104.32,7.93
105.37,7.89
106.42,7.86
107.48,7.82
108.56,7.78
109.64,7.74
110.74,7.71
111.85,7.67
112.97,7.63
114.10,7.59
115.24,7.55
116.39,7.51
117.55,7.47
118.73,7.43
119.92,7.39
121.12,7.34
122.33,7.30
123.55,7.25
124.79,7.21
126.03,7.17
127.29,7.12
128.57,7.08
129.85,7.03
131.15,6.99
132.46,6.94
133.79,6.89
135.12,6.84
136.48,6.80
137.84,6.75
139.22,6.70
140.61,6.65
142.02,6.61
143.44,6.56
144.87,6.51
146.32,6.46
147.78,6.41
149.26,6.36
150.75,6.31
152.26,6.27
153.78,6.22
155.32,6.18
156.88,6.14
158.44,6.10
160.03,6.05
161.63,6.01
163.24,5.97
164.88,5.92
166.53,5.88
168.19,5.84
169.87,5.79
