frequency,raw
20.00,5.56
20.20,5.58
20.40,5.59
20.61,5.60
20.81,5.62
21.02,5.63
21.23,5.64
21.44,5.66
21.66,5.67
21.87,5.68
22.09,5.69
22.31,5.70
22.54,5.72
22.76,5.73
22.99,5.74
23.22,5.75
23.45,5.76
23.69,5.77
23.92,5.77
24.16,5.78
24.40,5.79
24.65,5.80
24.89,5.81
25.14,5.81
25.39,5.82
25.65,5.83
25.91,5.83
26.16,5.84
26.43,5.85
26.69,5.85
26.96,5.85
27.23,5.86
27.50,5.86
27.77,5.87
28.05,5.87
28.33,5.87
28.62,5.88
28.90,5.88
29.19,5.88
29.48,5.88
29.78,5.88
30.08,5.88
30.38,5.88
30.68,5.89
30.99,5.89
31.30,5.89
31.61,5.89
31.93,5.89
32.24,5.89
32.57,5.88
32.89,5.88
33.22,5.88
33.55,5.88
33.89,5.88
34.23,5.88
34.57,5.88
34.92,5.88
35.27,5.87
35.62,5.87
35.97,5.87
36.33,5.86
36.70,5.86
37.06,5.85
37.43,5.84
37.81,5.84
38.19,5.83
38.57,5.82
38.95,5.82
39.34,5.81
39.74,5.80
40.14,5.80
40.54,5.79
40.94,5.78
41.35,5.77
41.76,5.77
42.18,5.76
42.60,5.75
43.03,5.74
43.46,5.73
43.90,5.72
44.33,5.71
44.78,5.70
45.23,5.69
45.68,5.68
46.13,5.67
46.60,5.66
47.06,5.65
47.53,5.64
48.01,5.63
48.49,5.62
48.97,5.60
49.46,5.59
49.96,5.58
50.46,5.56
50.96,5.55
51.47,5.53
51.99,5.52
52.51,5.50
53.03,5.49
53.56,5.47
54.10,5.46
54.64,5.44
55.18,5.43
55.74,5.41
56.29,5.40
56.86,5.38
57.42,5.36
58.00,5.34
58.58,5.32
59.16,5.31
59.76,5.29
60.35,5.27
60.96,5.25
61.57,5.23
62.18,5.21
62.80,5.19
63.43,5.17
64.07,5.15
64.71,5.13
65.35,5.11
66.01,5.09
66.67,5.07
67.33,5.05
68.01,5.03
68.69,5.00
69.37,4.98
70.07,4.96
70.77,4.94
71.48,4.91
72.19,4.89
72.91,4.86
73.64,4.84
74.38,4.81
75.12,4.79
75.87,4.76
76.63,4.74
77.40,4.71
78.17,4.69
78.95,4.66
79.74,4.63
80.54,4.60
81.35,4.58
82.16,4.55
82.98,4.52
83.81,4.50
84.65,4.47
85.50,4.44
86.35,4.41
87.22,4.38
88.09,4.35
88.97,4.32
89.86,4.29
90.76,4.26
91.66,4.23
92.58,4.20
93.51,4.17
94.44,4.14
95.39,4.10
96.34,4.07
97.30,4.04
98.28,4.00
99.26,3.97
100.25,3.94
101.25,3.91
102.27,3.87
103.29,3.84
104.32,3.81
105.37,3.77
106.42,3.73
107.48,3.70
108.56,3.66
109.64,3.62
110.74,3.58
111.85,3.55
112.97,3.51
114.10,3.47
115.24,3.44
116.39,3.40
117.55,3.37
118.73,3.34
119.92,3.30
121.12,3.27
122.33,3.23
123.55,3.19
124.79,3.15
126.03,3.11
127.29,3.07
128.57,3.03
129.85,2.99
131.15,2.95
132.46,2.91
133.79,2.88
135.12,2.84
136.48,2.80
137.84,2.76
