frequency,raw
20.00,10.58
20.20,10.58
20.40,10.57
20.61,10.57
20.81,10.57
21.02,10.56
21.23,10.56
21.44,10.55
21.66,10.55
21.87,10.54
22.09,10.54
22.31,10.53
22.54,10.52
22.76,10.51
22.99,10.50
23.22,10.50
23.45,10.49
23.69,10.48
23.92,10.47
24.16,10.46
24.40,10.44
24.65,10.43
24.89,10.42
25.14,10.41
25.39,10.40
25.65,10.38
25.91,10.37
26.16,10.35
26.43,10.34
26.69,10.32
26.96,10.31
27.23,10.29
27.50,10.28
27.77,10.26
28.05,10.24
28.33,10.22
28.62,10.21
28.90,10.19
29.19,10.17
29.48,10.15
29.78,10.13
30.08,10.11
30.38,10.09
30.68,10.07
30.99,10.05
31.30,10.03
31.61,10.01
31.93,9.99
32.24,9.97
32.57,9.95
32.89,9.93
33.22,9.91
33.55,9.89
33.89,9.86
34.23,9.84
34.57,9.81
34.92,9.79
35.27,9.77
35.62,9.74
35.97,9.71
36.33,9.69
36.70,9.66
37.06,9.63
37.43,9.61
37.81,9.58
38.19,9.55
38.57,9.52
38.95,9.49
39.34,9.46
39.74,9.43
40.14,9.40
40.54,9.37
40.94,9.34
41.35,9.30
41.76,9.27
42.18,9.24
42.60,9.20
43.03,9.17
43.46,9.14
43.90,9.11
44.33,9.07
44.78,9.04
45.23,9.01
45.68,8.97
46.13,8.94
46.60,8.91
47.06,8.87
47.53,8.84
48.01,8.80
48.49,8.76
48.97,8.73
49.46,8.69
49.96,8.65
50.46,8.62
50.96,8.58
51.47,8.54
51.99,8.50
52.51,8.46
53.03,8.42
53.56,8.38
54.10,8.34
54.64,8.30
55.18,8.26
55.74,8.22
56.29,8.17
56.86,8.13
57.42,8.09
58.00,8.04
58.58,8.00
59.16,7.95
59.76,7.91
60.35,7.86
60.96,7.82
61.57,7.77
62.18,7.73
62.80,7.68
63.43,7.64
64.07,7.59
64.71,7.54
65.35,7.50
66.01,7.45
66.67,7.40
67.33,7.36
68.01,7.31
68.69,7.26
69.37,7.22
70.07,7.17
70.77,7.13
71.48,7.08
72.19,7.04
72.91,6.99
73.64,6.94
74.38,6.90
75.12,6.85
75.87,6.80
76.63,6.75
77.40,6.70
78.17,6.65
78.95,6.60
79.74,6.55
80.54,6.50
81.35,6.45
82.16,6.40
82.98,6.35
83.81,6.29
84.65,6.24
85.50,6.19
86.35,6.14
87.22,6.09
88.09,6.04
88.97,5.98
89.86,5.93
90.76,5.88
91.66,5.83
92.58,5.78
93.51,5.73
94.44,5.68
95.39,5.62
96.34,5.57
97.30,5.52
98.28,5.47
99.26,5.42
100.25,5.37
101.25,5.33
102.27,5.28
103.29,5.23
104.32,5.18
105.37,5.14
106.42,5.09
107.48,5.04
108.56,4.99
109.64,4.94
110.74,4.89
111.85,4.84
112.97,4.79
114.10,4.74
115.24,4.69
116.39,4.63
117.55,4.58
118.73,4.53
119.92,4.49
121.12,4.44
122.33,4.38
123.55,4.33
124.79,4.28
126.03,4.23
127.29,4.17
128.57,4.12
129.85,4.07
131.15,4.01
132.46,3.96
133.79,3.91
135.12,3.86
136.48,3.81
137.84,3.75
139.22,3.70
140.61,3.65
142.02,3.60
143.44,3.55
144.87,3.50
146.32,3.45
147.78,3.40
149.26,3.35
150.75,3.30
152.26,3.25
153.78,3.21
155.32,3.16
156.88,3.12
158.44,3.08
160.03,3.04
161.63,3.00
163.24,2.96
164.88,2.92
166.53,2.88
168.19,2.84
169.87,2.80
171.57,2.76
173.29,2.72
175.02,2.67
176.77,2.63
178.54,2.59
180.32,2.54
182.13,2.50
183.95,2.46
185.79,2.41
187.65,2.37
189.52,2.33
191.42,2.29
193.33,2.25
195.27,2.20
197.22,2.16
199.19,2.12
201.18,2.07
203.19,2.02
205.23,1.98
207.28,1.93
209.35,1.89
211.44,1.85
213.56,1.80
215.69,1.76
217.85,1.72
220.03,1.68
222.23,1.65
224.45,1.61
226.70,1.57
228.96,1.53
231.25,1.49
233.57,1.45
235.90,1.42
238.26,1.38
240.64,1.34
243.05,1.31
245.48,1.27
247.93,1.23
250.41,1.20
252.92,1.16
255.45,1.12
