frequency,raw
20.00,2.06
20.20,2.07
20.40,2.07
20.61,2.08
20.81,2.09
21.02,2.09
21.23,2.10
21.44,2.10
21.66,2.11
21.87,2.11
22.09,2.12
22.31,2.13
22.54,2.13
22.76,2.14
22.99,2.14
23.22,2.15
23.45,2.15
23.69,2.16
23.92,2.16
24.16,2.17
24.40,2.17
24.65,2.18
24.89,2.18
25.14,2.19
25.39,2.19
25.65,2.20
25.91,2.20
26.16,2.21
26.43,2.21
26.69,2.22
26.96,2.22
27.23,2.23
27.50,2.23
27.77,2.23
28.05,2.23
28.33,2.23
28.62,2.23
28.90,2.23
29.19,2.24
29.48,2.24
29.78,2.25
30.08,2.26
30.38,2.26
30.68,2.26
30.99,2.26
31.30,2.26
31.61,2.26
31.93,2.26
32.24,2.26
32.57,2.27
32.89,2.27
33.22,2.27
33.55,2.27
33.89,2.27
34.23,2.28
34.57,2.28
34.92,2.28
35.27,2.28
35.62,2.28
35.97,2.28
36.33,2.28
36.70,2.29
37.06,2.29
37.43,2.29
37.81,2.29
38.19,2.28
38.57,2.28
38.95,2.28
39.34,2.28
39.74,2.28
40.14,2.28
40.54,2.28
40.94,2.28
41.35,2.27
41.76,2.27
42.18,2.26
42.60,2.26
43.03,2.26
43.46,2.26
43.90,2.25
44.33,2.25
44.78,2.24
45.23,2.24
45.68,2.24
46.13,2.24
46.60,2.24
47.06,2.23
47.53,2.22
48.01,2.22
48.49,2.22
48.97,2.21
49.46,2.21
49.96,2.21
50.46,2.20
50.96,2.20
51.47,2.19
51.99,2.18
52.51,2.17
53.03,2.16
53.56,2.16
54.10,2.15
54.64,2.14
55.18,2.13
55.74,2.12
56.29,2.11
56.86,2.10
57.42,2.09
58.00,2.09
58.58,2.07
59.16,2.06
59.76,2.05
60.35,2.04
60.96,2.03
61.57,2.01
62.18,2.00
62.80,1.99
63.43,1.97
64.07,1.96
64.71,1.94
65.35,1.93
66.01,1.91
66.67,1.90
67.33,1.88
68.01,1.86
68.69,1.85
69.37,1.83
70.07,1.81
70.77,1.79
71.48,1.77
72.19,1.76
72.91,1.74
73.64,1.72
74.38,1.70
75.12,1.68
75.87,1.66
76.63,1.64
77.40,1.61
78.17,1.59
78.95,1.57
79.74,1.55
80.54,1.53
81.35,1.50
82.16,1.48
82.98,1.45
83.81,1.43
84.65,1.41
85.50,1.38
86.35,1.35
87.22,1.33
88.09,1.30
88.97,1.27
89.86,1.24
90.76,1.22
91.66,1.19
92.58,1.15
93.51,1.12
94.44,1.09
95.39,1.06
96.34,1.03
97.30,1.00
98.28,0.97
99.26,0.94
100.25,0.91
101.25,0.88
102.27,0.85
103.29,0.82
104.32,0.79
105.37,0.76
106.42,0.73
107.48,0.70
108.56,0.67
109.64,0.64
110.74,0.61
111.85,0.58
112.97,0.54
114.10,0.51
115.24,0.47
116.39,0.44
117.55,0.41
118.73,0.37
119.92,0.34
121.12,0.30
122.33,0.26
123.55,0.22
124.79,0.19
126.03,0.15
127.29,0.11
128.57,0.07
129.85,0.02
131.15,-0.02
132.46,-0.06
133.79,-0.11
135.12,-0.16
136.48,-0.21
137.84,-0.25
139.22,-0.30
140.61,-0.35
142.02,-0.39
143.44,-0.44
144.87,-0.49
146.32,-0.53
147.78,-0.57
149.26,-0.61
150.75,-0.65
152.26,-0.69
153.78,-0.73
155.32,-0.78
156.88,-0.82
158.44,-0.87
160.03,-0.92
161.63,-0.97
163.24,-1.02
164.88,-1.08
166.53,-1.13
168.19,-1.19
169.87,-1.25
171.57,-1.31
173.29,-1.37
175.02,-1.43
176.77,-1.49
178.54,-1.55
180.32,-1.61
182.13,-1.67
183.95,-1.73
185.79,-1.80
187.65,-1.86
189.52,-1.92
191.42,-1.99
193.33,-2.04
195.27,-2.10
197.22,-2.15
199.19,-2.19
201.18,-2.23
203.19,-2.26
205.23,-2.27
207.28,-2.26
209.35,-2.24
211.44,-2.20
213.56,-2.13
215.69,-2.02
217.85,-1.90
220.03,-1.75
222.23,-1.57
224.45,-1.39
226.70,-1.19
228.96,-1.01
231.25,-0.84
233.57,-0.69
235.90,-0.58
238.26,-0.51
240.64,-0.46
243.05,-0.44
245.48,-0.46
247.93,-0.49
250.41,-0.54
252.92,-0.61
255.45,-0.68
258.00,-0.76
260.58,-0.85
263.19,-0.94
265.82,-1.02
268.48,-1.11
271.16,-1.20
273.87,-1.29
276.61,-1.37
279.38,-1.45
282.17,-1.53
284.99,-1.61
287.84,-1.68
290.72,-1.76
293.63,-1.83
296.57,-1.89
299.53,-1.96
302.53,-2.02
305.55,-2.08
308.61,-2.14
311.69,-2.20
314.81,-2.26
317.96,-2.31
321.14,-2.36
324.35,-2.42
327.59,-2.47
330.87,-2.52
334.18,-2.57
337.52,-2.62
340.90,-2.67
344.30,-2.71
347.75,-2.75
351.23,-2.80
354.74,-2.84
358.28,-2.88
361.87,-2.92
365.49,-2.96
369.14,-3.00
372.83,-3.05
376.56,-3.10
380.33,-3.15
384.13,-3.20
387.97,-3.26
391.85,-3.31
395.77,-3.37
399.73,-3.44
403.72,-3.50
407.76,-3.56
411.84,-3.62
415.96,-3.68
420.12,-3.73
424.32,-3.78
428.56,-3.82
432.85,-3.86
437.18,-3.90
441.55,-3.93
445.96,-3.95
450.42,-3.98
454.93,-4.00
459.48,-4.02
464.07,-4.04
468.71,-4.06
473.40,-4.06
478.13,-4.07
482.91,-4.07
487.74,-4.07
492.62,-4.07
497.55,-4.07
502.52,-4.06
507.55,-4.05
512.62,-4.04
517.75,-4.02
522.93,-4.01
528.16,-3.99
533.44,-3.96
538.77,-3.94
544.16,-3.92
549.60,-3.89
555.10,-3.87
560.65,-3.85
566.25,-3.82
571.92,-3.79
577.64,-3.77
583.41,-3.74
589.25,-3.71
595.14,-3.68
601.09,-3.64
607.10,-3.59
613.17,-3.54
619.30,-3.48
625.50,-3.41
631.75,-3.33
638.07,-3.25
644.45,-3.15
650.89,-3.06
657.40,-2.96
663.98,-2.86
670.62,-2.76
677.32,-2.66
684.10,-2.57
690.94,-2.48
697.85,-2.39
704.83,-2.31
711.87,-2.24
718.99,-2.17
726.18,-2.10
733.44,-2.03
740.78,-1.97
748.19,-1.91
755.67,-1.85
763.23,-1.79
770.86,-1.73
778.57,-1.67
786.35,-1.61
794.22,-1.55
802.16,-1.49
810.18,-1.43
818.28,-1.37
826.46,-1.31
834.73,-1.25
843.08,-1.18
851.51,-1.12
860.02,-1.06
868.62,-0.99
877.31,-0.93
886.08,-0.86
894.94,-0.80
903.89,-0.73
912.93,-0.66
922.06,-0.59
931.28,-0.52
940.59,-0.45
950.00,-0.38
959.50,-0.31
969.09,-0.24
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.14
1028.71,0.22
1039.00,0.30
1049.39,0.39
1059.88,0.47
1070.48,0.55
1081.19,0.64
1092.00,0.73
1102.92,0.82
1113.95,0.91
1125.09,1.00
1136.34,1.09
1147.70,1.19
1159.18,1.29
1170.77,1.39
1182.48,1.50
1194.30,1.62
1206.25,1.73
1218.31,1.85
1230.49,1.98
1242.80,2.11
1255.22,2.25
1267.78,2.39
1280.45,2.51
1293.26,2.58
1306.19,2.64
1319.25,2.69
1332.45,2.74
1345.77,2.80
1359.23,2.86
1372.82,2.94
1386.55,3.04
1400.41,3.17
1414.42,3.32
1428.56,3.47
1442.85,3.62
1457.28,3.77
1471.85,3.91
1486.57,4.05
1501.43,4.19
1516.45,4.33
1531.61,4.47
1546.93,4.60
1562.40,4.74
1578.02,4.88
1593.80,5.03
1609.74,5.17
1625.84,5.32
1642.10,5.47
1658.52,5.63
1675.10,5.78
1691.85,5.94
1708.77,6.09
1725.86,6.25
1743.12,6.41
1760.55,6.57
1778.15,6.73
1795.94,6.90
1813.90,7.06
1832.03,7.22
1850.36,7.38
1868.86,7.54
1887.55,7.70
1906.42,7.86
1925.49,8.01
1944.74,8.16
1964.19,8.31
1983.83,8.46
2003.67,8.60
2023.71,8.74
2043.94,8.88
2064.38,9.01
2085.03,9.14
2105.88,9.27
2126.94,9.40
2148.20,9.52
2169.69,9.64
2191.38,9.76
2213.30,9.88
2235.43,10.00
2257.78,10.11
2280.36,10.22
2303.17,10.33
2326.20,10.44
2349.46,10.54
2372.95,10.63
2396.68,10.71
2420.65,10.79
2444.86,10.86
2469.31,10.92
2494.00,10.97
2518.94,11.00
2544.13,11.03
2569.57,11.04
2595.27,11.04
2621.22,11.03
2647.43,11.00
2673.90,10.95
2700.64,10.89
2727.65,10.81
2754.93,10.71
2782.48,10.60
2810.30,10.48
2838.40,10.35
2866.79,10.21
2895.46,10.07
2924.41,9.92
2953.65,9.77
2983.19,9.62
3013.02,9.47
3043.15,9.32
3073.58,9.17
3104.32,9.02
3135.36,8.89
3166.72,8.75
3198.38,8.62
3230.37,8.50
3262.67,8.38
3295.30,8.27
3328.25,8.17
3361.53,8.08
3395.15,7.99
3429.10,7.90
3463.39,7.82
3498.03,7.73
3533.01,7.64
3568.34,7.55
3604.02,7.44
3640.06,7.31
3676.46,7.16
3713.22,7.01
3750.36,6.85
3787.86,6.74
3825.74,6.64
3864.00,6.58
3902.64,6.57
3941.66,6.58
3981.08,6.61
4020.89,6.66
4061.10,6.73
4101.71,6.81
4142.73,6.90
4184.15,6.99
4226.00,7.10
4268.26,7.22
4310.94,7.34
4354.05,7.49
4397.59,7.64
4441.56,7.81
4485.98,8.00
4530.84,8.21
4576.15,8.44
4621.91,8.69
4668.13,8.97
4714.81,9.28
4761.96,9.60
4809.58,9.94
4857.67,10.29
4906.25,10.64
4955.31,10.99
5004.87,11.33
5054.91,11.63
5105.46,11.89
5156.52,12.11
5208.08,12.24
5260.16,12.27
5312.77,12.25
5365.89,12.12
5419.55,11.92
5473.75,11.65
5528.49,11.33
5583.77,10.96
5639.61,10.56
5696.00,10.14
5752.96,9.70
5810.49,9.26
5868.60,8.82
5927.28,8.39
5986.56,7.97
6046.42,7.56
6106.89,7.17
6167.96,6.80
6229.64,6.45
6291.93,6.13
6354.85,5.83
6418.40,5.55
6482.58,5.30
6547.41,5.08
6612.88,4.87
6679.01,4.70
6745.80,4.55
6813.26,4.42
6881.39,4.32
6950.21,4.25
7019.71,4.21
7089.91,4.19
7160.81,4.20
7232.41,4.24
7304.74,4.30
7377.79,4.38
7451.56,4.49
7526.08,4.61
7601.34,4.74
7677.35,4.88
7754.13,5.02
7831.67,5.13
7909.98,5.22
7989.08,5.26
8068.98,5.23
8149.67,5.13
8231.16,4.95
8313.47,4.65
8396.61,4.30
8480.57,3.85
8565.38,3.32
8651.03,2.76
8737.54,2.15
8824.92,1.53
8913.17,0.91
9002.30,0.29
9092.32,-0.32
9183.25,-0.90
9275.08,-1.46
9367.83,-2.00
9461.51,-2.50
9556.12,-2.98
9651.68,-3.43
9748.20,-3.85
9845.68,-4.24
9944.14,-4.59
10043.58,-4.91
10144.02,-5.20
10245.46,-5.44
10347.91,-5.64
10451.39,-5.81
10555.91,-5.92
10661.46,-6.00
10768.08,-6.05
10875.76,-6.05
10984.52,-6.00
11094.36,-5.92
11205.31,-5.79
11317.36,-5.60
11430.53,-5.37
11544.84,-5.06
11660.29,-4.69
11776.89,-4.28
11894.66,-3.73
12013.60,-3.17
12133.74,-2.50
12255.08,-1.72
12377.63,-0.87
12501.41,0.08
12626.42,1.12
12752.68,2.18
12880.21,3.02
13009.01,3.72
13139.10,4.43
13270.49,4.45
