frequency,raw
20.00,14.32
20.20,14.31
20.40,14.30
20.61,14.29
20.81,14.28
21.02,14.27
21.23,14.25
21.44,14.24
21.66,14.23
21.87,14.21
22.09,14.20
22.31,14.19
22.54,14.17
22.76,14.16
22.99,14.15
23.22,14.14
23.45,14.13
23.69,14.12
23.92,14.10
24.16,14.09
24.40,14.07
24.65,14.06
24.89,14.04
25.14,14.02
25.39,14.01
25.65,13.99
25.91,13.98
26.16,13.96
26.43,13.95
26.69,13.93
26.96,13.92
27.23,13.90
27.50,13.88
27.77,13.87
28.05,13.85
28.33,13.83
28.62,13.81
28.90,13.79
29.19,13.77
29.48,13.76
29.78,13.74
30.08,13.72
30.38,13.69
30.68,13.67
30.99,13.65
31.30,13.63
31.61,13.61
31.93,13.59
32.24,13.57
32.57,13.55
32.89,13.53
33.22,13.51
33.55,13.48
33.89,13.46
34.23,13.44
34.57,13.42
34.92,13.40
35.27,13.37
35.62,13.35
35.97,13.32
36.33,13.29
36.70,13.27
37.06,13.24
37.43,13.22
37.81,13.19
38.19,13.17
38.57,13.14
38.95,13.11
39.34,13.08
39.74,13.05
40.14,13.03
40.54,13.00
40.94,12.97
41.35,12.94
41.76,12.91
42.18,12.88
42.60,12.85
43.03,12.82
43.46,12.79
43.90,12.77
44.33,12.75
44.78,12.73
45.23,12.69
45.68,12.65
46.13,12.60
46.60,12.56
47.06,12.53
47.53,12.50
48.01,12.47
48.49,12.43
48.97,12.40
49.46,12.37
49.96,12.33
50.46,12.29
50.96,12.25
51.47,12.21
51.99,12.18
52.51,12.14
53.03,12.10
53.56,12.06
54.10,12.03
54.64,11.99
55.18,11.95
55.74,11.91
56.29,11.87
56.86,11.84
57.42,11.79
58.00,11.75
58.58,11.70
59.16,11.66
59.76,11.62
60.35,11.58
60.96,11.53
61.57,11.49
62.18,11.45
62.80,11.41
63.43,11.37
64.07,11.32
64.71,11.28
65.35,11.24
66.01,11.19
66.67,11.14
67.33,11.09
68.01,11.05
68.69,11.01
69.37,10.96
70.07,10.91
70.77,10.86
71.48,10.82
72.19,10.77
72.91,10.71
73.64,10.66
74.38,10.61
75.12,10.56
75.87,10.52
76.63,10.47
77.40,10.42
78.17,10.37
78.95,10.32
79.74,10.27
80.54,10.22
81.35,10.17
82.16,10.11
82.98,10.06
83.81,10.01
84.65,9.96
85.50,9.90
86.35,9.85
87.22,9.79
88.09,9.74
88.97,9.68
89.86,9.63
90.76,9.58
91.66,9.53
92.58,9.47
93.51,9.42
94.44,9.36
95.39,9.30
96.34,9.24
97.30,9.19
98.28,9.13
99.26,9.08
100.25,9.02
101.25,8.97
102.27,8.91
103.29,8.85
104.32,8.79
105.37,8.73
106.42,8.67
107.48,8.61
108.56,8.55
109.64,8.49
110.74,8.43
111.85,8.37
112.97,8.31
114.10,8.25
115.24,8.19
116.39,8.13
117.55,8.07
118.73,8.01
119.92,7.95
121.12,7.89
122.33,7.83
123.55,7.77
124.79,7.71
126.03,7.65
127.29,7.59
128.57,7.52
129.85,7.46
131.15,7.40
132.46,7.34
133.79,7.27
135.12,7.21
136.48,7.14
137.84,7.08
139.22,7.02
140.61,6.95
142.02,6.89
143.44,6.83
144.87,6.77
146.32,6.70
147.78,6.64
149.26,6.57
150.75,6.51
152.26,6.45
153.78,6.38
155.32,6.32
156.88,6.25
158.44,6.19
160.03,6.13
161.63,6.06
163.24,6.00
164.88,5.93
166.53,5.87
168.19,5.80
169.87,5.74
171.57,5.68
173.29,5.61
175.02,5.55
176.77,5.48
178.54,5.42
180.32,5.35
182.13,5.29
183.95,5.22
185.79,5.16
187.65,5.09
189.52,5.03
191.42,4.96
193.33,4.90
195.27,4.83
197.22,4.77
199.19,4.71
201.18,4.64
203.19,4.58
205.23,4.51
207.28,4.45
209.35,4.38
211.44,4.32
213.56,4.26
215.69,4.19
217.85,4.13
220.03,4.06
222.23,4.00
224.45,3.93
226.70,3.87
228.96,3.81
231.25,3.74
233.57,3.68
235.90,3.62
238.26,3.55
240.64,3.49
243.05,3.43
245.48,3.36
247.93,3.30
250.41,3.24
252.92,3.18
255.45,3.11
258.00,3.05
260.58,2.99
263.19,2.93
265.82,2.87
268.48,2.80
271.16,2.74
273.87,2.68
276.61,2.62
279.38,2.56
282.17,2.50
