frequency,raw
20.00,-5.86
20.20,-5.82
20.40,-5.77
20.61,-5.72
20.81,-5.64
21.02,-5.54
21.23,-5.43
21.44,-5.33
21.66,-5.24
21.87,-5.16
22.09,-5.11
22.31,-5.06
22.54,-5.02
22.76,-4.97
22.99,-4.90
23.22,-4.83
23.45,-4.76
23.69,-4.70
23.92,-4.65
24.16,-4.61
24.40,-4.58
24.65,-4.55
24.89,-4.52
25.14,-4.47
25.39,-4.42
25.65,-4.37
25.91,-4.33
26.16,-4.29
26.43,-4.27
26.69,-4.26
26.96,-4.24
27.23,-4.23
27.50,-4.22
27.77,-4.22
28.05,-4.24
28.33,-4.27
28.62,-4.29
28.90,-4.30
29.19,-4.26
29.48,-4.19
29.78,-4.06
30.08,-3.93
30.38,-3.81
30.68,-3.73
30.99,-3.71
31.30,-3.71
31.61,-3.71
31.93,-3.69
32.24,-3.63
32.57,-3.56
32.89,-3.48
33.22,-3.42
33.55,-3.38
33.89,-3.36
34.23,-3.35
34.57,-3.33
34.92,-3.30
35.27,-3.26
35.62,-3.23
35.97,-3.21
36.33,-3.19
36.70,-3.18
37.06,-3.17
37.43,-3.17
37.81,-3.17
38.19,-3.18
38.57,-3.18
38.95,-3.19
39.34,-3.20
39.74,-3.21
40.14,-3.22
40.54,-3.21
40.94,-3.20
41.35,-3.19
41.76,-3.20
42.18,-3.21
42.60,-3.23
43.03,-3.23
43.46,-3.25
43.90,-3.28
44.33,-3.32
44.78,-3.37
45.23,-3.40
45.68,-3.45
46.13,-3.51
46.60,-3.62
47.06,-3.76
47.53,-3.89
48.01,-3.96
48.49,-4.00
48.97,-4.03
49.46,-4.06
49.96,-4.11
50.46,-4.16
50.96,-4.21
51.47,-4.25
51.99,-4.31
52.51,-4.35
53.03,-4.38
53.56,-4.36
54.10,-4.33
54.64,-4.30
55.18,-4.25
55.74,-4.17
56.29,-4.10
56.86,-4.02
57.42,-3.95
58.00,-3.87
58.58,-3.77
59.16,-3.68
59.76,-3.61
60.35,-3.52
60.96,-3.43
61.57,-3.32
62.18,-3.23
62.80,-3.14
63.43,-3.04
64.07,-2.93
64.71,-2.85
65.35,-2.77
66.01,-2.69
66.67,-2.60
67.33,-2.53
68.01,-2.47
68.69,-2.41
69.37,-2.34
70.07,-2.26
70.77,-2.19
71.48,-2.15
72.19,-2.13
72.91,-2.12
73.64,-2.06
74.38,-2.02
75.12,-2.01
75.87,-2.01
76.63,-1.98
77.40,-1.92
78.17,-1.90
78.95,-1.88
79.74,-1.85
80.54,-1.82
81.35,-1.81
82.16,-1.80
82.98,-1.79
83.81,-1.78
84.65,-1.77
85.50,-1.77
86.35,-1.75
87.22,-1.71
88.09,-1.67
88.97,-1.65
89.86,-1.67
90.76,-1.69
91.66,-1.70
92.58,-1.70
93.51,-1.72
94.44,-1.74
95.39,-1.77
96.34,-1.81
97.30,-1.84
98.28,-1.90
99.26,-1.95
100.25,-1.98
101.25,-2.01
102.27,-2.04
103.29,-2.08
104.32,-2.08
105.37,-2.10
106.42,-2.10
107.48,-2.08
108.56,-2.07
109.64,-2.08
110.74,-2.09
111.85,-2.11
112.97,-2.11
114.10,-2.12
115.24,-2.16
116.39,-2.18
117.55,-2.20
118.73,-2.21
119.92,-2.22
121.12,-2.25
122.33,-2.30
123.55,-2.34
124.79,-2.37
126.03,-2.40
127.29,-2.42
128.57,-2.44
129.85,-2.47
131.15,-2.50
132.46,-2.52
133.79,-2.56
135.12,-2.59
136.48,-2.63
137.84,-2.66
139.22,-2.68
140.61,-2.71
142.02,-2.74
143.44,-2.77
144.87,-2.78
146.32,-2.80
147.78,-2.81
149.26,-2.83
150.75,-2.84
152.26,-2.86
153.78,-2.87
155.32,-2.88
156.88,-2.89
158.44,-2.89
160.03,-2.89
161.63,-2.88
163.24,-2.87
164.88,-2.86
166.53,-2.85
168.19,-2.84
169.87,-2.84
171.57,-2.82
173.29,-2.80
175.02,-2.76
176.77,-2.72
178.54,-2.68
180.32,-2.65
182.13,-2.61
183.95,-2.57
185.79,-2.53
187.65,-2.48
189.52,-2.43
191.42,-2.38
193.33,-2.33
195.27,-2.28
197.22,-2.22
199.19,-2.16
201.18,-2.11
203.19,-2.05
205.23,-2.00
207.28,-1.95
209.35,-1.89
211.44,-1.84
213.56,-1.78
215.69,-1.73
217.85,-1.67
220.03,-1.62
222.23,-1.57
224.45,-1.52
226.70,-1.47
228.96,-1.42
231.25,-1.37
233.57,-1.32
235.90,-1.27
238.26,-1.23
240.64,-1.18
243.05,-1.14
245.48,-1.10
247.93,-1.06
250.41,-1.02
252.92,-0.98
255.45,-0.95
258.00,-0.91
260.58,-0.88
263.19,-0.84
265.82,-0.81
268.48,-0.79
271.16,-0.76
273.87,-0.73
276.61,-0.71
279.38,-0.69
282.17,-0.68
284.99,-0.66
287.84,-0.64
290.72,-0.63
293.63,-0.61
296.57,-0.60
299.53,-0.59
302.53,-0.58
305.55,-0.57
308.61,-0.57
311.69,-0.56
314.81,-0.55
317.96,-0.54
321.14,-0.53
324.35,-0.51
327.59,-0.50
330.87,-0.48
334.18,-0.46
337.52,-0.45
340.90,-0.43
344.30,-0.42
347.75,-0.42
351.23,-0.42
354.74,-0.42
358.28,-0.42
361.87,-0.43
365.49,-0.43
369.14,-0.44
372.83,-0.44
376.56,-0.45
380.33,-0.46
384.13,-0.47
387.97,-0.48
391.85,-0.49
395.77,-0.50
399.73,-0.50
403.72,-0.52
407.76,-0.53
411.84,-0.54
415.96,-0.55
420.12,-0.56
424.32,-0.57
428.56,-0.58
432.85,-0.59
437.18,-0.60
441.55,-0.61
445.96,-0.63
450.42,-0.64
454.93,-0.65
459.48,-0.67
464.07,-0.68
468.71,-0.70
473.40,-0.72
478.13,-0.74
482.91,-0.76
487.74,-0.78
492.62,-0.79
497.55,-0.81
502.52,-0.83
507.55,-0.85
512.62,-0.86
517.75,-0.88
522.93,-0.89
