frequency,raw
20.00,-2.25
20.20,-2.16
20.40,-2.08
20.61,-1.99
20.81,-1.91
21.02,-1.83
21.23,-1.83
21.44,-1.83
21.66,-1.83
21.87,-1.83
22.09,-1.82
22.31,-1.80
22.54,-1.78
22.76,-1.75
22.99,-1.73
23.22,-1.73
23.45,-1.73
23.69,-1.73
23.92,-1.73
24.16,-1.73
24.40,-1.73
24.65,-1.73
24.89,-1.73
25.14,-1.72
25.39,-1.69
25.65,-1.66
25.91,-1.64
26.16,-1.61
26.43,-1.59
26.69,-1.56
26.96,-1.53
27.23,-1.53
27.50,-1.53
27.77,-1.53
28.05,-1.53
28.33,-1.53
28.62,-1.53
28.90,-1.53
29.19,-1.53
29.48,-1.53
29.78,-1.53
30.08,-1.53
30.38,-1.55
30.68,-1.57
30.99,-1.59
31.30,-1.54
31.61,-1.49
31.93,-1.44
32.24,-1.43
32.57,-1.43
32.89,-1.43
33.22,-1.43
33.55,-1.43
33.89,-1.43
34.23,-1.43
34.57,-1.43
34.92,-1.43
35.27,-1.43
35.62,-1.43
35.97,-1.43
36.33,-1.43
36.70,-1.43
37.06,-1.43
37.43,-1.43
37.81,-1.43
38.19,-1.43
38.57,-1.43
38.95,-1.43
39.34,-1.43
39.74,-1.43
40.14,-1.43
40.54,-1.43
40.94,-1.43
41.35,-1.43
41.76,-1.43
42.18,-1.43
42.60,-1.43
43.03,-1.43
43.46,-1.43
43.90,-1.43
44.33,-1.43
44.78,-1.43
45.23,-1.43
45.68,-1.43
46.13,-1.43
46.60,-1.43
47.06,-1.43
47.53,-1.43
48.01,-1.43
48.49,-1.35
48.97,-1.26
49.46,-1.48
49.96,-1.71
50.46,-1.68
50.96,-1.63
51.47,-1.63
51.99,-1.63
52.51,-1.63
53.03,-1.63
53.56,-1.63
54.10,-1.63
54.64,-1.63
55.18,-1.63
55.74,-1.63
56.29,-1.68
56.86,-1.78
57.42,-1.57
58.00,-1.25
58.58,-1.35
59.16,-1.43
59.76,-1.43
60.35,-1.43
60.96,-1.43
61.57,-1.43
62.18,-1.43
62.80,-1.43
63.43,-1.43
64.07,-1.44
64.71,-1.56
65.35,-1.51
66.01,-1.33
66.67,-1.33
67.33,-1.33
68.01,-1.33
68.69,-1.33
69.37,-1.33
70.07,-1.33
70.77,-1.37
71.48,-1.42
72.19,-1.48
72.91,-1.52
73.64,-1.53
74.38,-1.53
75.12,-1.53
75.87,-1.53
76.63,-1.50
77.40,-1.44
78.17,-1.42
78.95,-1.62
79.74,-1.82
80.54,-1.84
81.35,-1.78
82.16,-1.73
82.98,-1.73
83.81,-1.81
84.65,-1.86
85.50,-1.90
86.35,-1.88
87.22,-1.81
88.09,-1.92
88.97,-2.03
89.86,-2.01
90.76,-1.95
91.66,-1.87
92.58,-1.81
93.51,-1.75
94.44,-1.76
95.39,-1.79
96.34,-1.65
97.30,-1.46
98.28,-1.31
99.26,-1.14
100.25,-1.04
101.25,-0.97
102.27,-0.92
103.29,-0.86
104.32,-0.81
105.37,-0.79
106.42,-0.78
107.48,-0.80
108.56,-0.90
109.64,-1.04
110.74,-1.03
111.85,-0.98
112.97,-0.88
114.10,-1.10
115.24,-1.35
116.39,-1.46
117.55,-1.56
118.73,-1.53
119.92,-1.28
121.12,-1.40
122.33,-1.67
123.55,-1.72
124.79,-1.51
126.03,-1.37
127.29,-1.49
128.57,-1.54
129.85,-1.62
131.15,-1.68
