frequency,raw
20.00,-1.57
20.20,-1.48
20.40,-1.39
20.61,-1.31
20.81,-1.22
21.02,-1.14
21.23,-1.09
21.44,-1.04
21.66,-0.99
21.87,-0.95
22.09,-0.90
22.31,-0.84
22.54,-0.79
22.76,-0.74
22.99,-0.68
23.22,-0.62
23.45,-0.56
23.69,-0.50
23.92,-0.44
24.16,-0.37
24.40,-0.30
24.65,-0.23
24.89,-0.16
25.14,-0.10
25.39,-0.05
25.65,-0.01
25.91,0.04
26.16,0.07
26.43,0.09
26.69,0.11
26.96,0.13
27.23,0.17
27.50,0.22
27.77,0.27
28.05,0.32
28.33,0.38
28.62,0.43
28.90,0.49
29.19,0.54
29.48,0.59
29.78,0.63
30.08,0.68
30.38,0.73
30.68,0.78
30.99,0.83
31.30,0.88
31.61,0.93
31.93,0.98
32.24,1.02
32.57,1.06
32.89,1.11
33.22,1.12
33.55,1.12
33.89,1.12
34.23,1.17
34.57,1.23
34.92,1.30
35.27,1.32
35.62,1.32
35.97,1.32
36.33,1.35
36.70,1.38
37.06,1.42
37.43,1.49
37.81,1.56
38.19,1.59
38.57,1.60
38.95,1.61
39.34,1.61
39.74,1.61
40.14,1.62
40.54,1.66
40.94,1.69
41.35,1.74
41.76,1.78
42.18,1.80
42.60,1.80
43.03,1.80
43.46,1.84
43.90,1.88
44.33,1.89
44.78,1.89
45.23,1.89
45.68,1.89
46.13,1.89
46.60,1.89
47.06,1.90
47.53,1.94
48.01,1.99
48.49,1.99
48.97,1.99
49.46,2.04
49.96,2.09
50.46,2.09
50.96,2.09
51.47,2.09
51.99,2.09
52.51,2.09
53.03,2.09
53.56,2.09
54.10,2.09
54.64,2.09
55.18,2.11
55.74,2.16
56.29,2.18
56.86,2.18
57.42,2.18
58.00,2.18
58.58,2.18
59.16,2.18
59.76,2.18
60.35,2.18
60.96,2.18
61.57,2.18
62.18,2.18
62.80,2.18
63.43,2.18
64.07,2.18
64.71,2.18
65.35,2.18
66.01,2.18
66.67,2.18
67.33,2.18
68.01,2.18
68.69,2.18
69.37,2.18
70.07,2.18
70.77,2.18
71.48,2.18
72.19,2.18
72.91,2.18
73.64,2.18
74.38,2.18
75.12,2.18
75.87,2.18
76.63,2.18
77.40,2.17
78.17,2.14
78.95,2.09
79.74,2.08
80.54,2.03
81.35,1.99
82.16,1.99
82.98,1.99
83.81,1.99
