frequency,raw
20.00,8.08
20.20,8.09
20.40,8.09
20.61,8.09
20.81,8.10
21.02,8.11
21.23,8.11
21.44,8.12
21.66,8.12
21.87,8.12
22.09,8.13
22.31,8.13
22.54,8.14
22.76,8.15
22.99,8.15
23.22,8.16
23.45,8.16
23.69,8.17
23.92,8.17
24.16,8.17
24.40,8.16
24.65,8.16
24.89,8.16
25.14,8.15
25.39,8.14
25.65,8.14
25.91,8.13
26.16,8.13
26.43,8.12
26.69,8.11
26.96,8.10
27.23,8.09
27.50,8.08
27.77,8.07
28.05,8.06
28.33,8.04
28.62,8.03
28.90,8.02
29.19,8.00
29.48,7.99
29.78,7.98
30.08,7.97
30.38,7.96
30.68,7.95
30.99,7.93
31.30,7.91
31.61,7.89
31.93,7.87
32.24,7.85
32.57,7.83
32.89,7.81
33.22,7.79
33.55,7.78
33.89,7.76
34.23,7.75
34.57,7.73
34.92,7.71
35.27,7.69
35.62,7.67
35.97,7.64
36.33,7.62
36.70,7.59
37.06,7.56
37.43,7.53
37.81,7.51
38.19,7.48
38.57,7.45
38.95,7.43
39.34,7.40
39.74,7.37
40.14,7.34
40.54,7.31
40.94,7.28
41.35,7.25
41.76,7.22
42.18,7.19
42.60,7.16
43.03,7.13
43.46,7.09
43.90,7.06
44.33,7.03
44.78,6.99
45.23,6.96
45.68,6.92
46.13,6.88
46.60,6.85
47.06,6.81
47.53,6.77
48.01,6.74
48.49,6.70
48.97,6.66
49.46,6.62
49.96,6.58
50.46,6.54
50.96,6.50
51.47,6.46
51.99,6.43
52.51,6.39
53.03,6.35
53.56,6.31
54.10,6.27
54.64,6.23
55.18,6.19
55.74,6.14
56.29,6.10
56.86,6.05
57.42,6.01
58.00,5.97
58.58,5.92
59.16,5.88
59.76,5.84
60.35,5.80
60.96,5.76
61.57,5.71
62.18,5.67
62.80,5.63
63.43,5.58
64.07,5.54
64.71,5.49
65.35,5.44
66.01,5.39
66.67,5.34
67.33,5.29
68.01,5.24
68.69,5.19
69.37,5.14
70.07,5.09
70.77,5.04
71.48,4.99
72.19,4.94
72.91,4.89
73.64,4.84
74.38,4.79
75.12,4.74
75.87,4.69
76.63,4.64
77.40,4.59
78.17,4.54
78.95,4.48
79.74,4.43
80.54,4.38
81.35,4.33
82.16,4.28
82.98,4.23
83.81,4.18
84.65,4.13
85.50,4.09
86.35,4.05
87.22,4.02
88.09,4.00
88.97,3.97
89.86,3.94
90.76,3.88
91.66,3.81
92.58,3.73
93.51,3.66
94.44,3.59
95.39,3.52
96.34,3.46
97.30,3.41
98.28,3.36
99.26,3.31
100.25,3.26
101.25,3.20
102.27,3.15
103.29,3.09
104.32,3.04
105.37,2.99
106.42,2.94
107.48,2.90
108.56,2.86
109.64,2.81
110.74,2.76
111.85,2.71
112.97,2.66
114.10,2.61
115.24,2.56
116.39,2.50
117.55,2.45
118.73,2.40
119.92,2.34
121.12,2.29
122.33,2.23
123.55,2.18
124.79,2.13
126.03,2.09
127.29,2.04
128.57,2.00
129.85,1.95
131.15,1.91
132.46,1.86
133.79,1.81
135.12,1.76
136.48,1.71
137.84,1.67
139.22,1.61
140.61,1.56
142.02,1.51
143.44,1.45
144.87,1.41
146.32,1.36
147.78,1.32
149.26,1.28
150.75,1.24
152.26,1.19
153.78,1.15
155.32,1.10
156.88,1.06
158.44,1.01
160.03,0.97
161.63,0.93
163.24,0.88
164.88,0.84
166.53,0.80
168.19,0.75
169.87,0.71
171.57,0.66
173.29,0.62
175.02,0.57
176.77,0.53
178.54,0.49
180.32,0.44
182.13,0.40
183.95,0.36
185.79,0.32
187.65,0.28
189.52,0.24
191.42,0.20
193.33,0.16
