frequency,raw
20.00,8.57
20.20,8.57
20.40,8.58
20.61,8.58
20.81,8.60
21.02,8.61
21.23,8.63
21.44,8.65
21.66,8.67
21.87,8.69
22.09,8.72
22.31,8.75
22.54,8.78
22.76,8.81
22.99,8.84
23.22,8.87
23.45,8.89
23.69,8.92
23.92,8.95
24.16,8.98
24.40,9.01
24.65,9.03
24.89,9.05
25.14,9.07
25.39,9.08
25.65,9.08
25.91,9.08
26.16,9.08
26.43,9.08
26.69,9.09
26.96,9.10
27.23,9.12
27.50,9.14
27.77,9.16
28.05,9.18
28.33,9.20
28.62,9.22
28.90,9.23
29.19,9.24
29.48,9.25
29.78,9.26
30.08,9.27
30.38,9.27
30.68,9.28
30.99,9.28
31.30,9.29
31.61,9.29
31.93,9.30
32.24,9.30
32.57,9.31
32.89,9.31
33.22,9.32
33.55,9.32
33.89,9.33
34.23,9.33
34.57,9.33
34.92,9.33
35.27,9.33
35.62,9.33
35.97,9.32
36.33,9.32
36.70,9.32
37.06,9.31
37.43,9.31
37.81,9.31
38.19,9.30
38.57,9.30
38.95,9.30
39.34,9.30
39.74,9.30
40.14,9.30
40.54,9.30
40.94,9.30
41.35,9.29
41.76,9.29
42.18,9.28
42.60,9.28
43.03,9.27
43.46,9.26
43.90,9.25
44.33,9.24
44.78,9.23
45.23,9.22
45.68,9.21
46.13,9.20
46.60,9.19
47.06,9.18
47.53,9.16
48.01,9.15
48.49,9.14
48.97,9.13
49.46,9.11
49.96,9.10
50.46,9.09
50.96,9.09
51.47,9.09
51.99,9.08
52.51,9.07
53.03,9.06
53.56,9.05
54.10,9.03
54.64,9.02
55.18,9.00
55.74,9.00
56.29,8.99
56.86,8.98
57.42,8.97
58.00,8.97
58.58,8.96
59.16,8.95
59.76,8.94
60.35,8.94
60.96,8.94
61.57,8.93
62.18,8.90
62.80,8.89
63.43,8.89
64.07,8.89
64.71,8.85
65.35,8.82
66.01,8.80
66.67,8.80
67.33,8.77
68.01,8.72
68.69,8.69
69.37,8.68
70.07,8.71
70.77,8.68
71.48,8.62
72.19,8.57
72.91,8.57
73.64,8.61
74.38,8.61
75.12,8.55
75.87,8.46
76.63,8.43
77.40,8.44
78.17,8.45
78.95,8.43
79.74,8.30
80.54,8.19
81.35,8.12
82.16,8.15
82.98,8.16
83.81,8.16
84.65,8.04
85.50,7.93
86.35,7.84
87.22,7.85
88.09,7.88
88.97,7.87
89.86,7.82
90.76,7.71
91.66,7.61
92.58,7.56
93.51,7.60
94.44,7.67
95.39,7.74
96.34,7.76
97.30,7.69
98.28,7.54
99.26,7.34
100.25,7.11
101.25,6.88
102.27,6.68
103.29,6.52
104.32,6.42
105.37,6.41
106.42,6.45
107.48,6.54
108.56,6.67
109.64,6.80
110.74,6.93
111.85,7.03
112.97,7.09
114.10,7.12
115.24,7.10
116.39,7.02
117.55,6.92
118.73,6.75
119.92,6.56
121.12,6.34
122.33,6.07
123.55,5.78
124.79,5.51
126.03,5.38
127.29,5.44
128.57,5.71
129.85,6.11
131.15,6.51
132.46,6.76
133.79,6.87
135.12,6.76
136.48,6.56
137.84,6.30
139.22,6.17
140.61,6.11
142.02,6.12
143.44,6.09
144.87,5.99
146.32,5.90
147.78,5.82
149.26,5.79
