frequency,raw
20.00,3.54
20.20,3.59
20.40,3.64
20.61,3.69
20.81,3.73
21.02,3.78
21.23,3.83
21.44,3.87
21.66,3.91
21.87,3.95
22.09,3.98
22.31,4.01
22.54,4.04
22.76,4.06
22.99,4.09
23.22,4.12
23.45,4.14
23.69,4.17
23.92,4.19
24.16,4.22
24.40,4.23
24.65,4.25
24.89,4.27
25.14,4.29
25.39,4.31
25.65,4.34
25.91,4.36
26.16,4.39
26.43,4.41
26.69,4.42
26.96,4.43
27.23,4.44
27.50,4.45
27.77,4.47
28.05,4.49
28.33,4.51
28.62,4.52
28.90,4.52
29.19,4.52
29.48,4.51
29.78,4.51
30.08,4.52
30.38,4.54
30.68,4.58
30.99,4.60
31.30,4.61
31.61,4.60
31.93,4.57
32.24,4.55
32.57,4.54
32.89,4.55
33.22,4.57
33.55,4.58
33.89,4.57
34.23,4.55
34.57,4.54
34.92,4.53
35.27,4.53
35.62,4.51
35.97,4.49
36.33,4.44
36.70,4.41
37.06,4.40
37.43,4.43
37.81,4.47
38.19,4.51
38.57,4.49
38.95,4.45
39.34,4.40
39.74,4.37
40.14,4.36
40.54,4.37
40.94,4.34
41.35,4.30
41.76,4.25
42.18,4.22
42.60,4.19
43.03,4.18
43.46,4.16
43.90,4.14
44.33,4.12
44.78,4.09
45.23,4.05
45.68,4.00
46.13,3.94
46.60,3.88
47.06,3.84
47.53,3.81
48.01,3.78
48.49,3.76
48.97,3.73
49.46,3.69
49.96,3.65
50.46,3.62
50.96,3.58
51.47,3.53
51.99,3.49
52.51,3.44
53.03,3.41
53.56,3.38
54.10,3.36
54.64,3.33
55.18,3.32
55.74,3.31
56.29,3.29
56.86,3.25
57.42,3.24
58.00,3.23
58.58,3.24
59.16,3.24
59.76,3.25
60.35,3.27
60.96,3.30
61.57,3.33
62.18,3.34
62.80,3.36
63.43,3.39
64.07,3.43
64.71,3.48
65.35,3.53
66.01,3.58
66.67,3.61
67.33,3.66
68.01,3.71
68.69,3.77
69.37,3.82
70.07,3.87
70.77,3.92
71.48,3.97
72.19,4.03
72.91,4.06
73.64,4.10
74.38,4.15
75.12,4.20
75.87,4.23
76.63,4.27
77.40,4.31
78.17,4.34
78.95,4.37
79.74,4.39
80.54,4.42
81.35,4.45
82.16,4.48
82.98,4.51
83.81,4.53
84.65,4.54
85.50,4.55
86.35,4.56
87.22,4.58
88.09,4.59
88.97,4.61
89.86,4.61
90.76,4.61
91.66,4.61
92.58,4.62
93.51,4.61
94.44,4.62
95.39,4.62
96.34,4.60
97.30,4.60
98.28,4.59
99.26,4.58
100.25,4.56
101.25,4.56
102.27,4.55
103.29,4.53
104.32,4.52
105.37,4.50
106.42,4.48
107.48,4.46
108.56,4.44
109.64,4.41
