frequency,raw
20.00,-4.02
20.20,-3.99
20.40,-3.95
20.61,-3.91
20.81,-3.87
21.02,-3.82
21.23,-3.78
21.44,-3.73
21.66,-3.68
21.87,-3.63
22.09,-3.58
22.31,-3.54
22.54,-3.48
22.76,-3.43
22.99,-3.37
23.22,-3.31
23.45,-3.24
23.69,-3.18
23.92,-3.11
24.16,-3.04
24.40,-2.98
24.65,-2.92
24.89,-2.86
25.14,-2.81
25.39,-2.75
25.65,-2.71
25.91,-2.66
26.16,-2.61
26.43,-2.57
26.69,-2.54
26.96,-2.50
27.23,-2.47
27.50,-2.44
27.77,-2.41
28.05,-2.38
28.33,-2.36
28.62,-2.34
28.90,-2.31
29.19,-2.28
29.48,-2.25
29.78,-2.21
30.08,-2.18
30.38,-2.14
30.68,-2.11
30.99,-2.08
31.30,-2.04
31.61,-2.00
31.93,-1.96
32.24,-1.91
32.57,-1.87
32.89,-1.82
33.22,-1.78
33.55,-1.75
33.89,-1.71
34.23,-1.68
34.57,-1.65
34.92,-1.62
35.27,-1.59
35.62,-1.56
35.97,-1.53
36.33,-1.51
36.70,-1.48
37.06,-1.46
37.43,-1.43
37.81,-1.40
38.19,-1.38
38.57,-1.36
38.95,-1.34
39.34,-1.31
39.74,-1.28
40.14,-1.26
40.54,-1.23
40.94,-1.21
41.35,-1.19
41.76,-1.16
42.18,-1.13
42.60,-1.09
43.03,-1.08
43.46,-1.07
43.90,-1.06
44.33,-1.04
44.78,-1.01
45.23,-0.99
45.68,-0.98
46.13,-0.97
46.60,-0.95
47.06,-0.92
47.53,-0.88
48.01,-0.86
48.49,-0.84
48.97,-0.83
49.46,-0.81
49.96,-0.79
50.46,-0.78
50.96,-0.78
51.47,-0.76
51.99,-0.73
52.51,-0.70
53.03,-0.70
53.56,-0.71
54.10,-0.70
54.64,-0.67
55.18,-0.62
55.74,-0.61
56.29,-0.61
56.86,-0.61
57.42,-0.60
58.00,-0.59
58.58,-0.58
59.16,-0.58
59.76,-0.57
60.35,-0.57
60.96,-0.56
61.57,-0.56
62.18,-0.55
62.80,-0.56
63.43,-0.55
64.07,-0.55
64.71,-0.54
65.35,-0.54
66.01,-0.55
66.67,-0.55
67.33,-0.56
68.01,-0.57
68.69,-0.59
69.37,-0.59
70.07,-0.59
70.77,-0.60
71.48,-0.60
72.19,-0.59
72.91,-0.58
73.64,-0.57
74.38,-0.56
75.12,-0.55
75.87,-0.52
76.63,-0.50
77.40,-0.47
78.17,-0.44
78.95,-0.42
79.74,-0.40
80.54,-0.36
81.35,-0.33
82.16,-0.30
82.98,-0.26
83.81,-0.22
84.65,-0.19
85.50,-0.17
86.35,-0.15
87.22,-0.11
88.09,-0.08
88.97,-0.06
89.86,-0.03
90.76,0.01
91.66,0.04
92.58,0.06
93.51,0.09
94.44,0.11
95.39,0.14
96.34,0.17
97.30,0.19
98.28,0.20
99.26,0.22
100.25,0.24
101.25,0.27
102.27,0.29
103.29,0.32
104.32,0.32
105.37,0.35
106.42,0.36
107.48,0.37
108.56,0.39
109.64,0.40
110.74,0.41
111.85,0.42
112.97,0.42
114.10,0.41
115.24,0.41
116.39,0.41
117.55,0.40
118.73,0.40
119.92,0.40
121.12,0.39
122.33,0.37
123.55,0.37
124.79,0.38
126.03,0.38
127.29,0.39
128.57,0.39
129.85,0.38
131.15,0.37
132.46,0.36
133.79,0.34
135.12,0.34
136.48,0.33
137.84,0.32
139.22,0.33
140.61,0.33
142.02,0.32
