frequency,raw
20.00,4.07
20.20,4.10
20.40,4.14
20.61,4.18
20.81,4.24
21.02,4.29
21.23,4.34
21.44,4.40
21.66,4.45
21.87,4.50
22.09,4.55
22.31,4.59
22.54,4.63
22.76,4.66
22.99,4.70
23.22,4.73
23.45,4.76
23.69,4.79
23.92,4.82
24.16,4.86
24.40,4.89
24.65,4.93
24.89,4.97
25.14,5.00
25.39,5.04
25.65,5.07
25.91,5.10
26.16,5.13
26.43,5.16
26.69,5.19
26.96,5.21
27.23,5.23
27.50,5.25
27.77,5.28
28.05,5.30
28.33,5.33
28.62,5.35
28.90,5.38
29.19,5.41
29.48,5.43
29.78,5.46
30.08,5.48
30.38,5.50
30.68,5.53
30.99,5.55
31.30,5.57
31.61,5.60
31.93,5.63
32.24,5.65
32.57,5.68
32.89,5.71
33.22,5.73
33.55,5.75
33.89,5.78
34.23,5.81
34.57,5.83
34.92,5.86
35.27,5.90
35.62,5.93
35.97,5.96
36.33,5.99
36.70,6.02
37.06,6.05
37.43,6.09
37.81,6.12
38.19,6.15
38.57,6.19
38.95,6.23
39.34,6.27
39.74,6.30
40.14,6.34
40.54,6.38
40.94,6.42
41.35,6.46
41.76,6.50
42.18,6.54
42.60,6.59
43.03,6.64
43.46,6.68
43.90,6.73
44.33,6.77
44.78,6.81
45.23,6.86
45.68,6.91
46.13,6.96
46.60,7.01
47.06,7.06
47.53,7.11
48.01,7.16
48.49,7.21
48.97,7.26
49.46,7.31
49.96,7.36
50.46,7.41
50.96,7.46
51.47,7.50
51.99,7.55
52.51,7.60
53.03,7.64
53.56,7.69
54.10,7.73
54.64,7.78
55.18,7.82
55.74,7.86
56.29,7.90
56.86,7.94
57.42,7.98
58.00,8.02
58.58,8.06
59.16,8.10
59.76,8.14
60.35,8.17
60.96,8.21
61.57,8.24
62.18,8.26
62.80,8.28
63.43,8.30
64.07,8.31
64.71,8.32
65.35,8.33
66.01,8.34
66.67,8.34
67.33,8.34
68.01,8.35
68.69,8.35
69.37,8.34
70.07,8.32
70.77,8.30
71.48,8.27
72.19,8.23
72.91,8.19
73.64,8.14
74.38,8.09
75.12,8.03
75.87,7.97
76.63,7.91
77.40,7.84
78.17,7.77
78.95,7.70
79.74,7.63
80.54,7.55
81.35,7.47
82.16,7.38
82.98,7.30
83.81,7.21
84.65,7.13
85.50,7.04
86.35,6.95
87.22,6.86
88.09,6.76
88.97,6.65
89.86,6.55
90.76,6.44
91.66,6.34
92.58,6.25
93.51,6.15
94.44,6.06
95.39,5.96
96.34,5.86
97.30,5.76
98.28,5.65
99.26,5.55
100.25,5.44
101.25,5.33
102.27,5.22
103.29,5.11
104.32,5.00
105.37,4.89
106.42,4.79
107.48,4.69
108.56,4.59
109.64,4.49
110.74,4.39
111.85,4.29
112.97,4.19
114.10,4.10
115.24,4.01
116.39,3.92
117.55,3.83
118.73,3.75
119.92,3.66
121.12,3.57
122.33,3.47
123.55,3.38
124.79,3.29
126.03,3.20
127.29,3.11
128.57,3.02
129.85,2.93
131.15,2.84
132.46,2.75
133.79,2.67
135.12,2.58
136.48,2.50
137.84,2.42
139.22,2.34
140.61,2.26
142.02,2.18
143.44,2.10
144.87,2.02
146.32,1.94
147.78,1.87
149.26,1.79
150.75,1.71
152.26,1.63
153.78,1.55
155.32,1.47
156.88,1.39
158.44,1.32
160.03,1.24
161.63,1.17
163.24,1.09
164.88,1.01
166.53,0.93
168.19,0.85
169.87,0.77
171.57,0.68
173.29,0.59
175.02,0.51
176.77,0.43
178.54,0.35
180.32,0.28
182.13,0.20
183.95,0.13
185.79,0.06
187.65,-0.02
189.52,-0.10
191.42,-0.17
193.33,-0.25
195.27,-0.32
197.22,-0.39
199.19,-0.46
201.18,-0.52
203.19,-0.59
205.23,-0.65
207.28,-0.70
209.35,-0.76
211.44,-0.82
213.56,-0.88
215.69,-0.93
217.85,-0.99
220.03,-1.03
222.23,-1.06
224.45,-1.09
226.70,-1.10
228.96,-1.11
231.25,-1.12
233.57,-1.12
235.90,-1.13
238.26,-1.13
240.64,-1.14
243.05,-1.15
245.48,-1.17
247.93,-1.19
250.41,-1.21
252.92,-1.23
255.45,-1.25
258.00,-1.26
260.58,-1.29
263.19,-1.31
265.82,-1.33
268.48,-1.35
271.16,-1.38
273.87,-1.40
276.61,-1.42
279.38,-1.44
282.17,-1.46
284.99,-1.48
287.84,-1.51
290.72,-1.53
293.63,-1.56
296.57,-1.58
299.53,-1.61
302.53,-1.64
305.55,-1.67
308.61,-1.70
311.69,-1.73
314.81,-1.77
317.96,-1.80
321.14,-1.84
324.35,-1.87
327.59,-1.89
330.87,-1.91
334.18,-1.92
337.52,-1.94
340.90,-1.96
344.30,-1.98
347.75,-2.00
351.23,-2.02
354.74,-2.05
358.28,-2.07
361.87,-2.09
365.49,-2.12
369.14,-2.14
372.83,-2.17
376.56,-2.20
380.33,-2.23
384.13,-2.25
387.97,-2.28
391.85,-2.29
395.77,-2.31
