frequency,raw
20.00,5.47
20.20,5.51
20.40,5.55
20.61,5.60
20.81,5.71
21.02,5.82
21.23,5.92
21.44,6.01
21.66,6.08
21.87,6.12
22.09,6.13
22.31,6.12
22.54,6.10
22.76,6.08
22.99,6.08
23.22,6.10
23.45,6.15
23.69,6.24
23.92,6.34
24.16,6.44
24.40,6.54
24.65,6.61
24.89,6.66
25.14,6.69
25.39,6.71
25.65,6.72
25.91,6.73
26.16,6.77
26.43,6.81
26.69,6.87
26.96,6.95
27.23,7.03
27.50,7.10
27.77,7.17
28.05,7.21
28.33,7.24
28.62,7.25
28.90,7.23
29.19,7.19
29.48,7.14
29.78,7.10
30.08,7.06
30.38,7.03
30.68,7.03
30.99,7.04
31.30,7.06
31.61,7.09
31.93,7.11
32.24,7.13
32.57,7.15
32.89,7.17
33.22,7.20
33.55,7.23
33.89,7.26
34.23,7.30
34.57,7.33
34.92,7.37
35.27,7.40
35.62,7.43
35.97,7.46
36.33,7.49
36.70,7.52
37.06,7.54
37.43,7.56
37.81,7.59
38.19,7.61
38.57,7.62
38.95,7.63
39.34,7.64
39.74,7.64
40.14,7.62
40.54,7.60
40.94,7.58
41.35,7.57
41.76,7.57
42.18,7.60
42.60,7.64
43.03,7.69
43.46,7.74
43.90,7.79
44.33,7.84
44.78,7.87
45.23,7.91
45.68,7.93
46.13,7.96
46.60,7.98
47.06,8.00
47.53,8.01
48.01,8.02
48.49,8.03
48.97,8.04
49.46,8.04
49.96,8.05
50.46,8.05
50.96,8.06
51.47,8.06
51.99,8.07
52.51,8.08
53.03,8.10
53.56,8.11
54.10,8.13
54.64,8.14
55.18,8.15
55.74,8.16
56.29,8.17
56.86,8.18
57.42,8.19
58.00,8.20
58.58,8.21
59.16,8.21
59.76,8.22
60.35,8.22
60.96,8.23
61.57,8.23
62.18,8.23
62.80,8.24
63.43,8.24
64.07,8.24
64.71,8.24
65.35,8.25
66.01,8.25
66.67,8.25
67.33,8.25
68.01,8.26
68.69,8.26
69.37,8.25
70.07,8.25
70.77,8.25
71.48,8.24
72.19,8.23
72.91,8.22
73.64,8.22
74.38,8.22
75.12,8.22
75.87,8.22
76.63,8.23
77.40,8.23
78.17,8.24
78.95,8.24
79.74,8.25
80.54,8.25
81.35,8.25
