frequency,raw
20.00,10.82
20.20,10.86
20.40,10.91
20.61,10.95
20.81,11.00
21.02,11.04
21.23,11.09
21.44,11.13
21.66,11.18
21.87,11.22
22.09,11.26
22.31,11.30
22.54,11.34
22.76,11.38
22.99,11.42
23.22,11.46
23.45,11.49
23.69,11.53
23.92,11.56
24.16,11.60
24.40,11.63
24.65,11.66
24.89,11.69
25.14,11.72
25.39,11.75
25.65,11.78
25.91,11.80
26.16,11.83
26.43,11.85
26.69,11.88
26.96,11.90
27.23,11.92
27.50,11.94
27.77,11.96
28.05,11.98
28.33,11.99
28.62,12.01
28.90,12.02
29.19,12.03
29.48,12.05
29.78,12.06
30.08,12.07
30.38,12.08
30.68,12.08
30.99,12.09
31.30,12.09
31.61,12.10
31.93,12.10
32.24,12.10
32.57,12.10
32.89,12.10
33.22,12.09
33.55,12.09
33.89,12.08
34.23,12.08
34.57,12.07
34.92,12.06
35.27,12.05
35.62,12.04
35.97,12.03
36.33,12.02
36.70,12.00
37.06,11.99
37.43,11.97
37.81,11.96
38.19,11.94
38.57,11.92
38.95,11.90
39.34,11.88
39.74,11.85
40.14,11.83
40.54,11.80
40.94,11.78
41.35,11.75
41.76,11.72
42.18,11.69
42.60,11.66
43.03,11.62
43.46,11.59
43.90,11.56
44.33,11.52
44.78,11.49
45.23,11.45
45.68,11.42
46.13,11.38
46.60,11.34
47.06,11.30
47.53,11.26
48.01,11.22
48.49,11.17
48.97,11.13
49.46,11.09
49.96,11.04
50.46,11.00
50.96,10.95
51.47,10.91
51.99,10.86
52.51,10.81
53.03,10.77
53.56,10.72
54.10,10.66
54.64,10.61
55.18,10.56
55.74,10.50
56.29,10.45
56.86,10.39
57.42,10.34
58.00,10.28
58.58,10.22
59.16,10.16
59.76,10.11
60.35,10.05
60.96,9.99
61.57,9.93
62.18,9.87
62.80,9.81
63.43,9.75
64.07,9.69
64.71,9.62
65.35,9.56
66.01,9.50
66.67,9.44
67.33,9.38
68.01,9.32
68.69,9.26
69.37,9.20
70.07,9.13
70.77,9.07
71.48,9.00
72.19,8.93
72.91,8.87
73.64,8.80
74.38,8.73
75.12,8.66
75.87,8.59
76.63,8.52
77.40,8.44
78.17,8.37
78.95,8.30
79.74,8.23
80.54,8.15
81.35,8.08
82.16,8.01
82.98,7.93
83.81,7.86
84.65,7.78
85.50,7.70
86.35,7.62
87.22,7.54
88.09,7.46
88.97,7.38
89.86,7.30
90.76,7.22
91.66,7.13
92.58,7.05
93.51,6.97
94.44,6.88
95.39,6.80
96.34,6.72
97.30,6.63
98.28,6.55
99.26,6.46
100.25,6.38
101.25,6.29
102.27,6.21
103.29,6.12
104.32,6.03
105.37,5.94
106.42,5.85
107.48,5.76
108.56,5.67
109.64,5.58
110.74,5.49
111.85,5.40
112.97,5.32
114.10,5.23
115.24,5.14
116.39,5.05
117.55,4.96
118.73,4.87
119.92,4.78
121.12,4.68
122.33,4.58
123.55,4.48
124.79,4.38
126.03,4.28
127.29,4.18
128.57,4.08
129.85,3.99
131.15,3.90
132.46,3.80
133.79,3.72
135.12,3.63
136.48,3.55
137.84,3.46
139.22,3.38
140.61,3.30
142.02,3.22
143.44,3.14
144.87,3.07
146.32,2.99
147.78,2.92
149.26,2.85
150.75,2.78
152.26,2.72
153.78,2.65
155.32,2.59
156.88,2.53
158.44,2.48
160.03,2.42
161.63,2.36
163.24,2.31
164.88,2.26
166.53,2.20
168.19,2.15
169.87,2.09
171.57,2.04
173.29,1.99
175.02,1.94
176.77,1.88
178.54,1.84
180.32,1.79
182.13,1.75
183.95,1.71
185.79,1.67
187.65,1.62
189.52,1.58
191.42,1.54
193.33,1.49
195.27,1.44
197.22,1.39
199.19,1.34
201.18,1.29
203.19,1.24
205.23,1.19
207.28,1.14
209.35,1.09
211.44,1.04
213.56,0.99
215.69,0.95
217.85,0.90
220.03,0.86
222.23,0.82
224.45,0.77
226.70,0.73
228.96,0.69
231.25,0.65
233.57,0.61
235.90,0.57
238.26,0.54
240.64,0.50
243.05,0.47
245.48,0.43
247.93,0.40
250.41,0.36
252.92,0.33
255.45,0.30
258.00,0.27
260.58,0.24
263.19,0.21
265.82,0.19
268.48,0.16
271.16,0.13
273.87,0.11
276.61,0.09
279.38,0.06
282.17,0.04
284.99,0.02
287.84,-0.00
290.72,-0.02
293.63,-0.04
296.57,-0.06
299.53,-0.08
302.53,-0.10
305.55,-0.12
308.61,-0.14
311.69,-0.16
314.81,-0.18
317.96,-0.21
321.14,-0.23
324.35,-0.25
327.59,-0.28
330.87,-0.30
334.18,-0.32
337.52,-0.35
340.90,-0.37
344.30,-0.40
347.75,-0.42
351.23,-0.45
354.74,-0.47
358.28,-0.50
361.87,-0.53
365.49,-0.55
369.14,-0.58
372.83,-0.61
376.56,-0.64
380.33,-0.66
384.13,-0.69
387.97,-0.72
391.85,-0.75
395.77,-0.78
399.73,-0.81
403.72,-0.84
407.76,-0.87
411.84,-0.90
415.96,-0.94
420.12,-0.97
424.32,-1.00
428.56,-1.03
432.85,-1.06
437.18,-1.10
441.55,-1.13
445.96,-1.16
450.42,-1.20
454.93,-1.23
459.48,-1.27
464.07,-1.30
468.71,-1.34
473.40,-1.37
478.13,-1.41
482.91,-1.45
487.74,-1.48
492.62,-1.52
497.55,-1.56
502.52,-1.59
507.55,-1.63
512.62,-1.67
517.75,-1.71
522.93,-1.74
528.16,-1.78
533.44,-1.82
538.77,-1.86
544.16,-1.90
549.60,-1.93
555.10,-1.97
560.65,-2.01
566.25,-2.04
571.92,-2.08
577.64,-2.12
583.41,-2.15
589.25,-2.19
595.14,-2.22
601.09,-2.25
607.10,-2.29
613.17,-2.32
619.30,-2.35
625.50,-2.37
631.75,-2.40
638.07,-2.43
644.45,-2.45
650.89,-2.48
657.40,-2.50
663.98,-2.53
670.62,-2.55
677.32,-2.57
684.10,-2.59
690.94,-2.61
697.85,-2.63
704.83,-2.64
711.87,-2.66
718.99,-2.67
726.18,-2.68
733.44,-2.69
740.78,-2.70
748.19,-2.70
755.67,-2.70
763.23,-2.69
770.86,-2.68
778.57,-2.66
786.35,-2.64
794.22,-2.61
802.16,-2.56
810.18,-2.51
818.28,-2.45
826.46,-2.38
834.73,-2.30
843.08,-2.21
851.51,-2.10
860.02,-1.99
868.62,-1.87
877.31,-1.75
886.08,-1.62
894.94,-1.49
903.89,-1.35
912.93,-1.22
922.06,-1.08
931.28,-0.95
940.59,-0.81
950.00,-0.67
959.50,-0.54
969.09,-0.40
978.78,-0.27
988.57,-0.14
998.46,-0.02
1008.44,0.10
1018.53,0.21
1028.71,0.31
1039.00,0.40
1049.39,0.49
1059.88,0.58
1070.48,0.66
1081.19,0.74
1092.00,0.81
1102.92,0.88
1113.95,0.95
1125.09,1.02
1136.34,1.09
1147.70,1.17
1159.18,1.24
1170.77,1.33
1182.48,1.41
1194.30,1.49
1206.25,1.58
1218.31,1.66
1230.49,1.73
1242.80,1.80
1255.22,1.87
