frequency,raw
20.00,-0.50
20.20,-0.45
20.40,-0.40
20.61,-0.35
20.81,-0.31
21.02,-0.26
21.23,-0.21
21.44,-0.17
21.66,-0.12
21.87,-0.08
22.09,-0.04
22.31,0.00
22.54,0.04
22.76,0.08
22.99,0.12
23.22,0.16
23.45,0.20
23.69,0.24
23.92,0.28
24.16,0.32
24.40,0.36
24.65,0.40
24.89,0.44
25.14,0.48
25.39,0.52
25.65,0.56
25.91,0.60
26.16,0.64
26.43,0.68
26.69,0.72
26.96,0.76
27.23,0.80
27.50,0.84
27.77,0.88
28.05,0.93
28.33,0.97
28.62,1.01
28.90,1.06
29.19,1.10
29.48,1.15
29.78,1.19
30.08,1.24
30.38,1.28
30.68,1.33
30.99,1.38
31.30,1.42
31.61,1.47
31.93,1.51
32.24,1.56
32.57,1.60
32.89,1.65
33.22,1.70
33.55,1.74
33.89,1.79
34.23,1.83
34.57,1.88
34.92,1.92
35.27,1.97
35.62,2.01
35.97,2.06
36.33,2.10
36.70,2.14
37.06,2.19
37.43,2.23
37.81,2.27
38.19,2.31
38.57,2.35
38.95,2.39
39.34,2.42
39.74,2.46
40.14,2.50
40.54,2.53
40.94,2.57
41.35,2.60
41.76,2.63
42.18,2.66
42.60,2.69
43.03,2.72
43.46,2.75
43.90,2.78
44.33,2.80
44.78,2.83
45.23,2.85
45.68,2.87
46.13,2.89
46.60,2.91
47.06,2.93
47.53,2.95
48.01,2.97
48.49,2.98
48.97,3.00
49.46,3.01
49.96,3.02
50.46,3.03
50.96,3.04
51.47,3.05
51.99,3.06
52.51,3.07
53.03,3.07
53.56,3.08
54.10,3.09
54.64,3.09
55.18,3.09
55.74,3.10
56.29,3.10
56.86,3.10
57.42,3.10
58.00,3.10
58.58,3.10
59.16,3.10
59.76,3.10
60.35,3.10
60.96,3.10
61.57,3.10
62.18,3.09
62.80,3.09
63.43,3.09
64.07,3.09
64.71,3.08
65.35,3.08
66.01,3.08
66.67,3.09
67.33,3.09
68.01,3.09
68.69,3.09
69.37,3.09
70.07,3.10
70.77,3.10
71.48,3.10
72.19,3.11
72.91,3.11
73.64,3.12
74.38,3.12
75.12,3.13
75.87,3.13
76.63,3.14
77.40,3.15
78.17,3.15
78.95,3.16
79.74,3.16
80.54,3.16
81.35,3.17
82.16,3.17
82.98,3.17
83.81,3.18
84.65,3.18
85.50,3.18
86.35,3.18
87.22,3.18
88.09,3.18
88.97,3.18
89.86,3.17
90.76,3.17
91.66,3.16
92.58,3.16
93.51,3.15
94.44,3.14
95.39,3.14
96.34,3.13
97.30,3.12
98.28,3.10
99.26,3.09
100.25,3.08
101.25,3.06
102.27,3.05
103.29,3.03
104.32,3.01
105.37,2.99
106.42,2.97
107.48,2.95
108.56,2.92
109.64,2.90
110.74,2.87
111.85,2.84
112.97,2.81
114.10,2.78
115.24,2.75
116.39,2.73
117.55,2.70
118.73,2.67
119.92,2.64
121.12,2.61
122.33,2.58
123.55,2.55
124.79,2.52
126.03,2.50
127.29,2.47
128.57,2.44
129.85,2.42
131.15,2.39
132.46,2.37
133.79,2.35
135.12,2.33
136.48,2.31
137.84,2.29
139.22,2.27
140.61,2.25
142.02,2.23
143.44,2.22
144.87,2.20
146.32,2.18
147.78,2.16
149.26,2.14
150.75,2.13
152.26,2.11
153.78,2.09
155.32,2.08
156.88,2.06
158.44,2.05
160.03,2.03
161.63,2.02
163.24,2.00
164.88,1.99
166.53,1.97
168.19,1.95
169.87,1.93
171.57,1.91
173.29,1.89
175.02,1.87
176.77,1.85
178.54,1.82
180.32,1.80
182.13,1.77
183.95,1.74
185.79,1.71
187.65,1.68
189.52,1.64
191.42,1.60
193.33,1.56
195.27,1.52
197.22,1.48
199.19,1.43
201.18,1.39
203.19,1.34
205.23,1.30
207.28,1.27
209.35,1.23
211.44,1.21
213.56,1.19
215.69,1.18
217.85,1.18
220.03,1.18
222.23,1.18
224.45,1.18
226.70,1.19
228.96,1.19
231.25,1.19
233.57,1.18
235.90,1.18
238.26,1.17
240.64,1.16
243.05,1.15
245.48,1.14
247.93,1.12
250.41,1.11
252.92,1.10
255.45,1.09
258.00,1.08
260.58,1.07
263.19,1.07
265.82,1.06
268.48,1.05
271.16,1.04
273.87,1.03
276.61,1.03
279.38,1.02
282.17,1.01
284.99,1.00
287.84,1.00
290.72,0.99
293.63,0.98
296.57,0.97
299.53,0.96
302.53,0.96
305.55,0.95
308.61,0.94
311.69,0.93
314.81,0.92
317.96,0.91
321.14,0.90
324.35,0.89
327.59,0.87
330.87,0.86
334.18,0.85
337.52,0.84
340.90,0.83
344.30,0.81
347.75,0.80
351.23,0.79
354.74,0.78
358.28,0.76
361.87,0.75
365.49,0.73
369.14,0.72
372.83,0.71
376.56,0.70
380.33,0.69
384.13,0.68
387.97,0.67
391.85,0.66
395.77,0.66
399.73,0.65
403.72,0.65
407.76,0.64
411.84,0.64
415.96,0.63
420.12,0.63
424.32,0.62
428.56,0.62
432.85,0.62
437.18,0.61
441.55,0.61
445.96,0.60
450.42,0.60
454.93,0.59
459.48,0.58
464.07,0.57
468.71,0.57
473.40,0.56
478.13,0.55
482.91,0.54
487.74,0.53
492.62,0.52
497.55,0.51
502.52,0.49
507.55,0.48
512.62,0.47
517.75,0.46
522.93,0.44
528.16,0.43
533.44,0.42
538.77,0.40
544.16,0.38
549.60,0.36
555.10,0.34
560.65,0.32
566.25,0.30
571.92,0.28
577.64,0.26
583.41,0.23
589.25,0.20
595.14,0.17
601.09,0.14
607.10,0.11
613.17,0.07
619.30,0.03
625.50,-0.02
631.75,-0.08
638.07,-0.13
644.45,-0.19
650.89,-0.25
657.40,-0.30
663.98,-0.35
670.62,-0.39
677.32,-0.42
684.10,-0.45
690.94,-0.47
697.85,-0.48
704.83,-0.49
711.87,-0.49
718.99,-0.49
726.18,-0.49
733.44,-0.49
740.78,-0.48
748.19,-0.48
755.67,-0.47
763.23,-0.47
770.86,-0.46
778.57,-0.46
786.35,-0.45
794.22,-0.44
802.16,-0.42
810.18,-0.40
818.28,-0.39
826.46,-0.37
834.73,-0.34
843.08,-0.32
851.51,-0.29
860.02,-0.27
868.62,-0.24
877.31,-0.21
886.08,-0.19
894.94,-0.16
903.89,-0.14
912.93,-0.11
922.06,-0.09
931.28,-0.07
940.59,-0.05
950.00,-0.04
959.50,-0.02
969.09,-0.01
978.78,-0.01
988.57,-0.00
998.46,0.00
1008.44,-0.00
1018.53,-0.01
1028.71,-0.01
1039.00,-0.02
1049.39,-0.03
1059.88,-0.03
1070.48,-0.04
1081.19,-0.04
1092.00,-0.05
1102.92,-0.04
1113.95,-0.04
1125.09,-0.03
1136.34,-0.01
1147.70,0.02
1159.18,0.05
1170.77,0.09
1182.48,0.14
1194.30,0.19
1206.25,0.25
1218.31,0.32
1230.49,0.40
1242.80,0.48
1255.22,0.56
1267.78,0.65
1280.45,0.73
1293.26,0.81
1306.19,0.88
1319.25,0.95
1332.45,1.01
1345.77,1.06
1359.23,1.11
1372.82,1.15
1386.55,1.19
1400.41,1.23
1414.42,1.27
1428.56,1.31
1442.85,1.35
1457.28,1.39
1471.85,1.42
1486.57,1.46
1501.43,1.50
1516.45,1.54
1531.61,1.58
1546.93,1.62
1562.40,1.67
1578.02,1.73
1593.80,1.79
1609.74,1.85
1625.84,1.92
1642.10,1.98
1658.52,2.05
1675.10,2.12
1691.85,2.19
1708.77,2.26
1725.86,2.32
1743.12,2.39
1760.55,2.46
1778.15,2.53
1795.94,2.60
1813.90,2.69
1832.03,2.78
1850.36,2.89
1868.86,3.01
1887.55,3.15
1906.42,3.30
1925.49,3.46
1944.74,3.62
1964.19,3.80
1983.83,3.98
2003.67,4.16
2023.71,4.34
2043.94,4.52
2064.38,4.70
2085.03,4.88
2105.88,5.06
2126.94,5.23
2148.20,5.39
2169.69,5.55
2191.38,5.72
2213.30,5.88
2235.43,6.04
2257.78,6.21
2280.36,6.39
2303.17,6.57
2326.20,6.75
2349.46,6.94
2372.95,7.13
2396.68,7.31
2420.65,7.50
2444.86,7.67
2469.31,7.83
2494.00,7.99
2518.94,8.14
2544.13,8.27
2569.57,8.41
2595.27,8.55
2621.22,8.68
2647.43,8.82
2673.90,8.95
2700.64,9.09
2727.65,9.22
2754.93,9.35
2782.48,9.46
2810.30,9.55
2838.40,9.62
2866.79,9.67
2895.46,9.69
2924.41,9.69
2953.65,9.67
2983.19,9.63
3013.02,9.58
3043.15,9.52
3073.58,9.45
3104.32,9.38
3135.36,9.29
3166.72,9.20
3198.38,9.09
3230.37,8.96
3262.67,8.81
3295.30,8.64
3328.25,8.45
3361.53,8.23
3395.15,8.00
3429.10,7.75
3463.39,7.49
3498.03,7.22
3533.01,6.95
3568.34,6.69
3604.02,6.43
3640.06,6.19
3676.46,5.96
3713.22,5.76
3750.36,5.57
3787.86,5.38
3825.74,5.21
3864.00,5.03
3902.64,4.84
3941.66,4.65
3981.08,4.43
4020.89,4.19
4061.10,3.94
4101.71,3.68
4142.73,3.42
4184.15,3.16
4226.00,2.91
4268.26,2.68
4310.94,2.45
4354.05,2.24
4397.59,2.04
4441.56,1.85
4485.98,1.68
4530.84,1.52
4576.15,1.38
4621.91,1.25
4668.13,1.14
4714.81,1.06
4761.96,1.00
