frequency,raw
20.00,2.85
20.20,2.90
20.40,2.95
20.61,3.00
20.81,3.05
21.02,3.11
21.23,3.16
21.44,3.22
21.66,3.27
21.87,3.33
22.09,3.39
22.31,3.44
22.54,3.50
22.76,3.56
22.99,3.61
23.22,3.67
23.45,3.73
23.69,3.79
23.92,3.84
24.16,3.90
24.40,3.96
24.65,4.02
24.89,4.08
25.14,4.14
25.39,4.20
25.65,4.26
25.91,4.31
26.16,4.37
26.43,4.42
26.69,4.48
26.96,4.54
27.23,4.59
27.50,4.64
27.77,4.70
28.05,4.76
28.33,4.81
28.62,4.87
28.90,4.93
29.19,4.99
29.48,5.04
29.78,5.10
30.08,5.15
30.38,5.20
30.68,5.24
30.99,5.29
31.30,5.32
31.61,5.36
31.93,5.39
32.24,5.43
32.57,5.46
32.89,5.49
33.22,5.52
33.55,5.55
33.89,5.57
34.23,5.60
34.57,5.62
34.92,5.65
35.27,5.67
35.62,5.69
35.97,5.71
36.33,5.73
36.70,5.75
37.06,5.77
37.43,5.78
37.81,5.80
38.19,5.81
38.57,5.82
38.95,5.83
39.34,5.84
39.74,5.85
40.14,5.86
40.54,5.87
40.94,5.88
41.35,5.89
41.76,5.90
42.18,5.90
42.60,5.91
43.03,5.92
43.46,5.92
43.90,5.93
44.33,5.93
44.78,5.93
45.23,5.93
45.68,5.93
46.13,5.92
46.60,5.92
47.06,5.91
47.53,5.90
48.01,5.89
48.49,5.89
48.97,5.88
49.46,5.87
49.96,5.86
50.46,5.85
50.96,5.84
51.47,5.83
51.99,5.82
52.51,5.81
53.03,5.80
53.56,5.80
54.10,5.79
54.64,5.79
55.18,5.78
55.74,5.78
56.29,5.77
56.86,5.77
57.42,5.76
58.00,5.76
58.58,5.75
59.16,5.75
59.76,5.74
60.35,5.73
60.96,5.72
61.57,5.71
62.18,5.70
62.80,5.68
63.43,5.67
64.07,5.65
64.71,5.63
65.35,5.62
66.01,5.60
66.67,5.58
67.33,5.56
68.01,5.53
68.69,5.51
69.37,5.49
70.07,5.46
70.77,5.44
71.48,5.41
72.19,5.39
72.91,5.36
73.64,5.33
74.38,5.30
75.12,5.28
75.87,5.25
76.63,5.22
77.40,5.19
78.17,5.16
78.95,5.13
79.74,5.10
80.54,5.07
81.35,5.04
82.16,5.01
82.98,4.98
83.81,4.95
84.65,4.92
85.50,4.88
86.35,4.85
87.22,4.82
88.09,4.79
88.97,4.76
89.86,4.72
90.76,4.69
91.66,4.66
92.58,4.63
93.51,4.60
94.44,4.57
95.39,4.54
96.34,4.51
97.30,4.48
98.28,4.45
99.26,4.42
100.25,4.39
101.25,4.36
102.27,4.34
103.29,4.31
104.32,4.28
105.37,4.26
106.42,4.23
107.48,4.20
108.56,4.17
109.64,4.14
110.74,4.11
111.85,4.08
112.97,4.05
114.10,4.02
115.24,3.98
116.39,3.95
117.55,3.92
118.73,3.89
119.92,3.86
121.12,3.83
122.33,3.81
123.55,3.78
124.79,3.75
126.03,3.73
127.29,3.70
128.57,3.68
129.85,3.65
131.15,3.62
132.46,3.59
133.79,3.56
135.12,3.53
136.48,3.50
137.84,3.47
139.22,3.43
140.61,3.40
142.02,3.37
143.44,3.33
144.87,3.29
146.32,3.26
147.78,3.22
149.26,3.18
150.75,3.14
152.26,3.10
153.78,3.07
155.32,3.02
156.88,2.99
158.44,2.95
160.03,2.91
161.63,2.87
163.24,2.83
164.88,2.79
166.53,2.75
168.19,2.71
169.87,2.67
171.57,2.63
173.29,2.60
175.02,2.56
176.77,2.53
178.54,2.51
180.32,2.49
182.13,2.48
183.95,2.48
185.79,2.48
187.65,2.49
189.52,2.51
191.42,2.53
193.33,2.56
195.27,2.58
197.22,2.59
199.19,2.60
201.18,2.60
203.19,2.58
205.23,2.57
207.28,2.54
209.35,2.52
211.44,2.49
213.56,2.47
215.69,2.46
217.85,2.46
220.03,2.47
222.23,2.50
224.45,2.53
226.70,2.57
228.96,2.62
231.25,2.67
233.57,2.73
235.90,2.78
238.26,2.83
240.64,2.87
243.05,2.91
245.48,2.93
247.93,2.95
250.41,2.96
252.92,2.96
255.45,2.95
258.00,2.94
260.58,2.93
263.19,2.91
265.82,2.90
268.48,2.88
271.16,2.86
273.87,2.83
276.61,2.81
279.38,2.79
282.17,2.76
284.99,2.73
287.84,2.71
290.72,2.68
293.63,2.65
296.57,2.62
299.53,2.59
302.53,2.56
305.55,2.53
308.61,2.50
311.69,2.47
314.81,2.44
317.96,2.41
321.14,2.37
324.35,2.34
327.59,2.30
330.87,2.27
334.18,2.23
337.52,2.20
340.90,2.16
344.30,2.12
347.75,2.09
351.23,2.05
354.74,2.01
358.28,1.98
361.87,1.96
365.49,1.93
369.14,1.91
372.83,1.89
376.56,1.86
380.33,1.84
384.13,1.82
387.97,1.80
391.85,1.79
395.77,1.77
399.73,1.75
403.72,1.74
407.76,1.72
411.84,1.71
415.96,1.70
420.12,1.68
424.32,1.67
428.56,1.66
432.85,1.65
437.18,1.64
441.55,1.63
445.96,1.62
450.42,1.58
454.93,1.54
459.48,1.50
464.07,1.46
468.71,1.42
473.40,1.37
478.13,1.33
482.91,1.29
487.74,1.25
492.62,1.21
497.55,1.16
502.52,1.12
507.55,1.07
512.62,1.02
517.75,0.97
522.93,0.92
528.16,0.86
533.44,0.80
538.77,0.74
544.16,0.66
549.60,0.58
555.10,0.49
560.65,0.38
566.25,0.27
571.92,0.16
577.64,0.04
583.41,-0.09
589.25,-0.21
595.14,-0.33
601.09,-0.45
607.10,-0.57
613.17,-0.70
619.30,-0.83
625.50,-0.97
631.75,-1.12
638.07,-1.27
644.45,-1.43
