frequency,raw
20.00,7.56
20.20,7.59
20.40,7.61
20.61,7.63
20.81,7.65
21.02,7.66
21.23,7.68
21.44,7.69
21.66,7.71
21.87,7.72
22.09,7.73
22.31,7.74
22.54,7.75
22.76,7.76
22.99,7.77
23.22,7.78
23.45,7.78
23.69,7.79
23.92,7.80
24.16,7.81
24.40,7.82
24.65,7.83
24.89,7.85
25.14,7.86
25.39,7.87
25.65,7.88
25.91,7.89
26.16,7.90
26.43,7.91
26.69,7.92
26.96,7.93
27.23,7.94
27.50,7.95
27.77,7.96
28.05,7.96
28.33,7.97
28.62,7.97
28.90,7.98
29.19,7.99
29.48,7.99
29.78,7.99
30.08,8.00
30.38,8.00
30.68,8.01
30.99,8.01
31.30,8.01
31.61,8.01
31.93,8.02
32.24,8.02
32.57,8.02
32.89,8.02
33.22,8.02
33.55,8.02
33.89,8.02
34.23,8.02
34.57,8.02
34.92,8.02
35.27,8.02
35.62,8.02
35.97,8.02
36.33,8.02
36.70,8.01
37.06,8.01
37.43,8.00
37.81,8.00
38.19,7.99
38.57,7.99
38.95,7.99
39.34,7.98
39.74,7.98
40.14,7.97
40.54,7.97
40.94,7.96
41.35,7.95
41.76,7.95
42.18,7.94
42.60,7.93
43.03,7.92
43.46,7.91
43.90,7.90
44.33,7.89
44.78,7.88
45.23,7.87
45.68,7.86
46.13,7.85
46.60,7.84
47.06,7.83
47.53,7.81
48.01,7.80
48.49,7.78
48.97,7.77
49.46,7.76
49.96,7.74
50.46,7.73
50.96,7.71
51.47,7.70
51.99,7.68
52.51,7.66
53.03,7.65
53.56,7.63
54.10,7.61
54.64,7.58
55.18,7.57
55.74,7.56
56.29,7.55
56.86,7.53
57.42,7.51
58.00,7.49
58.58,7.46
59.16,7.44
59.76,7.41
60.35,7.39
60.96,7.37
61.57,7.35
62.18,7.32
62.80,7.30
63.43,7.28
64.07,7.25
64.71,7.23
65.35,7.20
66.01,7.17
66.67,7.14
67.33,7.12
68.01,7.09
68.69,7.06
69.37,7.03
70.07,7.00
70.77,6.97
71.48,6.94
72.19,6.91
72.91,6.88
73.64,6.85
74.38,6.81
75.12,6.78
75.87,6.75
76.63,6.71
77.40,6.68
78.17,6.64
78.95,6.61
79.74,6.57
80.54,6.54
81.35,6.50
82.16,6.46
82.98,6.42
83.81,6.38
84.65,6.34
85.50,6.30
86.35,6.27
87.22,6.25
88.09,6.21
88.97,6.19
89.86,6.16
90.76,6.13
91.66,6.09
92.58,6.06
93.51,6.02
94.44,5.97
95.39,5.93
96.34,5.88
97.30,5.84
98.28,5.79
99.26,5.75
100.25,5.70
101.25,5.65
102.27,5.61
103.29,5.56
104.32,5.52
105.37,5.47
106.42,5.43
107.48,5.38
108.56,5.34
109.64,5.29
110.74,5.25
111.85,5.20
112.97,5.16
114.10,5.11
115.24,5.06
116.39,5.02
117.55,4.97
118.73,4.92
119.92,4.88
121.12,4.83
122.33,4.77
123.55,4.72
124.79,4.67
126.03,4.62
127.29,4.57
128.57,4.52
129.85,4.47
131.15,4.42
132.46,4.37
133.79,4.32
135.12,4.26
136.48,4.21
137.84,4.16
139.22,4.10
140.61,4.05
142.02,4.00
143.44,3.94
144.87,3.89
146.32,3.84
147.78,3.78
149.26,3.73
150.75,3.67
152.26,3.62
153.78,3.57
155.32,3.51
156.88,3.46
158.44,3.40
160.03,3.35
161.63,3.30
163.24,3.24
164.88,3.19
166.53,3.13
168.19,3.08
169.87,3.02
171.57,2.97
173.29,2.91
175.02,2.86
176.77,2.81
178.54,2.75
180.32,2.70
182.13,2.64
183.95,2.59
185.79,2.53
187.65,2.48
189.52,2.42
191.42,2.37
193.33,2.32
195.27,2.26
197.22,2.21
199.19,2.16
201.18,2.11
203.19,2.06
205.23,2.01
207.28,1.96
209.35,1.92
211.44,1.88
213.56,1.84
215.69,1.81
217.85,1.78
220.03,1.74
222.23,1.70
224.45,1.66
226.70,1.61
228.96,1.57
231.25,1.53
233.57,1.48
235.90,1.44
238.26,1.40
240.64,1.36
243.05,1.31
245.48,1.26
247.93,1.22
250.41,1.18
252.92,1.13
255.45,1.09
258.00,1.04
260.58,1.00
263.19,0.96
265.82,0.91
268.48,0.87
271.16,0.83
273.87,0.79
276.61,0.76
279.38,0.72
282.17,0.68
284.99,0.65
287.84,0.61
290.72,0.57
293.63,0.54
296.57,0.50
299.53,0.46
302.53,0.43
305.55,0.39
308.61,0.36
311.69,0.33
314.81,0.30
317.96,0.26
321.14,0.24
324.35,0.21
327.59,0.18
330.87,0.15
334.18,0.13
337.52,0.10
340.90,0.08
344.30,0.05
347.75,0.03
351.23,0.01
354.74,-0.02
358.28,-0.04
361.87,-0.06
365.49,-0.08
369.14,-0.10
372.83,-0.13
376.56,-0.15
380.33,-0.17
384.13,-0.19
387.97,-0.21
391.85,-0.23
395.77,-0.25
399.73,-0.26
403.72,-0.28
407.76,-0.30
411.84,-0.32
415.96,-0.33
420.12,-0.35
424.32,-0.37
428.56,-0.38
432.85,-0.40
437.18,-0.41
441.55,-0.42
445.96,-0.44
450.42,-0.45
454.93,-0.46
459.48,-0.48
464.07,-0.49
468.71,-0.50
473.40,-0.51
478.13,-0.53
482.91,-0.54
487.74,-0.55
492.62,-0.56
497.55,-0.57
502.52,-0.58
507.55,-0.59
512.62,-0.59
517.75,-0.60
522.93,-0.61
528.16,-0.62
533.44,-0.63
538.77,-0.63
544.16,-0.64
549.60,-0.65
555.10,-0.65
560.65,-0.66
566.25,-0.66
571.92,-0.67
577.64,-0.68
583.41,-0.68
589.25,-0.68
595.14,-0.69
601.09,-0.69
607.10,-0.70
613.17,-0.70
619.30,-0.70
625.50,-0.71
631.75,-0.71
638.07,-0.71
644.45,-0.72
650.89,-0.72
657.40,-0.72
663.98,-0.72
670.62,-0.72
677.32,-0.72
684.10,-0.72
690.94,-0.72
697.85,-0.72
704.83,-0.72
711.87,-0.72
718.99,-0.71
726.18,-0.71
733.44,-0.71
740.78,-0.70
748.19,-0.70
755.67,-0.69
763.23,-0.69
770.86,-0.68
778.57,-0.67
786.35,-0.67
794.22,-0.65
802.16,-0.64
810.18,-0.63
818.28,-0.62
826.46,-0.61
834.73,-0.59
843.08,-0.57
851.51,-0.56
860.02,-0.53
868.62,-0.51
877.31,-0.49
886.08,-0.47
894.94,-0.44
903.89,-0.41
912.93,-0.38
922.06,-0.35
931.28,-0.31
940.59,-0.28
950.00,-0.24
959.50,-0.19
969.09,-0.15
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.04
1018.53,0.10
1028.71,0.15
1039.00,0.21
1049.39,0.27
1059.88,0.33
1070.48,0.39
1081.19,0.45
1092.00,0.51
1102.92,0.57
1113.95,0.63
1125.09,0.69
1136.34,0.76
1147.70,0.82
1159.18,0.88
1170.77,0.93
1182.48,0.99
1194.30,1.04
1206.25,1.10
1218.31,1.15
1230.49,1.20
1242.80,1.25
1255.22,1.29
1267.78,1.33
1280.45,1.37
1293.26,1.40
1306.19,1.44
1319.25,1.47
1332.45,1.50
1345.77,1.52
1359.23,1.55
1372.82,1.57
1386.55,1.59
1400.41,1.61
1414.42,1.66
1428.56,1.70
1442.85,1.77
1457.28,1.85
1471.85,1.94
1486.57,2.00
1501.43,2.06
1516.45,2.10
1531.61,2.13
1546.93,2.16
1562.40,2.20
1578.02,2.23
1593.80,2.26
1609.74,2.29
1625.84,2.32
1642.10,2.35
1658.52,2.38
1675.10,2.42
1691.85,2.45
1708.77,2.49
1725.86,2.53
1743.12,2.58
1760.55,2.62
1778.15,2.67
1795.94,2.72
1813.90,2.78
1832.03,2.85
1850.36,2.93
1868.86,3.04
1887.55,3.15
1906.42,3.27
1925.49,3.39
1944.74,3.50
1964.19,3.61
1983.83,3.71
2003.67,3.81
2023.71,3.91
2043.94,4.01
2064.38,4.10
2085.03,4.19
2105.88,4.28
2126.94,4.37
2148.20,4.46
2169.69,4.54
2191.38,4.62
2213.30,4.69
2235.43,4.75
2257.78,4.81
2280.36,4.85
2303.17,4.89
2326.20,4.92
2349.46,4.94
2372.95,4.96
2396.68,4.96
2420.65,4.95
2444.86,4.93
2469.31,4.89
2494.00,4.84
2518.94,4.78
2544.13,4.71
2569.57,4.63
2595.27,4.54
2621.22,4.44
2647.43,4.33
2673.90,4.22
2700.64,4.10
2727.65,3.98
2754.93,3.86
2782.48,3.73
2810.30,3.61
2838.40,3.49
2866.79,3.37
2895.46,3.25
2924.41,3.15
2953.65,3.06
2983.19,2.97
3013.02,2.90
3043.15,2.84
3073.58,2.78
3104.32,2.75
3135.36,2.73
3166.72,2.72
3198.38,2.71
3230.37,2.69
3262.67,2.65
3295.30,2.60
3328.25,2.52
3361.53,2.43
3395.15,2.33
3429.10,2.26
3463.39,2.24
3498.03,2.27
3533.01,2.37
3568.34,2.50
3604.02,2.66
3640.06,2.83
3676.46,3.00
3713.22,3.17
3750.36,3.32
3787.86,3.46
3825.74,3.59
3864.00,3.71
3902.64,3.81
3941.66,3.91
3981.08,3.99
4020.89,4.05
4061.10,4.11
4101.71,4.13
4142.73,4.14
4184.15,4.13
4226.00,4.09
4268.26,4.04
4310.94,3.97
4354.05,3.87
4397.59,3.78
4441.56,3.68
4485.98,3.57
4530.84,3.48
4576.15,3.40
4621.91,3.33
4668.13,3.30
4714.81,3.32
4761.96,3.37
4809.58,3.47
4857.67,3.61
4906.25,3.79
4955.31,3.97
5004.87,4.14
5054.91,4.21
5105.46,4.20
5156.52,4.11
5208.08,3.93
5260.16,3.70
5312.77,3.45
5365.89,3.20
5419.55,2.97
5473.75,2.76
5528.49,2.58
5583.77,2.45
5639.61,2.37
5696.00,2.30
5752.96,2.30
5810.49,2.32
5868.60,2.40
5927.28,2.52
5986.56,2.67
6046.42,2.87
6106.89,3.13
6167.96,3.43
6229.64,3.77
6291.93,4.12
6354.85,4.47
6418.40,4.82
6482.58,5.14
6547.41,5.41
6612.88,5.63
6679.01,5.74
6745.80,5.76
6813.26,5.70
6881.39,5.53
6950.21,5.29
7019.71,5.03
7089.91,4.73
7160.81,4.45
7232.41,4.18
7304.74,3.92
7377.79,3.72
7451.56,3.56
7526.08,3.45
7601.34,3.39
7677.35,3.42
7754.13,3.47
7831.67,3.63
7909.98,3.82
7989.08,4.05
8068.98,4.28
8149.67,4.45
8231.16,4.54
8313.47,4.37
8396.61,4.06
8480.57,3.44
8565.38,2.58
8651.03,1.58
8737.54,0.46
8824.92,-0.70
8913.17,-1.85
9002.30,-3.00
9092.32,-4.08
9183.25,-5.10
9275.08,-6.06
9367.83,-6.94
9461.51,-7.77
9556.12,-8.50
9651.68,-9.12
9748.20,-9.66
9845.68,-10.16
9944.14,-10.60
10043.58,-10.99
10144.02,-11.35
10245.46,-11.64
10347.91,-11.91
10451.39,-12.15
10555.91,-12.35
10661.46,-12.52
10768.08,-12.64
10875.76,-12.71
10984.52,-12.72
11094.36,-12.66
11205.31,-12.51
11317.36,-12.20
11430.53,-11.82
11544.84,-11.31
11660.29,-10.72
11776.89,-10.08
11894.66,-9.40
12013.60,-8.72
12133.74,-8.06
12255.08,-7.47
12377.63,-6.94
12501.41,-6.51
12626.42,-6.22
12752.68,-6.03
12880.21,-5.89
13009.01,-5.76
13139.10,-5.64
13270.49,-5.46
13403.20,-5.26
13537.23,-5.00
13672.60,-4.67
13809.33,-4.27
13947.42,-3.75
14086.90,-3.04
14227.77,-2.22
14370.04,-1.26
14513.74,-0.15
14658.88,1.11
14805.47,2.24
14953.52,3.16
15103.06,3.30
15254.09,3.07
15406.63,2.15
15560.70,1.22
15716.30,0.26
15873.47,-0.51
16032.20,-1.16
16192.52,-1.59
16354.45,-1.89
16517.99,-2.08
16683.17,-1.97
16850.01,-1.62
17018.51,-1.14
17188.69,-0.89
17360.58,-1.21
17534.18,-2.07
17709.53,-3.82
17886.62,-6.40
18065.49,-9.58
18246.14,-13.37
18428.60,-17.59
18612.89,-21.85
18799.02,-26.15
18987.01,-30.50
19176.88,-34.78
19368.65,-38.76
19562.33,-42.65
19757.96,-46.70
19955.54,-50.75
