frequency,raw
20.00,-1.99
20.20,-1.98
20.40,-1.96
20.61,-1.95
20.81,-1.94
21.02,-1.92
21.23,-1.91
21.44,-1.90
21.66,-1.88
21.87,-1.86
22.09,-1.84
22.31,-1.82
22.54,-1.80
22.76,-1.77
22.99,-1.75
23.22,-1.73
23.45,-1.72
23.69,-1.70
23.92,-1.68
24.16,-1.66
24.40,-1.64
24.65,-1.62
24.89,-1.60
25.14,-1.58
25.39,-1.56
25.65,-1.55
25.91,-1.53
26.16,-1.51
26.43,-1.50
26.69,-1.48
26.96,-1.46
27.23,-1.44
27.50,-1.42
27.77,-1.40
28.05,-1.38
28.33,-1.36
28.62,-1.34
28.90,-1.33
29.19,-1.31
29.48,-1.29
29.78,-1.28
30.08,-1.26
30.38,-1.25
30.68,-1.23
30.99,-1.22
31.30,-1.20
31.61,-1.19
31.93,-1.17
32.24,-1.15
32.57,-1.14
32.89,-1.13
33.22,-1.11
33.55,-1.10
33.89,-1.08
34.23,-1.07
34.57,-1.06
34.92,-1.05
35.27,-1.05
35.62,-1.04
35.97,-1.04
36.33,-1.03
36.70,-1.02
37.06,-1.02
37.43,-1.01
37.81,-1.00
38.19,-0.99
38.57,-0.97
38.95,-0.96
39.34,-0.95
39.74,-0.93
40.14,-0.92
40.54,-0.90
40.94,-0.89
41.35,-0.88
41.76,-0.87
42.18,-0.86
42.60,-0.85
43.03,-0.84
43.46,-0.83
43.90,-0.82
44.33,-0.81
44.78,-0.80
45.23,-0.80
45.68,-0.79
46.13,-0.78
46.60,-0.77
47.06,-0.76
47.53,-0.76
48.01,-0.75
48.49,-0.74
48.97,-0.73
49.46,-0.72
49.96,-0.72
50.46,-0.71
50.96,-0.71
51.47,-0.71
51.99,-0.71
52.51,-0.71
53.03,-0.70
53.56,-0.69
54.10,-0.68
54.64,-0.68
55.18,-0.69
55.74,-0.68
56.29,-0.67
56.86,-0.67
57.42,-0.65
58.00,-0.64
58.58,-0.67
59.16,-0.72
59.76,-0.78
60.35,-0.77
60.96,-0.72
61.57,-0.66
62.18,-0.64
62.80,-0.64
63.43,-0.63
64.07,-0.62
64.71,-0.62
65.35,-0.60
66.01,-0.59
66.67,-0.58
67.33,-0.58
68.01,-0.58
68.69,-0.57
69.37,-0.57
70.07,-0.56
70.77,-0.56
71.48,-0.56
72.19,-0.56
72.91,-0.56
73.64,-0.55
74.38,-0.55
75.12,-0.55
75.87,-0.55
76.63,-0.55
77.40,-0.55
78.17,-0.54
78.95,-0.54
79.74,-0.54
80.54,-0.54
81.35,-0.53
82.16,-0.54
82.98,-0.54
83.81,-0.53
84.65,-0.53
85.50,-0.53
86.35,-0.53
87.22,-0.53
88.09,-0.53
88.97,-0.53
89.86,-0.53
90.76,-0.53
91.66,-0.53
92.58,-0.53
93.51,-0.53
94.44,-0.53
95.39,-0.53
96.34,-0.53
97.30,-0.53
98.28,-0.53
99.26,-0.53
100.25,-0.53
101.25,-0.53
102.27,-0.53
103.29,-0.53
104.32,-0.53
105.37,-0.53
106.42,-0.53
107.48,-0.53
108.56,-0.53
109.64,-0.54
110.74,-0.54
111.85,-0.54
112.97,-0.53
114.10,-0.53
115.24,-0.53
116.39,-0.52
117.55,-0.52
118.73,-0.52
119.92,-0.52
121.12,-0.53
122.33,-0.52
123.55,-0.53
124.79,-0.54
126.03,-0.55
127.29,-0.55
128.57,-0.56
129.85,-0.56
131.15,-0.56
132.46,-0.57
133.79,-0.57
135.12,-0.57
136.48,-0.57
137.84,-0.58
139.22,-0.58
140.61,-0.58
142.02,-0.58
143.44,-0.59
144.87,-0.59
146.32,-0.59
147.78,-0.59
149.26,-0.60
150.75,-0.60
152.26,-0.60
153.78,-0.61
155.32,-0.61
156.88,-0.61
158.44,-0.62
160.03,-0.62
161.63,-0.62
163.24,-0.63
164.88,-0.63
166.53,-0.63
168.19,-0.63
169.87,-0.64
171.57,-0.64
173.29,-0.65
175.02,-0.65
176.77,-0.65
178.54,-0.66
180.32,-0.67
182.13,-0.67
183.95,-0.67
185.79,-0.67
187.65,-0.68
189.52,-0.68
191.42,-0.69
193.33,-0.69
195.27,-0.69
197.22,-0.70
199.19,-0.70
201.18,-0.71
203.19,-0.71
205.23,-0.72
207.28,-0.72
209.35,-0.73
211.44,-0.73
213.56,-0.74
215.69,-0.74
217.85,-0.74
220.03,-0.75
222.23,-0.75
224.45,-0.76
226.70,-0.76
228.96,-0.77
231.25,-0.77
233.57,-0.77
235.90,-0.78
238.26,-0.76
240.64,-0.75
243.05,-0.80
245.48,-0.80
247.93,-0.81
250.41,-0.82
252.92,-0.82
255.45,-0.83
258.00,-0.83
260.58,-0.84
263.19,-0.84
265.82,-0.85
268.48,-0.86
271.16,-0.86
273.87,-0.87
276.61,-0.87
279.38,-0.88
282.17,-0.89
284.99,-0.89
287.84,-0.90
290.72,-0.91
293.63,-0.91
296.57,-0.91
299.53,-0.92
302.53,-0.93
305.55,-0.93
308.61,-0.94
311.69,-0.95
314.81,-0.95
317.96,-0.96
321.14,-0.97
324.35,-0.97
327.59,-0.98
330.87,-0.98
334.18,-0.99
337.52,-1.00
340.90,-1.01
344.30,-1.01
347.75,-1.02
351.23,-1.02
354.74,-1.03
358.28,-1.03
361.87,-1.04
365.49,-1.05
369.14,-1.06
372.83,-1.06
376.56,-1.07
380.33,-1.08
384.13,-1.08
387.97,-1.09
391.85,-1.09
395.77,-1.10
399.73,-1.11
403.72,-1.11
407.76,-1.12
411.84,-1.12
415.96,-1.13
420.12,-1.14
424.32,-1.14
428.56,-1.15
432.85,-1.15
437.18,-1.16
441.55,-1.17
445.96,-1.18
450.42,-1.18
454.93,-1.19
459.48,-1.20
464.07,-1.20
468.71,-1.21
473.40,-1.22
478.13,-1.23
482.91,-1.24
487.74,-1.25
492.62,-1.26
497.55,-1.27
502.52,-1.28
507.55,-1.29
512.62,-1.29
517.75,-1.30
522.93,-1.31
528.16,-1.31
533.44,-1.31
538.77,-1.32
544.16,-1.33
549.60,-1.33
555.10,-1.34
560.65,-1.34
566.25,-1.34
571.92,-1.35
577.64,-1.35
583.41,-1.35
589.25,-1.36
595.14,-1.36
601.09,-1.36
607.10,-1.36
613.17,-1.36
619.30,-1.36
625.50,-1.36
631.75,-1.36
638.07,-1.36
644.45,-1.37
650.89,-1.37
657.40,-1.37
663.98,-1.37
670.62,-1.37
677.32,-1.37
684.10,-1.37
690.94,-1.36
697.85,-1.36
704.83,-1.36
711.87,-1.35
718.99,-1.35
726.18,-1.34
733.44,-1.33
740.78,-1.32
748.19,-1.31
755.67,-1.29
763.23,-1.28
770.86,-1.26
778.57,-1.25
786.35,-1.23
794.22,-1.21
802.16,-1.19
810.18,-1.16
818.28,-1.14
826.46,-1.11
834.73,-1.08
843.08,-1.04
851.51,-1.01
860.02,-0.97
868.62,-0.93
877.31,-0.89
886.08,-0.84
894.94,-0.79
903.89,-0.74
912.93,-0.68
922.06,-0.62
931.28,-0.56
940.59,-0.50
950.00,-0.43
959.50,-0.35
969.09,-0.27
978.78,-0.19
988.57,-0.11
998.46,-0.01
1008.44,0.08
1018.53,0.18
1028.71,0.28
1039.00,0.38
1049.39,0.49
1059.88,0.60
1070.48,0.72
1081.19,0.83
1092.00,0.95
1102.92,1.08
1113.95,1.20
1125.09,1.32
1136.34,1.45
1147.70,1.58
1159.18,1.71
1170.77,1.84
1182.48,1.96
1194.30,2.09
1206.25,2.22
1218.31,2.34
1230.49,2.47
1242.80,2.59
1255.22,2.71
1267.78,2.82
1280.45,2.93
1293.26,3.03
1306.19,3.14
1319.25,3.25
1332.45,3.34
1345.77,3.44
1359.23,3.53
1372.82,3.62
1386.55,3.70
1400.41,3.78
1414.42,3.84
1428.56,3.91
1442.85,3.97
1457.28,4.03
1471.85,4.09
1486.57,4.16
1501.43,4.22
1516.45,4.29
1531.61,4.36
1546.93,4.44
1562.40,4.51
1578.02,4.59
1593.80,4.66
1609.74,4.74
1625.84,4.82
1642.10,4.89
1658.52,4.97
1675.10,5.04
1691.85,5.12
1708.77,5.20
1725.86,5.28
1743.12,5.35
1760.55,5.44
1778.15,5.52
1795.94,5.60
1813.90,5.69
1832.03,5.78
1850.36,5.86
1868.86,5.95
1887.55,6.05
1906.42,6.14
1925.49,6.23
1944.74,6.33
1964.19,6.43
1983.83,6.53
2003.67,6.63
2023.71,6.73
2043.94,6.83
2064.38,6.93
2085.03,7.03
2105.88,7.13
2126.94,7.23
2148.20,7.33
2169.69,7.43
2191.38,7.52
2213.30,7.61
2235.43,7.70
2257.78,7.79
2280.36,7.88
2303.17,7.95
2326.20,8.03
2349.46,8.10
2372.95,8.16
2396.68,8.22
2420.65,8.26
2444.86,8.31
2469.31,8.34
2494.00,8.37
2518.94,8.38
2544.13,8.39
2569.57,8.39
2595.27,8.38
2621.22,8.36
2647.43,8.33
2673.90,8.30
2700.64,8.25
2727.65,8.20
2754.93,8.14
2782.48,8.07
2810.30,8.00
2838.40,7.92
2866.79,7.83
2895.46,7.74
2924.41,7.65
2953.65,7.55
2983.19,7.45
3013.02,7.34
3043.15,7.24
3073.58,7.13
3104.32,7.03
3135.36,6.92
3166.72,6.82
3198.38,6.71
