frequency,raw
20.00,3.15
20.20,3.19
20.40,3.23
20.61,3.27
20.81,3.31
21.02,3.35
21.23,3.39
21.44,3.43
21.66,3.48
21.87,3.52
22.09,3.56
22.31,3.60
22.54,3.64
22.76,3.67
22.99,3.71
23.22,3.74
23.45,3.77
23.69,3.81
23.92,3.84
24.16,3.88
24.40,3.92
24.65,3.95
24.89,3.98
25.14,4.01
25.39,4.04
25.65,4.07
25.91,4.10
26.16,4.13
26.43,4.16
26.69,4.19
26.96,4.23
27.23,4.26
27.50,4.29
27.77,4.31
28.05,4.34
28.33,4.37
28.62,4.39
28.90,4.42
29.19,4.45
29.48,4.47
29.78,4.50
30.08,4.52
30.38,4.55
30.68,4.57
30.99,4.59
31.30,4.61
31.61,4.63
31.93,4.65
32.24,4.67
32.57,4.70
32.89,4.72
33.22,4.74
33.55,4.75
33.89,4.77
34.23,4.79
34.57,4.81
34.92,4.82
35.27,4.84
35.62,4.86
35.97,4.88
36.33,4.90
36.70,4.91
37.06,4.92
37.43,4.94
37.81,4.95
38.19,4.96
38.57,4.97
38.95,4.99
39.34,5.00
39.74,5.01
40.14,5.02
40.54,5.03
40.94,5.04
41.35,5.06
41.76,5.07
42.18,5.08
42.60,5.09
43.03,5.10
43.46,5.11
43.90,5.11
44.33,5.12
44.78,5.13
45.23,5.14
45.68,5.14
46.13,5.15
46.60,5.15
47.06,5.16
47.53,5.17
48.01,5.17
48.49,5.17
48.97,5.17
49.46,5.17
49.96,5.18
50.46,5.18
50.96,5.18
51.47,5.19
51.99,5.19
52.51,5.19
53.03,5.18
53.56,5.18
54.10,5.18
54.64,5.19
55.18,5.20
55.74,5.20
56.29,5.19
56.86,5.19
57.42,5.17
58.00,5.14
58.58,5.16
59.16,5.18
59.76,5.22
60.35,5.22
60.96,5.19
61.57,5.17
62.18,5.17
62.80,5.16
63.43,5.16
64.07,5.15
64.71,5.15
65.35,5.14
66.01,5.13
66.67,5.13
67.33,5.12
68.01,5.11
68.69,5.11
69.37,5.10
70.07,5.09
70.77,5.08
71.48,5.07
72.19,5.06
72.91,5.05
73.64,5.04
74.38,5.03
75.12,5.02
75.87,5.02
76.63,5.00
77.40,4.99
78.17,4.98
78.95,4.97
79.74,4.95
80.54,4.93
81.35,4.92
82.16,4.91
82.98,4.90
83.81,4.89
84.65,4.87
85.50,4.85
86.35,4.84
87.22,4.83
88.09,4.81
88.97,4.79
89.86,4.78
90.76,4.76
91.66,4.75
92.58,4.73
93.51,4.71
94.44,4.69
95.39,4.67
96.34,4.66
97.30,4.64
98.28,4.62
99.26,4.60
100.25,4.58
101.25,4.56
102.27,4.54
103.29,4.52
104.32,4.50
105.37,4.47
106.42,4.45
107.48,4.43
108.56,4.41
109.64,4.38
110.74,4.36
111.85,4.35
112.97,4.32
114.10,4.30
115.24,4.27
116.39,4.25
117.55,4.23
118.73,4.20
119.92,4.19
121.12,4.16
122.33,4.13
123.55,4.10
124.79,4.08
126.03,4.05
127.29,4.02
128.57,4.00
129.85,3.97
131.15,3.94
132.46,3.92
133.79,3.88
135.12,3.86
136.48,3.84
137.84,3.81
139.22,3.78
140.61,3.75
142.02,3.72
143.44,3.69
144.87,3.67
146.32,3.64
147.78,3.61
149.26,3.58
150.75,3.55
152.26,3.52
153.78,3.49
155.32,3.46
156.88,3.43
158.44,3.40
160.03,3.37
161.63,3.34
163.24,3.31
164.88,3.28
166.53,3.25
168.19,3.22
169.87,3.18
171.57,3.15
173.29,3.12
175.02,3.09
176.77,3.06
178.54,3.03
180.32,3.00
182.13,2.96
183.95,2.93
185.79,2.90
187.65,2.87
189.52,2.83
191.42,2.80
193.33,2.77
195.27,2.73
197.22,2.70
199.19,2.67
201.18,2.63
203.19,2.61
205.23,2.57
207.28,2.54
209.35,2.50
211.44,2.47
213.56,2.44
215.69,2.40
217.85,2.37
220.03,2.34
222.23,2.30
224.45,2.27
226.70,2.24
228.96,2.20
231.25,2.17
233.57,2.14
235.90,2.11
238.26,2.10
240.64,2.07
243.05,2.02
245.48,1.98
247.93,1.95
250.41,1.93
252.92,1.89
255.45,1.86
258.00,1.82
260.58,1.79
263.19,1.76
265.82,1.73
268.48,1.70
271.16,1.66
273.87,1.63
276.61,1.60
279.38,1.57
282.17,1.54
284.99,1.51
287.84,1.48
290.72,1.45
293.63,1.42
296.57,1.38
299.53,1.35
302.53,1.32
305.55,1.29
308.61,1.26
311.69,1.23
314.81,1.20
317.96,1.17
321.14,1.14
324.35,1.12
327.59,1.08
330.87,1.05
334.18,1.03
337.52,1.00
340.90,0.97
344.30,0.94
347.75,0.91
351.23,0.88
354.74,0.86
358.28,0.83
361.87,0.80
365.49,0.77
369.14,0.75
372.83,0.72
376.56,0.69
380.33,0.67
384.13,0.64
387.97,0.61
391.85,0.59
395.77,0.56
399.73,0.54
403.72,0.51
407.76,0.49
411.84,0.46
415.96,0.44
420.12,0.41
424.32,0.39
428.56,0.37
432.85,0.34
437.18,0.32
441.55,0.30
445.96,0.27
450.42,0.25
454.93,0.23
459.48,0.20
464.07,0.18
468.71,0.16
473.40,0.14
478.13,0.12
482.91,0.10
487.74,0.08
492.62,0.06
497.55,0.04
502.52,0.02
507.55,-0.01
512.62,-0.02
517.75,-0.04
522.93,-0.06
528.16,-0.08
533.44,-0.10
538.77,-0.12
544.16,-0.13
549.60,-0.15
555.10,-0.16
560.65,-0.18
566.25,-0.20
571.92,-0.21
577.64,-0.23
583.41,-0.24
589.25,-0.26
595.14,-0.27
601.09,-0.28
607.10,-0.30
613.17,-0.31
619.30,-0.32
625.50,-0.33
631.75,-0.35
638.07,-0.36
644.45,-0.37
650.89,-0.38
657.40,-0.39
663.98,-0.40
670.62,-0.40
677.32,-0.41
684.10,-0.41
690.94,-0.42
697.85,-0.43
704.83,-0.43
711.87,-0.43
718.99,-0.43
726.18,-0.43
733.44,-0.44
740.78,-0.44
748.19,-0.44
755.67,-0.43
763.23,-0.43
770.86,-0.42
778.57,-0.42
786.35,-0.41
794.22,-0.40
802.16,-0.39
810.18,-0.38
818.28,-0.36
826.46,-0.35
834.73,-0.34
843.08,-0.32
851.51,-0.29
860.02,-0.27
868.62,-0.24
877.31,-0.21
886.08,-0.18
894.94,-0.15
903.89,-0.12
912.93,-0.08
922.06,-0.04
931.28,0.00
940.59,0.05
950.00,0.09
959.50,0.11
969.09,0.06
978.78,-0.02
988.57,-0.07
998.46,-0.01
1008.44,0.08
1018.53,0.18
1028.71,0.28
1039.00,0.38
1049.39,0.48
1059.88,0.58
1070.48,0.68
1081.19,0.77
1092.00,0.87
1102.92,0.96
1113.95,1.06
1125.09,1.15
1136.34,1.25
1147.70,1.35
1159.18,1.44
1170.77,1.54
1182.48,1.64
1194.30,1.74
1206.25,1.84
1218.31,1.94
1230.49,2.04
1242.80,2.14
1255.22,2.23
1267.78,2.33
1280.45,2.43
1293.26,2.53
1306.19,2.63
1319.25,2.72
1332.45,2.82
1345.77,2.92
