frequency,raw
20.00,7.99
20.20,7.97
20.40,7.95
20.61,7.93
20.81,7.89
21.02,7.86
21.23,7.84
21.44,7.82
21.66,7.81
21.87,7.80
22.09,7.81
22.31,7.81
22.54,7.82
22.76,7.81
22.99,7.80
23.22,7.78
23.45,7.75
23.69,7.71
23.92,7.68
24.16,7.65
24.40,7.63
24.65,7.61
24.89,7.60
25.14,7.58
25.39,7.57
25.65,7.55
25.91,7.52
26.16,7.49
26.43,7.47
26.69,7.46
26.96,7.46
27.23,7.46
27.50,7.47
27.77,7.47
28.05,7.46
28.33,7.43
28.62,7.40
28.90,7.36
29.19,7.32
29.48,7.28
29.78,7.27
30.08,7.26
30.38,7.25
30.68,7.24
30.99,7.21
31.30,7.18
31.61,7.13
31.93,7.10
32.24,7.07
32.57,7.05
32.89,7.04
33.22,7.03
33.55,7.01
33.89,6.97
34.23,6.93
34.57,6.88
34.92,6.83
35.27,6.80
35.62,6.78
35.97,6.76
36.33,6.74
36.70,6.71
37.06,6.68
37.43,6.64
37.81,6.61
38.19,6.58
38.57,6.55
38.95,6.52
39.34,6.48
39.74,6.44
40.14,6.40
40.54,6.36
40.94,6.33
41.35,6.30
41.76,6.28
42.18,6.26
42.60,6.23
43.03,6.18
43.46,6.12
43.90,6.06
44.33,6.00
44.78,5.98
45.23,5.96
45.68,5.94
46.13,5.91
46.60,5.87
47.06,5.83
47.53,5.79
48.01,5.76
48.49,5.73
48.97,5.70
49.46,5.67
49.96,5.60
50.46,5.55
50.96,5.50
51.47,5.48
51.99,5.37
52.51,5.22
53.03,5.07
53.56,5.10
54.10,5.17
54.64,5.24
55.18,5.22
55.74,5.17
56.29,5.12
56.86,5.08
57.42,5.02
58.00,4.94
58.58,4.93
59.16,4.91
59.76,4.86
60.35,4.81
60.96,4.77
61.57,4.75
62.18,4.71
62.80,4.66
63.43,4.61
64.07,4.56
64.71,4.51
65.35,4.46
66.01,4.42
66.67,4.37
67.33,4.33
68.01,4.29
68.69,4.23
69.37,4.18
70.07,4.13
70.77,4.08
71.48,4.04
72.19,3.98
72.91,3.92
73.64,3.87
74.38,3.83
75.12,3.80
75.87,3.74
76.63,3.68
77.40,3.62
78.17,3.59
78.95,3.57
79.74,3.53
80.54,3.47
81.35,3.41
82.16,3.34
82.98,3.29
83.81,3.24
84.65,3.21
85.50,3.15
86.35,3.08
87.22,3.03
88.09,2.98
88.97,2.93
89.86,2.88
90.76,2.82
91.66,2.76
92.58,2.71
93.51,2.65
94.44,2.61
95.39,2.56
96.34,2.50
97.30,2.45
98.28,2.40
99.26,2.36
100.25,2.33
101.25,2.27
102.27,2.22
103.29,2.17
104.32,2.17
105.37,2.12
106.42,2.06
107.48,2.00
108.56,1.95
109.64,1.89
110.74,1.82
111.85,1.78
112.97,1.73
114.10,1.67
115.24,1.61
116.39,1.56
117.55,1.52
118.73,1.45
119.92,1.38
121.12,1.33
122.33,1.30
123.55,1.25
124.79,1.19
126.03,1.14
127.29,1.09
128.57,1.04
129.85,0.99
131.15,0.94
132.46,0.89
133.79,0.83
135.12,0.78
136.48,0.73
137.84,0.69
139.22,0.64
140.61,0.59
142.02,0.55
143.44,0.50
144.87,0.44
146.32,0.39
147.78,0.34
149.26,0.30
150.75,0.25
152.26,0.20
153.78,0.16
155.32,0.11
156.88,0.07
158.44,0.02
160.03,-0.03
161.63,-0.07
163.24,-0.11
164.88,-0.16
166.53,-0.20
168.19,-0.25
169.87,-0.29
171.57,-0.33
173.29,-0.37
175.02,-0.41
176.77,-0.45
178.54,-0.50
180.32,-0.55
182.13,-0.59
183.95,-0.63
185.79,-0.66
187.65,-0.70
189.52,-0.74
191.42,-0.77
193.33,-0.81
195.27,-0.85
197.22,-0.89
199.19,-0.92
201.18,-0.95
203.19,-0.98
205.23,-1.02
207.28,-1.06
209.35,-1.09
211.44,-1.12
213.56,-1.15
215.69,-1.18
217.85,-1.22
220.03,-1.25
222.23,-1.28
224.45,-1.30
226.70,-1.33
228.96,-1.36
231.25,-1.39
233.57,-1.42
235.90,-1.48
238.26,-1.52
240.64,-1.55
243.05,-1.53
245.48,-1.55
247.93,-1.58
250.41,-1.60
252.92,-1.62
255.45,-1.63
258.00,-1.65
260.58,-1.66
263.19,-1.66
265.82,-1.66
268.48,-1.65
271.16,-1.64
273.87,-1.64
276.61,-1.63
