frequency,raw
20.00,10.92
20.20,10.92
20.40,10.93
20.61,10.93
20.81,10.92
21.02,10.91
21.23,10.89
21.44,10.88
21.66,10.86
21.87,10.85
22.09,10.84
22.31,10.83
22.54,10.83
22.76,10.83
22.99,10.82
23.22,10.82
23.45,10.81
23.69,10.80
23.92,10.79
24.16,10.77
24.40,10.76
24.65,10.75
24.89,10.73
25.14,10.72
25.39,10.70
25.65,10.69
25.91,10.67
26.16,10.66
26.43,10.65
26.69,10.64
26.96,10.62
27.23,10.60
27.50,10.57
27.77,10.54
28.05,10.51
28.33,10.48
28.62,10.46
28.90,10.45
29.19,10.45
29.48,10.45
29.78,10.44
30.08,10.43
30.38,10.40
30.68,10.36
30.99,10.32
31.30,10.29
31.61,10.26
31.93,10.23
32.24,10.21
32.57,10.18
32.89,10.15
33.22,10.11
33.55,10.07
33.89,10.04
34.23,10.01
34.57,9.98
34.92,9.96
35.27,9.94
35.62,9.93
35.97,9.91
36.33,9.88
36.70,9.84
37.06,9.80
37.43,9.75
37.81,9.71
38.19,9.67
38.57,9.64
38.95,9.61
39.34,9.58
39.74,9.54
40.14,9.50
40.54,9.46
40.94,9.43
41.35,9.39
41.76,9.36
42.18,9.32
42.60,9.29
43.03,9.25
43.46,9.21
43.90,9.16
44.33,9.12
44.78,9.08
45.23,9.05
45.68,9.01
46.13,8.97
46.60,8.94
47.06,8.90
47.53,8.86
48.01,8.82
48.49,8.77
48.97,8.73
49.46,8.68
49.96,8.64
50.46,8.60
50.96,8.56
51.47,8.51
51.99,8.47
52.51,8.42
53.03,8.37
53.56,8.33
54.10,8.28
54.64,8.24
55.18,8.20
55.74,8.14
56.29,8.09
56.86,8.05
57.42,8.01
58.00,7.96
58.58,7.91
59.16,7.87
59.76,7.85
60.35,7.81
60.96,7.74
61.57,7.66
62.18,7.61
62.80,7.57
63.43,7.52
64.07,7.47
64.71,7.42
65.35,7.37
66.01,7.31
66.67,7.27
67.33,7.23
68.01,7.18
68.69,7.12
69.37,7.06
70.07,7.01
70.77,6.97
71.48,6.92
72.19,6.87
72.91,6.82
73.64,6.77
74.38,6.72
75.12,6.66
75.87,6.61
76.63,6.56
77.40,6.51
78.17,6.45
78.95,6.40
79.74,6.35
80.54,6.30
81.35,6.25
82.16,6.20
82.98,6.14
83.81,6.10
84.65,6.05
85.50,6.00
86.35,5.95
87.22,5.90
88.09,5.85
88.97,5.80
89.86,5.74
90.76,5.69
91.66,5.64
92.58,5.59
93.51,5.54
94.44,5.48
95.39,5.43
96.34,5.37
97.30,5.32
98.28,5.27
99.26,5.22
100.25,5.17
101.25,5.11
102.27,5.06
103.29,5.01
104.32,4.96
105.37,4.91
106.42,4.86
107.48,4.80
108.56,4.75
109.64,4.70
110.74,4.65
111.85,4.60
112.97,4.54
114.10,4.49
115.24,4.44
116.39,4.39
117.55,4.33
118.73,4.29
119.92,4.27
121.12,4.23
122.33,4.15
123.55,4.10
124.79,4.05
126.03,3.99
127.29,3.93
128.57,3.88
129.85,3.83
131.15,3.78
132.46,3.74
133.79,3.72
135.12,3.70
136.48,3.67
137.84,3.62
139.22,3.54
140.61,3.48
142.02,3.43
143.44,3.39
144.87,3.36
146.32,3.30
147.78,3.24
149.26,3.20
150.75,3.16
152.26,3.11
153.78,3.06
155.32,3.00
156.88,2.97
158.44,2.92
160.03,2.86
161.63,2.82
163.24,2.78
164.88,2.73
166.53,2.68
168.19,2.64
169.87,2.60
171.57,2.55
173.29,2.50
175.02,2.46
176.77,2.42
178.54,2.37
180.32,2.33
182.13,2.28
183.95,2.24
185.79,2.20
187.65,2.16
189.52,2.11
191.42,2.07
193.33,2.03
195.27,1.98
197.22,1.94
199.19,1.89
201.18,1.86
203.19,1.82
205.23,1.78
207.28,1.74
209.35,1.70
211.44,1.65
213.56,1.61
215.69,1.58
217.85,1.55
220.03,1.51
222.23,1.48
224.45,1.45
226.70,1.43
228.96,1.41
231.25,1.39
233.57,1.37
235.90,1.35
238.26,1.35
240.64,1.33
243.05,1.26
245.48,1.22
247.93,1.18
250.41,1.15
252.92,1.10
255.45,1.07
258.00,1.04
260.58,1.00
263.19,0.96
265.82,0.92
268.48,0.89
271.16,0.86
273.87,0.83
276.61,0.80
279.38,0.77
282.17,0.74
284.99,0.71
287.84,0.68
290.72,0.66
293.63,0.64
296.57,0.63
299.53,0.63
302.53,0.57
305.55,0.53
308.61,0.50
311.69,0.47
314.81,0.44
317.96,0.41
321.14,0.38
324.35,0.35
327.59,0.33
330.87,0.30
334.18,0.27
337.52,0.24
340.90,0.22
344.30,0.20
347.75,0.18
351.23,0.16
354.74,0.14
358.28,0.11
361.87,0.09
365.49,0.08
369.14,0.06
372.83,0.04
376.56,0.01
380.33,-0.02
384.13,-0.04
387.97,-0.07
391.85,-0.10
395.77,-0.12
399.73,-0.14
403.72,-0.17
407.76,-0.19
411.84,-0.21
415.96,-0.23
420.12,-0.25
424.32,-0.26
428.56,-0.28
432.85,-0.29
437.18,-0.29
441.55,-0.30
445.96,-0.30
450.42,-0.30
454.93,-0.31
459.48,-0.32
464.07,-0.34
468.71,-0.36
473.40,-0.37
478.13,-0.38
482.91,-0.40
487.74,-0.41
492.62,-0.43
