frequency,raw
20.00,6.27
20.20,6.29
20.40,6.32
20.61,6.35
20.81,6.38
21.02,6.41
21.23,6.45
21.44,6.50
21.66,6.56
21.87,6.60
22.09,6.65
22.31,6.69
22.54,6.72
22.76,6.75
22.99,6.78
23.22,6.81
23.45,6.85
23.69,6.90
23.92,6.95
24.16,6.99
24.40,7.03
24.65,7.06
24.89,7.09
25.14,7.10
25.39,7.12
25.65,7.14
25.91,7.16
26.16,7.20
26.43,7.23
26.69,7.27
26.96,7.30
27.23,7.32
27.50,7.34
27.77,7.35
28.05,7.37
28.33,7.39
28.62,7.42
28.90,7.45
29.19,7.48
29.48,7.51
29.78,7.53
30.08,7.55
30.38,7.56
30.68,7.57
30.99,7.59
31.30,7.60
31.61,7.63
31.93,7.65
32.24,7.67
32.57,7.68
32.89,7.70
33.22,7.73
33.55,7.76
33.89,7.79
34.23,7.83
34.57,7.86
34.92,7.88
35.27,7.90
35.62,7.92
35.97,7.94
36.33,7.96
36.70,7.98
37.06,8.00
37.43,8.01
37.81,8.03
38.19,8.04
38.57,8.06
38.95,8.07
39.34,8.09
39.74,8.10
40.14,8.11
40.54,8.11
40.94,8.12
41.35,8.13
41.76,8.14
42.18,8.16
42.60,8.18
43.03,8.21
43.46,8.23
43.90,8.24
44.33,8.24
44.78,8.23
45.23,8.24
45.68,8.25
46.13,8.28
46.60,8.30
47.06,8.32
47.53,8.34
48.01,8.34
48.49,8.35
48.97,8.36
49.46,8.36
49.96,8.37
50.46,8.38
50.96,8.38
51.47,8.39
51.99,8.40
52.51,8.40
53.03,8.40
53.56,8.40
54.10,8.40
54.64,8.40
55.18,8.40
55.74,8.41
56.29,8.42
56.86,8.42
57.42,8.43
58.00,8.45
58.58,8.41
59.16,8.35
59.76,8.26
60.35,8.26
60.96,8.33
61.57,8.40
62.18,8.40
62.80,8.39
63.43,8.38
64.07,8.37
64.71,8.35
65.35,8.34
66.01,8.35
66.67,8.34
67.33,8.33
68.01,8.31
68.69,8.30
69.37,8.28
70.07,8.26
70.77,8.23
71.48,8.21
72.19,8.19
72.91,8.17
73.64,8.14
74.38,8.12
75.12,8.09
75.87,8.06
76.63,8.04
77.40,8.01
78.17,7.96
78.95,7.92
79.74,7.88
80.54,7.83
81.35,7.79
82.16,7.75
82.98,7.68
83.81,7.60
84.65,7.53
85.50,7.45
86.35,7.35
87.22,7.24
88.09,7.12
88.97,6.98
89.86,6.83
90.76,6.68
91.66,6.57
92.58,6.49
93.51,6.49
94.44,6.55
95.39,6.64
96.34,6.71
97.30,6.76
98.28,6.79
99.26,6.85
100.25,6.99
101.25,7.19
102.27,7.42
103.29,7.65
104.32,7.84
105.37,8.03
106.42,8.18
107.48,8.28
108.56,8.33
109.64,8.36
110.74,8.38
111.85,8.39
112.97,8.38
114.10,8.36
115.24,8.32
116.39,8.30
117.55,8.28
118.73,8.20
119.92,8.08
121.12,8.08
122.33,8.19
123.55,8.13
124.79,8.08
126.03,8.06
127.29,8.02
128.57,7.98
129.85,7.94
131.15,7.90
132.46,7.87
133.79,7.84
135.12,7.80
136.48,7.77
137.84,7.73
139.22,7.69
140.61,7.65
142.02,7.61
143.44,7.57
144.87,7.53
146.32,7.50
147.78,7.45
149.26,7.41
150.75,7.37
152.26,7.33
153.78,7.29
155.32,7.25
156.88,7.21
158.44,7.16
160.03,7.11
161.63,7.07
163.24,7.03
164.88,6.99
166.53,6.94
168.19,6.90
169.87,6.85
171.57,6.81
173.29,6.76
175.02,6.71
176.77,6.66
178.54,6.62
180.32,6.58
182.13,6.52
183.95,6.46
185.79,6.41
187.65,6.36
189.52,6.31
191.42,6.26
193.33,6.21
195.27,6.16
197.22,6.10
199.19,6.03
201.18,5.97
203.19,5.90
205.23,5.84
207.28,5.77
209.35,5.70
211.44,5.62
213.56,5.54
215.69,5.46
217.85,5.38
220.03,5.30
222.23,5.23
224.45,5.16
226.70,5.13
228.96,5.14
231.25,5.18
233.57,5.22
235.90,5.24
238.26,5.20
240.64,5.17
243.05,5.16
245.48,5.12
247.93,5.09
250.41,5.07
252.92,5.10
255.45,5.12
258.00,5.14
260.58,5.13
263.19,5.11
265.82,5.07
268.48,5.03
271.16,4.99
273.87,4.94
276.61,4.90
279.38,4.85
282.17,4.80
284.99,4.74
287.84,4.68
290.72,4.62
293.63,4.56
296.57,4.48
299.53,4.40
302.53,4.38
305.55,4.33
308.61,4.27
311.69,4.22
314.81,4.17
317.96,4.10
321.14,4.04
324.35,3.99
327.59,3.93
330.87,3.88
334.18,3.81
337.52,3.76
340.90,3.70
344.30,3.64
347.75,3.59
351.23,3.54
354.74,3.48
358.28,3.42
361.87,3.36
365.49,3.31
369.14,3.26
372.83,3.20
376.56,3.15
380.33,3.09
384.13,3.04
387.97,2.99
391.85,2.94
395.77,2.88
399.73,2.82
403.72,2.77
407.76,2.72
411.84,2.66
415.96,2.61
420.12,2.56
424.32,2.51
428.56,2.45
432.85,2.39
437.18,2.34
441.55,2.28
445.96,2.23
450.42,2.18
454.93,2.14
459.48,2.07
464.07,2.02
468.71,1.98
473.40,1.93
478.13,1.88
482.91,1.83
487.74,1.77
492.62,1.72
497.55,1.67
502.52,1.62
507.55,1.57
512.62,1.52
517.75,1.47
522.93,1.42
528.16,1.38
533.44,1.33
538.77,1.28
544.16,1.23
549.60,1.19
555.10,1.14
560.65,1.09
566.25,1.05
571.92,1.00
577.64,0.95
583.41,0.90
589.25,0.86
595.14,0.82
601.09,0.78
607.10,0.73
613.17,0.69
619.30,0.63
625.50,0.59
631.75,0.55
638.07,0.51
644.45,0.48
650.89,0.43
657.40,0.36
663.98,0.32
670.62,0.31
677.32,0.28
684.10,0.25
690.94,0.22
697.85,0.18
704.83,0.14
711.87,0.11
718.99,0.08
726.18,0.05
733.44,0.02
740.78,-0.01
748.19,-0.04
755.67,-0.07
763.23,-0.09
770.86,-0.11
778.57,-0.13
786.35,-0.14
794.22,-0.17
802.16,-0.19
810.18,-0.21
818.28,-0.22
826.46,-0.23
834.73,-0.24
843.08,-0.25
851.51,-0.25
860.02,-0.26
868.62,-0.27
877.31,-0.27
886.08,-0.26
894.94,-0.24
903.89,-0.23
912.93,-0.23
922.06,-0.22
931.28,-0.20
940.59,-0.19
950.00,-0.16
959.50,-0.14
969.09,-0.10
978.78,-0.07
988.57,-0.05
998.46,-0.01
1008.44,0.03
1018.53,0.07
1028.71,0.12
1039.00,0.16
1049.39,0.20
1059.88,0.24
1070.48,0.29
1081.19,0.34
1092.00,0.39
1102.92,0.46
1113.95,0.50
1125.09,0.54
1136.34,0.59
1147.70,0.64
1159.18,0.67
1170.77,0.71
1182.48,0.74
1194.30,0.77
1206.25,0.79
1218.31,0.81
1230.49,0.83
1242.80,0.86
1255.22,0.88
1267.78,0.90
1280.45,0.91
1293.26,0.94
1306.19,0.97
1319.25,1.00
1332.45,1.04
1345.77,1.07
1359.23,1.10
1372.82,1.16
1386.55,1.21
1400.41,1.26
1414.42,1.31
1428.56,1.35
1442.85,1.41
1457.28,1.47
1471.85,1.52
1486.57,1.58
1501.43,1.64
1516.45,1.70
1531.61,1.76
1546.93,1.81
1562.40,1.87
1578.02,1.94
1593.80,2.00
1609.74,2.06
1625.84,2.12
1642.10,2.19
1658.52,2.26
1675.10,2.33
1691.85,2.40
1708.77,2.47
1725.86,2.54
1743.12,2.62
1760.55,2.70
1778.15,2.78
1795.94,2.86
1813.90,2.96
1832.03,3.05
1850.36,3.13
1868.86,3.23
1887.55,3.33
1906.42,3.44
1925.49,3.54
1944.74,3.65
1964.19,3.76
1983.83,3.88
2003.67,4.00
2023.71,4.12
2043.94,4.24
2064.38,4.38
2085.03,4.52
2105.88,4.65
2126.94,4.79
2148.20,4.94
2169.69,5.09
2191.38,5.25
2213.30,5.41
2235.43,5.57
2257.78,5.74
2280.36,5.92
2303.17,6.11
2326.20,6.30
2349.46,6.49
2372.95,6.67
2396.68,6.86
2420.65,7.06
2444.86,7.27
2469.31,7.48
2494.00,7.70
2518.94,7.92
2544.13,8.14
2569.57,8.37
2595.27,8.58
2621.22,8.79
2647.43,9.03
2673.90,9.25
2700.64,9.48
2727.65,9.73
2754.93,9.95
2782.48,10.19
2810.30,10.42
2838.40,10.63
2866.79,10.84
2895.46,11.05
2924.41,11.24
2953.65,11.43
2983.19,11.61
3013.02,11.78
3043.15,11.94
3073.58,12.10
3104.32,12.21
3135.36,12.32
3166.72,12.44
3198.38,12.57
3230.37,12.63
3262.67,12.70
3295.30,12.76
3328.25,12.80
3361.53,12.82
3395.15,12.84
3429.10,12.85
3463.39,12.85
3498.03,12.82
3533.01,12.80
3568.34,12.79
3604.02,12.78
3640.06,12.75
3676.46,12.72
3713.22,12.68
3750.36,12.64
3787.86,12.62
3825.74,12.59
3864.00,12.59
3902.64,12.57
3941.66,12.54
3981.08,12.53
4020.89,12.53
4061.10,12.52
4101.71,12.53
4142.73,12.55
4184.15,12.58
4226.00,12.61
4268.26,12.65
4310.94,12.70
4354.05,12.76
4397.59,12.83
4441.56,12.91
4485.98,13.01
4530.84,13.11
4576.15,13.23
4621.91,13.36
4668.13,13.50
4714.81,13.64
4761.96,13.78
4809.58,13.94
4857.67,14.11
4906.25,14.27
4955.31,14.43
5004.87,14.57
5054.91,14.71
5105.46,14.83
5156.52,14.93
5208.08,14.99
5260.16,15.01
5312.77,15.01
5365.89,14.96
5419.55,14.86
5473.75,14.71
5528.49,14.53
5583.77,14.28
5639.61,14.01
5696.00,13.72
5752.96,13.40
5810.49,13.08
5868.60,12.75
5927.28,12.41
5986.56,12.07
6046.42,11.74
6106.89,11.43
6167.96,11.13
6229.64,10.85
6291.93,10.61
6354.85,10.38
6418.40,10.16
6482.58,9.97
6547.41,9.81
6612.88,9.68
6679.01,9.58
6745.80,9.52
6813.26,9.49
6881.39,9.50
6950.21,9.54
7019.71,9.62
7089.91,9.75
7160.81,9.94
7232.41,10.18
7304.74,10.46
7377.79,10.81
7451.56,11.22
7526.08,11.69
7601.34,12.21
7677.35,12.79
7754.13,13.40
7831.67,14.00
7909.98,14.51
7989.08,14.87
8068.98,14.86
8149.67,14.58
8231.16,13.97
8313.47,13.12
8396.61,12.17
8480.57,11.12
8565.38,10.09
8651.03,9.08
8737.54,8.11
8824.92,7.18
8913.17,6.32
9002.30,5.49
9092.32,4.73
9183.25,4.02
9275.08,3.35
9367.83,2.75
9461.51,2.20
9556.12,1.70
9651.68,1.25
9748.20,0.80
9845.68,0.46
9944.14,0.14
10043.58,-0.14
10144.02,-0.39
