frequency,raw
20.00,8.92
20.20,8.94
20.40,8.95
20.61,8.97
20.81,8.99
21.02,9.00
21.23,9.02
21.44,9.04
21.66,9.06
21.87,9.08
22.09,9.11
22.31,9.13
22.54,9.15
22.76,9.17
22.99,9.18
23.22,9.20
23.45,9.22
23.69,9.24
23.92,9.26
24.16,9.28
24.40,9.30
24.65,9.31
24.89,9.33
25.14,9.34
25.39,9.35
25.65,9.36
25.91,9.38
26.16,9.39
26.43,9.41
26.69,9.43
26.96,9.44
27.23,9.45
27.50,9.45
27.77,9.45
28.05,9.45
28.33,9.46
28.62,9.47
28.90,9.48
29.19,9.50
29.48,9.52
29.78,9.53
30.08,9.53
30.38,9.54
30.68,9.54
30.99,9.55
31.30,9.55
31.61,9.57
31.93,9.58
32.24,9.59
32.57,9.60
32.89,9.61
33.22,9.61
33.55,9.62
33.89,9.62
34.23,9.63
34.57,9.63
34.92,9.63
35.27,9.63
35.62,9.63
35.97,9.63
36.33,9.64
36.70,9.64
37.06,9.64
37.43,9.64
37.81,9.64
38.19,9.64
38.57,9.64
38.95,9.64
39.34,9.64
39.74,9.64
40.14,9.64
40.54,9.64
40.94,9.64
41.35,9.63
41.76,9.63
42.18,9.63
42.60,9.62
43.03,9.62
43.46,9.61
43.90,9.61
44.33,9.60
44.78,9.60
45.23,9.59
45.68,9.58
46.13,9.58
46.60,9.57
47.06,9.57
47.53,9.56
48.01,9.55
48.49,9.54
48.97,9.53
49.46,9.52
49.96,9.52
50.46,9.50
50.96,9.49
51.47,9.48
51.99,9.47
52.51,9.47
53.03,9.46
53.56,9.44
54.10,9.42
54.64,9.41
55.18,9.40
55.74,9.38
56.29,9.37
56.86,9.36
57.42,9.34
58.00,9.31
58.58,9.27
59.16,9.26
59.76,9.28
60.35,9.29
60.96,9.27
61.57,9.24
62.18,9.23
62.80,9.22
63.43,9.20
64.07,9.18
64.71,9.17
65.35,9.15
66.01,9.13
66.67,9.11
67.33,9.10
68.01,9.08
68.69,9.06
69.37,9.04
70.07,9.01
70.77,8.99
71.48,8.97
72.19,8.95
72.91,8.93
73.64,8.90
74.38,8.88
75.12,8.85
75.87,8.83
76.63,8.81
77.40,8.79
78.17,8.76
78.95,8.73
79.74,8.70
80.54,8.68
81.35,8.65
82.16,8.62
82.98,8.59
83.81,8.57
84.65,8.54
85.50,8.51
86.35,8.47
87.22,8.44
88.09,8.41
88.97,8.38
89.86,8.35
90.76,8.32
91.66,8.29
92.58,8.26
93.51,8.22
94.44,8.19
95.39,8.15
96.34,8.12
97.30,8.08
98.28,8.05
99.26,8.01
100.25,7.97
101.25,7.93
102.27,7.90
103.29,7.86
104.32,7.82
105.37,7.78
106.42,7.74
107.48,7.71
108.56,7.67
109.64,7.63
110.74,7.59
111.85,7.55
112.97,7.52
114.10,7.48
115.24,7.45
116.39,7.41
117.55,7.38
118.73,7.35
119.92,7.31
121.12,7.28
122.33,7.25
123.55,7.21
124.79,7.17
126.03,7.14
127.29,7.10
128.57,7.05
129.85,7.01
131.15,6.97
132.46,6.93
133.79,6.88
135.12,6.84
136.48,6.80
137.84,6.75
139.22,6.70
140.61,6.66
142.02,6.61
143.44,6.57
144.87,6.51
146.32,6.47
147.78,6.42
149.26,6.37
150.75,6.33
152.26,6.28
153.78,6.24
155.32,6.19
156.88,6.16
158.44,6.12
160.03,6.08
161.63,6.04
163.24,6.00
164.88,5.96
166.53,5.92
