frequency,raw
20.00,-11.38
20.20,-11.30
20.40,-11.23
20.61,-11.16
20.81,-11.10
21.02,-11.04
21.23,-10.97
21.44,-10.89
21.66,-10.78
21.87,-10.67
22.09,-10.55
22.31,-10.42
22.54,-10.29
22.76,-10.17
22.99,-10.06
23.22,-9.95
23.45,-9.85
23.69,-9.76
23.92,-9.67
24.16,-9.57
24.40,-9.48
24.65,-9.38
24.89,-9.28
25.14,-9.18
25.39,-9.07
25.65,-8.95
25.91,-8.83
26.16,-8.71
26.43,-8.59
26.69,-8.49
26.96,-8.40
27.23,-8.32
27.50,-8.26
27.77,-8.19
28.05,-8.12
28.33,-8.02
28.62,-7.91
28.90,-7.79
29.19,-7.67
29.48,-7.56
29.78,-7.48
30.08,-7.40
30.38,-7.33
30.68,-7.26
30.99,-7.17
31.30,-7.08
31.61,-6.99
31.93,-6.90
32.24,-6.82
32.57,-6.74
32.89,-6.66
33.22,-6.58
33.55,-6.49
33.89,-6.40
34.23,-6.32
34.57,-6.24
34.92,-6.17
35.27,-6.11
35.62,-6.04
35.97,-5.97
36.33,-5.90
36.70,-5.83
37.06,-5.76
37.43,-5.69
37.81,-5.62
38.19,-5.56
38.57,-5.50
38.95,-5.44
39.34,-5.39
39.74,-5.33
40.14,-5.27
40.54,-5.20
40.94,-5.13
41.35,-5.06
41.76,-4.99
42.18,-4.92
42.60,-4.85
43.03,-4.78
43.46,-4.71
43.90,-4.64
44.33,-4.59
44.78,-4.53
45.23,-4.48
45.68,-4.43
46.13,-4.38
46.60,-4.33
47.06,-4.29
47.53,-4.25
48.01,-4.20
48.49,-4.13
48.97,-4.06
49.46,-4.00
49.96,-3.94
50.46,-3.90
50.96,-3.86
51.47,-3.82
51.99,-3.78
52.51,-3.72
53.03,-3.65
53.56,-3.59
54.10,-3.55
54.64,-3.52
55.18,-3.48
55.74,-3.42
56.29,-3.38
56.86,-3.35
57.42,-3.30
58.00,-3.24
58.58,-3.26
59.16,-3.27
59.76,-3.27
60.35,-3.19
60.96,-3.05
61.57,-2.97
62.18,-2.95
62.80,-2.90
63.43,-2.85
64.07,-2.81
64.71,-2.76
65.35,-2.71
66.01,-2.63
66.67,-2.58
67.33,-2.52
68.01,-2.45
68.69,-2.41
69.37,-2.37
70.07,-2.33
70.77,-2.30
71.48,-2.27
72.19,-2.22
72.91,-2.17
73.64,-2.16
74.38,-2.13
75.12,-2.10
75.87,-2.08
76.63,-2.05
77.40,-2.01
78.17,-1.98
78.95,-1.95
79.74,-1.93
80.54,-1.92
81.35,-1.92
82.16,-1.90
82.98,-1.88
83.81,-1.87
84.65,-1.86
85.50,-1.85
86.35,-1.85
87.22,-1.85
88.09,-1.85
88.97,-1.86
89.86,-1.86
90.76,-1.86
91.66,-1.87
92.58,-1.88
93.51,-1.88
94.44,-1.89
95.39,-1.90
96.34,-1.90
97.30,-1.94
98.28,-1.93
99.26,-1.95
100.25,-1.97
101.25,-1.98
102.27,-1.99
103.29,-2.00
104.32,-2.01
105.37,-2.02
106.42,-2.03
107.48,-2.04
108.56,-2.05
109.64,-2.06
110.74,-2.09
111.85,-2.11
112.97,-2.11
114.10,-2.12
115.24,-2.13
116.39,-2.14
117.55,-2.16
118.73,-2.15
119.92,-2.12
121.12,-2.14
122.33,-2.20
123.55,-2.21
124.79,-2.21
126.03,-2.23
127.29,-2.25
128.57,-2.26
129.85,-2.27
131.15,-2.28
