url	source_name	name	form	rig
https://tedthepraimortis.squig.link/data/Targets/			ignore	
https://tedthepraimortis.squig.link/data/7hz-Salnotes-Dioko%20L.txt		7Hz Salnotes Dioko	in-ear	711
https://tedthepraimortis.squig.link/data/7hz-Salnotes-Dioko%20R.txt		7Hz Salnotes Dioko	in-ear	711
https://tedthepraimortis.squig.link/data/7hz%20Salnotes%20Dioko%20L.txt	7Hz Salnotes Dioko (S1 - Ragnarok)	7Hz Salnotes Dioko (S1 - Ragnarok)	ignore	
https://tedthepraimortis.squig.link/data/7hz%20Salnotes%20Dioko%20R.txt	7Hz Salnotes Dioko (S1 - Ragnarok)	7Hz Salnotes Dioko (S1 - Ragnarok)	ignore	
https://tedthepraimortis.squig.link/data/7hz%20Salnotes%20Zero%20L.txt	7Hz Salnotes Zero (S1)	7Hz Salnotes Zero	in-ear	711
https://tedthepraimortis.squig.link/data/7hz%20Salnotes%20Zero%20R.txt	7Hz Salnotes Zero (S1)	7Hz Salnotes Zero	in-ear	711
https://tedthepraimortis.squig.link/data/7th%20Acoustics%20Supernova%20KB-500x%20Rag.txt	7th Acoustics Supernova (KB-500x) (S1 - Ragnarok - KB-500x)	7th Acoustics Supernova (KB-500x) (S1 - Ragnarok - KB-500x)	ignore	
https://tedthepraimortis.squig.link/data/7th%20Acoustics%20Supernova%20KB-500x%20Rag%20R.txt	7th Acoustics Supernova (KB-500x) (S1 - Ragnarok - KB-500x)	7th Acoustics Supernova (KB-500x) (S1 - Ragnarok - KB-500x)	ignore	
https://tedthepraimortis.squig.link/data/AudioSense%20AQ4%20-%20Velvets%20L.txt	AudioSense AQ4 (S1 - Hadoe)	AudioSense AQ4 (S1 - Hadoe)	ignore	
https://tedthepraimortis.squig.link/data/AudioSense%20AQ4%20-%20Velvets%20R.txt	AudioSense AQ4 (S1 - Hadoe)	AudioSense AQ4 (S1 - Hadoe)	ignore	
https://tedthepraimortis.squig.link/data/Poke%20DT200%20L.txt	AudioSense DT200 (S1 - Pokelij)	AudioSense DT200 (S1 - Pokelij)	ignore	
https://tedthepraimortis.squig.link/data/Poke%20DT200%20R.txt	AudioSense DT200 (S1 - Pokelij)	AudioSense DT200 (S1 - Pokelij)	ignore	
https://tedthepraimortis.squig.link/data/Dunu%20Titan%20S%20L.txt	Dunu Titan S (S1)	DUNU Titan S	in-ear	711
https://tedthepraimortis.squig.link/data/Dunu%20Titan%20S%20R.txt	Dunu Titan S (S1)	DUNU Titan S	in-ear	711
https://tedthepraimortis.squig.link/data/Delta%20Airlines%20_Studio_%20IEMs%20L.txt	Delta Airlines Complementary 'Studio' IEMs (S1)	Delta Airlines Complementary 'Studio' IEMs (S1)	ignore	
https://tedthepraimortis.squig.link/data/Delta%20Airlines%20_Studio_%20IEMs%20R.txt	Delta Airlines Complementary 'Studio' IEMs (S1)	Delta Airlines Complementary 'Studio' IEMs (S1)	ignore	
https://tedthepraimortis.squig.link/data/Delta%20Airlines%20Complementary%20L.txt	Delta Airlines Complementary IEMs (S1)	Delta Airlines Complementary IEMs (S1)	ignore	
https://tedthepraimortis.squig.link/data/Delta%20Airlines%20Complementary%20R.txt	Delta Airlines Complementary IEMs (S1)	Delta Airlines Complementary IEMs (S1)	ignore	
https://tedthepraimortis.squig.link/data/Humble%20Luna%20L.txt	Dunu Luna (S1 - Humble)	Dunu Luna (S1 - Humble)	ignore	
https://tedthepraimortis.squig.link/data/Humble%20Luna%20R.txt	Dunu Luna (S1 - Humble)	Dunu Luna (S1 - Humble)	ignore	
https://tedthepraimortis.squig.link/data/Poke%20Luna%20R.txt	Dunu Luna (S2 - Pokelij)	Dunu Luna (S2 - Pokelij)	ignore	
https://tedthepraimortis.squig.link/data/Dunu%20Zen%20Pro%20SD++%20L.txt	Dunu Zen Pro (Spiral Dots++) (S1)	Dunu Zen Pro (Spiral Dots++) (S1)	ignore	
https://tedthepraimortis.squig.link/data/Dunu%20Zen%20Pro%20SD++%20R.txt	Dunu Zen Pro (Spiral Dots++) (S1)	Dunu Zen Pro (Spiral Dots++) (S1)	ignore	
https://tedthepraimortis.squig.link/data/Mich%20Celest%20Wyvern%20Pro%20R.txt	Kinera Celest Wyvern Pro	Kinera Celest Wyvern Pro	in-ear	711
https://tedthepraimortis.squig.link/data/Kinera%20Freya%202.0%20Show%20L.txt	Kinera Freya 2.0	Kinera Freya 2.0	in-ear	711
https://tedthepraimortis.squig.link/data/Kinera%20Freya%202.0%20Show%20R.txt	Kinera Freya 2.0	Kinera Freya 2.0	in-ear	711
https://tedthepraimortis.squig.link/data/Kinera%20Hodur%20Show%20L.txt	Kinera Hodur	Kinera Hodur	in-ear	711
https://tedthepraimortis.squig.link/data/Kinera%20Hodur%20Show%20R.txt	Kinera Hodur	Kinera Hodur	in-ear	711
https://tedthepraimortis.squig.link/data/Kinera%20Loki-Emerald%20Show%20L.txt	Kinera Imperial Loki-Emerald	Kinera Imperial Loki Emerald	in-ear	711
https://tedthepraimortis.squig.link/data/Kinera%20Loki-Emerald%20Show%20R.txt	Kinera Imperial Loki-Emerald	Kinera Imperial Loki Emerald	in-ear	711
https://tedthepraimortis.squig.link/data/Kinera%20Nanna%202.0%20Show%20L.txt	Kinera Imperial Nanna	Kinera Imperial Nanna	in-ear	711
