frequency,raw
20.00,0.48
20.20,0.57
20.40,0.66
20.61,0.75
20.81,0.84
21.02,0.93
21.23,1.02
21.44,1.11
21.66,1.19
21.87,1.28
22.09,1.36
22.31,1.44
22.54,1.51
22.76,1.58
22.99,1.65
23.22,1.72
23.45,1.78
23.69,1.85
23.92,1.91
24.16,1.97
24.40,2.04
24.65,2.10
24.89,2.16
25.14,2.22
25.39,2.28
25.65,2.34
25.91,2.39
26.16,2.45
26.43,2.51
26.69,2.57
26.96,2.63
27.23,2.69
27.50,2.75
27.77,2.81
28.05,2.86
28.33,2.92
28.62,2.98
28.90,3.03
29.19,3.08
29.48,3.14
29.78,3.19
30.08,3.24
30.38,3.28
30.68,3.33
30.99,3.37
31.30,3.41
31.61,3.45
31.93,3.49
32.24,3.53
32.57,3.57
32.89,3.61
33.22,3.64
33.55,3.68
33.89,3.71
34.23,3.75
34.57,3.78
34.92,3.82
35.27,3.85
35.62,3.89
35.97,3.92
36.33,3.94
36.70,3.97
37.06,4.00
37.43,4.03
37.81,4.06
38.19,4.08
38.57,4.11
38.95,4.13
39.34,4.15
39.74,4.17
40.14,4.20
40.54,4.21
40.94,4.23
41.35,4.25
41.76,4.26
42.18,4.27
42.60,4.29
43.03,4.30
43.46,4.31
43.90,4.32
44.33,4.33
44.78,4.34
45.23,4.35
45.68,4.36
46.13,4.37
46.60,4.38
47.06,4.38
47.53,4.39
48.01,4.39
48.49,4.40
48.97,4.40
49.46,4.40
49.96,4.40
50.46,4.40
50.96,4.40
51.47,4.41
51.99,4.41
52.51,4.41
53.03,4.41
53.56,4.40
54.10,4.40
54.64,4.40
55.18,4.39
55.74,4.39
56.29,4.38
56.86,4.37
57.42,4.36
58.00,4.35
58.58,4.34
59.16,4.34
59.76,4.33
60.35,4.32
60.96,4.30
61.57,4.29
62.18,4.28
62.80,4.26
63.43,4.24
64.07,4.22
64.71,4.20
65.35,4.18
66.01,4.16
66.67,4.14
67.33,4.11
68.01,4.09
68.69,4.07
69.37,4.04
70.07,4.02
70.77,3.99
71.48,3.96
72.19,3.94
72.91,3.90
73.64,3.87
74.38,3.84
75.12,3.81
75.87,3.78
76.63,3.74
77.40,3.71
78.17,3.68
78.95,3.64
79.74,3.61
80.54,3.57
81.35,3.54
82.16,3.50
82.98,3.46
83.81,3.42
84.65,3.38
85.50,3.34
86.35,3.30
87.22,3.26
88.09,3.22
88.97,3.18
89.86,3.13
90.76,3.09
91.66,3.04
92.58,3.00
93.51,2.95
94.44,2.90
95.39,2.86
96.34,2.81
97.30,2.76
98.28,2.71
99.26,2.66
100.25,2.61
101.25,2.56
102.27,2.50
103.29,2.45
104.32,2.40
105.37,2.34
106.42,2.28
107.48,2.23
108.56,2.17
109.64,2.11
110.74,2.06
111.85,2.00
112.97,1.94
114.10,1.88
115.24,1.82
116.39,1.76
117.55,1.70
118.73,1.64
119.92,1.58
121.12,1.52
122.33,1.45
123.55,1.39
124.79,1.33
126.03,1.26
127.29,1.20
128.57,1.13
129.85,1.06
131.15,1.00
132.46,0.93
133.79,0.87
135.12,0.80
136.48,0.73
137.84,0.67
139.22,0.60
140.61,0.53
142.02,0.47
143.44,0.40
144.87,0.33
146.32,0.27
147.78,0.20
149.26,0.14
150.75,0.07
152.26,0.01
153.78,-0.06
155.32,-0.12
156.88,-0.19
158.44,-0.25
160.03,-0.32
161.63,-0.37
163.24,-0.43
164.88,-0.49
166.53,-0.55
168.19,-0.61
169.87,-0.66
171.57,-0.72
173.29,-0.77
175.02,-0.83
176.77,-0.88
178.54,-0.93
180.32,-0.98
182.13,-1.03
183.95,-1.08
185.79,-1.13
187.65,-1.17
189.52,-1.22
191.42,-1.27
193.33,-1.31
195.27,-1.35
197.22,-1.39
199.19,-1.43
201.18,-1.47
203.19,-1.51
205.23,-1.55
207.28,-1.59
209.35,-1.62
211.44,-1.66
213.56,-1.69
215.69,-1.72
217.85,-1.75
220.03,-1.78
222.23,-1.81
224.45,-1.83
226.70,-1.86
228.96,-1.89
231.25,-1.91
233.57,-1.93
235.90,-1.95
238.26,-1.97
240.64,-1.99
243.05,-2.00
245.48,-2.01
247.93,-2.02
250.41,-2.04
252.92,-2.05
255.45,-2.05
258.00,-2.06
260.58,-2.07
263.19,-2.08
265.82,-2.08
268.48,-2.08
271.16,-2.09
273.87,-2.09
276.61,-2.09
279.38,-2.09
282.17,-2.09
284.99,-2.09
287.84,-2.08
290.72,-2.08
293.63,-2.08
296.57,-2.07
299.53,-2.07
302.53,-2.06
305.55,-2.05
308.61,-2.05
311.69,-2.04
314.81,-2.03
317.96,-2.02
321.14,-2.01
324.35,-2.00
327.59,-1.99
330.87,-1.98
334.18,-1.96
337.52,-1.95
340.90,-1.94
344.30,-1.93
347.75,-1.91
351.23,-1.90
354.74,-1.89
358.28,-1.88
361.87,-1.86
365.49,-1.85
369.14,-1.84
372.83,-1.82
376.56,-1.81
380.33,-1.79
384.13,-1.78
387.97,-1.77
391.85,-1.75
395.77,-1.74
399.73,-1.73
403.72,-1.71
407.76,-1.70
411.84,-1.69
415.96,-1.68
420.12,-1.66
424.32,-1.65
428.56,-1.64
432.85,-1.63
437.18,-1.61
441.55,-1.60
445.96,-1.59
450.42,-1.58
454.93,-1.57
459.48,-1.56
464.07,-1.55
468.71,-1.54
473.40,-1.53
478.13,-1.52
482.91,-1.51
487.74,-1.50
492.62,-1.49
497.55,-1.48
502.52,-1.47
507.55,-1.46
512.62,-1.45
517.75,-1.44
522.93,-1.43
528.16,-1.42
533.44,-1.41
538.77,-1.40
544.16,-1.39
549.60,-1.38
555.10,-1.38
560.65,-1.37
566.25,-1.36
571.92,-1.35
577.64,-1.34
583.41,-1.34
589.25,-1.33
595.14,-1.32
601.09,-1.32
607.10,-1.31
613.17,-1.30
619.30,-1.30
625.50,-1.29
631.75,-1.28
638.07,-1.27
644.45,-1.26
