frequency,raw
20.00,6.54
20.20,6.56
20.40,6.58
20.61,6.59
20.81,6.61
21.02,6.62
21.23,6.63
21.44,6.63
21.66,6.64
21.87,6.65
22.09,6.65
22.31,6.65
22.54,6.65
22.76,6.65
22.99,6.65
23.22,6.65
23.45,6.65
23.69,6.65
23.92,6.65
24.16,6.65
24.40,6.64
24.65,6.64
24.89,6.64
25.14,6.64
25.39,6.63
25.65,6.63
25.91,6.63
26.16,6.62
26.43,6.62
26.69,6.61
26.96,6.61
27.23,6.61
27.50,6.60
27.77,6.60
28.05,6.59
28.33,6.58
28.62,6.57
28.90,6.56
29.19,6.55
29.48,6.54
29.78,6.53
30.08,6.51
30.38,6.50
30.68,6.48
30.99,6.46
31.30,6.44
31.61,6.42
31.93,6.40
32.24,6.38
32.57,6.36
32.89,6.34
33.22,6.32
33.55,6.29
33.89,6.27
34.23,6.25
34.57,6.23
34.92,6.21
35.27,6.19
35.62,6.16
35.97,6.14
36.33,6.12
36.70,6.09
37.06,6.07
37.43,6.04
37.81,6.02
38.19,5.99
38.57,5.96
38.95,5.93
39.34,5.90
39.74,5.87
40.14,5.84
40.54,5.81
40.94,5.77
41.35,5.74
41.76,5.71
42.18,5.67
42.60,5.64
43.03,5.60
43.46,5.57
43.90,5.53
44.33,5.49
44.78,5.46
45.23,5.42
45.68,5.38
46.13,5.35
46.60,5.31
47.06,5.27
47.53,5.23
48.01,5.19
48.49,5.15
48.97,5.11
49.46,5.07
49.96,5.03
50.46,4.99
50.96,4.95
51.47,4.91
51.99,4.87
52.51,4.83
53.03,4.79
53.56,4.75
54.10,4.71
54.64,4.67
55.18,4.62
55.74,4.58
56.29,4.54
56.86,4.49
57.42,4.45
58.00,4.41
58.58,4.36
59.16,4.32
59.76,4.28
60.35,4.23
60.96,4.19
61.57,4.14
62.18,4.10
62.80,4.05
63.43,4.00
64.07,3.95
64.71,3.90
65.35,3.85
66.01,3.80
66.67,3.75
67.33,3.70
68.01,3.66
68.69,3.60
69.37,3.55
70.07,3.50
70.77,3.45
71.48,3.40
72.19,3.35
72.91,3.29
73.64,3.24
74.38,3.19
75.12,3.13
75.87,3.08
76.63,3.03
77.40,2.97
78.17,2.92
78.95,2.87
79.74,2.81
80.54,2.76
81.35,2.71
82.16,2.66
82.98,2.60
83.81,2.55
84.65,2.49
85.50,2.44
86.35,2.39
87.22,2.33
88.09,2.28
88.97,2.22
89.86,2.17
90.76,2.12
91.66,2.06
92.58,2.01
93.51,1.95
94.44,1.90
95.39,1.84
96.34,1.79
97.30,1.73
98.28,1.68
99.26,1.62
