frequency,raw
20.00,2.77
20.20,2.79
20.40,2.80
20.61,2.82
20.81,2.83
21.02,2.85
21.23,2.87
21.44,2.89
21.66,2.91
21.87,2.93
22.09,2.95
22.31,2.97
22.54,2.99
22.76,3.01
22.99,3.04
23.22,3.06
23.45,3.08
23.69,3.10
23.92,3.12
24.16,3.14
24.40,3.16
24.65,3.17
24.89,3.19
25.14,3.20
25.39,3.22
25.65,3.23
25.91,3.24
26.16,3.25
26.43,3.26
26.69,3.27
26.96,3.27
27.23,3.28
27.50,3.28
27.77,3.29
28.05,3.29
28.33,3.30
28.62,3.30
28.90,3.31
29.19,3.31
29.48,3.32
29.78,3.33
30.08,3.33
30.38,3.34
30.68,3.35
30.99,3.36
31.30,3.37
31.61,3.38
31.93,3.39
32.24,3.40
32.57,3.41
32.89,3.41
33.22,3.42
33.55,3.43
33.89,3.43
34.23,3.44
34.57,3.44
34.92,3.45
35.27,3.45
35.62,3.45
35.97,3.45
36.33,3.45
36.70,3.45
37.06,3.45
37.43,3.45
37.81,3.45
38.19,3.46
38.57,3.46
38.95,3.46
39.34,3.46
39.74,3.46
40.14,3.46
40.54,3.46
40.94,3.46
41.35,3.46
41.76,3.46
42.18,3.45
42.60,3.45
43.03,3.45
43.46,3.44
43.90,3.44
44.33,3.44
44.78,3.43
45.23,3.43
45.68,3.42
46.13,3.42
46.60,3.41
47.06,3.41
47.53,3.40
48.01,3.39
48.49,3.39
48.97,3.38
49.46,3.37
49.96,3.37
50.46,3.36
50.96,3.36
51.47,3.35
51.99,3.34
52.51,3.34
53.03,3.33
53.56,3.33
54.10,3.32
54.64,3.32
55.18,3.31
55.74,3.30
56.29,3.29
56.86,3.29
57.42,3.28
58.00,3.27
58.58,3.26
59.16,3.25
59.76,3.24
60.35,3.23
60.96,3.22
61.57,3.21
62.18,3.20
62.80,3.19
63.43,3.18
64.07,3.16
64.71,3.15
65.35,3.13
66.01,3.12
66.67,3.10
67.33,3.09
68.01,3.07
68.69,3.05
69.37,3.03
70.07,3.01
70.77,3.00
71.48,2.98
72.19,2.96
72.91,2.94
73.64,2.92
74.38,2.90
75.12,2.88
75.87,2.86
76.63,2.84
77.40,2.82
78.17,2.80
78.95,2.78
79.74,2.75
80.54,2.73
81.35,2.71
82.16,2.69
82.98,2.66
83.81,2.64
84.65,2.62
85.50,2.59
86.35,2.57
87.22,2.54
88.09,2.52
88.97,2.49
89.86,2.47
90.76,2.44
91.66,2.41
92.58,2.38
93.51,2.36
94.44,2.33
95.39,2.30
96.34,2.27
97.30,2.24
98.28,2.21
99.26,2.18
100.25,2.15
101.25,2.12
102.27,2.08
103.29,2.05
104.32,2.02
105.37,1.98
106.42,1.95
107.48,1.91
108.56,1.88
109.64,1.84
110.74,1.80
111.85,1.77
112.97,1.73
114.10,1.69
115.24,1.65
116.39,1.61
117.55,1.57
118.73,1.53
119.92,1.49
121.12,1.45
122.33,1.41
123.55,1.36
124.79,1.32
126.03,1.28
127.29,1.23
128.57,1.18
129.85,1.14
131.15,1.09
132.46,1.04
133.79,0.99
135.12,0.95
136.48,0.90
137.84,0.85
139.22,0.80
140.61,0.75
142.02,0.70
143.44,0.64
144.87,0.59
146.32,0.54
147.78,0.48
149.26,0.43
150.75,0.38
152.26,0.32
153.78,0.27
155.32,0.21
156.88,0.16
158.44,0.10
160.03,0.04
161.63,-0.01
163.24,-0.06
164.88,-0.12
166.53,-0.17
168.19,-0.23
169.87,-0.29
171.57,-0.34
173.29,-0.40
175.02,-0.46
176.77,-0.51
178.54,-0.57
180.32,-0.63
182.13,-0.69
183.95,-0.75
185.79,-0.81
187.65,-0.87
189.52,-0.93
191.42,-0.99
193.33,-1.05
195.27,-1.11
197.22,-1.17
199.19,-1.23
201.18,-1.29
203.19,-1.36
205.23,-1.42
207.28,-1.49
209.35,-1.55
211.44,-1.62
213.56,-1.68
215.69,-1.75
217.85,-1.81
220.03,-1.88
222.23,-1.94
224.45,-2.01
226.70,-2.07
228.96,-2.14
231.25,-2.20
233.57,-2.27
235.90,-2.33
238.26,-2.39
240.64,-2.46
243.05,-2.52
245.48,-2.59
247.93,-2.65
250.41,-2.71
252.92,-2.78
255.45,-2.84
258.00,-2.90
260.58,-2.96
263.19,-3.02
265.82,-3.08
268.48,-3.14
271.16,-3.20
273.87,-3.26
276.61,-3.31
279.38,-3.37
282.17,-3.43
284.99,-3.48
287.84,-3.54
290.72,-3.59
293.63,-3.64
296.57,-3.70
299.53,-3.75
302.53,-3.80
305.55,-3.85
308.61,-3.89
311.69,-3.94
314.81,-3.99
317.96,-4.03
321.14,-4.07
324.35,-4.11
327.59,-4.15
330.87,-4.19
334.18,-4.23
337.52,-4.26
340.90,-4.30
344.30,-4.33
347.75,-4.36
351.23,-4.39
354.74,-4.42
358.28,-4.45
361.87,-4.47
365.49,-4.50
369.14,-4.52
372.83,-4.54
376.56,-4.56
380.33,-4.58
384.13,-4.60
387.97,-4.61
391.85,-4.63
395.77,-4.64
399.73,-4.65
403.72,-4.66
407.76,-4.67
411.84,-4.68
415.96,-4.68
420.12,-4.69
424.32,-4.69
428.56,-4.69
432.85,-4.69
437.18,-4.69
441.55,-4.69
445.96,-4.68
450.42,-4.68
454.93,-4.67
459.48,-4.67
464.07,-4.67
468.71,-4.67
473.40,-4.67
478.13,-4.68
482.91,-4.69
487.74,-4.65
492.62,-4.59
497.55,-4.54
502.52,-4.50
507.55,-4.47
512.62,-4.44
517.75,-4.40
522.93,-4.36
528.16,-4.30
533.44,-4.24
538.77,-4.18
544.16,-4.13
549.60,-4.08
555.10,-4.03
560.65,-3.98
566.25,-3.93
571.92,-3.87
577.64,-3.80
583.41,-3.74
589.25,-3.67
595.14,-3.59
601.09,-3.52
607.10,-3.43
613.17,-3.34
619.30,-3.25
625.50,-3.15
631.75,-3.05
638.07,-2.94
644.45,-2.83
650.89,-2.71
657.40,-2.59
663.98,-2.47
670.62,-2.34
677.32,-2.22
684.10,-2.09
690.94,-1.97
697.85,-1.85
704.83,-1.74
711.87,-1.64
718.99,-1.54
726.18,-1.45
733.44,-1.38
740.78,-1.30
748.19,-1.24
755.67,-1.19
763.23,-1.15
770.86,-1.11
778.57,-1.08
786.35,-1.06
794.22,-1.03
802.16,-1.01
810.18,-1.00
818.28,-0.98
826.46,-0.97
834.73,-0.95
843.08,-0.92
851.51,-0.90
860.02,-0.87
868.62,-0.84
877.31,-0.81
886.08,-0.77
894.94,-0.73
903.89,-0.68
912.93,-0.63
922.06,-0.57
931.28,-0.52
940.59,-0.45
950.00,-0.39
959.50,-0.32
969.09,-0.25
978.78,-0.17
988.57,-0.09
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.22
1039.00,0.30
1049.39,0.38
1059.88,0.46
1070.48,0.54
1081.19,0.62
1092.00,0.71
1102.92,0.79
1113.95,0.87
1125.09,0.95
1136.34,1.04
1147.70,1.12
1159.18,1.20
1170.77,1.28
1182.48,1.35
1194.30,1.43
1206.25,1.50
1218.31,1.57
1230.49,1.64
1242.80,1.71
1255.22,1.78
1267.78,1.84
1280.45,1.91
1293.26,1.98
1306.19,2.04
1319.25,2.10
1332.45,2.16
1345.77,2.22
1359.23,2.28
1372.82,2.33
1386.55,2.38
1400.41,2.43
1414.42,2.48
1428.56,2.53
1442.85,2.58
1457.28,2.62
1471.85,2.67
1486.57,2.71
1501.43,2.75
1516.45,2.79
1531.61,2.83
1546.93,2.86
1562.40,2.90
1578.02,2.93
1593.80,2.97
1609.74,3.01
1625.84,3.05
1642.10,3.09
1658.52,3.12
1675.10,3.16
1691.85,3.20
1708.77,3.23
1725.86,3.27
1743.12,3.30
1760.55,3.33
1778.15,3.36
1795.94,3.39
1813.90,3.42
1832.03,3.44
1850.36,3.47
1868.86,3.50
1887.55,3.52
1906.42,3.54
1925.49,3.57
1944.74,3.59
1964.19,3.61
1983.83,3.62
2003.67,3.64
2023.71,3.65
2043.94,3.67
2064.38,3.68
2085.03,3.69
2105.88,3.70
2126.94,3.71
2148.20,3.71
2169.69,3.72
2191.38,3.72
2213.30,3.73
2235.43,3.73
2257.78,3.73
2280.36,3.73
2303.17,3.73
2326.20,3.72
2349.46,3.72
2372.95,3.71
2396.68,3.70
2420.65,3.69
2444.86,3.68
2469.31,3.67
2494.00,3.66
2518.94,3.65
2544.13,3.64
2569.57,3.64
2595.27,3.63
2621.22,3.61
2647.43,3.60
2673.90,3.59
2700.64,3.58
2727.65,3.56
2754.93,3.55
2782.48,3.53
2810.30,3.51
2838.40,3.49
2866.79,3.47
2895.46,3.45
2924.41,3.43
2953.65,3.41
2983.19,3.39
3013.02,3.36
3043.15,3.34
3073.58,3.32
3104.32,3.30
3135.36,3.28
3166.72,3.26
3198.38,3.25
3230.37,3.24
3262.67,3.24
3295.30,3.23
3328.25,3.23
3361.53,3.23
3395.15,3.23
3429.10,3.23
3463.39,3.24
3498.03,3.25
3533.01,3.27
3568.34,3.29
3604.02,3.31
3640.06,3.34
3676.46,3.37
3713.22,3.41
3750.36,3.45
3787.86,3.50
3825.74,3.55
3864.00,3.61
3902.64,3.69
3941.66,3.76
3981.08,3.85
4020.89,3.93
4061.10,4.02
4101.71,4.12
4142.73,4.22
4184.15,4.34
4226.00,4.47
4268.26,4.60
4310.94,4.74
4354.05,4.89
4397.59,5.04
4441.56,5.19
4485.98,5.33
4530.84,5.46
4576.15,5.57
4621.91,5.66
4668.13,5.72
4714.81,5.73
4761.96,5.72
4809.58,5.66
4857.67,5.56
4906.25,5.41
4955.31,5.23
5004.87,5.01
5054.91,4.74
5105.46,4.46
5156.52,4.16
5208.08,3.86
5260.16,3.55
5312.77,3.26
5365.89,2.97
5419.55,2.71
5473.75,2.47
5528.49,2.25
5583.77,2.07
5639.61,1.92
5696.00,1.78
5752.96,1.69
5810.49,1.61
5868.60,1.56
5927.28,1.52
5986.56,1.50
6046.42,1.48
6106.89,1.47
6167.96,1.44
6229.64,1.42
6291.93,1.40
6354.85,1.38
6418.40,1.36
6482.58,1.34
6547.41,1.33
6612.88,1.32
6679.01,1.33
6745.80,1.35
6813.26,1.38
6881.39,1.42
6950.21,1.47
7019.71,1.54
7089.91,1.61
7160.81,1.68
7232.41,1.75
7304.74,1.81
7377.79,1.83
7451.56,1.81
7526.08,1.74
7601.34,1.64
7677.35,1.47
7754.13,1.27
7831.67,0.99
7909.98,0.69
7989.08,0.36
8068.98,0.00
8149.67,-0.37
8231.16,-0.74
8313.47,-1.09
8396.61,-1.44
8480.57,-1.76
8565.38,-2.05
8651.03,-2.31
8737.54,-2.54
8824.92,-2.72
8913.17,-2.85
9002.30,-2.96
9092.32,-3.00
9183.25,-2.99
9275.08,-2.94
9367.83,-2.84
9461.51,-2.70
9556.12,-2.52
9651.68,-2.33
9748.20,-2.14
9845.68,-1.99
9944.14,-1.91
10043.58,-1.92
10144.02,-1.99
10245.46,-2.25
10347.91,-2.62
10451.39,-3.12
10555.91,-3.78
10661.46,-4.46
10768.08,-5.10
10875.76,-5.57
10984.52,-5.82
11094.36,-5.93
11205.31,-5.89
11317.36,-5.72
11430.53,-5.46
11544.84,-5.13
11660.29,-4.87
11776.89,-4.66
11894.66,-4.54
12013.60,-4.43
12133.74,-4.32
12255.08,-4.21
12377.63,-4.07
12501.41,-3.92
12626.42,-3.77
12752.68,-3.59
12880.21,-3.43
13009.01,-3.29
13139.10,-3.15
13270.49,-3.25
13403.20,-3.47
13537.23,-4.11
13672.60,-4.94
13809.33,-5.96
13947.42,-7.18
14086.90,-8.38
14227.77,-9.58
14370.04,-10.71
14513.74,-11.75
14658.88,-12.62
14805.47,-13.41
14953.52,-14.06
15103.06,-14.68
15254.09,-15.29
15406.63,-15.79
15560.70,-16.19
15716.30,-16.46
15873.47,-16.92
16032.20,-17.47
16192.52,-18.15
16354.45,-18.87
16517.99,-19.55
16683.17,-19.71
16850.01,-19.32
17018.51,-18.52
17188.69,-17.33
17360.58,-16.17
17534.18,-15.10
17709.53,-14.34
17886.62,-13.99
18065.49,-13.96
18246.14,-14.27
18428.60,-14.79
18612.89,-15.34
18799.02,-15.86
18987.01,-16.29
19176.88,-16.69
19368.65,-17.12
19562.33,-17.70
19757.96,-18.55
19955.54,-19.40
