frequency,raw
20.00,11.65
20.20,11.68
20.40,11.71
20.61,11.74
20.81,11.77
21.02,11.80
21.23,11.83
21.44,11.86
21.66,11.89
21.87,11.92
22.09,11.95
22.31,11.98
22.54,12.00
22.76,12.03
22.99,12.06
23.22,12.08
23.45,12.11
23.69,12.13
23.92,12.16
24.16,12.18
24.40,12.20
24.65,12.23
24.89,12.25
25.14,12.26
25.39,12.28
25.65,12.30
25.91,12.32
26.16,12.33
26.43,12.35
26.69,12.36
26.96,12.38
27.23,12.39
27.50,12.40
27.77,12.41
28.05,12.42
28.33,12.43
28.62,12.44
28.90,12.45
29.19,12.46
29.48,12.46
29.78,12.47
30.08,12.48
30.38,12.49
30.68,12.49
30.99,12.50
31.30,12.50
31.61,12.51
31.93,12.51
32.24,12.52
32.57,12.52
32.89,12.53
33.22,12.53
33.55,12.53
33.89,12.53
34.23,12.53
34.57,12.53
34.92,12.53
35.27,12.53
35.62,12.53
35.97,12.52
36.33,12.52
36.70,12.52
37.06,12.51
37.43,12.51
37.81,12.51
38.19,12.50
38.57,12.49
38.95,12.49
39.34,12.48
39.74,12.48
40.14,12.47
40.54,12.46
40.94,12.45
41.35,12.44
41.76,12.43
42.18,12.42
42.60,12.40
43.03,12.39
43.46,12.38
43.90,12.37
44.33,12.35
44.78,12.34
45.23,12.32
45.68,12.31
46.13,12.29
46.60,12.27
47.06,12.26
47.53,12.24
48.01,12.22
48.49,12.20
48.97,12.18
49.46,12.17
49.96,12.15
50.46,12.13
50.96,12.11
51.47,12.09
51.99,12.07
52.51,12.05
53.03,12.03
53.56,12.01
54.10,11.99
54.64,11.97
55.18,11.95
55.74,11.93
56.29,11.91
56.86,11.88
57.42,11.86
58.00,11.83
58.58,11.81
59.16,11.79
59.76,11.76
60.35,11.74
60.96,11.71
61.57,11.68
62.18,11.66
62.80,11.63
63.43,11.60
64.07,11.57
64.71,11.54
65.35,11.51
66.01,11.47
66.67,11.44
67.33,11.40
68.01,11.37
68.69,11.33
69.37,11.30
70.07,11.26
70.77,11.23
71.48,11.19
72.19,11.15
72.91,11.12
73.64,11.08
74.38,11.04
75.12,11.00
75.87,10.96
76.63,10.92
77.40,10.88
78.17,10.84
78.95,10.80
79.74,10.75
80.54,10.71
81.35,10.67
82.16,10.63
82.98,10.59
83.81,10.54
84.65,10.50
85.50,10.46
86.35,10.41
87.22,10.37
88.09,10.32
88.97,10.28
89.86,10.23
90.76,10.18
91.66,10.14
92.58,10.09
93.51,10.04
94.44,9.99
95.39,9.94
96.34,9.89
97.30,9.85
98.28,9.80
99.26,9.74
100.25,9.69
101.25,9.64
102.27,9.59
103.29,9.53
104.32,9.48
105.37,9.42
106.42,9.37
107.48,9.31
108.56,9.26
109.64,9.20
110.74,9.15
111.85,9.09
112.97,9.03
114.10,8.97
115.24,8.91
116.39,8.86
117.55,8.80
118.73,8.74
119.92,8.68
121.12,8.62
122.33,8.56
123.55,8.49
124.79,8.43
126.03,8.37
127.29,8.30
128.57,8.24
129.85,8.17
131.15,8.11
132.46,8.04
133.79,7.98
135.12,7.91
136.48,7.84
137.84,7.77
139.22,7.71
140.61,7.64
142.02,7.57
143.44,7.50
144.87,7.43
146.32,7.36
147.78,7.29
149.26,7.22
150.75,7.14
152.26,7.07
153.78,7.00
155.32,6.92
156.88,6.85
158.44,6.78
160.03,6.70
161.63,6.63
163.24,6.56
164.88,6.49
166.53,6.42
168.19,6.34
169.87,6.27
171.57,6.20
173.29,6.12
175.02,6.04
176.77,5.97
178.54,5.89
180.32,5.82
182.13,5.74
183.95,5.66
185.79,5.59
187.65,5.51
189.52,5.43
191.42,5.35
193.33,5.27
195.27,5.19
197.22,5.11
199.19,5.03
201.18,4.95
203.19,4.86
205.23,4.78
207.28,4.69
209.35,4.60
211.44,4.52
213.56,4.43
215.69,4.34
217.85,4.25
220.03,4.17
222.23,4.08
224.45,3.99
226.70,3.90
228.96,3.81
231.25,3.72
233.57,3.62
235.90,3.53
238.26,3.44
240.64,3.35
243.05,3.25
245.48,3.16
247.93,3.06
250.41,2.97
252.92,2.88
255.45,2.78
258.00,2.68
260.58,2.59
263.19,2.49
265.82,2.40
268.48,2.30
271.16,2.20
273.87,2.10
276.61,2.00
279.38,1.90
282.17,1.80
284.99,1.71
287.84,1.61
290.72,1.51
