frequency,raw
20,-27.37
21,-26.69
22,-26.22
23,-25.50
24,-25.09
25,-24.45
26,-24.10
27,-23.56
28,-23.27
29,-22.81
30,-22.15
31,-21.90
32,-21.45
33,-21.01
34,-20.54
35,-20.15
36,-19.86
37,-19.59
38,-19.12
39,-18.71
40,-18.45
41,-18.26
42,-17.85
43,-17.57
44,-17.12
45,-16.89
46,-16.60
47,-16.21
48,-15.98
49,-15.85
50,-15.52
51,-15.25
52,-14.96
53,-14.61
54,-14.38
55,-14.15
56,-13.93
57,-13.70
58,-13.47
59,-13.24
60,-13.02
61,-12.79
62,-12.56
63,-12.56
64,-12.23
65,-12.05
66,-11.87
67,-11.65
68,-11.42
69,-11.39
70,-11.19
71,-10.96
72,-10.73
73,-10.51
74,-10.51
75,-10.34
76,-10.22
77,-9.87
78,-9.82
79,-9.82
80,-9.60
81,-9.45
82,-9.36
83,-9.14
84,-9.14
85,-8.91
86,-8.78
87,-8.68
88,-8.64
89,-8.46
90,-8.27
91,-8.23
92,-8.23
93,-8.09
94,-8.00
95,-7.99
96,-7.77
97,-7.67
98,-7.54
99,-7.54
100,-7.32
101,-7.32
102,-7.32
104,-7.09
105,-7.09
106,-6.93
107,-6.86
108,-6.86
109,-6.86
110,-6.64
111,-6.63
112,-6.63
113,-6.61
114,-6.40
115,-6.40
117,-6.18
118,-6.18
119,-6.18
120,-6.17
121,-5.95
123,-5.95
124,-5.76
125,-5.72
126,-5.72
128,-5.72
129,-5.63
130,-5.49
131,-5.49
133,-5.49
134,-5.49
135,-5.49
137,-5.26
138,-5.26
140,-5.26
141,-5.26
142,-5.15
144,-5.04
145,-5.04
147,-5.04
148,-5.04
150,-5.04
151,-4.90
153,-4.81
154,-4.81
156,-4.81
157,-4.81
159,-4.81
160,-4.75
162,-4.58
164,-4.58
165,-4.58
167,-4.58
169,-4.58
170,-4.52
172,-4.35
174,-4.35
175,-4.35
177,-4.35
179,-4.35
181,-4.35
183,-4.35
184,-4.35
186,-4.35
188,-4.15
190,-4.13
192,-4.13
194,-4.13
196,-4.13
198,-4.13
200,-4.13
202,-4.13
204,-4.13
206,-4.13
208,-4.13
210,-4.13
212,-3.95
214,-3.90
216,-3.90
218,-3.90
221,-3.90
223,-3.90
225,-3.90
227,-3.90
229,-3.90
232,-3.90
234,-3.90
236,-3.90
239,-3.90
241,-3.90
244,-3.67
246,-3.67
248,-3.67
251,-3.67
253,-3.67
256,-3.67
259,-3.67
261,-3.67
264,-3.67
266,-3.67
269,-3.67
272,-3.67
274,-3.67
277,-3.67
280,-3.67
283,-3.44
286,-3.44
288,-3.44
291,-3.44
294,-3.44
297,-3.44
300,-3.44
303,-3.44
306,-3.44
309,-3.44
312,-3.44
316,-3.24
319,-3.21
322,-3.21
325,-3.21
328,-3.21
332,-3.21
335,-3.21
338,-3.36
342,-3.45
345,-3.67
349,-3.59
352,-3.44
356,-3.44
359,-3.30
363,-3.21
366,-3.21
370,-3.21
374,-3.21
377,-3.21
381,-3.10
385,-2.99
389,-2.99
393,-2.99
397,-2.99
401,-2.99
405,-2.86
409,-2.76
413,-2.76
417,-2.76
421,-2.76
425,-2.76
430,-2.76
434,-2.64
438,-2.53
443,-2.53
447,-2.53
451,-2.53
456,-2.30
460,-2.30
465,-2.30
470,-2.30
474,-2.30
479,-2.30
484,-2.07
489,-2.07
494,-2.07
499,-2.07
504,-1.89
509,-1.85
514,-1.85
519,-1.85
524,-1.78
529,-1.62
535,-1.62
540,-1.62
545,-1.43
551,-1.39
556,-1.36
562,-1.16
568,-1.16
573,-1.16
579,-1.16
585,-1.16
591,-0.93
596,-0.93
602,-0.86
608,-0.71
615,-0.71
621,-0.71
627,-0.48
633,-0.48
639,-0.43
646,-0.25
652,-0.25
659,-0.25
665,-0.06
672,-0.02
679,-0.02
686,-0.02
692,0.07
699,0.21
706,0.21
713,0.21
721,0.24
728,0.43
735,0.43
742,0.43
750,0.43
757,0.43
765,0.43
773,0.43
780,0.49
788,0.66
796,0.66
804,0.66
812,0.66
820,0.66
828,0.66
837,0.66
845,0.66
853,0.66
862,0.66
871,0.66
879,0.66
888,0.66
897,0.66
906,0.66
915,0.66
924,0.66
933,0.45
943,0.43
952,0.43
962,0.43
971,0.31
981,0.21
991,0.21
1001,-0.02
