frequency,raw
20,0.02
21,0.02
22,0.02
23,0.02
24,-0.21
25,-0.21
26,-0.21
27,-0.21
28,-0.21
29,-0.43
30,-0.43
31,-0.43
32,-0.66
33,-0.43
34,-0.21
35,0.02
36,-0.20
37,-0.21
38,-0.21
39,-0.21
40,-0.43
41,-0.43
42,-0.66
43,-0.66
44,-0.66
45,-0.43
46,-0.37
47,-0.43
48,-0.66
49,-0.66
50,-0.66
51,-0.66
52,-0.56
53,-0.21
54,-0.21
55,0.02
56,0.25
57,0.48
58,0.48
59,0.48
60,0.48
61,0.71
62,0.71
63,0.71
64,0.71
65,0.71
66,0.71
67,0.71
68,0.71
69,0.71
70,0.71
71,0.71
72,0.71
73,0.71
74,0.71
75,0.71
76,0.71
77,0.71
78,0.71
79,0.71
80,0.71
81,0.71
82,0.71
83,0.71
84,0.71
85,0.71
86,0.71
87,0.71
88,0.71
89,0.71
90,0.71
91,0.71
92,0.71
93,0.71
94,0.71
95,0.71
96,0.71
97,0.71
98,0.71
99,0.71
100,0.71
101,0.71
102,0.71
104,0.71
105,0.71
106,0.71
107,0.71
108,0.71
109,0.71
110,0.71
111,0.70
112,0.48
113,0.48
114,0.48
115,0.48
117,0.48
118,0.48
119,0.48
120,0.48
121,0.48
123,0.48
124,0.48
125,0.48
126,0.48
128,0.48
129,0.48
130,0.48
131,0.48
133,0.48
134,0.48
135,0.48
137,0.48
138,0.48
140,0.29
141,0.25
142,0.36
144,0.46
145,0.27
147,0.25
148,0.25
150,0.25
151,0.25
153,0.25
154,0.25
156,0.25
157,0.23
159,0.02
160,0.02
162,0.02
164,0.02
165,0.02
167,0.07
169,0.25
170,0.25
172,0.25
174,0.25
175,0.25
177,0.25
179,0.25
181,0.25
183,0.25
184,0.25
186,0.25
188,0.25
190,0.02
192,0.02
194,0.02
196,0.02
198,0.02
200,0.02
202,0.02
204,0.02
206,0.02
208,0.02
210,0.02
212,-0.15
214,-0.21
216,-0.21
218,-0.21
221,-0.21
223,-0.21
225,-0.35
227,-0.43
229,-0.43
232,-0.43
234,-0.43
236,-0.43
239,-0.58
241,-0.66
244,-0.66
246,-0.66
248,-0.66
251,-0.89
253,-0.89
256,-0.89
259,-1.10
261,-1.12
264,-1.14
266,-1.34
269,-1.34
272,-1.34
274,-1.34
277,-1.50
280,-1.57
283,-1.34
286,-1.34
288,-1.34
291,-1.34
294,-1.34
297,-1.34
300,-1.14
303,-1.12
306,-1.12
309,-1.12
312,-1.12
316,-1.12
319,-1.34
322,-1.36
325,-1.57
328,-1.62
332,-1.80
335,-1.94
338,-2.18
342,-2.26
345,-2.48
349,-2.57
352,-2.71
356,-2.71
359,-2.71
363,-2.71
366,-2.71
370,-2.71
374,-2.71
377,-2.71
381,-2.60
385,-2.48
389,-2.48
393,-2.48
397,-2.48
401,-2.48
405,-2.48
409,-2.48
413,-2.48
417,-2.48
421,-2.48
425,-2.48
430,-2.48
434,-2.48
438,-2.48
443,-2.48
447,-2.48
451,-2.48
456,-2.48
460,-2.48
465,-2.48
470,-2.48
474,-2.48
479,-2.48
484,-2.26
489,-2.26
494,-2.26
499,-2.26
504,-2.44
509,-2.48
514,-2.48
519,-2.53
524,-2.78
529,-2.94
535,-2.94
540,-2.94
545,-3.13
551,-3.14
556,-2.94
562,-2.94
568,-2.94
573,-2.94
579,-2.94
585,-2.94
591,-2.94
596,-2.94
602,-2.94
608,-2.94
615,-2.94
621,-2.94
627,-2.94
633,-2.97
639,-3.17
646,-3.17
652,-3.17
659,-3.17
665,-2.98
672,-2.94
679,-2.94
686,-2.94
692,-2.94
699,-2.94
706,-2.94
713,-2.94
721,-2.90
728,-2.71
735,-2.71
742,-2.71
750,-2.55
757,-2.48
765,-2.26
773,-2.26
780,-2.20
788,-2.03
796,-1.89
804,-1.80
812,-1.80
820,-1.57
828,-1.57
837,-1.57
845,-1.46
853,-1.34
862,-1.34
871,-1.34
879,-1.12
888,-1.12
897,-1.03
906,-0.89
915,-0.73
924,-0.66
933,-0.66
943,-0.43
952,-0.43
962,-0.43
971,-0.31
981,-0.21
991,-0.21
1001,0.02
1011,0.02
1021,0.02
1031,0.13
1041,0.25
1052,0.44
1062,0.48
1073,0.50
1084,0.71
1094,0.78
1105,0.93
1116,0.93
1128,1.13
1139,1.16
1150,1.16
1162,1.23
1173,1.39
1185,1.52
1197,1.62
1209,1.62
1221,1.85
1233,1.88
1246,2.07
1258,2.18
1271,2.30
1283,2.30
1296,2.51
1309,2.54
1322,2.76
1335,2.83
1349,2.99
1362,3.13
1376,3.21
1390,3.21
1404,3.44
1418,3.51
1432,3.67
1446,3.67
1461,3.67
1475,3.67
1490,3.90
1505,3.90
1520,3.90
1535,4.00
1550,4.26
1566,4.35
1582,4.57
1597,4.58
1613,4.58
1629,4.58
1646,4.58
1662,4.73
1679,4.81
1696,4.81
1713,4.81
1730,4.81
1747,4.81
1764,4.93
1782,5.04
1800,5.04
1818,5.04
1836,5.04
1854,5.04
1873,5.04
1892,5.18
1911,5.26
1930,5.26
1949,5.26
1969,5.26
1988,5.19
2008,5.04
2028,5.04
2048,4.86
2069,4.81
2090,4.81
2111,4.75
2132,4.58
2153,4.58
2175,4.42
2196,4.35
2218,4.35
2240,4.35
2263,4.35
2285,4.35
2308,4.35
