frequency,raw
20.00,-2.71
20.20,-2.71
20.40,-2.71
20.61,-2.71
20.81,-2.71
21.02,-2.71
21.23,-2.66
21.44,-2.61
21.66,-2.56
21.87,-2.51
22.09,-2.48
22.31,-2.48
22.54,-2.48
22.76,-2.48
22.99,-2.48
23.22,-2.48
23.45,-2.48
23.69,-2.48
23.92,-2.48
24.16,-2.48
24.40,-2.48
24.65,-2.48
24.89,-2.48
25.14,-2.48
25.39,-2.48
25.65,-2.48
25.91,-2.48
26.16,-2.48
26.43,-2.48
26.69,-2.48
26.96,-2.48
27.23,-2.48
27.50,-2.48
27.77,-2.48
28.05,-2.49
28.33,-2.56
28.62,-2.62
28.90,-2.69
29.19,-2.80
29.48,-2.93
29.78,-3.07
30.08,-3.19
30.38,-3.25
30.68,-3.32
30.99,-3.39
31.30,-3.23
31.61,-3.07
31.93,-2.90
32.24,-2.77
32.57,-2.65
32.89,-2.54
33.22,-2.50
33.55,-2.49
33.89,-2.48
34.23,-2.43
34.57,-2.35
34.92,-2.27
35.27,-2.25
35.62,-2.25
35.97,-2.25
36.33,-2.25
36.70,-2.25
37.06,-2.25
37.43,-2.25
37.81,-2.25
38.19,-2.25
38.57,-2.25
38.95,-2.25
39.34,-2.25
39.74,-2.25
40.14,-2.25
40.54,-2.25
40.94,-2.25
41.35,-2.25
41.76,-2.25
42.18,-2.25
42.60,-2.25
43.03,-2.25
43.46,-2.25
43.90,-2.25
44.33,-2.25
44.78,-2.25
45.23,-2.25
45.68,-2.25
46.13,-2.22
46.60,-2.12
47.06,-2.03
47.53,-2.03
48.01,-2.03
48.49,-2.03
48.97,-2.03
49.46,-1.92
49.96,-1.81
50.46,-1.88
50.96,-1.97
51.47,-1.94
51.99,-1.90
52.51,-1.97
53.03,-2.03
53.56,-2.03
54.10,-2.05
54.64,-2.17
55.18,-2.25
55.74,-2.25
56.29,-2.32
56.86,-2.45
57.42,-2.58
58.00,-2.71
58.58,-2.71
59.16,-2.75
59.76,-2.88
60.35,-3.02
60.96,-3.16
61.57,-3.30
62.18,-3.43
62.80,-3.58
63.43,-3.72
64.07,-3.85
64.71,-3.85
65.35,-3.85
66.01,-3.85
66.67,-3.85
67.33,-3.74
68.01,-3.52
68.69,-3.42
69.37,-3.23
70.07,-2.97
70.77,-2.77
71.48,-2.60
72.19,-2.44
72.91,-2.27
73.64,-2.11
74.38,-1.97
75.12,-1.85
75.87,-1.81
76.63,-1.69
77.40,-1.60
78.17,-1.57
78.95,-1.57
79.74,-1.57
80.54,-1.49
81.35,-1.40
82.16,-1.32
82.98,-1.24
83.81,-1.13
84.65,-1.11
85.50,-1.11
86.35,-1.11
87.22,-1.06
88.09,-0.89
88.97,-0.89
89.86,-0.89
90.76,-0.87
91.66,-0.73
92.58,-0.66
93.51,-0.66
94.44,-0.66
95.39,-0.66
96.34,-0.66
97.30,-0.66
98.28,-0.61
99.26,-0.46
100.25,-0.43
101.25,-0.43
102.27,-0.43
103.29,-0.43
104.32,-0.43
105.37,-0.43
106.42,-0.43
107.48,-0.43
108.56,-0.43
109.64,-0.43
110.74,-0.44
111.85,-0.63
112.97,-0.66
114.10,-0.66
115.24,-0.69
116.39,-0.82
117.55,-0.89
118.73,-0.89
119.92,-0.89
121.12,-0.89
122.33,-0.89
123.55,-0.99
124.79,-1.10
126.03,-1.11
127.29,-1.19
128.57,-1.29
129.85,-1.34
131.15,-1.34
132.46,-1.34
133.79,-1.34
135.12,-1.35
136.48,-1.40
137.84,-1.55
139.22,-1.69
140.61,-1.78
142.02,-1.91
143.44,-2.01
144.87,-2.21
146.32,-2.47
147.78,-2.73
149.26,-2.88
150.75,-2.94
152.26,-2.94
153.78,-2.94
155.32,-2.89
156.88,-2.71
158.44,-2.54
160.03,-2.42
161.63,-2.28
163.24,-2.09
164.88,-1.86
166.53,-1.60
168.19,-1.33
169.87,-1.07
171.57,-0.92
173.29,-0.75
175.02,-0.66
176.77,-0.47
178.54,-0.26
180.32,-0.13
182.13,-0.03
183.95,0.02
185.79,0.02
187.65,0.19
189.52,0.42
191.42,0.48
193.33,0.48
195.27,0.58
197.22,0.68
199.19,0.71
201.18,0.71
203.19,0.75
205.23,0.88
207.28,0.94
209.35,0.94
211.44,0.94
213.56,0.94
215.69,0.94
217.85,1.14
220.03,1.07
222.23,0.97
224.45,0.94
226.70,0.94
228.96,0.94
231.25,1.11
233.57,1.16
235.90,1.16
238.26,1.27
240.64,1.38
243.05,1.55
245.48,1.78
247.93,1.85
250.41,1.85
252.92,1.89
255.45,2.05
258.00,2.21
260.58,2.30
263.19,2.30
265.82,2.30
268.48,2.30
271.16,2.30
273.87,2.30
276.61,2.30
279.38,2.30
282.17,2.30
284.99,2.30
287.84,2.30
290.72,2.30
293.63,2.19
296.57,2.09
299.53,2.08
302.53,2.08
305.55,2.08
308.61,2.02
311.69,1.87
314.81,1.85
317.96,1.85
321.14,1.85
324.35,1.85
327.59,1.85
330.87,1.85
334.18,1.85
337.52,1.72
340.90,1.64
344.30,1.62
347.75,1.56
351.23,1.43
354.74,1.29
358.28,1.07
361.87,0.96
365.49,0.77
369.14,0.69
372.83,0.54
376.56,0.43
380.33,0.19
384.13,0.05
387.97,0.02
391.85,0.01
395.77,-0.14
399.73,-0.26
403.72,-0.47
407.76,-0.63
411.84,-0.66
415.96,-0.66
420.12,-0.66
424.32,-0.68
428.56,-0.83
432.85,-0.89
437.18,-0.89
441.55,-0.89
445.96,-0.89
450.42,-0.89
454.93,-0.89
459.48,-0.94
464.07,-1.08
468.71,-1.11
473.40,-1.25
478.13,-1.33
482.91,-1.52
487.74,-1.62
492.62,-1.76
497.55,-1.80
502.52,-1.93
507.55,-2.02
512.62,-2.19
517.75,-2.25
522.93,-2.31
528.16,-2.45
533.44,-2.60
538.77,-2.69
544.16,-2.71
549.60,-2.73
555.10,-2.90
560.65,-2.94
566.25,-2.94
571.92,-2.94
577.64,-3.09
583.41,-3.16
589.25,-3.17
595.14,-3.17
601.09,-3.17
607.10,-3.17
613.17,-3.17
619.30,-3.17
625.50,-3.34
631.75,-3.39
638.07,-3.39
644.45,-3.39
650.89,-3.39
657.40,-3.39
663.98,-3.39
670.62,-3.39
677.32,-3.22
684.10,-3.17
690.94,-3.17
697.85,-3.17
704.83,-3.17
711.87,-3.17
718.99,-3.00
726.18,-2.94
733.44,-2.87
740.78,-2.73
748.19,-2.71
755.67,-2.71
763.23,-2.71
770.86,-2.54
778.57,-2.48
786.35,-2.48
794.22,-2.38
802.16,-2.27
810.18,-2.25
818.28,-2.25
826.46,-2.23
834.73,-2.08
843.08,-2.03
851.51,-2.03
860.02,-1.88
868.62,-1.81
877.31,-1.79
886.08,-1.62
894.94,-1.57
903.89,-1.57
912.93,-1.45
922.06,-1.36
931.28,-1.17
940.59,-0.95
950.00,-0.84
959.50,-0.70
969.09,-0.56
978.78,-0.45
988.57,-0.27
998.46,-0.04
1008.44,0.06
1018.53,0.27
1028.71,0.53
1039.00,0.69
1049.39,0.85
1059.88,1.09
1070.48,1.18
1081.19,1.34
1092.00,1.39
1102.92,1.39
1113.95,1.51
1125.09,1.75
1136.34,1.84
1147.70,1.85
1159.18,1.85
1170.77,1.85
1182.48,1.95
1194.30,2.06
1206.25,2.08
1218.31,2.25
1230.49,2.30
1242.80,2.30
1255.22,2.30
1267.78,2.30
1280.45,2.30
1293.26,2.47
1306.19,2.54
1319.25,2.72
1332.45,2.76
1345.77,2.76
1359.23,2.88
1372.82,2.97
1386.55,2.99
1400.41,3.16
1414.42,3.26
1428.56,3.40
1442.85,3.44
1457.28,3.44
1471.85,3.44
1486.57,3.62
1501.43,3.67
1516.45,3.67
1531.61,3.67
1546.93,3.67
1562.40,3.67
1578.02,3.67
1593.80,3.68
1609.74,3.86
1625.84,3.96
1642.10,4.09
1658.52,4.24
1675.10,4.48
1691.85,4.57
1708.77,4.75
1725.86,4.81
1743.12,4.81
1760.55,4.91
1778.15,5.14
1795.94,5.25
1813.90,5.44
1832.03,5.49
1850.36,5.49
1868.86,5.49
1887.55,5.39
1906.42,5.29
1925.49,5.11
1944.74,4.87
1964.19,5.13
1983.83,5.58
2003.67,6.16
2023.71,6.64
2043.94,6.98
2064.38,7.24
2085.03,7.49
2105.88,7.60
2126.94,7.73
2148.20,7.77
2169.69,7.90
2191.38,7.99
2213.30,8.00
2235.43,8.02
2257.78,8.18
2280.36,8.23
2303.17,8.23
2326.20,8.23
2349.46,8.23
2372.95,8.23
2396.68,8.23
2420.65,8.23
2444.86,8.23
2469.31,8.23
2494.00,8.23
2518.94,8.23
2544.13,8.23
2569.57,8.23
2595.27,8.23
2621.22,8.23
2647.43,8.11
2673.90,8.02
2700.64,8.00
2727.65,8.00
2754.93,8.00
2782.48,8.00
2810.30,8.00
2838.40,8.00
2866.79,8.00
2895.46,8.00
2924.41,8.03
2953.65,8.19
2983.19,8.23
3013.02,8.23
3043.15,8.23
3073.58,8.23
3104.32,8.24
3135.36,8.41
3166.72,8.46
3198.38,8.46
3230.37,8.57
3262.67,8.67
3295.30,8.86
3328.25,8.91
3361.53,8.91
3395.15,8.91
3429.10,8.91
3463.39,8.91
3498.03,8.76
3533.01,8.70
3568.34,8.66
3604.02,8.50
3640.06,8.46
3676.46,8.46
3713.22,8.26
3750.36,7.89
3787.86,7.60
3825.74,7.33
3864.00,7.07
3902.64,6.81
3941.66,6.43
3981.08,6.00
4020.89,5.43
4061.10,4.97
4101.71,4.49
4142.73,4.05
4184.15,3.49
4226.00,2.91
4268.26,2.30
4310.94,1.83
4354.05,1.61
4397.59,1.27
4441.56,0.87
4485.98,0.42
4530.84,-0.08
4576.15,-0.68
4621.91,-1.33
4668.13,-1.83
4714.81,-2.06
4761.96,-2.22
4809.58,-2.37
4857.67,-2.46
4906.25,-2.64
4955.31,-2.53
5004.87,-2.53
5054.91,-2.67
5105.46,-2.80
5156.52,-2.92
5208.08,-3.09
5260.16,-3.16
5312.77,-3.19
5365.89,-3.35
5419.55,-3.31
5473.75,-3.14
5528.49,-2.87
5583.77,-2.50
5639.61,-2.11
5696.00,-1.59
5752.96,-0.93
5810.49,-0.12
5868.60,0.72
5927.28,1.45
5986.56,2.04
6046.42,2.48
6106.89,2.95
6167.96,3.40
6229.64,3.82
6291.93,4.17
6354.85,4.47
6418.40,4.75
6482.58,4.99
6547.41,5.04
6612.88,4.96
6679.01,4.74
6745.80,4.48
6813.26,4.14
6881.39,3.75
6950.21,3.34
7019.71,2.90
7089.91,2.51
7160.81,2.08
7232.41,1.67
7304.74,1.20
7377.79,0.88
7451.56,0.70
7526.08,0.46
7601.34,0.20
7677.35,-0.06
7754.13,-0.18
7831.67,-0.37
7909.98,-0.43
7989.08,-0.43
8068.98,-0.43
8149.67,-0.33
8231.16,-0.22
8313.47,-0.05
8396.61,0.19
8480.57,0.55
8565.38,0.98
8651.03,1.48
8737.54,2.00
8824.92,2.46
8913.17,2.95
9002.30,3.37
9092.32,3.85
9183.25,4.24
9275.08,4.30
9367.83,3.70
9461.51,2.65
9556.12,1.32
9651.68,-0.20
9748.20,-1.61
9845.68,-2.61
9944.14,-3.23
10043.58,-3.60
10144.02,-4.24
10245.46,-5.12
10347.91,-6.87
10451.39,-8.99
10555.91,-11.00
10661.46,-11.87
10768.08,-10.93
10875.76,-9.14
10984.52,-7.11
11094.36,-5.55
11205.31,-4.37
11317.36,-3.69
11430.53,-3.66
11544.84,-4.09
11660.29,-5.11
11776.89,-6.40
11894.66,-7.76
12013.60,-8.83
12133.74,-9.26
12255.08,-9.32
12377.63,-9.17
12501.41,-9.10
12626.42,-9.49
12752.68,-9.97
12880.21,-9.97
13009.01,-9.23
13139.10,-8.15
13270.49,-6.74
13403.20,-5.10
13537.23,-3.42
13672.60,-1.91
13809.33,-0.83
13947.42,-0.22
14086.90,0.13
14227.77,-0.09
14370.04,-0.58
14513.74,-1.20
14658.88,-1.76
14805.47,-2.08
14953.52,-2.35
15103.06,-2.61
15254.09,-2.70
15406.63,-2.69
15560.70,-2.48
15716.30,-2.15
15873.47,-1.66
16032.20,-0.94
16192.52,-0.14
16354.45,0.75
16517.99,1.52
16683.17,1.98
16850.01,2.17
17018.51,1.89
17188.69,1.33
17360.58,0.60
17534.18,-0.27
17709.53,-1.06
17886.62,-1.61
18065.49,-1.87
18246.14,-1.94
18428.60,-1.56
18612.89,-0.86
18799.02,0.01
18987.01,0.80
19176.88,1.40
19368.65,1.69
19562.33,1.54
19757.96,1.04
19955.54,0.49
