frequency,raw
20,2.96
21,2.96
22,3.19
23,3.42
24,3.42
25,3.61
26,3.65
27,3.65
28,3.86
29,3.87
30,3.87
31,3.87
32,4.10
33,4.10
34,4.10
35,4.10
36,4.10
37,4.10
38,4.10
39,4.10
40,4.30
41,4.33
42,4.33
43,4.33
44,4.33
45,4.33
46,4.33
47,4.33
48,4.33
49,4.33
50,4.33
51,4.33
52,4.33
53,4.33
54,4.33
55,4.33
56,4.33
57,4.33
58,4.33
59,4.33
60,4.33
61,4.33
62,4.33
63,4.33
64,4.33
65,4.33
66,4.33
67,4.10
68,4.10
69,4.10
70,4.10
71,4.10
72,3.87
73,3.87
74,3.87
75,3.70
76,3.65
77,3.65
78,3.65
79,3.65
80,3.87
81,4.02
82,4.10
83,4.21
84,4.33
85,4.33
86,4.46
87,4.56
88,4.56
89,4.56
90,4.37
91,4.33
92,4.33
93,4.33
94,4.14
95,4.09
96,3.87
97,3.87
98,3.87
99,3.69
100,3.65
101,3.62
102,3.42
104,3.42
105,3.42
106,3.42
107,3.42
108,3.62
109,3.65
110,3.65
111,3.65
112,3.87
113,3.87
114,3.87
115,3.87
117,4.10
118,4.10
119,4.10
120,4.10
121,4.10
123,4.10
124,4.10
125,4.10
126,4.10
128,4.10
129,4.01
130,3.87
131,3.87
133,3.87
134,3.87
135,3.87
137,3.87
138,3.87
140,3.68
141,3.65
142,3.65
144,3.65
145,3.65
147,3.42
148,3.42
150,3.42
151,3.42
153,3.40
154,3.22
156,3.19
157,3.17
159,2.96
160,2.90
162,2.74
164,2.51
165,2.51
167,2.28
169,2.28
170,2.28
172,2.28
174,2.28
175,2.28
177,2.28
179,2.28
181,2.28
183,2.28
184,2.19
186,2.05
188,2.05
190,1.82
192,1.75
194,1.60
196,1.60
198,1.60
200,1.36
202,1.14
204,1.14
206,1.14
208,1.01
210,0.91
212,0.73
214,0.49
216,0.46
218,0.46
221,0.32
223,0.23
225,0.08
227,0.00
229,0.00
232,-0.23
234,-0.27
236,-0.46
239,-0.60
241,-0.68
244,-0.91
246,-0.91
248,-0.91
251,-1.14
253,-1.18
256,-1.37
259,-1.57
261,-1.78
264,-1.85
266,-2.05
269,-2.12
272,-2.28
274,-2.37
277,-2.51
280,-2.51
283,-2.28
286,-2.28
288,-2.28
291,-2.20
294,-2.05
297,-2.05
300,-2.25
303,-2.29
306,-2.51
309,-2.61
312,-2.99
316,-3.39
319,-3.64
322,-3.66
325,-3.87
328,-3.92
332,-4.10
335,-4.25
338,-4.48
342,-4.56
345,-4.56
349,-4.64
352,-4.79
356,-4.79
359,-4.93
363,-5.01
366,-5.01
370,-5.01
374,-5.01
377,-5.08
381,-5.24
385,-5.24
389,-5.24
393,-5.24
397,-5.24
401,-5.24
405,-5.24
409,-5.24
413,-5.24
417,-5.24
421,-5.24
425,-5.22
430,-5.01
434,-5.01
438,-5.01
443,-5.01
447,-5.01
451,-5.01
456,-5.01
460,-5.01
465,-4.90
470,-4.79
474,-4.79
479,-4.79
484,-4.79
489,-4.79
494,-4.67
499,-4.56
504,-4.56
509,-4.56
514,-4.56
519,-4.51
524,-4.33
529,-4.33
535,-4.33
540,-4.33
545,-4.14
551,-4.10
556,-4.07
562,-3.87
568,-3.87
573,-3.87
579,-3.68
585,-3.65
591,-3.65
596,-3.61
602,-3.42
608,-3.42
615,-3.24
621,-3.19
627,-2.96
633,-2.96
639,-2.91
646,-2.74
652,-2.61
659,-2.51
665,-2.32
672,-2.28
679,-2.23
686,-2.05
692,-2.05
699,-2.05
706,-1.88
713,-1.82
721,-1.60
728,-1.60
735,-1.51
742,-1.37
750,-1.37
757,-1.37
765,-1.14
773,-1.14
780,-1.08
788,-0.91
796,-0.91
804,-0.91
812,-0.71
820,-0.68
828,-0.68
837,-0.68
845,-0.57
853,-0.46
862,-0.46
871,-0.46
879,-0.23
888,-0.23
897,-0.23
906,-0.23
915,-0.23
924,-0.23
933,-0.01
943,0.00
952,0.00
962,0.00
971,0.00
981,0.00
991,0.00
1001,0.00
1011,0.05
1021,0.23
1031,0.23
1041,0.23
1052,0.23
1062,0.23
1073,0.23
1084,0.23
1094,0.23
1105,0.23
1116,0.23
1128,0.23
1139,0.23
1150,0.23
1162,0.23
1173,0.23
1185,0.23
1197,0.23
1209,0.23
1221,0.23
1233,0.23
1246,0.23
1258,0.12
1271,0.00
1283,0.00
1296,0.00
1309,0.00
1322,0.00
1335,0.00
1349,0.00
1362,0.00
1376,0.00
1390,0.00
1404,0.00
1418,-0.07
1432,-0.23
1446,-0.23
1461,-0.23
1475,-0.23
1490,-0.23
1505,-0.23
1520,-0.23
1535,-0.23
1550,-0.23
1566,-0.23
1582,-0.23
1597,-0.22
1613,0.00
1629,0.00
1646,0.00
1662,0.00
1679,0.00
1696,-0.00
1713,0.00
1730,0.06
1747,0.23
1764,0.23
1782,0.23
1800,0.23
1818,0.46
1836,0.46
1854,0.46
1873,0.56
1892,0.82
1911,0.91
1930,1.12
1949,1.15
1969,1.37
1988,1.44
2008,1.71
2028,1.82
2048,2.00
2069,2.27
2090,2.51
2111,2.57
2132,2.83
2153,3.09
2175,3.35
2196,3.42
2218,3.64
2240,3.62
2263,3.42
2285,3.33
2308,3.19
2331,3.27
2355,3.51
2378,3.88
2402,4.14
2426,4.41
2450,4.66
2475,4.79
2500,4.97
2525,5.23
2550,5.47
2575,5.52
2601,5.78
2627,5.93
2653,6.08
2680,6.15
2707,6.38
2734,6.41
2761,6.67
2789,6.84
2817,6.97
2845,7.07
2873,7.07
2902,7.07
2931,7.29
2960,7.29
2990,7.40
3020,7.52
3050,7.70
3080,7.75
3111,7.76
3142,7.98
3174,7.98
3206,7.98
3238,8.13
3270,8.21
3303,8.43
3336,8.59
3369,8.89
3403,8.89
3437,9.02
3471,9.12
3506,9.12
3541,9.12
3576,9.12
3612,9.12
3648,9.12
3685,9.12
3721,9.12
3759,9.12
3796,9.11
3834,8.84
3873,8.54
3911,8.15
3950,7.69
3990,7.16
4030,6.63
4070,6.11
4111,5.58
4152,5.15
4193,4.89
4235,4.63
4278,4.36
4321,3.99
4364,3.60
4407,3.18
4451,2.75
4496,2.35
4541,1.74
4586,0.89
4632,-0.15
4679,-1.32
4725,-2.35
4773,-3.42
4820,-4.52
4868,-5.61
4917,-6.56
4966,-7.33
5016,-7.86
5066,-8.38
5117,-8.84
5168,-8.93
5220,-8.51
5272,-8.10
5325,-7.78
5378,-7.98
5432,-8.08
5486,-8.21
5541,-8.21
5596,-8.01
5652,-7.74
5709,-7.48
5766,-7.22
5823,-7.07
5882,-6.92
5940,-7.01
6000,-7.07
6060,-7.55
6120,-8.01
6182,-8.81
6244,-9.65
6306,-10.64
6369,-11.50
6433,-12.29
6497,-12.82
6562,-13.28
6628,-13.35
6694,-13.09
6761,-12.66
6828,-12.05
6897,-11.50
6966,-10.88
7035,-10.49
7106,-10.26
7177,-10.12
7249,-9.77
7321,-9.37
7394,-8.86
7468,-8.31
7543,-7.66
7618,-7.01
7694,-6.35
7771,-5.79
7849,-5.26
7928,-4.72
8007,-4.10
8087,-3.53
8168,-2.94
8250,-2.41
8332,-1.99
8415,-1.48
8499,-0.96
8584,-0.40
8670,0.20
8757,0.73
8845,1.34
8933,1.89
9022,2.41
9113,2.78
9204,3.04
9296,3.30
9389,3.27
9483,3.19
9577,2.98
9673,2.96
9770,2.96
9868,3.05
9966,3.31
10066,3.50
10167,3.73
10268,4.10
10371,4.30
10475,4.00
10579,3.46
10685,2.74
10792,2.00
10900,1.32
11009,0.55
11119,0.01
11230,-0.61
11343,-1.19
11456,-1.77
11571,-2.21
11686,-2.60
11803,-3.12
11921,-3.83
12040,-4.83
12161,-6.20
12282,-7.92
12405,-9.94
12529,-11.93
12655,-13.47
12781,-14.49
12909,-14.91
13038,-15.17
13168,-15.11
13300,-14.84
13433,-15.15
13567,-15.06
13703,-15.30
13840,-15.77
13978,-15.81
14118,-15.90
14259,-16.48
14402,-17.26
14546,-18.07
14692,-18.94
14838,-19.73
14987,-20.51
15137,-21.21
15288,-20.87
15441,-20.13
15595,-19.83
15751,-19.88
15909,-20.20
16068,-20.89
16229,-21.67
16391,-20.72
16555,-19.13
16720,-17.58
16888,-16.60
17056,-16.37
17227,-16.58
17399,-16.84
17573,-16.73
17749,-16.34
17926,-15.91
18106,-15.38
18287,-14.71
18470,-13.65
18654,-12.47
18841,-11.59
19029,-11.40
19220,-12.06
19412,-13.17
19606,-14.55
19802,-16.38
20000,-18.23
