frequency,raw
20.00,-28.69
20.20,-28.51
20.40,-28.33
20.61,-28.15
20.81,-27.97
21.02,-27.80
21.23,-27.65
21.44,-27.50
21.66,-27.35
21.87,-27.20
22.09,-27.02
22.31,-26.81
22.54,-26.61
22.76,-26.40
22.99,-26.19
23.22,-26.06
23.45,-25.93
23.69,-25.80
23.92,-25.67
24.16,-25.54
24.40,-25.42
24.65,-25.29
24.89,-25.16
25.14,-24.98
25.39,-24.75
25.65,-24.53
25.91,-24.30
26.16,-24.20
26.43,-24.17
26.69,-24.14
26.96,-24.11
27.23,-23.96
27.50,-23.79
27.77,-23.62
28.05,-23.46
28.33,-23.33
28.62,-23.20
28.90,-23.06
29.19,-22.89
29.48,-22.70
29.78,-22.51
30.08,-22.35
30.38,-22.30
30.68,-22.26
30.99,-22.21
31.30,-21.97
31.61,-21.73
31.93,-21.48
32.24,-21.31
32.57,-21.17
32.89,-21.04
33.22,-20.83
33.55,-20.59
33.89,-20.36
34.23,-20.19
34.57,-20.06
34.92,-19.93
35.27,-19.82
35.62,-19.71
35.97,-19.61
36.33,-19.45
36.70,-19.28
37.06,-19.12
37.43,-18.95
37.81,-18.78
38.19,-18.65
38.57,-18.56
38.95,-18.47
39.34,-18.37
39.74,-18.27
40.14,-18.11
40.54,-17.85
40.94,-17.59
41.35,-17.49
41.76,-17.41
42.18,-17.32
42.60,-17.20
43.03,-17.08
43.46,-16.88
43.90,-16.69
44.33,-16.64
44.78,-16.64
45.23,-16.52
45.68,-16.29
46.13,-16.04
46.60,-15.78
47.06,-15.56
47.53,-15.62
48.01,-15.68
48.49,-15.42
48.97,-15.15
49.46,-15.09
49.96,-15.04
50.46,-14.92
50.96,-14.78
51.47,-14.53
51.99,-14.27
52.51,-14.08
53.03,-13.90
53.56,-13.90
54.10,-13.88
54.64,-13.76
55.18,-13.64
55.74,-13.51
56.29,-13.31
56.86,-13.06
57.42,-12.99
58.00,-12.99
58.58,-12.86
59.16,-12.72
59.76,-12.59
60.35,-12.46
60.96,-12.32
61.57,-12.18
62.18,-12.04
62.80,-11.89
63.43,-11.81
64.07,-11.74
64.71,-11.62
65.35,-11.51
66.01,-11.40
66.67,-11.25
67.33,-11.09
68.01,-10.94
68.69,-10.92
69.37,-10.83
70.07,-10.71
70.77,-10.71
71.48,-10.60
72.19,-10.48
72.91,-10.48
73.64,-10.34
74.38,-10.26
75.12,-10.25
75.87,-10.20
76.63,-10.09
77.40,-10.03
78.17,-10.03
78.95,-10.03
79.74,-9.86
80.54,-9.72
81.35,-9.63
82.16,-9.55
82.98,-9.47
83.81,-9.36
84.65,-9.34
85.50,-9.28
86.35,-9.18
87.22,-9.11
88.09,-9.05
88.97,-8.90
89.86,-8.89
90.76,-8.89
91.66,-8.89
92.58,-8.89
93.51,-8.79
94.44,-8.68
95.39,-8.66
96.34,-8.63
97.30,-8.52
98.28,-8.43
99.26,-8.37
100.25,-8.21
101.25,-8.21
102.27,-8.18
103.29,-8.06
104.32,-7.98
105.37,-7.92
106.42,-7.79
107.48,-7.75
108.56,-7.75
109.64,-7.75
110.74,-7.74
111.85,-7.55
112.97,-7.52
114.10,-7.52
115.24,-7.52
116.39,-7.52
117.55,-7.52
118.73,-7.52
119.92,-7.51
121.12,-7.29
122.33,-7.29
123.55,-7.29
124.79,-7.29
126.03,-7.14
127.29,-7.09
128.57,-7.07
129.85,-7.07
131.15,-7.07
132.46,-7.07
133.79,-7.07
135.12,-7.06
136.48,-6.90
137.84,-6.84
139.22,-6.84
140.61,-6.84
142.02,-6.84
143.44,-6.84
144.87,-6.84
146.32,-6.84
147.78,-6.79
149.26,-6.67
150.75,-6.61
152.26,-6.61
153.78,-6.61
155.32,-6.61
156.88,-6.61
158.44,-6.61
160.03,-6.61
161.63,-6.61
163.24,-6.61
164.88,-6.61
166.53,-6.61
168.19,-6.61
169.87,-6.61
171.57,-6.61
173.29,-6.75
175.02,-6.84
176.77,-6.84
178.54,-7.02
180.32,-7.07
182.13,-7.07
183.95,-7.16
185.79,-7.28
187.65,-7.29
189.52,-7.29
191.42,-7.29
193.33,-7.29
195.27,-7.29
197.22,-7.29
199.19,-7.28
201.18,-7.16
203.19,-7.07
205.23,-7.07
207.28,-7.07
209.35,-7.07
211.44,-7.07
213.56,-6.91
215.69,-6.84
217.85,-6.84
220.03,-6.84
222.23,-6.84
224.45,-6.84
226.70,-6.84
228.96,-6.68
231.25,-6.63
233.57,-6.61
235.90,-6.61
238.26,-6.50
240.64,-6.40
243.05,-6.38
245.48,-6.38
247.93,-6.38
250.41,-6.38
252.92,-6.34
255.45,-6.18
258.00,-6.15
260.58,-6.15
