frequency,raw
20.00,-12.30
20.20,-12.91
20.40,-13.53
20.61,-14.14
20.81,-14.76
21.02,-15.31
21.23,-15.30
21.44,-15.28
21.66,-15.27
21.87,-15.26
22.09,-15.18
22.31,-15.02
22.54,-14.87
22.76,-14.71
22.99,-14.55
23.22,-12.56
23.45,-10.49
23.69,-8.41
23.92,-6.34
24.16,-6.87
24.40,-8.65
24.65,-10.43
24.89,-12.20
25.14,-12.95
25.39,-12.94
25.65,-12.93
25.91,-12.91
26.16,-12.85
26.43,-12.75
26.69,-12.65
26.96,-12.56
27.23,-12.39
27.50,-12.20
27.77,-12.02
28.05,-11.87
28.33,-11.86
28.62,-11.86
28.90,-11.85
29.19,-11.68
29.48,-11.42
29.78,-11.16
30.08,-10.93
30.38,-10.80
30.68,-10.68
30.99,-10.56
31.30,-10.46
31.61,-10.37
31.93,-10.28
32.24,-10.20
32.57,-10.13
32.89,-10.05
33.22,-9.88
33.55,-9.65
33.89,-9.42
34.23,-9.29
34.57,-9.21
34.92,-9.14
35.27,-9.00
35.62,-8.84
35.97,-8.68
36.33,-8.59
36.70,-8.50
37.06,-8.41
37.43,-8.31
37.81,-8.21
38.19,-8.13
38.57,-8.06
38.95,-7.99
39.34,-7.97
39.74,-7.96
40.14,-7.92
40.54,-7.84
40.94,-7.76
41.35,-7.67
41.76,-7.57
42.18,-7.48
42.60,-7.38
43.03,-7.29
43.46,-7.29
43.90,-7.29
44.33,-7.22
44.78,-7.12
45.23,-7.02
45.68,-6.91
46.13,-6.81
46.60,-6.70
47.06,-6.60
47.53,-6.49
48.01,-6.38
48.49,-6.38
48.97,-6.38
49.46,-6.27
49.96,-6.16
50.46,-6.07
50.96,-5.98
51.47,-6.01
51.99,-6.05
52.51,-5.99
53.03,-5.93
53.56,-5.93
54.10,-5.91
54.64,-5.78
55.18,-5.70
55.74,-5.70
56.29,-5.70
56.86,-5.70
57.42,-5.60
58.00,-5.47
58.58,-5.47
59.16,-5.51
59.76,-5.64
60.35,-5.69
60.96,-5.70
61.57,-5.70
62.18,-5.74
62.80,-5.89
63.43,-5.97
64.07,-6.03
64.71,-6.15
65.35,-6.26
66.01,-6.38
66.67,-6.53
67.33,-6.64
68.01,-6.71
68.69,-6.80
69.37,-6.84
70.07,-6.84
70.77,-6.84
71.48,-6.84
72.19,-6.84
72.91,-6.84
73.64,-6.84
74.38,-6.78
75.12,-6.66
75.87,-6.62
76.63,-6.61
77.40,-6.59
78.17,-6.52
78.95,-6.39
79.74,-6.38
80.54,-6.30
81.35,-6.21
82.16,-6.15
82.98,-6.15
83.81,-6.15
84.65,-6.01
85.50,-5.93
86.35,-5.93
87.22,-5.93
88.09,-5.93
88.97,-5.93
89.86,-5.93
90.76,-5.93
91.66,-5.93
92.58,-6.01
93.51,-6.11
94.44,-6.15
95.39,-6.15
96.34,-6.15
97.30,-6.15
98.28,-6.15
99.26,-6.15
100.25,-6.15
101.25,-6.15
102.27,-6.18
103.29,-6.30
104.32,-6.38
105.37,-6.38
106.42,-6.38
107.48,-6.48
108.56,-6.60
109.64,-6.61
110.74,-6.61
111.85,-6.61
112.97,-6.63
114.10,-6.84
115.24,-6.84
116.39,-6.84
117.55,-6.84
118.73,-6.84
119.92,-6.84
121.12,-6.84
122.33,-6.84
123.55,-6.84
124.79,-6.84
126.03,-6.84
127.29,-6.91
128.57,-7.02
129.85,-7.07
131.15,-7.02
132.46,-6.89
133.79,-6.84
135.12,-6.84
136.48,-6.84
137.84,-6.84
139.22,-6.84
140.61,-6.84
142.02,-6.95
143.44,-7.04
144.87,-7.07
146.32,-7.07
147.78,-7.07
149.26,-7.07
150.75,-7.07
152.26,-7.07
153.78,-7.07
155.32,-7.07
156.88,-7.07
158.44,-7.07
160.03,-7.13
161.63,-7.26
163.24,-7.43
164.88,-7.52
166.53,-7.52
168.19,-7.52
169.87,-7.52
171.57,-7.52
173.29,-7.52
175.02,-7.52
176.77,-7.52
