frequency,raw
20.00,0.91
20.20,0.91
20.40,0.91
20.61,0.91
20.81,0.91
21.02,0.91
21.23,0.91
21.44,0.92
21.66,0.92
21.87,0.93
22.09,0.95
22.31,1.00
22.54,1.04
22.76,1.09
22.99,1.14
23.22,1.14
23.45,1.14
23.69,1.14
23.92,1.14
24.16,1.14
24.40,1.14
24.65,1.14
24.89,1.14
25.14,1.15
25.39,1.18
25.65,1.20
25.91,1.22
26.16,1.25
26.43,1.29
26.69,1.33
26.96,1.36
27.23,1.37
27.50,1.37
27.77,1.37
28.05,1.37
28.33,1.37
28.62,1.37
28.90,1.37
29.19,1.33
29.48,1.27
29.78,1.21
30.08,1.15
30.38,1.09
30.68,1.04
30.99,0.98
31.30,0.96
31.61,0.94
31.93,0.92
32.24,0.96
32.57,1.03
32.89,1.10
33.22,1.23
33.55,1.39
33.89,1.55
34.23,1.64
34.57,1.69
34.92,1.75
35.27,1.78
35.62,1.80
35.97,1.83
36.33,1.83
36.70,1.83
37.06,1.83
37.43,1.83
37.81,1.83
38.19,1.83
38.57,1.83
38.95,1.83
39.34,1.83
39.74,1.83
40.14,1.83
40.54,1.83
40.94,1.83
41.35,1.83
41.76,1.83
42.18,1.83
42.60,1.83
43.03,1.84
43.46,1.93
43.90,2.03
44.33,2.05
44.78,2.05
45.23,2.05
45.68,2.05
46.13,2.05
46.60,2.05
47.06,2.05
47.53,2.05
48.01,2.05
48.49,2.05
48.97,2.05
49.46,2.05
49.96,2.05
50.46,2.07
50.96,2.10
51.47,2.19
51.99,2.28
52.51,2.16
53.03,2.05
53.56,2.05
54.10,2.05
54.64,2.05
55.18,2.05
55.74,2.05
56.29,2.05
56.86,2.05
57.42,2.05
58.00,2.05
58.58,1.92
59.16,1.83
59.76,1.83
60.35,1.75
60.96,1.61
61.57,1.47
62.18,1.37
62.80,1.37
63.43,1.27
64.07,1.14
64.71,1.14
65.35,1.14
66.01,1.14
66.67,1.14
67.33,1.22
68.01,1.37
68.69,1.39
69.37,1.48
70.07,1.60
70.77,1.60
71.48,1.71
72.19,1.87
72.91,2.03
73.64,2.05
74.38,2.11
75.12,2.23
75.87,2.27
76.63,2.39
77.40,2.48
78.17,2.51
78.95,2.51
79.74,2.51
80.54,2.59
81.35,2.68
82.16,2.74
82.98,2.74
83.81,2.74
84.65,2.74
85.50,2.74
86.35,2.74
87.22,2.74
88.09,2.74
88.97,2.74
89.86,2.74
90.76,2.76
91.66,2.89
